,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-10-19,,HOU,W,117,107,45,90,.500,7,25,.280,20,24,.833,4,38,30,12,5,9,18,,42,98,.429,9,35,.257,14,15,.933,15,54,25,4,3,15,20
2,2,2022-10-21,,ORL,W,108,98,40,89,.449,13,31,.419,15,16,.938,9,46,26,10,2,17,22,,33,80,.413,8,34,.235,24,30,.800,10,44,16,9,7,19,19
3,3,2022-10-23,,CHO,L,109,126,39,95,.411,8,35,.229,23,28,.821,16,45,23,8,9,12,21,,47,90,.522,11,26,.423,21,30,.700,14,52,28,7,6,13,24
4,4,2022-10-26,@,DET,W,118,113,45,91,.495,8,22,.364,20,25,.800,10,46,22,6,12,12,20,,42,91,.462,14,32,.438,15,22,.682,10,40,23,4,6,13,25
5,5,2022-10-28,@,DET,W,136,112,55,97,.567,12,29,.414,14,18,.778,10,45,31,5,8,6,26,,37,86,.430,7,32,.219,31,38,.816,14,42,18,2,4,10,22
6,6,2022-10-29,@,MIL,L,115,123,45,94,.479,13,29,.448,12,15,.800,12,42,19,5,2,12,23,,45,92,.489,14,36,.389,19,29,.655,14,49,24,8,5,11,18
7,7,2022-10-31,@,TOR,L,109,139,39,84,.464,11,29,.379,20,25,.800,7,37,28,1,4,18,27,,46,92,.500,14,34,.412,33,40,.825,12,44,25,13,9,6,22
8,8,2022-11-02,@,NYK,W,112,99,44,107,.411,12,34,.353,12,16,.750,17,51,28,11,4,7,18,,37,90,.411,10,36,.278,15,20,.750,12,52,23,3,9,16,19
9,9,2022-11-05,,NOP,W,124,121,47,103,.456,9,36,.250,21,25,.840,12,50,28,12,8,13,23,,47,108,.435,7,23,.304,20,28,.714,19,59,23,8,6,16,24
10,10,2022-11-07,,MIL,W,117,98,46,99,.465,11,29,.379,14,17,.824,12,48,23,11,3,12,18,,36,87,.414,13,40,.325,13,16,.813,6,41,21,5,9,18,18
11,11,2022-11-09,,UTA,L,119,125,51,109,.468,8,28,.286,9,11,.818,17,54,24,5,5,11,16,,44,94,.468,17,39,.436,20,24,.833,13,47,27,5,6,13,20
12,12,2022-11-10,,PHI,W,104,95,39,88,.443,6,26,.231,20,23,.870,11,54,19,8,2,18,22,,32,83,.386,6,30,.200,25,30,.833,9,45,15,10,5,17,22
13,13,2022-11-12,@,PHI,L,109,121,40,89,.449,6,24,.250,23,27,.852,12,43,20,4,2,18,19,,44,80,.550,8,24,.333,25,31,.806,2,31,24,10,5,12,26
14,14,2022-11-14,@,MIL,W,121,106,44,92,.478,7,20,.350,26,30,.867,13,45,23,4,4,9,23,,34,82,.415,6,29,.207,32,41,.780,11,46,21,4,3,15,26
15,15,2022-11-16,,BOS,L,101,126,42,101,.416,7,32,.219,10,13,.769,14,45,21,5,5,9,11,,48,88,.545,21,46,.457,9,10,.900,6,49,29,4,8,14,20
16,16,2022-11-19,,TOR,W,124,122,46,92,.500,7,25,.280,25,32,.781,11,50,23,5,5,14,20,,48,108,.444,8,37,.216,18,22,.818,17,51,27,11,6,13,25
17,17,2022-11-21,@,CLE,L,102,114,38,87,.437,11,34,.324,15,17,.882,10,35,24,11,3,16,21,,42,70,.600,10,19,.526,20,23,.870,3,37,24,8,3,19,17
18,18,2022-11-23,,SAC,W,115,106,41,92,.446,11,30,.367,22,23,.957,10,47,23,9,6,13,20,,41,89,.461,9,31,.290,15,21,.714,10,48,27,6,2,18,23
19,19,2022-11-25,@,HOU,L,122,128,39,82,.476,15,39,.385,29,36,.806,6,28,14,9,6,13,26,,41,87,.471,12,35,.343,34,41,.829,22,59,25,9,4,21,29
20,20,2022-11-27,,MIA,L,98,106,35,88,.398,10,36,.278,18,19,.947,8,42,24,6,3,9,12,,40,82,.488,9,33,.273,17,19,.895,6,46,28,8,5,12,16
21,21,2022-11-28,@,PHI,L,101,104,37,74,.500,12,27,.444,15,22,.682,8,42,26,7,6,19,21,,39,86,.453,10,28,.357,16,18,.889,10,37,23,10,3,12,19
22,22,2022-11-30,@,ORL,W,125,108,51,94,.543,8,32,.250,15,19,.789,14,49,25,8,3,12,17,,39,79,.494,8,27,.296,22,25,.880,6,33,26,5,3,18,21
23,23,2022-12-02,,DEN,W,117,109,49,88,.557,10,28,.357,9,14,.643,12,43,24,7,3,12,14,,45,85,.529,12,32,.375,7,13,.538,9,33,31,8,0,15,12
24,24,2022-12-05,,OKC,L,114,121,44,102,.431,13,38,.342,13,17,.765,17,54,24,7,4,18,24,,43,95,.453,12,34,.353,23,24,.958,14,49,25,8,4,16,19
25,25,2022-12-07,@,NYK,L,89,113,32,85,.376,6,36,.167,19,24,.792,11,39,16,4,6,11,17,,37,83,.446,17,36,.472,22,24,.917,13,55,26,6,2,14,23
26,26,2022-12-09,@,BRK,L,116,120,46,93,.495,10,29,.345,14,16,.875,12,38,21,12,4,18,18,,45,83,.542,13,30,.433,17,21,.810,9,38,30,10,5,21,18
27,27,2022-12-11,,CHI,W,123,122,47,98,.480,13,39,.333,16,21,.762,8,45,28,3,6,14,22,,48,100,.480,7,27,.259,19,23,.826,13,53,28,11,6,18,21
28,28,2022-12-12,@,MEM,L,103,128,37,104,.356,12,37,.324,17,22,.773,20,39,20,13,1,15,17,,50,83,.602,13,32,.406,15,18,.833,5,49,36,8,12,22,17
29,29,2022-12-14,@,ORL,L,124,135,44,88,.500,12,35,.343,24,27,.889,11,39,30,2,6,13,21,,47,93,.505,16,36,.444,25,30,.833,14,46,28,10,6,11,22
30,30,2022-12-16,@,CHO,W,125,106,41,75,.547,15,29,.517,28,34,.824,4,41,25,3,5,12,22,,39,98,.398,15,43,.349,13,19,.684,15,43,26,8,5,12,25
31,31,2022-12-19,,ORL,W,126,125,48,94,.511,12,32,.375,18,20,.900,6,41,29,7,3,10,18,,45,95,.474,12,34,.353,23,25,.920,10,45,29,8,8,8,17
32,32,2022-12-21,,CHI,L,108,110,39,91,.429,14,37,.378,16,16,1.000,9,47,22,6,7,15,15,,43,86,.500,7,24,.292,17,22,.773,8,47,20,9,4,11,15
33,33,2022-12-23,,DET,W,130,105,49,92,.533,12,34,.353,20,24,.833,8,48,30,10,8,8,20,,37,90,.411,9,33,.273,22,29,.759,9,43,17,7,3,14,19
34,34,2022-12-27,@,IND,L,114,129,40,89,.449,12,30,.400,22,29,.759,9,42,26,4,3,9,19,,47,92,.511,13,35,.371,22,27,.815,7,49,28,3,2,10,16
35,35,2022-12-28,,BRK,L,107,108,42,97,.433,8,22,.364,15,22,.682,11,47,22,5,6,3,14,,42,83,.506,10,26,.385,14,17,.824,5,47,22,0,13,12,18
36,36,2022-12-30,,LAL,L,121,130,48,101,.475,11,38,.289,14,20,.700,12,41,22,6,5,10,19,,52,96,.542,10,32,.313,16,18,.889,12,55,34,7,6,16,17
37,37,2023-01-02,@,GSW,L,141,143,53,109,.486,11,35,.314,24,29,.828,10,53,30,9,10,13,17,,54,121,.446,19,59,.322,16,24,.667,23,69,34,9,6,19,23
38,38,2023-01-04,@,SAC,W,120,117,45,84,.536,10,30,.333,20,22,.909,7,44,21,9,4,15,21,,41,88,.466,10,25,.400,25,27,.926,10,42,26,9,3,10,19
39,39,2023-01-06,@,LAL,L,114,130,44,96,.458,9,31,.290,17,22,.773,7,39,24,8,5,12,15,,51,93,.548,16,35,.457,12,16,.750,7,51,33,6,5,16,18
40,40,2023-01-08,@,LAC,W,112,108,44,89,.494,8,26,.308,16,20,.800,7,43,22,7,9,9,18,,37,95,.389,10,30,.333,24,31,.774,21,59,25,6,5,11,19
41,41,2023-01-11,,MIL,L,105,114,39,87,.448,11,30,.367,16,18,.889,6,41,25,5,3,11,12,,45,98,.459,18,48,.375,6,11,.545,14,57,28,6,4,10,15
42,42,2023-01-13,@,IND,W,113,111,41,94,.436,16,33,.485,15,21,.714,14,50,26,6,9,13,22,,40,101,.396,7,30,.233,24,29,.828,19,51,24,8,9,12,22
43,43,2023-01-14,@,TOR,W,114,103,43,84,.512,11,27,.407,17,18,.944,5,40,19,6,4,11,22,,36,87,.414,7,29,.241,24,30,.800,11,43,19,9,3,12,19
44,44,2023-01-16,,MIA,W,121,113,45,76,.592,13,27,.481,18,22,.818,2,28,27,9,5,16,17,,43,89,.483,8,31,.258,19,20,.950,12,41,30,10,4,14,22
