,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2022-10-19,,HOU,W,117,107,114.3,104.5,102.4,.267,.278,.582,41.3,66.7,11.7,7.9,,.539,8.2,9.3,.222,,.474,12.5,69.4,.143
2,2,2022-10-21,,ORL,W,108,98,107.1,97.2,100.9,.180,.348,.562,51.1,65.0,9.9,4.3,,.522,15.0,20.9,.169,,.463,16.9,78.7,.300
3,3,2022-10-23,,CHO,L,109,126,108.7,125.7,100.2,.295,.368,.508,46.4,59.0,8.0,14.1,,.453,10.1,29.6,.242,,.583,11.2,67.4,.233
4,4,2022-10-26,@,DET,W,118,113,116.8,111.8,101.0,.275,.242,.578,53.5,48.9,5.9,20.3,,.538,10.5,25.0,.220,,.538,11.4,78.3,.165
5,5,2022-10-28,@,DET,W,136,112,139.8,115.1,97.3,.186,.299,.648,51.7,56.4,5.1,14.8,,.629,5.4,26.3,.144,,.471,8.9,71.4,.360
6,6,2022-10-29,@,MIL,L,115,123,116.6,124.7,98.6,.160,.309,.572,46.2,42.2,5.1,3.6,,.548,10.7,25.5,.128,,.565,9.5,68.2,.207
7,7,2022-10-31,@,TOR,L,109,139,107.2,136.7,101.6,.298,.345,.574,45.7,71.8,1.0,6.9,,.530,15.9,17.9,.238,,.576,5.2,71.4,.359
8,8,2022-11-02,@,NYK,W,112,99,112.3,99.2,99.8,.150,.318,.491,49.5,63.6,11.0,7.4,,.467,5.8,29.8,.112,,.467,13.9,73.9,.167
9,9,2022-11-05,,NOP,W,124,121,109.9,107.3,102.2,.243,.350,.544,45.9,59.6,10.6,9.4,,.500,10.2,23.1,.204,,.468,11.7,66.7,.185
