,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-10-18,,PHI,W,126,117,46,82,.561,12,35,.343,22,28,.786,6,36,24,8,3,10,24,,40,80,.500,13,34,.382,24,28,.857,4,31,16,8,3,14,25
2,2,2022-10-21,@,MIA,W,111,104,41,79,.519,14,33,.424,15,15,1.000,12,43,17,4,11,19,23,,42,92,.457,8,26,.308,12,15,.800,11,36,23,8,3,9,18
3,3,2022-10-22,@,ORL,W,126,120,42,87,.483,19,47,.404,23,28,.821,7,37,24,5,6,8,21,,45,95,.474,15,34,.441,15,23,.652,12,48,21,5,7,9,24
4,4,2022-10-24,@,CHI,L,102,120,37,100,.370,18,48,.375,10,12,.833,14,45,26,5,7,10,24,,42,87,.483,10,21,.476,26,29,.897,14,60,29,4,6,13,18
5,5,2022-10-28,,CLE,L,123,132,42,82,.512,13,33,.394,26,32,.813,5,34,28,9,2,19,27,,45,87,.517,16,35,.457,26,34,.765,9,42,18,5,2,15,28
6,6,2022-10-30,,WAS,W,112,94,36,79,.456,21,47,.447,19,20,.950,4,47,29,4,5,13,15,,38,98,.388,7,32,.219,11,16,.688,15,51,22,5,6,8,20
7,7,2022-11-02,@,CLE,L,113,114,38,93,.409,11,41,.268,26,27,.963,8,52,26,5,9,14,24,,42,100,.420,11,39,.282,19,24,.792,9,51,24,6,4,11,23
8,8,2022-11-04,,CHI,W,123,119,41,83,.494,9,31,.290,32,39,.821,7,39,24,5,7,13,23,,43,83,.518,11,28,.393,22,25,.880,4,37,21,8,5,17,28
9,9,2022-11-05,@,NYK,W,133,118,47,88,.534,27,51,.529,12,12,1.000,8,34,30,5,2,12,17,,46,90,.511,11,27,.407,15,16,.938,12,44,22,6,4,13,14
