,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,A,NYK,L,134,138,48,117,.410,21,57,.368,17,23,.739,15,56,34,13,9,18,24,106.8,110.0,103.9,.197,.487,.527,50.5,70.8,10.4,15.0,.500,12.4,23.8,.145,.567,12.7,85.4,.181
1,2021-10-22,H,TOR,L,83,115,32,82,.390,11,34,.324,8,11,.727,10,42,19,6,12,25,19,85.0,117.8,97.6,.134,.415,.478,41.2,59.4,6.1,18.5,.457,22.4,20.4,.098,.470,9.1,60.4,.210
2,2021-10-24,A,HOU,W,107,97,38,86,.442,15,47,.319,16,20,.800,6,43,22,10,6,11,22,110.0,99.7,97.3,.233,.547,.564,51.8,57.9,10.3,14.0,.529,10.4,14.6,.186,.520,17.4,88.1,.253
3,2021-10-25,A,CHO,W,140,129,50,101,.495,19,50,.380,21,25,.840,11,53,33,8,9,12,23,125.2,115.3,101.3,.248,.495,.625,50.5,66.0,7.2,15.3,.589,9.7,22.4,.208,.539,10.8,75.0,.175
4,2021-10-27,H,WAS,L,107,116,37,85,.435,10,29,.345,23,28,.821,10,37,18,9,5,13,21,109.2,118.4,98.0,.329,.341,.550,44.0,48.6,9.2,8.5,.494,11.8,21.7,.271,.565,13.4,71.1,.250
5,2021-10-30,A,WAS,L,112,115,44,107,.411,2,26,.077,22,25,.880,8,54,23,8,10,11,32,95.1,97.7,97.4,.234,.243,.475,46.6,52.3,6.8,14.7,.421,8.5,13.8,.206,.413,9.8,79.3,.279
6,2021-11-01,H,CHI,L,114,128,42,96,.438,15,33,.455,15,20,.750,13,38,20,10,1,9,15,117.1,131.5,97.4,.208,.344,.544,43.2,47.6,10.3,1.8,.516,7.9,24.5,.156,.645,13.0,71.4,.198
7,2021-11-03,A,ORL,W,92,79,33,79,.418,10,37,.270,16,25,.640,9,50,24,7,9,11,20,98.6,84.7,93.3,.316,.468,.511,52.1,72.7,7.5,22.0,.481,10.9,19.1,.203,.375,13.1,83.7,.190
8,2021-11-04,A,MIA,W,95,78,31,78,.397,16,41,.390,17,20,.850,11,46,16,7,4,16,16,105.3,86.5,90.2,.256,.526,.547,50.5,51.6,7.8,10.0,.500,15.6,25.6,.218,.401,16.8,72.9,.160
9,2021-11-06,A,DAL,L,104,107,42,86,.488,9,31,.290,11,16,.688,8,36,20,6,2,11,14,112.5,115.7,92.4,.186,.360,.559,47.4,47.6,6.5,5.1,.541,10.6,19.5,.128,.609,15.1,80.0,.154
10,2021-11-10,H,TOR,W,104,88,42,94,.447,10,29,.345,10,15,.667,12,44,21,10,5,15,13,106.1,89.8,98.0,.160,.309,.517,51.8,50.0,10.2,9.6,.500,13.0,25.5,.106,.468,17.4,84.2,.208
11,2021-11-12,H,MIL,W,122,113,47,96,.490,12,41,.293,16,18,.889,16,53,22,5,7,16,12,122.6,113.6,90.1,.188,.427,.587,57.6,46.8,5.0,13.7,.552,13.3,37.2,.167,.531,9.7,75.5,.092
12,2021-11-13,A,CLE,L,89,91,33,78,.423,6,23,.261,17,18,.944,10,47,20,7,3,19,16,97.5,99.7,91.2,.231,.295,.518,54.7,60.6,7.7,7.0,.462,18.1,25.0,.218,.444,10.8,80.4,.235
13,2021-11-15,A,CLE,W,98,92,36,78,.462,10,29,.345,16,20,.800,6,46,23,7,6,14,16,104.4,98.0,93.8,.256,.372,.565,52.3,63.9,7.5,14.0,.526,13.9,14.6,.205,.482,12.6,85.1,.145
14,2021-11-17,A,ATL,L,99,110,37,84,.440,11,41,.268,14,17,.824,12,42,24,9,2,14,17,107.8,119.7,91.9,.202,.488,.541,51.2,64.9,9.8,4.5,.506,13.3,26.1,.167,.586,11.0,83.3,.185
15,2021-11-19,H,LAL,W,130,108,44,88,.500,11,30,.367,31,38,.816,12,51,22,7,2,12,20,130.9,108.8,99.3,.432,.341,.621,60.7,50.0,7.0,3.7,.563,10.3,31.6,.352,.536,11.3,84.8,.214
16,2021-11-20,H,OKC,W,111,105,41,88,.466,17,39,.436,12,14,.857,8,48,28,4,7,7,11,118.8,112.4,93.4,.159,.443,.589,47.1,68.3,4.3,13.0,.563,6.9,17.0,.136,.500,8.0,72.7,.094
17,2021-11-22,H,HOU,W,108,90,39,92,.424,12,35,.343,18,19,.947,11,58,19,10,3,14,24,106.3,88.6,101.6,.207,.380,.538,58.0,48.7,9.8,7.3,.489,12.2,22.4,.196,.440,13.0,92.2,.205
18,2021-11-24,H,BRK,L,104,123,34,91,.374,11,48,.229,25,28,.893,15,45,25,6,5,11,24,108.1,127.9,96.2,.308,.527,.503,47.4,73.5,6.2,10.0,.434,9.6,27.3,.275,.588,9.2,75.0,.271
