,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-10-19,,NOP,L,108,130,40,89,.449,10,33,.303,18,24,.750,9,39,22,10,10,16,25,,50,102,.490,12,26,.462,18,25,.720,21,61,31,9,4,12,21
2,2,2022-10-21,,TOR,W,109,105,38,80,.475,13,35,.371,20,29,.690,13,44,26,3,13,13,19,,41,84,.488,11,28,.393,12,18,.667,8,41,25,9,4,13,21
3,3,2022-10-24,@,MEM,L,124,134,47,87,.540,9,29,.310,21,26,.808,9,35,27,4,7,11,30,,47,94,.500,16,34,.471,24,31,.774,12,38,21,7,3,8,22
4,4,2022-10-26,@,MIL,L,99,110,34,86,.395,7,27,.259,24,30,.800,7,37,23,7,6,14,24,,39,88,.443,10,36,.278,22,29,.759,14,54,21,8,12,18,22
5,5,2022-10-27,,DAL,L,125,129,43,93,.462,12,35,.343,27,30,.900,13,45,20,10,6,13,28,,41,81,.506,20,40,.500,27,35,.771,7,37,25,8,4,17,23
6,6,2022-10-29,,IND,L,116,125,41,82,.500,14,39,.359,20,26,.769,6,34,29,6,9,9,20,,40,94,.426,23,46,.500,22,26,.846,17,53,31,7,1,10,25
7,7,2022-10-31,,IND,W,116,109,43,80,.538,11,30,.367,19,20,.950,6,39,26,11,9,19,18,,41,87,.471,11,39,.282,16,23,.696,10,38,23,11,5,24,24
8,8,2022-11-01,,CHI,L,99,108,36,74,.486,12,32,.375,15,19,.789,4,38,27,4,7,18,20,,39,89,.438,12,30,.400,18,21,.857,11,44,20,8,4,9,13
9,9,2022-11-04,@,WAS,W,128,86,50,90,.556,14,28,.500,14,14,1.000,7,48,32,8,7,7,19,,30,83,.361,8,34,.235,18,22,.818,7,39,18,4,3,13,15
