,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2022-10-19,,NOP,L,108,130,104.8,126.2,103.0,.270,.371,.542,39.0,55.0,9.7,13.2,,.506,13.8,18.4,.202,,.549,9.6,58.8,.176
2,2,2022-10-21,,TOR,W,109,105,116.8,112.5,93.3,.363,.438,.588,51.8,68.4,3.2,23.2,,.556,12.3,28.3,.250,,.554,12.4,79.5,.143
3,3,2022-10-24,@,MEM,L,124,134,126.6,136.8,98.0,.299,.333,.630,47.9,57.4,4.1,11.7,,.592,10.1,25.7,.241,,.585,6.9,68.4,.255
4,4,2022-10-26,@,MIL,L,99,110,96.8,107.5,102.3,.349,.314,.499,40.7,67.6,6.8,11.5,,.436,12.4,14.9,.279,,.500,15.2,68.2,.250
5,5,2022-10-27,,DAL,L,125,129,121.3,125.2,93.3,.323,.376,.589,54.9,46.5,9.7,14.6,,.527,10.9,30.2,.290,,.630,15.0,82.1,.333
6,6,2022-10-29,,IND,L,116,125,123.6,133.2,93.9,.317,.476,.621,39.1,70.7,6.4,18.8,,.585,8.8,14.3,.244,,.548,8.7,62.2,.234
7,7,2022-10-31,,IND,W,116,109,111.1,104.4,104.4,.250,.375,.653,50.6,60.5,10.5,18.8,,.606,17.6,17.6,.238,,.534,19.8,76.7,.184
8,8,2022-11-01,,CHI,L,99,108,105.0,114.6,94.3,.257,.432,.601,46.3,75.0,4.2,11.9,,.568,17.9,10.8,.203,,.506,8.4,75.6,.202
9,9,2022-11-04,@,WAS,W,128,86,133.7,89.8,95.7,.156,.311,.666,55.2,64.0,8.4,14.3,,.633,6.8,17.9,.156,,.410,12.3,85.4,.217
10,10,2022-11-05,@,CHO,W,98,94,105.0,100.7,93.3,.262,.429,.523,45.1,69.7,8.6,22.7,,.464,10.5,19.6,.238,,.453,13.5,71.1,.186
11,11,2022-11-07,@,DAL,L,94,96,109.0,111.3,86.2,.238,.363,.532,45.3,62.9,15.1,11.4,,.500,12.8,32.6,.175,,.528,21.0,62.5,.278
12,12,2022-11-09,,NYK,W,112,85,113.6,86.2,98.6,.230,.391,.585,54.5,71.4,11.2,11.4,,.563,12.8,23.9,.161,,.391,13.2,80.0,.195
13,13,2022-11-12,@,LAC,W,110,95,113.6,98.1,96.9,.253,.422,.596,47.1,67.5,9.3,11.1,,.578,11.5,14.3,.169,,.465,14.6,77.8,.188
14,14,2022-11-13,@,LAL,L,103,116,108.5,122.2,94.9,.388,.338,.550,47.7,61.1,5.3,7.8,,.494,11.4,19.5,.300,,.544,8.3,73.3,.187
15,15,2022-11-15,@,SAC,L,121,153,111.4,140.9,108.6,.407,.346,.633,40.3,62.5,4.6,5.7,,.562,15.1,8.1,.370,,.702,13.2,74.3,.223
16,16,2022-11-17,@,POR,W,109,107,107.7,105.7,101.2,.291,.367,.612,54.7,80.0,4.0,8.8,,.576,16.0,13.9,.228,,.457,7.9,84.0,.237
17,17,2022-11-20,,MEM,W,127,115,121.6,110.2,104.4,.181,.410,.709,50.6,66.0,4.8,8.1,,.699,16.7,13.9,.133,,.495,8.2,75.5,.172
18,18,2022-11-22,@,PHI,L,106,115,113.7,123.4,93.2,.163,.350,.618,41.7,70.5,5.4,19.4,,.606,14.9,12.1,.113,,.515,7.8,60.8,.131
19,19,2022-11-23,@,TOR,W,112,98,117.3,102.6,95.5,.085,.463,.658,42.9,71.1,10.5,15.3,,.652,18.3,19.4,.061,,.391,10.4,58.2,.188
20,20,2022-11-25,@,IND,L,117,128,112.1,122.6,104.4,.114,.466,.633,48.1,57.4,1.9,15.4,,.619,16.3,12.2,.091,,.570,8.1,86.8,.349
21,21,2022-11-27,,POR,W,111,97,125.4,109.6,88.5,.231,.449,.646,47.5,65.9,6.8,4.3,,.622,7.5,11.4,.179,,.519,12.8,75.6,.190
22,22,2022-11-28,,ORL,W,109,102,114.3,107.0,95.3,.173,.346,.625,54.5,45.5,7.3,16.3,,.599,15.5,23.5,.148,,.556,16.7,79.1,.163
23,23,2022-11-30,,WAS,W,113,107,113.8,107.7,99.3,.310,.310,.592,40.7,56.4,8.1,10.8,,.530,8.6,9.8,.286,,.472,11.9,68.9,.258
24,24,2022-12-02,,TOR,W,114,105,113.6,104.6,100.3,.268,.390,.622,48.8,61.4,7.0,7.9,,.604,16.4,17.9,.183,,.477,11.5,75.6,.253
25,25,2022-12-04,,BOS,L,92,103,96.9,108.5,94.9,.262,.310,.491,48.4,50.0,6.3,16.3,,.458,13.0,21.6,.179,,.525,14.3,81.0,.222
26,26,2022-12-07,,CHO,W,122,116,125.1,119.0,97.5,.186,.360,.656,49.4,67.3,3.1,12.5,,.640,9.7,14.3,.140,,.591,10.1,77.3,.136
27,27,2022-12-09,,ATL,W,120,116,117.3,113.4,102.3,.253,.361,.650,50.0,66.7,9.8,7.8,,.620,18.5,25.7,.205,,.548,15.2,70.7,.151
28,28,2022-12-10,@,IND,W,136,133,131.4,128.5,103.5,.320,.280,.596,66.3,36.5,6.8,7.3,,.565,13.6,55.8,.230,,.676,15.9,81.1,.212
