,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-19,A,MIL,L,104,127,37,84,0.44,17,32,0.531,13,23,0.565,5,44,19,3,9,12,17,102.1,124.7,101.8,0.274,0.381,0.552,44.9,51.4,2.9,15.0,0.542,11.3,10.9,0.155,0.538,5.8,75.0,0.133
1,2021-10-22,A,PHI,W,114,109,41,88,0.466,12,38,0.316,20,24,0.833,11,47,26,6,6,12,16,118.0,112.8,96.6,0.273,0.432,0.578,57.3,63.4,6.2,10.9,0.534,10.9,26.8,0.227,0.549,7.7,87.8,0.099
2,2021-10-24,H,CHO,L,95,111,38,87,0.437,9,35,0.257,10,12,0.833,9,44,18,10,8,17,19,94.9,110.9,100.1,0.138,0.402,0.515,47.8,47.4,10.0,12.5,0.489,15.6,19.1,0.115,0.511,10.5,77.8,0.16
3,2021-10-25,H,WAS,W,104,90,40,94,0.426,10,35,0.286,14,17,0.824,7,54,23,6,4,9,19,101.4,87.8,102.5,0.181,0.372,0.512,50.5,57.5,5.9,7.1,0.479,8.1,14.0,0.149,0.395,10.4,82.5,0.158
4,2021-10-27,H,MIA,L,93,106,33,85,0.388,14,43,0.326,13,14,0.929,4,42,21,7,7,15,24,92.0,104.8,101.1,0.165,0.506,0.51,40.4,63.6,6.9,10.4,0.471,14.1,8.2,0.153,0.438,11.5,69.1,0.229
5,2021-10-29,H,IND,W,105,98,34,76,0.447,6,26,0.231,31,41,0.756,10,50,20,9,6,18,21,103.1,96.2,101.8,0.539,0.342,0.558,52.1,58.8,8.8,9.4,0.487,16.1,22.2,0.408,0.441,12.0,78.4,0.172
6,2021-10-31,H,DET,W,117,91,47,72,0.653,13,25,0.52,10,16,0.625,2,41,30,7,2,19,19,123.0,95.6,95.2,0.222,0.347,0.74,58.6,63.8,7.4,4.3,0.743,19.4,8.3,0.139,0.481,14.5,84.8,0.19
7,2021-11-03,H,ATL,W,117,108,43,88,0.489,22,48,0.458,9,12,0.75,7,42,34,7,8,14,18,117.5,108.5,99.6,0.136,0.545,0.627,44.7,79.1,7.0,13.6,0.614,13.0,14.9,0.102,0.505,12.2,74.5,0.138
8,2021-11-05,A,DET,W,96,90,36,80,0.45,11,27,0.407,13,14,0.929,4,45,25,3,4,16,21,98.1,91.9,97.9,0.175,0.338,0.557,50.6,69.4,3.1,7.5,0.519,15.7,9.8,0.163,0.443,12.0,85.4,0.149
9,2021-11-07,A,TOR,W,116,103,41,80,0.513,17,38,0.447,17,20,0.85,12,48,29,3,0,15,15,126.5,112.3,91.7,0.25,0.475,0.653,57.8,70.7,3.3,0.0,0.619,14.5,30.8,0.213,0.511,7.8,81.8,0.161
10,2021-11-08,A,CHI,L,95,118,34,86,0.395,11,33,0.333,16,19,0.842,6,42,19,6,7,14,16,95.4,118.5,99.6,0.221,0.384,0.503,42.9,55.9,6.0,10.4,0.459,12.9,12.8,0.186,0.515,7.8,70.6,0.173
11,2021-11-10,A,ORL,W,123,90,46,91,0.505,16,37,0.432,15,17,0.882,8,49,29,8,5,15,18,117.7,86.1,104.5,0.187,0.407,0.624,50.0,63.0,7.7,8.5,0.593,13.2,17.8,0.165,0.402,14.2,77.4,0.174
12,2021-11-12,A,NOP,W,120,112,41,82,0.5,18,34,0.529,20,27,0.741,7,34,27,9,4,12,20,125.5,117.1,95.7,0.329,0.415,0.639,44.2,65.9,9.4,7.1,0.61,11.3,18.4,0.244,0.563,13.6,69.2,0.148
13,2021-11-14,A,OKC,W,120,96,41,82,0.5,18,43,0.419,20,21,0.952,7,44,31,8,3,13,15,125.0,100.0,96.0,0.256,0.524,0.658,50.0,75.6,8.3,6.7,0.61,12.5,17.1,0.244,0.478,12.9,78.7,0.111
14,2021-11-16,H,GSW,L,99,117,34,88,0.386,10,36,0.278,21,27,0.778,9,38,21,12,2,11,23,98.2,116.1,100.8,0.307,0.409,0.496,41.8,61.8,11.9,5.1,0.443,9.9,17.0,0.239,0.601,18.7,76.3,0.278
15,2021-11-17,H,CLE,W,109,99,38,83,0.458,12,32,0.375,21,25,0.84,8,47,29,7,3,11,20,113.3,102.9,96.2,0.301,0.386,0.58,48.5,76.3,7.3,6.7,0.53,10.5,17.4,0.253,0.455,11.7,76.5,0.202
16,2021-11-19,H,ORL,W,115,113,41,91,0.451,10,33,0.303,23,25,0.92,14,43,19,6,13,11,19,118.6,116.5,97.0,0.275,0.363,0.564,48.9,46.3,6.2,25.5,0.505,9.7,29.2,0.253,0.528,11.5,72.5,0.213
17,2021-11-22,A,CLE,W,117,112,45,95,0.474,11,35,0.314,16,18,0.889,8,42,32,6,6,9,23,116.5,111.5,100.5,0.189,0.368,0.568,44.2,71.1,6.0,12.2,0.532,8.0,17.0,0.168,0.462,10.2,70.8,0.28
18,2021-11-24,A,BOS,W,123,104,43,85,0.506,14,35,0.4,23,30,0.767,10,50,29,8,4,10,23,127.9,108.1,96.2,0.353,0.412,0.626,52.6,67.4,8.3,9.3,0.588,9.2,25.0,0.271,0.434,9.6,72.7,0.275
19,2021-11-27,H,PHO,L,107,113,42,84,0.5,7,23,0.304,16,21,0.762,10,47,25,7,5,20,15,106.4,112.4,100.5,0.25,0.274,0.574,53.4,59.5,7.0,9.3,0.542,17.7,25.0,0.19,0.516,10.6,77.1,0.196
20,2021-11-30,H,NYK,W,112,110,41,85,0.482,8,28,0.286,22,25,0.88,9,38,27,7,7,9,14,120.1,117.9,93.3,0.294,0.329,0.583,47.5,65.9,7.5,11.9,0.529,8.6,22.0,0.259,0.544,9.4,74.4,0.121
21,2021-12-03,H,MIN,W,110,105,36,76,0.474,6,23,0.261,32,41,0.78,7,41,26,4,4,17,31,110.6,105.6,99.5,0.539,0.303,0.585,48.2,72.2,4.0,7.8,0.513,15.3,20.0,0.421,0.457,12.7,68.0,0.215
22,2021-12-04,H,CHI,L,107,111,46,111,0.414,8,25,0.32,7,9,0.778,15,55,28,8,6,5,19,107.4,111.4,99.6,0.081,0.225,0.465,53.9,60.9,8.0,10.9,0.45,4.2,27.3,0.063,0.535,8.4,85.1,0.221
23,2021-12-07,A,DAL,W,102,99,42,83,0.506,8,26,0.308,10,13,0.769,8,50,28,3,4,12,22,111.8,108.6,91.2,0.157,0.313,0.575,56.2,66.7,3.3,9.1,0.554,11.9,21.6,0.12,0.45,3.9,80.8,0.2
24,2021-12-08,A,HOU,L,104,114,35,89,0.393,8,33,0.242,26,31,0.839,14,44,18,7,3,13,23,108.9,119.3,95.5,0.348,0.371,0.507,53.7,51.4,7.3,7.5,0.438,11.2,32.6,0.292,0.58,12.2,76.9,0.247
25,2021-12-10,A,ATL,W,113,105,46,93,0.495,6,23,0.261,15,16,0.938,9,41,26,9,7,13,22,113.6,105.6,99.4,0.172,0.247,0.565,45.6,56.5,9.1,11.7,0.527,11.5,21.4,0.161,0.452,11.8,66.7,0.213
26,2021-12-12,A,DET,W,116,104,41,87,0.471,11,28,0.393,23,25,0.92,8,43,28,8,6,17,20,109.5,98.2,105.9,0.287,0.322,0.592,51.8,68.3,7.6,10.9,0.534,14.8,20.0,0.264,0.5,16.0,81.4,0.13
27,2021-12-14,H,TOR,W,131,129,50,103,0.485,14,39,0.359,17,23,0.739,19,60,28,7,5,16,20,121.8,119.9,97.4,0.223,0.379,0.579,59.4,56.0,6.5,9.4,0.553,12.4,40.4,0.165,0.543,9.6,75.9,0.143
28,2021-12-16,H,PHI,W,114,105,44,89,0.494,11,23,0.478,15,16,0.938,10,48,21,4,3,14,15,115.2,106.1,99.0,0.18,0.258,0.594,55.8,47.7,4.0,5.5,0.556,12.7,23.3,0.169,0.494,8.4,88.4,0.191
29,2021-12-18,H,ORL,L,93,100,39,102,0.382,9,46,0.196,6,8,0.75,16,51,24,8,8,15,14,92.8,99.8,100.2,0.078,0.451,0.441,50.5,61.5,8.0,12.7,0.426,12.4,29.6,0.059,0.468,13.8,74.5,0.128
30,2021-12-25,A,LAL,W,122,115,43,89,0.483,14,32,0.438,22,27,0.815,6,41,31,6,9,10,25,117.6,110.8,103.7,0.303,0.36,0.605,46.6,72.1,5.8,14.8,0.562,9.0,14.6,0.247,0.469,10.7,74.5,0.26
31,2021-12-27,A,LAC,W,124,108,50,88,0.568,13,34,0.382,11,16,0.688,7,47,31,7,8,13,25,124.7,108.6,99.5,0.182,0.386,0.652,51.1,62.0,7.0,13.3,0.642,12.0,20.0,0.125,0.454,9.2,70.2,0.206
