,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-10-19,@,MIA,W,116,108,41,93,.441,13,36,.361,21,28,.750,12,46,23,12,6,14,26,,37,80,.463,12,28,.429,22,28,.786,8,46,21,6,2,19,24
2,2,2022-10-21,@,WAS,L,100,102,33,79,.418,7,27,.259,27,33,.818,10,38,19,8,3,13,15,,41,80,.513,10,26,.385,10,11,.909,5,39,26,8,8,16,22
3,3,2022-10-22,,CLE,L,96,128,34,84,.405,7,29,.241,21,25,.840,10,35,19,12,7,10,19,,48,85,.565,16,27,.593,16,18,.889,8,48,32,4,5,17,17
4,4,2022-10-24,,BOS,W,120,102,42,87,.483,10,21,.476,26,29,.897,14,60,29,4,6,13,18,,37,100,.370,18,48,.375,10,12,.833,14,45,26,5,7,10,24
5,5,2022-10-26,,IND,W,124,109,43,87,.494,16,30,.533,22,24,.917,9,44,34,10,5,17,25,,37,86,.430,16,40,.400,19,24,.792,6,38,31,5,12,16,18
6,6,2022-10-28,@,SAS,L,124,129,47,99,.475,9,27,.333,21,26,.808,15,42,20,13,3,12,19,,46,86,.535,16,38,.421,21,26,.808,8,42,37,7,3,20,17
7,7,2022-10-29,,PHI,L,109,114,36,80,.450,11,31,.355,26,29,.897,9,40,22,7,3,18,20,,39,79,.494,14,29,.483,22,27,.815,8,41,28,8,6,17,22
8,8,2022-11-01,@,BRK,W,108,99,39,89,.438,12,30,.400,18,21,.857,11,44,20,8,4,9,13,,36,74,.486,12,32,.375,15,19,.789,4,38,27,4,7,18,20
9,9,2022-11-02,,CHO,W,106,88,38,88,.432,14,31,.452,16,18,.889,11,51,28,6,9,19,18,,36,92,.391,7,32,.219,9,16,.563,13,47,22,12,12,16,14
10,10,2022-11-04,@,BOS,L,119,123,43,83,.518,11,28,.393,22,25,.880,4,37,21,8,5,17,28,,41,83,.494,9,31,.290,32,39,.821,7,39,24,5,7,13,23
11,11,2022-11-06,@,TOR,L,104,113,40,88,.455,13,36,.361,11,13,.846,15,46,27,5,10,17,20,,44,103,.427,10,37,.270,15,20,.750,23,52,28,11,10,9,16
12,12,2022-11-07,,TOR,W,111,97,42,80,.525,9,28,.321,18,22,.818,9,49,30,7,7,21,21,,36,85,.424,9,28,.321,16,22,.727,5,31,24,10,7,14,20
13,13,2022-11-09,,NOP,L,111,115,44,87,.506,7,27,.259,16,18,.889,6,35,23,5,8,15,23,,42,84,.500,3,19,.158,28,36,.778,13,50,20,8,5,16,18
14,14,2022-11-13,,DEN,L,103,126,40,81,.494,6,22,.273,17,21,.810,8,36,24,9,4,18,19,,48,80,.600,13,27,.481,17,21,.810,5,36,33,11,3,16,17
15,15,2022-11-16,@,NOP,L,110,124,44,89,.494,11,32,.344,11,17,.647,7,37,25,2,1,12,18,,43,85,.506,17,33,.515,21,24,.875,12,46,30,4,6,13,18
16,16,2022-11-18,,ORL,L,107,108,41,89,.461,5,21,.238,20,25,.800,13,46,27,6,6,11,19,,38,77,.494,12,28,.429,20,22,.909,6,41,25,4,7,16,25
17,17,2022-11-21,,BOS,W,121,107,46,89,.517,14,29,.483,15,20,.750,8,51,26,10,1,11,19,,38,87,.437,19,50,.380,12,17,.706,5,38,28,3,4,15,18
18,18,2022-11-23,@,MIL,W,118,113,43,87,.494,18,42,.429,14,18,.778,5,35,30,9,12,13,20,,41,90,.456,12,38,.316,19,25,.760,11,48,24,5,3,19,17
19,19,2022-11-25,@,OKC,L,119,123,44,101,.436,12,33,.364,19,23,.826,14,47,25,5,4,15,24,,44,95,.463,7,29,.241,28,32,.875,10,50,24,7,5,13,21
