,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2022-10-19,@,MIA,W,116,108,112.5,104.7,103.1,.301,.387,.551,50.0,56.1,11.6,11.5,,.511,11.7,24.0,.226,,.538,17.1,81.0,.275
2,2,2022-10-21,@,WAS,L,100,102,106.3,108.5,94.0,.418,.342,.535,49.4,57.6,8.5,5.6,,.462,12.2,22.7,.342,,.575,15.9,84.8,.125
3,3,2022-10-22,,CLE,L,96,128,99.5,132.7,96.5,.298,.345,.505,42.2,55.9,12.4,12.1,,.446,9.5,20.0,.250,,.659,15.5,75.8,.188
4,4,2022-10-24,,BOS,W,120,102,122.6,104.2,97.8,.333,.241,.601,57.1,69.0,4.1,11.5,,.540,11.5,31.1,.299,,.460,8.7,76.7,.100
5,5,2022-10-26,,IND,W,124,109,119.7,105.2,103.6,.276,.345,.636,53.7,79.1,9.7,10.9,,.586,14.8,22.0,.253,,.523,14.2,85.4,.221
6,6,2022-10-28,@,SAS,L,124,129,117.5,122.3,105.5,.263,.273,.561,50.0,42.6,12.3,6.3,,.520,9.8,30.6,.212,,.628,17.0,77.1,.244
7,7,2022-10-29,,PHI,L,109,114,110.4,115.4,98.8,.363,.388,.588,49.4,61.1,7.1,6.0,,.519,16.3,21.4,.325,,.582,15.8,79.5,.278
8,8,2022-11-01,@,BRK,W,108,99,114.6,105.0,94.3,.236,.337,.550,53.7,51.3,8.5,9.5,,.506,8.4,24.4,.202,,.568,17.9,89.2,.203
9,9,2022-11-02,,CHO,W,106,88,105.6,87.6,100.4,.205,.352,.553,52.0,73.7,6.0,15.0,,.511,16.5,24.4,.182,,.429,13.9,75.5,.098
10,10,2022-11-04,@,BOS,L,119,123,113.9,117.7,104.5,.301,.337,.633,48.7,48.8,7.7,9.6,,.584,15.3,11.1,.265,,.548,11.5,82.5,.386
11,11,2022-11-06,@,TOR,L,104,113,111.9,121.6,92.9,.148,.409,.555,46.9,67.5,5.4,15.2,,.528,15.4,34.1,.125,,.476,7.5,57.4,.146
12,12,2022-11-07,,TOR,W,111,97,110.3,96.4,100.7,.275,.350,.619,61.3,71.4,7.0,12.3,,.581,19.0,25.7,.225,,.476,12.9,88.9,.188
13,13,2022-11-09,,NOP,L,111,115,109.2,113.1,101.6,.207,.310,.585,41.2,52.3,4.9,12.3,,.546,13.6,14.0,.184,,.518,13.8,69.0,.333
14,14,2022-11-13,,DEN,L,103,126,104.2,127.5,98.8,.259,.272,.571,50.0,60.0,9.1,7.5,,.531,16.6,20.5,.210,,.681,15.2,84.8,.213
15,15,2022-11-16,@,NOP,L,110,124,113.2,127.6,97.2,.191,.360,.570,44.6,56.8,2.1,1.9,,.556,11.1,17.1,.124,,.606,12.0,71.4,.247
16,16,2022-11-18,,ORL,L,107,108,111.8,112.8,95.7,.281,.236,.535,52.9,65.9,6.3,12.2,,.489,9.9,27.1,.225,,.571,15.6,84.6,.260
17,17,2022-11-21,,BOS,W,121,107,119.6,105.8,101.2,.225,.326,.619,57.3,56.5,9.9,2.7,,.596,10.1,19.5,.169,,.546,13.7,89.6,.138
18,18,2022-11-23,@,MIL,W,118,113,114.3,109.4,103.3,.207,.483,.622,42.2,69.8,8.7,23.1,,.598,12.0,11.9,.161,,.522,15.8,73.2,.211
19,19,2022-11-25,@,OKC,L,119,123,109.4,113.1,98.5,.228,.327,.535,48.5,56.8,4.6,6.1,,.495,11.9,25.9,.188,,.500,10.6,76.7,.295
20,20,2022-11-28,@,UTA,W,114,107,119.0,111.7,95.8,.269,.237,.548,52.6,48.8,6.3,8.3,,.495,6.3,26.5,.237,,.594,13.3,80.4,.071
21,21,2022-11-30,@,PHO,L,113,132,111.1,129.7,101.7,.402,.305,.585,43.2,51.2,4.9,10.0,,.524,10.2,12.2,.329,,.608,11.3,75.0,.204
22,22,2022-12-02,@,GSW,L,111,119,102.9,110.3,107.9,.258,.290,.536,46.8,65.1,6.5,2.7,,.511,10.4,12.2,.172,,.598,16.4,84.4,.172
23,23,2022-12-04,@,SAC,L,101,110,97.6,106.3,103.5,.221,.291,.535,45.9,44.7,8.7,11.6,,.494,14.5,14.6,.186,,.541,16.0,86.5,.198
24,24,2022-12-07,,WAS,W,115,111,106.9,103.2,107.5,.189,.256,.590,51.9,64.4,10.2,7.5,,.556,16.3,15.8,.167,,.542,15.7,85.4,.238
25,25,2022-12-10,,DAL,W,144,115,145.3,116.0,99.1,.282,.400,.753,54.3,61.1,8.1,10.9,,.747,7.7,12.1,.200,,.517,7.3,83.3,.244
26,26,2022-12-11,@,ATL,L,122,123,108.9,109.8,101.5,.230,.270,.554,54.1,58.3,9.8,10.2,,.515,14.0,26.0,.190,,.546,11.5,83.3,.163
27,27,2022-12-14,,NYK,L,120,128,119.9,127.8,90.7,.262,.333,.640,39.2,54.3,6.0,12.3,,.601,11.4,8.3,.226,,.593,12.8,65.1,.220
