,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,A,DET,W,94,88,37,86,0.43,7,23,0.304,13,15,0.867,9,48,18,8,5,17,19,95.4,89.3,98.5,0.174,0.267,0.508,50.5,48.6,8.1,8.1,0.471,15.5,20.0,0.151,0.433,14.3,78.0,0.111
1,2021-10-22,H,NOP,W,128,112,47,89,0.528,14,28,0.5,20,25,0.8,11,46,32,9,7,14,14,127.2,111.3,100.7,0.281,0.315,0.64,52.3,68.1,8.9,12.1,0.607,12.3,25.0,0.225,0.569,14.5,79.5,0.149
2,2021-10-23,H,DET,W,97,82,35,84,0.417,11,26,0.423,16,19,0.842,3,42,24,13,11,12,17,96.3,81.4,100.7,0.226,0.31,0.525,44.2,68.6,12.9,18.3,0.482,11.5,6.7,0.19,0.415,17.5,78.0,0.102
3,2021-10-25,A,TOR,W,111,108,39,81,0.481,12,27,0.444,21,22,0.955,5,29,24,11,3,13,16,116.3,113.2,95.4,0.272,0.333,0.612,38.2,61.5,11.5,5.7,0.556,12.5,12.8,0.259,0.554,17.1,64.9,0.193
4,2021-10-28,H,NYK,L,103,104,36,84,0.429,11,32,0.344,20,22,0.909,5,37,25,6,5,7,18,110.0,111.1,93.6,0.262,0.381,0.55,43.0,69.4,6.4,8.9,0.494,7.0,11.6,0.238,0.524,12.2,74.4,0.176
5,2021-10-30,H,UTA,W,107,99,39,91,0.429,5,21,0.238,24,30,0.8,9,45,16,8,5,9,19,104.7,96.9,102.2,0.33,0.231,0.513,45.5,41.0,7.8,9.3,0.456,8.0,18.4,0.264,0.44,16.6,72.0,0.196
6,2021-11-01,A,BOS,W,128,114,49,86,0.57,13,31,0.419,17,18,0.944,10,50,30,7,8,14,19,131.5,117.1,97.4,0.209,0.36,0.681,56.8,61.2,7.2,12.7,0.645,13.0,28.6,0.198,0.516,7.9,75.5,0.156
7,2021-11-03,A,PHI,L,98,103,38,82,0.463,6,21,0.286,16,18,0.889,9,47,19,11,4,15,17,104.3,109.6,93.9,0.22,0.256,0.545,57.3,50.0,11.7,8.2,0.5,14.3,23.1,0.195,0.571,14.0,88.4,0.195
8,2021-11-06,H,PHI,L,105,114,37,92,0.402,7,29,0.241,24,30,0.8,18,46,20,7,1,9,19,111.4,121.0,94.2,0.326,0.315,0.499,52.9,54.1,7.4,1.8,0.44,7.9,34.0,0.261,0.611,13.5,82.4,0.185
9,2021-11-08,H,BRK,W,118,95,46,98,0.469,9,31,0.29,17,20,0.85,15,56,21,8,5,9,17,118.5,95.4,99.6,0.204,0.316,0.552,57.1,45.7,8.0,9.4,0.515,7.8,29.4,0.173,0.459,12.9,87.2,0.186
10,2021-11-10,H,DAL,W,117,107,45,89,0.506,15,31,0.484,12,14,0.857,8,46,26,9,2,11,15,121.2,110.8,96.5,0.157,0.348,0.615,51.7,57.8,9.3,4.0,0.59,10.4,18.6,0.135,0.53,11.4,82.6,0.229
11,2021-11-12,A,GSW,L,93,119,34,78,0.436,8,27,0.296,17,22,0.773,7,38,18,9,2,20,16,93.0,119.0,100.0,0.282,0.346,0.53,44.7,52.9,9.0,4.3,0.487,18.6,16.7,0.218,0.565,13.8,72.1,0.151
12,2021-11-14,A,LAC,W,100,90,38,86,0.442,11,29,0.379,13,14,0.929,7,45,19,9,4,15,20,102.2,91.9,97.9,0.163,0.337,0.543,50.6,50.0,9.2,8.5,0.506,14.0,16.7,0.151,0.426,17.4,80.9,0.259
13,2021-11-15,A,LAL,W,121,103,49,89,0.551,15,34,0.441,8,11,0.727,4,36,31,9,2,16,21,118.5,100.9,102.1,0.124,0.382,0.645,45.6,63.3,8.8,4.3,0.635,14.6,10.3,0.09,0.494,15.5,80.0,0.316
14,2021-11-17,A,POR,L,107,112,39,83,0.47,13,29,0.448,16,20,0.8,10,36,23,7,9,15,23,112.6,117.8,95.1,0.241,0.349,0.583,45.0,59.0,7.4,17.0,0.548,14.0,23.8,0.193,0.506,14.2,68.4,0.321
15,2021-11-19,A,DEN,W,114,108,41,93,0.441,8,31,0.258,24,24,1.0,17,50,19,7,3,11,20,122.0,115.6,93.4,0.258,0.333,0.55,56.8,46.3,7.5,6.7,0.484,9.6,35.4,0.258,0.561,10.8,82.5,0.195
16,2021-11-21,H,NYK,W,109,103,37,88,0.42,11,29,0.379,24,27,0.889,11,44,21,5,1,9,26,115.2,108.8,94.6,0.307,0.33,0.546,50.0,56.8,5.3,1.8,0.483,8.3,25.6,0.273,0.458,11.7,73.3,0.31
17,2021-11-22,H,IND,L,77,109,31,85,0.365,6,28,0.214,9,15,0.6,5,38,13,6,2,9,16,81.3,115.1,94.7,0.176,0.329,0.42,39.2,41.9,6.3,3.4,0.4,8.9,9.4,0.106,0.517,10.1,75.0,0.178
18,2021-11-24,A,HOU,L,113,118,44,96,0.458,15,35,0.429,10,12,0.833,8,40,26,12,6,13,22,107.6,112.3,105.0,0.125,0.365,0.558,46.5,59.1,11.4,12.5,0.536,11.4,17.0,0.104,0.601,18.3,82.1,0.202
19,2021-11-26,A,ORL,W,123,88,48,86,0.558,17,34,0.5,10,16,0.625,6,47,32,11,1,13,24,124.2,88.9,99.0,0.186,0.395,0.661,56.6,66.7,11.1,2.1,0.657,12.3,16.2,0.116,0.419,12.2,89.1,0.263
20,2021-11-27,H,MIA,L,104,107,38,81,0.469,11,39,0.282,17,21,0.81,10,47,22,6,4,22,20,107.5,110.6,96.8,0.259,0.481,0.576,56.6,57.9,6.2,8.7,0.537,19.6,27.0,0.21,0.512,9.5,80.4,0.221
21,2021-11-29,H,CHO,W,133,119,53,89,0.596,14,30,0.467,13,19,0.684,5,41,35,3,5,10,19,132.8,118.8,100.2,0.213,0.337,0.683,54.7,66.0,3.0,10.2,0.674,9.3,14.7,0.146,0.58,8.5,87.8,0.193
22,2021-12-02,A,NYK,W,119,115,44,89,0.494,11,29,0.379,20,21,0.952,13,39,24,10,8,15,22,121.2,117.1,98.2,0.236,0.326,0.606,50.0,54.5,10.2,14.3,0.556,13.2,31.0,0.225,0.567,16.1,72.2,0.268
23,2021-12-04,A,BRK,W,111,107,41,86,0.477,10,31,0.323,19,27,0.704,7,47,22,4,10,9,12,111.4,107.4,99.6,0.314,0.36,0.567,46.1,53.7,4.0,11.6,0.535,8.4,14.9,0.221,0.45,4.2,72.7,0.063
24,2021-12-06,H,DEN,W,109,97,41,91,0.451,13,35,0.371,14,20,0.7,13,55,25,4,7,11,15,111.9,99.6,97.4,0.22,0.385,0.546,52.4,61.0,4.1,10.9,0.522,9.9,25.0,0.154,0.453,8.1,79.2,0.104
25,2021-12-08,A,CLE,L,92,115,35,84,0.417,7,26,0.269,15,21,0.714,11,37,21,6,3,17,17,96.0,120.1,95.8,0.25,0.31,0.493,46.8,60.0,6.3,5.8,0.458,15.4,22.9,0.179,0.631,13.9,83.9,0.175
26,2021-12-11,A,MIA,L,92,118,31,83,0.373,17,40,0.425,13,20,0.65,7,34,22,5,3,14,15,99.2,127.2,92.7,0.241,0.482,0.501,40.5,71.0,5.4,6.0,0.476,13.2,15.6,0.157,0.597,7.6,69.2,0.075
27,2021-12-19,H,LAL,W,115,110,40,93,0.43,10,30,0.333,25,31,0.806,16,43,20,10,3,10,17,116.5,111.5,98.7,0.333,0.323,0.539,48.3,50.0,10.1,6.3,0.484,8.6,30.2,0.269,0.585,17.2,75.0,0.171
28,2021-12-20,H,HOU,W,133,118,47,88,0.534,16,35,0.457,23,24,0.958,9,34,33,7,5,8,23,141.1,125.2,94.3,0.273,0.398,0.675,49.3,70.2,7.4,11.1,0.625,7.5,24.3,0.261,0.641,13.7,78.1,0.231
29,2021-12-26,H,IND,W,113,105,43,76,0.566,11,23,0.478,16,22,0.727,2,40,17,5,6,15,20,116.6,108.4,96.9,0.289,0.303,0.659,47.1,39.5,5.2,9.4,0.638,14.9,6.1,0.211,0.479,8.0,73.1,0.16
30,2021-12-27,A,ATL,W,130,118,51,94,0.543,18,37,0.486,10,14,0.714,9,44,29,5,6,7,19,134.1,121.8,96.9,0.149,0.394,0.649,49.4,56.9,5.2,10.9,0.638,6.5,20.9,0.106,0.534,9.1,76.1,0.258
31,2021-12-29,H,ATL,W,131,117,52,84,0.619,10,22,0.455,17,22,0.773,6,41,38,9,6,13,18,130.0,116.1,100.8,0.262,0.262,0.699,52.6,73.1,8.9,9.1,0.679,12.2,18.2,0.202,0.538,9.6,77.8,0.196
32,2021-12-31,A,IND,W,108,106,35,86,0.407,12,27,0.444,26,30,0.867,8,42,22,11,5,9,19,109.0,107.0,99.1,0.349,0.314,0.544,43.3,62.9,11.1,8.3,0.477,8.3,17.4,0.302,0.462,14.1,66.7,0.242
33,2022-01-01,A,WAS,W,120,119,41,84,0.488,17,34,0.5,21,25,0.84,6,44,17,4,4,15,24,117.1,116.1,102.5,0.298,0.405,0.632,50.6,41.5,3.9,6.7,0.589,13.6,14.0,0.25,0.563,10.1,86.4,0.241
34,2022-01-03,H,ORL,W,102,98,37,86,0.43,11,31,0.355,17,23,0.739,10,49,17,10,4,13,16,103.7,99.6,98.4,0.267,0.36,0.531,52.7,45.9,10.2,6.9,0.494,11.9,20.4,0.198,0.482,12.3,88.6,0.188
35,2022-01-07,H,WAS,W,130,122,48,91,0.527,15,33,0.455,19,21,0.905,10,41,34,11,3,15,21,126.6,118.8,102.7,0.231,0.363,0.648,50.0,70.8,10.7,4.7,0.61,13.0,24.4,0.209,0.551,13.1,75.6,0.284
36,2022-01-09,A,DAL,L,99,113,39,90,0.433,11,33,0.333,10,13,0.769,8,39,23,8,3,7,15,106.9,122.0,92.6,0.144,0.367,0.517,44.8,59.0,8.6,5.8,0.494,6.8,16.3,0.111,0.591,8.9,81.6,0.102
37,2022-01-11,H,DET,W,133,87,50,92,0.543,18,34,0.529,15,19,0.789,14,61,33,13,4,17,23,130.8,85.5,101.7,0.207,0.37,0.663,59.8,66.0,12.8,7.4,0.641,14.5,35.0,0.163,0.371,15.1,75.8,0.236
38,2022-01-12,H,BRK,L,112,138,38,81,0.469,11,30,0.367,25,31,0.806,10,35,22,5,6,17,20,113.0,139.2,99.1,0.383,0.37,0.592,46.1,57.9,5.0,10.9,0.537,15.2,22.7,0.309,0.661,8.3,78.1,0.264
39,2022-01-14,H,GSW,L,96,138,37,87,0.425,10,38,0.263,12,18,0.667,10,36,26,4,5,14,19,99.2,142.6,96.8,0.207,0.437,0.506,43.4,70.3,4.1,9.6,0.483,12.9,20.8,0.138,0.665,6.5,74.3,0.138
40,2022-01-15,A,BOS,L,112,114,44,87,0.506,12,29,0.414,12,15,0.8,7,32,31,3,3,6,19,124.7,126.9,89.8,0.172,0.333,0.598,39.0,70.5,3.3,4.7,0.575,6.0,17.5,0.138,0.539,10.1,59.5,0.189
41,2022-01-17,A,MEM,L,106,119,40,92,0.435,13,31,0.419,13,15,0.867,9,43,24,10,7,18,15,100.3,112.6,105.7,0.163,0.337,0.538,47.3,60.0,9.5,10.4,0.505,15.4,19.1,0.141,0.565,14.4,77.3,0.163
42,2022-01-19,H,CLE,W,117,104,47,86,0.547,10,22,0.455,13,18,0.722,7,37,25,7,4,9,18,126.7,112.6,92.4,0.209,0.256,0.623,49.3,53.2,7.6,8.0,0.605,8.7,19.4,0.151,0.578,13.9,76.9,0.195
43,2022-01-21,A,MIL,L,90,94,31,85,0.365,7,38,0.184,21,24,0.875,6,49,21,4,4,8,21,94.3,98.5,95.4,0.282,0.447,0.471,48.0,67.7,4.2,7.0,0.406,7.7,12.5,0.247,0.42,7.4,79.6,0.227
44,2022-01-23,A,ORL,L,95,114,33,76,0.434,5,21,0.238,24,32,0.75,11,44,10,3,4,21,22,97.0,116.4,97.9,0.421,0.276,0.527,55.7,30.3,3.1,7.4,0.467,18.9,25.6,0.316,0.6,11.8,91.7,0.225
45,2022-01-24,A,OKC,W,111,110,41,89,0.461,15,39,0.385,14,19,0.737,10,51,31,7,9,16,23,109.8,108.8,101.1,0.213,0.438,0.57,53.7,75.6,6.9,19.1,0.545,14.1,22.7,0.157,0.5,9.7,80.4,0.196
46,2022-01-26,H,TOR,W,111,105,46,84,0.548,7,26,0.269,12,16,0.75,10,45,32,2,1,13,22,119.3,112.8,93.1,0.19,0.31,0.61,57.0,69.6,2.1,2.1,0.589,12.5,27.8,0.143,0.557,11.6,81.4,0.215
47,2022-01-28,A,SAS,L,122,131,46,88,0.523,8,30,0.267,22,26,0.846,4,37,22,5,2,6,16,123.4,132.5,98.8,0.295,0.341,0.613,45.7,47.8,5.1,3.4,0.568,5.7,10.5,0.25,0.611,6.4,76.7,0.158
48,2022-01-30,H,POR,W,130,116,50,90,0.556,13,32,0.406,17,18,0.944,8,44,36,10,3,7,16,135.7,121.1,95.8,0.2,0.356,0.664,55.0,72.0,10.4,6.8,0.628,6.7,20.5,0.189,0.627,11.8,87.8,0.145
49,2022-02-01,H,ORL,W,126,115,46,90,0.511,11,30,0.367,23,29,0.793,11,49,25,5,6,9,15,125.0,114.1,100.8,0.322,0.333,0.613,57.6,54.3,5.0,11.1,0.572,8.1,25.0,0.256,0.57,8.4,92.7,0.097
50,2022-02-03,A,TOR,L,120,127,43,90,0.478,12,29,0.414,22,24,0.917,10,51,30,8,7,17,19,112.2,118.7,96.9,0.267,0.322,0.597,46.8,69.8,7.5,9.1,0.544,14.5,21.7,0.244,0.487,9.0,65.1,0.15
51,2022-02-04,A,IND,W,122,115,49,90,0.544,6,26,0.231,18,23,0.783,10,43,30,5,6,9,17,125.1,117.9,97.5,0.256,0.289,0.609,53.8,61.2,5.1,8.8,0.578,8.2,27.0,0.2,0.558,10.8,76.7,0.095
52,2022-02-06,H,PHI,L,108,119,39,81,0.481,7,26,0.269,23,26,0.885,6,38,21,3,4,8,19,114.0,125.6,94.7,0.321,0.321,0.584,50.0,53.8,3.2,6.7,0.525,8.0,15.0,0.284,0.607,8.8,88.9,0.202
53,2022-02-07,H,PHO,L,124,127,43,90,0.478,10,26,0.385,28,31,0.903,11,40,18,7,2,9,18,126.9,130.0,97.7,0.344,0.289,0.598,47.6,41.9,7.2,3.4,0.533,8.0,24.4,0.311,0.611,9.2,74.4,0.189
54,2022-02-09,A,CHO,W,121,109,46,82,0.561,16,33,0.485,13,19,0.684,5,40,27,4,5,12,17,125.4,112.9,96.5,0.232,0.402,0.67,48.2,58.7,4.1,10.0,0.659,11.7,13.5,0.159,0.5,7.2,76.1,0.172
55,2022-02-11,H,MIN,W,134,122,55,87,0.632,14,31,0.452,10,13,0.769,6,43,32,6,3,13,15,132.8,120.9,100.9,0.149,0.356,0.723,57.3,58.2,5.9,5.4,0.713,12.3,19.4,0.115,0.568,8.0,84.1,0.135
56,2022-02-12,H,OKC,W,106,101,40,89,0.449,7,25,0.28,19,23,0.826,11,57,20,6,3,13,19,106.4,101.4,99.6,0.258,0.281,0.535,57.0,50.0,6.0,5.8,0.489,11.6,23.4,0.213,0.449,7.3,86.8,0.25
57,2022-02-14,H,SAS,W,120,109,46,88,0.523,10,24,0.417,18,21,0.857,10,53,25,3,3,15,19,118.3,107.4,101.5,0.239,0.273,0.617,61.6,54.3,3.0,4.2,0.58,13.4,25.6,0.205,0.511,6.5,91.5,0.163
58,2022-02-16,H,SAC,W,125,118,47,94,0.5,12,29,0.414,19,20,0.95,13,47,25,8,2,11,16,127.7,120.6,97.9,0.213,0.309,0.608,56.6,53.2,8.2,3.7,0.564,9.7,31.0,0.202,0.583,12.2,82.9,0.238
59,2022-02-24,H,ATL,W,112,108,41,84,0.488,8,27,0.296,22,27,0.815,6,43,16,5,8,8,20,113.8,109.8,98.4,0.321,0.321,0.584,48.9,39.0,5.1,11.6,0.536,7.7,15.8,0.262,0.464,7.6,74.0,0.186
60,2022-02-26,H,MEM,L,110,116,39,93,0.419,9,20,0.45,23,30,0.767,6,41,17,9,3,9,17,105.2,111.0,104.5,0.323,0.215,0.518,40.2,43.6,8.6,3.9,0.468,7.8,12.5,0.247,0.475,10.4,64.8,0.21
61,2022-02-28,A,MIA,L,99,112,41,84,0.488,7,29,0.241,10,15,0.667,5,38,23,9,4,14,24,102.4,115.8,96.7,0.179,0.345,0.546,49.4,56.1,9.3,8.0,0.53,13.4,14.3,0.119,0.568,13.2,78.6,0.247
62,2022-03-03,A,ATL,L,124,130,52,88,0.591,14,26,0.538,6,7,0.857,5,32,30,5,2,13,19,132.1,138.4,93.9,0.08,0.295,0.681,49.2,57.7,5.3,4.5,0.67,12.5,16.7,0.068,0.631,4.9,77.1,0.286
63,2022-03-04,H,MIL,L,112,118,47,94,0.5,10,26,0.385,8,11,0.727,5,40,25,5,2,12,23,108.5,114.3,103.2,0.117,0.277,0.567,44.4,53.2,4.8,3.5,0.553,10.8,11.6,0.085,0.545,11.3,74.5,0.25
64,2022-03-07,A,PHI,L,106,121,39,87,0.448,8,24,0.333,20,26,0.769,14,48,22,5,4,13,24,110.5,126.1,95.9,0.299,0.276,0.538,55.8,56.4,5.2,7.4,0.494,11.7,31.8,0.23,0.56,8.3,81.0,0.321
65,2022-03-09,A,DET,W,114,108,40,76,0.526,3,15,0.2,31,35,0.886,2,33,19,13,0,11,15,115.6,109.5,98.6,0.461,0.197,0.624,50.8,47.5,13.2,0.0,0.546,10.7,6.9,0.408,0.579,15.2,86.1,0.159
66,2022-03-12,H,CLE,W,101,91,39,88,0.443,9,21,0.429,14,15,0.933,8,46,20,12,5,12,18,102.6,92.5,98.4,0.17,0.239,0.534,53.5,51.3,12.2,8.1,0.494,11.3,18.6,0.159,0.448,13.0,88.4,0.163
67,2022-03-14,A,SAC,L,103,112,36,88,0.409,10,34,0.294,21,22,0.955,9,40,22,5,5,13,20,104.0,113.1,99.0,0.25,0.386,0.527,47.1,61.1,5.0,8.8,0.466,11.7,19.1,0.239,0.537,13.8,81.6,0.293
68,2022-03-16,A,UTA,L,110,125,43,91,0.473,12,34,0.353,12,17,0.706,5,37,28,10,2,12,22,107.9,122.6,101.9,0.187,0.374,0.558,44.0,65.1,9.8,4.5,0.538,10.9,11.9,0.132,0.62,14.3,76.2,0.265
69,2022-03-18,A,PHO,L,102,129,35,85,0.412,7,27,0.259,25,31,0.806,13,37,20,6,0,11,18,108.1,136.7,94.4,0.365,0.318,0.517,43.0,57.1,6.4,0.0,0.453,10.0,25.0,0.294,0.625,10.3,70.6,0.286
70,2022-03-21,H,TOR,W,113,99,44,90,0.489,11,28,0.393,14,24,0.583,14,42,28,6,7,5,14,124.6,109.2,90.7,0.267,0.311,0.562,46.2,63.6,6.6,11.9,0.55,4.7,28.6,0.156,0.473,10.9,66.7,0.143
71,2022-03-22,A,MIL,L,98,126,39,92,0.424,13,33,0.394,7,13,0.538,5,33,21,9,4,7,12,99.2,127.5,98.8,0.141,0.359,0.501,38.4,53.8,9.1,7.4,0.495,6.7,9.4,0.076,0.683,13.4,84.8,0.171
72,2022-03-24,A,NOP,L,109,126,40,78,0.513,14,34,0.412,15,19,0.789,4,33,25,5,4,15,24,114.0,131.7,95.6,0.244,0.436,0.631,43.4,62.5,5.2,7.4,0.603,14.8,10.8,0.192,0.566,9.3,74.4,0.386
73,2022-03-26,A,CLE,W,98,94,36,75,0.48,5,21,0.238,21,25,0.84,6,37,23,6,1,13,21,108.7,104.3,90.1,0.333,0.28,0.57,44.6,63.9,6.7,2.0,0.513,13.1,16.2,0.28,0.457,12.2,67.4,0.232
74,2022-03-28,A,NYK,L,104,109,34,79,0.43,6,23,0.261,30,33,0.909,6,47,16,6,3,12,24,108.0,113.2,96.3,0.418,0.291,0.556,50.5,47.1,6.2,5.6,0.468,11.4,15.4,0.38,0.494,5.4,75.9,0.236
75,2022-03-29,A,WAS,W,107,94,43,85,0.506,6,18,0.333,15,18,0.833,6,36,26,9,1,8,14,116.2,102.1,92.1,0.212,0.212,0.576,49.3,60.5,9.8,1.9,0.541,7.9,16.7,0.176,0.519,13.9,81.1,0.152
76,2022-03-31,H,LAC,W,135,130,50,102,0.49,10,29,0.345,25,32,0.781,13,50,24,6,3,8,17,125.2,120.5,97.7,0.314,0.284,0.581,55.6,48.0,5.6,5.6,0.539,6.4,26.5,0.245,0.589,10.6,90.2,0.267
77,2022-04-02,H,MIA,L,109,127,37,86,0.43,9,34,0.265,26,29,0.897,11,39,21,5,4,5,19,117.2,136.6,93.0,0.337,0.395,0.552,48.8,56.8,5.4,8.3,0.483,4.8,23.4,0.302,0.64,8.7,84.8,0.268
78,2022-04-05,H,MIL,L,106,127,42,98,0.429,9,33,0.273,13,13,1.0,13,42,22,8,2,14,21,104.1,124.7,101.9,0.133,0.337,0.511,47.2,52.4,7.9,3.8,0.474,11.9,25.0,0.133,0.598,12.5,78.4,0.264
79,2022-04-06,H,BOS,L,94,117,35,80,0.438,7,23,0.304,17,23,0.739,7,40,19,7,4,17,22,95.7,119.2,98.2,0.288,0.288,0.522,48.8,54.3,7.1,7.8,0.481,15.9,17.1,0.213,0.585,10.1,80.5,0.159
80,2022-04-08,H,CHO,L,117,133,44,82,0.537,13,24,0.542,16,20,0.8,6,31,25,7,1,12,12,124.9,141.9,93.7,0.244,0.293,0.644,44.9,56.8,7.5,2.2,0.616,11.7,16.7,0.195,0.715,10.8,75.8,0.116
81,2022-04-10,A,MIN,W,124,120,44,83,0.53,10,21,0.476,26,33,0.788,16,48,22,9,3,21,22,122.6,118.6,101.2,0.398,0.253,0.636,60.0,50.0,8.9,5.0,0.59,17.7,41.0,0.313,0.566,11.4,78.0,0.187
82,2022-10-19,A,MIA,W,116,108,41,93,0.441,13,36,0.361,21,28,0.75,12,46,23,12,6,14,26,112.5,104.7,103.1,0.301,0.387,0.551,50.0,56.1,11.6,11.5,0.511,11.7,24.0,0.226,0.538,17.1,81.0,0.275
83,2022-10-21,A,WAS,L,100,102,33,79,0.418,7,27,0.259,27,33,0.818,10,38,19,8,3,13,15,106.3,108.5,94.0,0.418,0.342,0.535,49.4,57.6,8.5,5.6,0.462,12.2,22.7,0.342,0.575,15.9,84.8,0.125
84,2022-10-22,H,CLE,L,96,128,34,84,0.405,7,29,0.241,21,25,0.84,10,35,19,12,7,10,19,99.5,132.7,96.5,0.298,0.345,0.505,42.2,55.9,12.4,12.1,0.446,9.5,20.0,0.25,0.659,15.5,75.8,0.188
85,2022-10-24,H,BOS,W,120,102,42,87,0.483,10,21,0.476,26,29,0.897,14,60,29,4,6,13,18,122.6,104.2,97.8,0.333,0.241,0.601,57.1,69.0,4.1,11.5,0.54,11.5,31.1,0.299,0.46,8.7,76.7,0.1
86,2022-10-26,H,IND,W,124,109,43,87,0.494,16,30,0.533,22,24,0.917,9,44,34,10,5,17,25,119.7,105.2,103.6,0.276,0.345,0.636,53.7,79.1,9.7,10.9,0.586,14.8,22.0,0.253,0.523,14.2,85.4,0.221
87,2022-10-28,A,SAS,L,124,129,47,99,0.475,9,27,0.333,21,26,0.808,15,42,20,13,3,12,19,117.5,122.3,105.5,0.263,0.273,0.561,50.0,42.6,12.3,6.3,0.52,9.8,30.6,0.212,0.628,17.0,77.1,0.244
88,2022-10-29,H,PHI,L,109,114,36,80,0.45,11,31,0.355,26,29,0.897,9,40,22,7,3,18,20,110.4,115.4,98.8,0.363,0.388,0.588,49.4,61.1,7.1,6.0,0.519,16.3,21.4,0.325,0.582,15.8,79.5,0.278
89,2022-11-01,A,BRK,W,108,99,39,89,0.438,12,30,0.4,18,21,0.857,11,44,20,8,4,9,13,114.6,105.0,94.3,0.236,0.337,0.55,53.7,51.3,8.5,9.5,0.506,8.4,24.4,0.202,0.568,17.9,89.2,0.203
90,2022-11-02,H,CHO,W,106,88,38,88,0.432,14,31,0.452,16,18,0.889,11,51,28,6,9,19,18,105.6,87.6,100.4,0.205,0.352,0.553,52.0,73.7,6.0,15.0,0.511,16.5,24.4,0.182,0.429,13.9,75.5,0.098
91,2022-11-04,A,BOS,L,119,123,43,83,0.518,11,28,0.393,22,25,0.88,4,37,21,8,5,17,28,113.9,117.7,104.5,0.301,0.337,0.633,48.7,48.8,7.7,9.6,0.584,15.3,11.1,0.265,0.548,11.5,82.5,0.386
92,2022-11-06,A,TOR,L,104,113,40,88,0.455,13,36,0.361,11,13,0.846,15,46,27,5,10,17,20,111.9,121.6,92.9,0.148,0.409,0.555,46.9,67.5,5.4,15.2,0.528,15.4,34.1,0.125,0.476,7.5,57.4,0.146
93,2022-11-07,H,TOR,W,111,97,42,80,0.525,9,28,0.321,18,22,0.818,9,49,30,7,7,21,21,110.3,96.4,100.7,0.275,0.35,0.619,61.3,71.4,7.0,12.3,0.581,19.0,25.7,0.225,0.476,12.9,88.9,0.188
94,2022-11-09,H,NOP,L,111,115,44,87,0.506,7,27,0.259,16,18,0.889,6,35,23,5,8,15,23,109.2,113.1,101.6,0.207,0.31,0.585,41.2,52.3,4.9,12.3,0.546,13.6,14.0,0.184,0.518,13.8,69.0,0.333
