,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-10-19,@,SAS,W,129,102,48,94,.511,13,29,.448,20,23,.870,14,51,26,7,10,15,20,,40,99,.404,7,34,.206,15,21,.714,14,44,22,8,8,15,19
2,2,2022-10-21,,NOP,L,112,124,44,97,.454,13,34,.382,11,14,.786,11,37,30,9,4,13,24,,42,89,.472,8,22,.364,32,37,.865,15,53,23,9,7,15,14
3,3,2022-10-23,@,ATL,W,126,109,47,90,.522,11,26,.423,21,30,.700,14,52,28,7,6,13,24,,39,95,.411,8,35,.229,23,28,.821,16,45,23,8,9,12,21
4,4,2022-10-26,@,NYK,L,131,134,49,99,.495,13,31,.419,20,30,.667,9,42,31,9,5,15,24,,52,97,.536,11,30,.367,19,22,.864,12,46,26,5,11,16,24
5,5,2022-10-28,@,ORL,L,93,113,33,86,.384,11,38,.289,16,24,.667,10,47,21,3,4,14,18,,42,85,.494,10,37,.270,19,26,.731,5,48,28,8,5,12,22
6,6,2022-10-29,,GSW,W,120,113,43,102,.422,10,31,.323,24,31,.774,15,55,32,2,2,10,14,,44,100,.440,13,44,.295,12,16,.750,10,49,31,8,6,10,31
7,7,2022-10-31,,SAC,L,108,115,43,84,.512,14,29,.483,8,14,.571,6,38,31,11,6,20,26,,37,85,.435,17,44,.386,24,28,.857,10,42,26,8,4,19,19
8,8,2022-11-02,@,CHI,L,88,106,36,92,.391,7,32,.219,9,16,.563,13,47,22,12,12,16,14,,38,88,.432,14,31,.452,16,18,.889,11,51,28,6,9,19,18
9,9,2022-11-04,@,MEM,L,99,130,33,86,.384,8,27,.296,25,31,.806,12,41,22,11,7,18,17,,50,98,.510,16,36,.444,14,18,.778,18,60,34,6,10,18,20
10,10,2022-11-05,,BRK,L,94,98,32,86,.372,14,42,.333,16,23,.696,13,50,22,3,6,15,21,,33,84,.393,12,36,.333,20,22,.909,9,41,23,8,10,11,21
11,11,2022-11-07,,WAS,L,100,108,42,101,.416,5,32,.156,11,16,.688,17,45,27,8,7,10,23,,42,80,.525,5,19,.263,19,30,.633,10,47,21,2,6,14,18
12,12,2022-11-09,,POR,L,95,105,34,91,.374,10,40,.250,17,24,.708,20,42,21,10,3,11,22,,40,75,.533,11,34,.324,14,25,.560,8,45,28,5,4,17,19
13,13,2022-11-10,@,MIA,L,112,117,43,88,.489,14,39,.359,12,20,.600,8,50,23,4,2,20,30,,39,90,.433,10,36,.278,29,36,.806,8,38,21,9,1,10,25
14,14,2022-11-12,@,MIA,L,115,132,46,90,.511,9,31,.290,14,16,.875,4,37,25,4,3,12,21,,49,93,.527,16,41,.390,18,21,.857,9,46,32,7,5,12,19
15,15,2022-11-14,@,ORL,W,112,105,42,88,.477,7,35,.200,21,24,.875,14,37,22,15,7,12,23,,36,88,.409,14,36,.389,19,23,.826,22,48,23,3,7,22,18
16,16,2022-11-16,,IND,L,113,125,43,94,.457,12,33,.364,15,18,.833,14,44,29,8,4,17,23,,44,82,.537,11,28,.393,26,31,.839,7,34,27,11,9,12,18
17,17,2022-11-18,@,CLE,L,122,132,44,110,.400,14,44,.318,20,24,.833,17,53,24,11,6,14,33,,49,92,.533,8,28,.286,26,32,.813,7,50,25,8,8,19,25
18,18,2022-11-20,@,WAS,L,102,106,39,100,.390,8,32,.250,16,23,.696,15,51,19,5,5,13,18,,40,93,.430,13,34,.382,13,18,.722,14,49,19,6,13,17,19
19,19,2022-11-23,,PHI,W,107,101,44,92,.478,6,23,.261,13,21,.619,11,44,25,8,1,15,15,,38,86,.442,9,38,.237,16,18,.889,8,45,20,9,3,19,23
20,20,2022-11-25,,MIN,W,110,108,40,89,.449,8,25,.320,22,32,.688,15,55,24,6,4,17,18,,41,96,.427,9,41,.220,17,18,.944,11,45,24,7,9,16,27
21,21,2022-11-28,@,BOS,L,105,140,42,86,.488,11,29,.379,10,15,.667,13,37,28,7,2,20,14,,55,93,.591,24,52,.462,6,7,.857,9,39,40,10,5,13,18
