,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2022-10-19,@,SAS,W,129,102,124.3,98.3,103.8,.245,.309,.619,53.7,54.2,6.7,15.4,,.580,12.6,31.8,.213,,.439,12.2,72.5,.152
2,2,2022-10-21,,NOP,L,112,124,110.2,122.0,101.6,.144,.351,.543,41.1,68.2,8.9,6.0,,.521,11.2,22.4,.113,,.517,12.5,63.4,.360
3,3,2022-10-23,@,ATL,W,126,109,125.7,108.7,100.2,.333,.289,.610,53.6,59.6,7.0,10.0,,.583,11.2,32.6,.233,,.453,10.1,70.4,.242
4,4,2022-10-26,@,NYK,L,131,134,117.1,119.8,101.3,.303,.313,.584,47.7,63.3,8.0,7.5,,.561,11.8,20.9,.202,,.593,13.0,73.3,.196
5,5,2022-10-28,@,ORL,L,93,113,92.6,112.5,100.4,.279,.442,.482,49.5,63.6,3.0,8.3,,.448,12.7,18.9,.186,,.553,11.1,88.1,.224
6,6,2022-10-29,,GSW,W,120,113,113.6,107.0,95.7,.304,.304,.519,52.9,74.4,1.9,3.6,,.471,8.0,27.8,.235,,.505,8.5,80.0,.120
7,7,2022-10-31,,SAC,L,108,115,105.0,111.8,102.8,.167,.345,.599,47.5,72.1,10.7,14.6,,.595,18.2,15.8,.095,,.535,16.3,76.2,.282
8,8,2022-11-02,@,CHI,L,88,106,87.6,105.6,100.4,.174,.348,.444,48.0,61.1,12.0,21.1,,.429,13.9,24.5,.098,,.511,16.5,75.6,.182
9,9,2022-11-04,@,MEM,L,99,130,95.5,125.4,103.7,.360,.314,.497,40.6,66.7,10.6,11.3,,.430,15.3,22.2,.291,,.592,14.5,61.7,.143
10,10,2022-11-05,,BRK,L,94,98,100.7,105.0,93.3,.267,.488,.489,54.9,68.8,3.2,12.5,,.453,13.5,28.9,.186,,.464,10.5,80.4,.238
11,11,2022-11-07,,WAS,L,100,108,103.7,112.0,96.4,.158,.317,.463,48.9,64.3,8.3,11.5,,.441,8.5,31.5,.109,,.556,13.1,73.7,.238
12,12,2022-11-09,,POR,L,95,105,104.3,115.2,91.1,.264,.440,.468,48.3,61.8,11.0,7.3,,.429,9.8,35.1,.187,,.607,16.5,73.3,.187
