,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,H,IND,W,123,122,46,107,.430,13,31,.419,18,27,.667,12,46,29,9,5,8,21,113.2,112.2,108.7,.252,.290,.517,47.4,63.0,8.3,11.6,.491,6.3,21.8,.168,.561,13.7,81.0,.233
1,2021-10-22,A,CLE,W,123,112,48,91,.527,13,32,.406,14,17,.824,11,46,32,13,1,18,16,119.5,108.8,102.9,.187,.352,.624,56.1,66.7,12.6,1.9,.599,15.5,27.5,.154,.565,16.2,83.3,.202
2,2021-10-24,A,BRK,W,111,95,43,94,.457,10,30,.333,15,19,.789,10,48,26,10,5,12,17,110.9,94.9,100.1,.202,.319,.542,52.2,60.5,10.0,9.6,.511,10.5,22.2,.160,.489,15.6,80.9,.115
3,2021-10-25,H,BOS,L,129,140,46,103,.447,19,44,.432,18,28,.643,14,52,26,4,6,14,25,115.3,125.2,101.3,.272,.427,.559,49.5,56.5,3.6,11.8,.539,10.8,25.0,.175,.589,9.7,77.6,.208
4,2021-10-27,A,ORL,W,120,111,43,83,.518,14,30,.467,20,24,.833,10,40,22,14,4,16,14,121.6,112.4,98.7,.289,.361,.641,54.8,51.2,14.2,8.3,.602,14.6,28.6,.241,.574,16.1,78.9,.114
5,2021-10-29,A,MIA,L,99,114,35,90,.389,13,37,.351,16,22,.727,11,37,21,8,6,11,17,102.0,117.5,97.0,.244,.411,.497,38.1,60.0,8.2,10.7,.461,9.9,20.0,.178,.522,14.6,61.9,.209
6,2021-10-31,H,POR,W,125,113,46,89,.517,20,42,.476,13,21,.619,10,44,36,4,6,8,18,131.5,118.8,95.1,.236,.472,.636,48.4,78.3,4.2,14.0,.629,7.5,23.8,.146,.531,10.5,69.4,.103
7,2021-11-01,H,CLE,L,110,113,42,101,.416,15,39,.385,11,15,.733,20,46,27,12,12,17,23,110.4,113.4,99.7,.149,.386,.511,48.4,64.3,12.0,19.4,.490,13.6,38.5,.109,.483,13.0,60.5,.289
8,2021-11-03,A,GSW,L,92,114,34,91,.374,10,36,.278,14,19,.737,9,49,18,10,2,16,14,89.0,110.2,103.4,.209,.396,.463,48.0,52.9,9.7,4.9,.429,13.9,16.4,.154,.593,14.6,85.1,.140
9,2021-11-05,A,SAC,L,110,140,43,92,.467,11,35,.314,13,21,.619,7,28,29,8,5,10,19,108.6,138.3,101.3,.228,.380,.543,33.3,67.4,7.9,11.6,.527,9.0,14.0,.141,.678,15.5,61.8,.253
