,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2021-10-20,@,MEM,L,121,132,47,93,.505,14,38,.368,13,18,.722,7,36,38,6,5,10,17,,53,100,.530,14,33,.424,12,12,1.000,13,53,28,8,8,10,15
2,2,2021-10-22,,CHO,L,112,123,43,84,.512,9,31,.290,17,20,.850,7,36,26,9,3,18,15,,48,91,.527,13,32,.406,14,17,.824,11,46,32,13,1,18,16
3,3,2021-10-23,,ATL,W,101,95,37,89,.416,7,28,.250,20,27,.741,12,54,23,6,6,10,16,,38,99,.384,10,34,.294,9,15,.600,17,54,20,5,3,9,23
4,4,2021-10-25,@,DEN,W,99,87,38,82,.463,7,25,.280,16,20,.800,11,49,26,8,5,14,18,,35,86,.407,9,38,.237,8,12,.667,11,47,21,10,3,21,22
5,5,2021-10-27,@,LAC,W,92,79,33,81,.407,3,20,.150,23,27,.852,14,57,12,9,3,20,14,,31,87,.356,9,41,.220,8,13,.615,9,36,19,13,2,14,24
6,6,2021-10-29,@,LAL,L,101,113,37,87,.425,12,34,.353,15,22,.682,16,36,28,10,1,15,13,,46,84,.548,12,27,.444,9,10,.900,11,42,24,9,6,20,20
7,7,2021-10-30,@,PHO,L,92,101,36,91,.396,14,44,.318,6,7,.857,10,47,21,8,3,19,21,,39,84,.464,6,26,.231,17,27,.630,8,52,27,12,3,13,14
8,8,2021-11-01,@,CHO,W,113,110,39,90,.433,9,28,.321,26,38,.684,17,49,21,12,7,16,14,,42,101,.416,15,39,.385,11,15,.733,20,46,27,12,12,17,23
9,9,2021-11-03,,POR,W,107,104,39,74,.527,15,30,.500,14,18,.778,5,43,29,4,2,17,14,,40,90,.444,13,37,.351,11,17,.647,10,39,24,12,6,9,19
10,10,2021-11-05,@,TOR,W,102,101,38,83,.458,10,30,.333,16,19,.842,11,39,22,4,3,17,13,,42,99,.424,12,27,.444,5,9,.556,19,45,20,10,8,9,19
11,11,2021-11-07,@,NYK,W,126,109,49,90,.544,19,35,.543,9,11,.818,11,48,31,8,2,15,18,,39,85,.459,9,31,.290,22,24,.917,7,32,21,9,9,10,14
12,12,2021-11-10,,WAS,L,94,97,35,76,.461,9,31,.290,15,21,.714,6,40,21,7,4,14,18,,35,84,.417,10,28,.357,17,17,1.000,12,49,25,9,2,12,20
13,13,2021-11-12,,DET,W,98,78,39,82,.476,14,41,.341,6,9,.667,8,40,27,12,6,19,11,,29,79,.367,9,30,.300,11,13,.846,10,43,18,12,5,23,13
14,14,2021-11-13,,BOS,W,91,89,31,81,.383,10,38,.263,19,22,.864,9,39,17,10,4,11,19,,33,78,.423,6,23,.261,17,18,.944,10,47,20,7,3,19,16
15,15,2021-11-15,,BOS,L,92,98,32,83,.386,16,40,.400,12,16,.750,7,42,18,6,3,13,18,,36,78,.462,10,29,.345,16,20,.800,6,46,23,7,6,14,16
16,16,2021-11-17,@,BRK,L,99,109,35,89,.393,11,44,.250,18,21,.857,12,50,20,9,1,13,17,,38,83,.458,12,32,.375,21,25,.840,8,47,29,7,3,11,20
17,17,2021-11-18,,GSW,L,89,104,34,80,.425,12,39,.308,9,16,.563,13,42,22,6,3,17,11,,41,83,.494,15,43,.349,7,8,.875,5,34,36,12,2,11,17
18,18,2021-11-22,,BRK,L,112,117,36,93,.387,14,44,.318,26,29,.897,14,53,24,6,5,12,16,,45,95,.474,11,35,.314,16,18,.889,8,42,32,6,6,9,23
19,19,2021-11-24,,PHO,L,115,120,43,97,.443,12,39,.308,17,25,.680,13,44,22,7,0,10,23,,45,86,.523,8,22,.364,22,28,.786,10,47,26,4,2,15,23
20,20,2021-11-27,,ORL,W,105,92,41,90,.456,14,39,.359,9,12,.750,10,51,28,3,9,13,18,,35,88,.398,8,32,.250,14,23,.609,8,43,21,11,5,8,16
21,21,2021-11-29,@,DAL,W,114,96,45,80,.563,10,19,.526,14,18,.778,5,48,29,3,4,19,22,,39,89,.438,12,39,.308,6,15,.400,7,33,20,8,7,10,15
22,22,2021-12-01,@,MIA,W,111,85,37,68,.544,16,31,.516,21,23,.913,6,46,27,8,14,20,15,,32,85,.376,12,37,.324,9,13,.692,9,28,21,8,4,11,17
23,23,2021-12-03,@,WAS,W,116,101,42,89,.472,13,30,.433,19,25,.760,15,54,30,2,5,14,19,,38,82,.463,10,31,.323,15,19,.789,3,33,21,5,4,8,22
24,24,2021-12-05,,UTA,L,108,109,42,91,.462,14,38,.368,10,13,.769,15,45,20,12,5,13,8,,40,90,.444,20,48,.417,9,10,.900,14,46,24,8,5,17,14
25,25,2021-12-06,@,MIL,L,104,112,35,90,.389,15,46,.326,19,20,.950,7,39,27,8,4,9,17,,40,86,.465,13,32,.406,19,24,.792,8,53,21,7,5,16,20
26,26,2021-12-08,,CHI,W,115,92,44,80,.550,13,28,.464,14,16,.875,5,42,28,10,8,14,22,,35,84,.417,7,26,.269,15,21,.714,11,37,21,6,3,17,17
27,27,2021-12-10,@,MIN,W,123,106,46,85,.541,13,33,.394,18,22,.818,6,47,34,8,7,15,23,,36,92,.391,11,39,.282,23,28,.821,10,40,24,9,5,14,19
28,28,2021-12-11,,SAC,W,117,103,41,88,.466,12,31,.387,23,28,.821,7,47,27,13,6,14,24,,41,93,.441,7,28,.250,14,22,.636,11,48,19,8,6,17,21
29,29,2021-12-13,,MIA,W,105,94,36,81,.444,16,36,.444,17,18,.944,8,42,24,6,1,12,16,,38,85,.447,13,40,.325,5,9,.556,11,39,26,4,4,14,15
30,30,2021-12-15,,HOU,W,124,89,45,80,.563,18,40,.450,16,24,.667,9,44,26,6,5,15,25,,30,78,.385,5,29,.172,24,35,.686,10,41,20,13,1,16,21
31,31,2021-12-18,@,MIL,W,119,90,45,90,.500,16,45,.356,13,14,.929,9,46,36,11,3,13,13,,35,89,.393,12,38,.316,8,11,.727,13,44,18,8,4,17,15
32,32,2021-12-22,@,BOS,L,101,111,36,92,.391,9,38,.237,20,24,.833,15,53,17,8,3,15,15,,43,92,.467,11,30,.367,14,18,.778,12,48,24,12,5,13,24
33,33,2021-12-26,,TOR,W,144,99,56,106,.528,22,52,.423,10,12,.833,13,52,39,12,5,12,17,,37,89,.416,9,36,.250,16,23,.696,11,43,24,11,3,21,13
34,34,2021-12-28,@,NOP,L,104,108,37,88,.420,14,41,.341,16,19,.842,11,42,27,6,3,7,19,,36,80,.450,16,36,.444,20,26,.769,8,44,24,3,8,12,16
35,35,2021-12-30,@,WAS,L,93,110,35,83,.422,8,28,.286,15,23,.652,8,44,20,4,3,12,17,,45,90,.500,9,29,.310,11,17,.647,10,47,27,7,8,7,19
36,36,2021-12-31,,ATL,L,118,121,48,84,.571,8,25,.320,14,24,.583,8,46,27,1,8,9,18,,43,97,.443,16,38,.421,19,21,.905,14,44,23,8,4,2,23
37,37,2022-01-02,,IND,W,108,104,41,88,.466,6,26,.231,20,28,.714,12,48,26,6,4,8,11,,37,83,.446,19,46,.413,11,14,.786,9,39,24,6,6,14,24
38,38,2022-01-04,,MEM,L,106,110,40,92,.435,10,34,.294,16,21,.762,14,49,28,2,6,11,14,,42,90,.467,9,27,.333,17,22,.773,12,45,21,6,8,9,18
39,39,2022-01-07,@,POR,W,114,101,39,80,.488,17,39,.436,19,29,.655,8,43,22,7,3,8,15,,37,92,.402,16,35,.457,11,19,.579,16,51,22,8,5,11,19
40,40,2022-01-09,@,GSW,L,82,96,32,75,.427,7,24,.292,11,18,.611,8,42,21,9,3,18,10,,39,97,.402,10,42,.238,8,10,.800,22,54,24,16,5,14,20
41,41,2022-01-10,@,SAC,W,109,108,43,87,.494,10,34,.294,13,15,.867,14,48,29,6,8,16,18,,39,91,.429,14,30,.467,16,22,.727,15,43,20,10,3,10,16
42,42,2022-01-12,@,UTA,W,111,91,43,81,.531,11,30,.367,14,17,.824,7,50,28,6,3,13,17,,34,85,.400,16,47,.340,7,11,.636,4,32,11,7,2,7,16
43,43,2022-01-14,@,SAS,W,114,109,46,95,.484,8,20,.400,14,24,.583,12,46,24,7,3,9,13,,42,92,.457,15,34,.441,10,13,.769,10,47,22,6,5,15,24
44,44,2022-01-15,@,OKC,W,107,102,40,87,.460,9,35,.257,18,25,.720,11,37,28,6,4,7,13,,36,83,.434,10,27,.370,20,22,.909,14,51,17,4,5,15,21
45,45,2022-01-17,,BRK,W,114,107,42,81,.519,11,32,.344,19,21,.905,8,40,26,7,3,15,14,,41,83,.494,12,30,.400,13,18,.722,8,35,27,11,4,14,22
46,46,2022-01-19,@,CHI,L,104,117,40,77,.519,9,27,.333,15,22,.682,9,38,27,7,4,14,15,,47,86,.547,10,22,.455,13,18,.722,7,37,25,7,4,9,18
47,47,2022-01-22,,OKC,W,94,87,35,76,.461,6,27,.222,18,35,.514,15,54,22,5,6,22,20,,33,85,.388,12,41,.293,9,16,.563,11,41,16,14,3,15,28
48,48,2022-01-24,,NYK,W,95,93,35,81,.432,13,36,.361,12,20,.600,12,51,29,7,1,19,18,,35,84,.417,12,38,.316,11,21,.524,11,45,21,11,1,11,19
49,49,2022-01-26,,MIL,W,115,99,41,87,.471,19,42,.452,14,17,.824,12,41,27,11,3,12,19,,37,80,.463,9,32,.281,16,18,.889,10,41,22,7,3,19,19
50,50,2022-01-30,@,DET,L,105,115,38,82,.463,13,34,.382,16,25,.640,12,41,25,6,6,11,20,,42,91,.462,10,26,.385,21,25,.840,16,48,26,7,4,9,21
51,51,2022-01-31,,NOP,W,93,90,36,84,.429,9,31,.290,12,14,.857,7,37,26,6,9,9,19,,33,85,.388,6,30,.200,18,21,.857,16,51,26,6,8,13,18
52,52,2022-02-02,@,HOU,L,104,115,41,80,.513,7,21,.333,15,27,.556,12,48,23,6,4,17,27,,39,82,.476,14,40,.350,23,33,.697,8,37,25,11,3,12,23
53,53,2022-02-04,@,CHO,W,102,101,36,90,.400,14,35,.400,16,20,.800,15,51,26,7,0,12,17,,38,92,.413,14,43,.326,11,12,.917,15,52,27,9,2,14,22
54,54,2022-02-06,,IND,W,98,85,34,84,.405,11,32,.344,19,28,.679,16,50,25,9,5,10,22,,31,83,.373,8,31,.258,15,17,.882,13,47,17,5,2,19,26
55,55,2022-02-09,,SAS,W,105,92,39,82,.476,9,21,.429,18,24,.750,10,51,18,8,2,13,12,,38,99,.384,8,33,.242,8,11,.727,15,46,24,8,4,13,17
56,56,2022-02-11,@,IND,W,120,113,43,81,.531,9,24,.375,25,30,.833,6,32,20,12,7,13,16,,42,89,.472,18,38,.474,11,16,.688,9,38,25,9,4,20,25
57,57,2022-02-12,@,PHI,L,93,103,36,77,.468,8,24,.333,13,15,.867,5,34,21,3,3,15,16,,38,79,.481,10,22,.455,17,21,.810,8,40,24,13,5,11,21
58,58,2022-02-15,@,ATL,L,116,124,45,88,.511,16,41,.390,10,12,.833,14,39,30,8,3,13,23,,43,80,.538,14,33,.424,24,27,.889,7,35,25,9,4,11,18
59,59,2022-02-24,@,DET,L,103,106,34,77,.442,12,35,.343,23,34,.676,8,43,20,3,7,12,21,,35,86,.407,11,34,.324,25,28,.893,13,49,23,8,8,10,24
60,60,2022-02-26,,WAS,W,92,86,32,83,.386,8,25,.320,20,24,.833,13,49,22,9,5,13,10,,35,81,.432,11,23,.478,5,6,.833,7,42,19,8,7,18,24
61,61,2022-02-28,,MIN,L,122,127,39,74,.527,15,37,.405,29,34,.853,10,38,29,5,3,20,17,,47,86,.547,18,42,.429,15,19,.789,8,31,30,12,6,13,31
62,62,2022-03-02,,CHO,L,98,119,37,79,.468,10,31,.323,14,21,.667,4,37,21,6,1,14,18,,43,85,.506,17,38,.447,16,22,.727,9,45,32,10,5,10,21
63,63,2022-03-04,@,PHI,L,119,125,44,82,.537,10,28,.357,21,24,.875,10,41,30,5,4,12,22,,41,75,.547,14,33,.424,29,32,.906,3,30,23,8,3,11,24
64,64,2022-03-06,,TOR,W,104,96,39,85,.459,11,36,.306,15,23,.652,15,58,24,5,7,17,22,,37,94,.394,6,24,.250,16,26,.615,14,45,17,13,3,7,20
65,65,2022-03-08,@,IND,W,127,124,47,94,.500,9,32,.281,24,27,.889,14,40,25,13,6,8,16,,49,91,.538,16,32,.500,10,15,.667,11,38,35,6,7,17,20
66,66,2022-03-11,@,MIA,L,105,117,35,79,.443,8,25,.320,27,29,.931,7,40,25,5,2,17,23,,41,86,.477,11,35,.314,24,27,.889,8,42,28,9,6,9,26
67,67,2022-03-12,@,CHI,L,91,101,36,86,.419,5,24,.208,14,17,.824,5,40,19,7,4,14,19,,39,88,.443,9,21,.429,14,15,.933,8,46,20,12,5,12,18
68,68,2022-03-14,,LAC,W,120,111,41,86,.477,15,30,.500,23,32,.719,12,49,28,7,4,11,19,,43,98,.439,12,36,.333,13,17,.765,12,43,29,5,8,10,24
