,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2022-10-19,@,TOR,L,105,108,108.7,111.8,96.6,.299,.364,.603,48.1,65.8,5.2,8.9,,.558,16.3,17.1,.247,,.494,11.5,72.7,.267
2,2,2022-10-22,@,CHI,W,128,96,132.7,99.5,96.5,.212,.318,.689,57.8,66.7,4.1,9.1,,.659,15.5,24.2,.188,,.446,9.5,80.0,.250
3,3,2022-10-23,,WAS,W,117,107,114.3,104.5,92.7,.260,.344,.547,57.8,46.3,9.8,8.5,,.495,10.8,34.0,.229,,.563,16.1,88.9,.103
4,4,2022-10-26,,ORL,W,103,92,108.5,96.9,94.9,.345,.379,.514,50.0,69.4,6.3,5.3,,.471,10.7,26.7,.241,,.469,15.1,75.6,.198
5,5,2022-10-28,@,BOS,W,132,123,123.9,115.4,96.5,.391,.402,.647,55.3,40.0,4.7,4.1,,.609,12.8,23.7,.299,,.591,16.5,86.8,.317
6,6,2022-10-30,,NYK,W,121,108,122.4,109.3,98.8,.213,.562,.621,48.9,80.5,3.0,7.7,,.590,12.6,23.3,.180,,.543,12.4,73.3,.087
7,7,2022-11-02,,BOS,W,114,113,104.4,103.5,98.9,.240,.390,.516,49.5,57.1,5.5,7.7,,.475,9.0,17.0,.190,,.468,11.8,84.0,.280
8,8,2022-11-04,@,DET,W,112,88,117.8,92.5,95.1,.198,.321,.636,58.0,68.2,5.3,28.3,,.611,17.0,28.6,.160,,.452,16.7,80.4,.157
9,9,2022-11-06,@,LAL,W,114,100,113.6,99.6,100.4,.429,.381,.571,52.7,51.4,7.0,10.0,,.488,10.7,21.4,.381,,.506,14.3,79.6,.138
10,10,2022-11-07,@,LAC,L,117,119,121.8,123.9,96.0,.253,.398,.634,60.8,67.4,6.2,4.9,,.614,15.6,27.0,.181,,.614,9.0,90.5,.278
11,11,2022-11-09,@,SAC,L,120,127,124.0,131.3,96.7,.233,.302,.633,63.6,52.2,4.1,2.7,,.599,16.0,35.3,.198,,.638,9.0,93.8,.395
12,12,2022-11-11,@,GSW,L,101,106,107.1,112.4,94.3,.283,.326,.488,51.1,67.6,6.4,6.5,,.446,8.8,28.0,.207,,.579,13.7,80.0,.134
13,13,2022-11-13,,MIN,L,124,129,127.2,132.3,97.5,.438,.382,.584,46.0,55.0,6.2,1.7,,.545,8.6,30.8,.303,,.634,11.8,68.6,.305
14,14,2022-11-16,@,MIL,L,98,113,104.5,120.5,93.7,.202,.333,.536,39.5,61.1,7.5,14.9,,.500,8.0,13.3,.167,,.570,12.5,68.3,.174
15,15,2022-11-18,,CHO,W,132,122,114.8,106.1,95.1,.348,.304,.622,48.5,51.0,7.0,12.1,,.576,15.2,16.3,.283,,.464,10.4,71.7,.182
16,16,2022-11-20,,MIA,W,113,87,122.8,94.6,92.0,.193,.446,.627,62.0,70.5,7.6,2.0,,.608,17.4,40.6,.145,,.425,15.1,76.6,.238
17,17,2022-11-21,,ATL,W,114,102,118.2,105.8,96.4,.329,.271,.711,51.4,57.1,8.3,5.7,,.671,19.2,10.7,.286,,.500,14.5,77.3,.172
18,18,2022-11-23,,POR,W,114,96,131.6,110.8,86.6,.311,.365,.678,54.9,53.7,4.6,8.5,,.635,16.0,34.4,.270,,.532,16.0,71.8,.167
19,19,2022-11-25,@,MIL,L,102,117,106.9,122.6,95.4,.299,.379,.518,48.8,35.3,9.4,3.9,,.460,8.4,22.2,.253,,.596,12.1,79.5,.217
20,20,2022-11-27,@,DET,W,102,94,109.6,101.0,93.0,.429,.364,.557,53.2,42.4,3.2,7.8,,.481,13.3,25.6,.364,,.506,12.6,81.6,.177
21,21,2022-11-28,@,TOR,L,88,100,96.5,109.7,91.2,.178,.422,.453,51.1,61.8,7.7,5.4,,.417,8.5,25.5,.144,,.512,9.9,82.9,.167
22,22,2022-11-30,,PHI,W,113,85,124.5,93.6,90.8,.135,.392,.721,57.1,62.2,11.0,5.9,,.709,18.7,20.7,.108,,.455,15.9,82.9,.195
23,23,2022-12-02,,ORL,W,107,96,116.8,104.8,91.6,.107,.500,.608,45.2,53.7,7.6,8.6,,.583,12.0,14.7,.107,,.543,16.5,71.8,.099
24,24,2022-12-04,@,NYK,L,81,92,82.7,94.0,97.9,.241,.422,.441,41.9,58.6,7.2,10.5,,.398,15.6,16.7,.181,,.436,17.4,68.9,.198
25,25,2022-12-06,,LAL,W,116,102,119.3,104.9,97.2,.183,.290,.577,50.6,52.1,11.3,5.7,,.554,6.5,23.7,.140,,.461,13.8,71.4,.225
