,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,A,MEM,L,121,132,47,93,0.505,14,38,0.368,13,18,0.722,7,36,38,6,5,10,17,119.7,130.6,101.1,0.194,0.409,0.599,40.4,80.9,5.9,7.5,0.581,9.0,14.9,0.14,0.6,8.7,69.0,0.12
1,2021-10-22,H,CHO,L,112,123,43,84,0.512,9,31,0.29,17,20,0.85,7,36,26,9,3,18,15,108.8,119.5,102.9,0.238,0.369,0.603,43.9,60.5,8.7,5.1,0.565,16.2,16.7,0.202,0.599,15.5,72.5,0.154
2,2021-10-23,H,ATL,W,101,95,37,89,0.416,7,28,0.25,20,27,0.741,12,54,23,6,6,10,16,105.6,99.3,95.7,0.303,0.315,0.501,50.0,62.2,6.3,9.2,0.455,9.0,24.5,0.225,0.434,7.9,71.2,0.091
3,2021-10-25,A,DEN,W,99,87,38,82,0.463,7,25,0.28,16,20,0.8,11,49,26,8,5,14,18,102.8,90.4,96.3,0.244,0.305,0.545,51.0,68.4,8.3,10.4,0.506,13.4,23.4,0.195,0.459,18.7,77.6,0.093
4,2021-10-27,A,LAC,W,92,79,33,81,0.407,3,20,0.15,23,27,0.852,14,57,12,9,3,20,14,96.8,83.1,95.0,0.333,0.247,0.495,61.3,36.4,9.5,6.5,0.426,17.7,34.1,0.284,0.408,13.1,82.7,0.092
5,2021-10-29,A,LAL,L,101,113,37,87,0.425,12,34,0.353,15,22,0.682,16,36,28,10,1,15,13,108.5,121.4,93.1,0.253,0.391,0.522,46.2,75.7,10.7,1.8,0.494,13.4,34.0,0.172,0.619,18.5,64.5,0.107
6,2021-10-30,A,PHO,L,92,101,36,91,0.396,14,44,0.318,6,7,0.857,10,47,21,8,3,19,21,91.5,100.4,100.6,0.077,0.484,0.489,47.5,58.3,8.0,5.2,0.473,16.8,18.5,0.066,0.5,11.9,82.2,0.202
7,2021-11-01,A,CHO,W,113,110,39,90,0.433,9,28,0.321,26,38,0.684,17,49,21,12,7,16,14,113.4,110.4,99.7,0.422,0.311,0.529,51.6,53.8,12.0,11.3,0.483,13.0,39.5,0.289,0.49,13.6,61.5,0.109
8,2021-11-03,H,POR,W,107,104,39,74,0.527,15,30,0.5,14,18,0.778,5,43,29,4,2,17,14,114.2,111.0,93.7,0.243,0.405,0.653,52.4,74.4,4.3,3.8,0.628,17.2,14.7,0.189,0.517,8.5,79.2,0.122
9,2021-11-05,A,TOR,W,102,101,38,83,0.458,10,30,0.333,16,19,0.842,11,39,22,4,3,17,13,113.2,112.1,90.1,0.229,0.361,0.558,46.4,57.9,4.4,4.2,0.518,15.7,29.7,0.193,0.485,8.0,59.6,0.051
