,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2021-10-21,@,ATL,L,87,113,31,93,.333,13,43,.302,12,13,.923,10,50,16,7,3,15,21,,45,94,.479,15,35,.429,8,9,.889,6,55,31,8,9,13,16
2,2,2021-10-23,@,TOR,W,103,95,38,91,.418,14,42,.333,13,18,.722,13,50,24,6,6,9,22,,34,85,.400,11,37,.297,16,23,.696,11,49,17,7,6,12,23
3,3,2021-10-26,,HOU,W,116,106,43,93,.462,12,43,.279,18,25,.720,14,50,25,9,7,14,22,,36,86,.419,16,39,.410,18,26,.692,11,49,24,7,3,17,21
4,4,2021-10-28,,SAS,W,104,99,41,89,.461,18,45,.400,4,13,.308,9,45,18,4,7,12,19,,39,88,.443,12,30,.400,9,15,.600,11,48,21,6,11,14,16
5,5,2021-10-29,@,DEN,L,75,106,23,78,.295,8,37,.216,21,27,.778,6,36,14,8,3,15,17,,43,83,.518,11,36,.306,9,13,.692,5,51,28,8,3,19,24
6,6,2021-10-31,,SAC,W,105,99,40,90,.444,12,37,.324,13,20,.650,10,45,24,8,4,9,20,,38,96,.396,7,36,.194,16,20,.800,17,56,20,6,3,12,19
7,7,2021-11-02,,MIA,L,110,125,37,84,.440,14,42,.333,22,31,.710,11,41,17,1,3,9,21,,43,83,.518,13,25,.520,26,30,.867,9,45,25,6,5,6,25
8,8,2021-11-03,@,SAS,W,109,108,40,93,.430,8,34,.235,21,29,.724,15,56,21,10,4,19,23,,43,88,.489,7,21,.333,15,20,.750,5,40,25,10,10,15,24
9,9,2021-11-06,,BOS,W,107,104,41,78,.526,13,39,.333,12,14,.857,7,40,19,7,6,15,18,,42,86,.488,9,31,.290,11,16,.688,8,36,20,6,2,11,14
10,10,2021-11-08,,NOP,W,108,92,43,85,.506,14,35,.400,8,13,.615,9,46,27,7,3,12,15,,37,87,.425,9,34,.265,9,11,.818,9,39,27,7,0,13,16
11,11,2021-11-10,@,CHI,L,107,117,38,83,.458,12,33,.364,19,24,.792,8,43,23,9,4,12,16,,45,89,.506,15,31,.484,12,14,.857,8,46,26,9,2,11,15
12,12,2021-11-12,@,SAS,W,123,109,46,100,.460,18,45,.400,13,19,.684,10,48,30,9,7,5,18,,41,84,.488,13,30,.433,14,20,.700,3,41,30,3,3,13,17
13,13,2021-11-15,,DEN,W,111,101,45,90,.500,14,36,.389,7,10,.700,10,44,30,7,2,8,19,,40,84,.476,9,32,.281,12,17,.706,10,46,20,4,5,11,16
14,14,2021-11-17,@,PHO,L,98,105,38,91,.418,16,32,.500,6,6,1.000,8,49,28,5,2,10,14,,41,93,.441,13,39,.333,10,14,.714,8,49,27,6,7,7,9
15,15,2021-11-19,@,PHO,L,104,112,37,90,.411,12,40,.300,18,23,.783,10,40,25,15,1,10,17,,44,85,.518,14,29,.483,10,14,.714,10,53,28,7,4,17,22
16,16,2021-11-21,@,LAC,L,91,97,34,83,.410,6,30,.200,17,18,.944,8,39,21,6,5,10,21,,36,75,.480,12,29,.414,13,18,.722,8,42,18,5,2,14,15
17,17,2021-11-23,@,LAC,W,112,104,39,89,.438,12,39,.308,22,27,.815,12,42,22,11,5,14,23,,35,85,.412,10,32,.313,24,29,.828,12,47,17,5,3,18,24
18,18,2021-11-27,,WAS,L,114,120,42,89,.472,14,38,.368,16,22,.727,9,35,23,7,4,7,21,,45,78,.577,9,24,.375,21,26,.808,7,43,28,4,4,14,18
19,19,2021-11-29,,CLE,L,96,114,39,89,.438,12,39,.308,6,15,.400,7,33,20,8,7,10,15,,45,80,.563,10,19,.526,14,18,.778,5,48,29,3,4,19,22
20,20,2021-12-01,@,NOP,W,139,107,57,83,.687,18,34,.529,7,9,.778,9,34,32,7,2,18,19,,40,89,.449,13,37,.351,14,16,.875,16,32,22,10,1,13,12
21,21,2021-12-03,,NOP,L,91,107,32,79,.405,10,34,.294,17,26,.654,5,42,17,4,3,15,23,,37,90,.411,12,30,.400,21,28,.750,13,55,30,5,5,10,26
22,22,2021-12-04,,MEM,L,90,97,31,92,.337,15,43,.349,13,19,.684,14,42,19,10,1,13,21,,37,76,.487,9,26,.346,14,24,.583,10,52,20,10,5,22,23
23,23,2021-12-07,,BRK,L,99,102,36,90,.400,9,46,.196,18,22,.818,10,39,21,6,2,4,15,,42,83,.506,8,26,.308,10,13,.769,8,50,28,3,4,12,22
24,24,2021-12-08,@,MEM,W,104,96,37,77,.481,12,33,.364,18,23,.783,10,47,24,5,6,18,21,,36,90,.400,9,31,.290,15,25,.600,12,40,23,14,3,13,23
25,25,2021-12-10,@,IND,L,93,106,39,84,.464,4,29,.138,11,12,.917,12,37,18,7,2,12,18,,41,87,.471,13,36,.361,11,12,.917,13,44,28,7,3,11,19
26,26,2021-12-12,@,OKC,W,103,84,38,90,.422,9,33,.273,18,23,.783,10,54,25,5,5,6,18,,30,80,.375,13,37,.351,11,16,.688,3,39,19,3,7,11,25
27,27,2021-12-13,,CHO,W,120,96,43,83,.518,19,41,.463,15,17,.882,14,50,28,4,8,9,19,,34,86,.395,13,37,.351,15,24,.625,18,38,22,8,2,8,18
