,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2021-10-21,@,ATL,L,87,113,84.6,109.9,102.9,.140,.462,.441,47.6,51.6,6.8,5.1,,.403,13.2,16.9,.129,,.559,11.7,87.0,.085
2,2,2021-10-23,@,TOR,W,103,95,110.5,101.9,93.2,.198,.462,.521,50.5,63.2,6.4,12.5,,.495,8.3,25.5,.143,,.465,11.2,77.1,.188
3,3,2021-10-26,,HOU,W,116,106,114.0,104.2,101.7,.269,.462,.558,50.5,58.1,8.8,14.9,,.527,11.9,26.9,.194,,.512,14.9,76.6,.209
4,4,2021-10-28,,SAS,W,104,99,108.4,103.2,95.9,.146,.506,.549,48.4,43.9,4.2,12.1,,.562,11.2,19.6,.045,,.511,12.9,76.6,.102
5,5,2021-10-29,@,DEN,L,75,106,75.7,107.0,99.0,.346,.474,.417,41.4,60.9,8.1,6.4,,.346,14.3,11.5,.269,,.584,17.6,85.7,.108
6,6,2021-10-31,,SAC,W,105,99,109.5,103.2,95.9,.222,.411,.531,44.6,60.0,8.3,6.7,,.511,8.3,20.4,.144,,.432,10.3,67.3,.167
7,7,2021-11-02,,MIA,L,110,125,119.1,135.3,92.4,.369,.500,.563,47.7,45.9,1.1,5.2,,.524,8.4,23.4,.262,,.596,5.9,76.9,.313
8,8,2021-11-03,@,SAS,W,109,108,102.7,101.7,106.2,.312,.366,.515,58.3,52.5,9.4,6.0,,.473,15.2,30.0,.226,,.528,13.4,89.1,.170
9,9,2021-11-06,,BOS,W,107,104,115.7,112.5,92.4,.179,.500,.636,52.6,46.3,7.6,10.9,,.609,15.1,20.0,.154,,.541,10.6,80.5,.128
10,10,2021-11-08,,NOP,W,108,92,116.3,99.1,92.9,.153,.412,.595,54.1,62.8,7.5,5.7,,.588,11.7,23.1,.094,,.477,12.4,80.4,.103
11,11,2021-11-10,@,CHI,L,107,117,110.8,121.2,96.5,.289,.398,.572,48.3,60.5,9.3,6.9,,.530,11.4,17.4,.229,,.590,10.4,81.4,.135
12,12,2021-11-12,@,SAS,W,123,109,121.7,107.8,101.1,.190,.450,.568,53.9,65.2,8.9,13.0,,.550,4.4,20.8,.130,,.565,12.3,92.7,.167
13,13,2021-11-15,,DEN,W,111,101,121.6,110.6,91.3,.111,.400,.588,48.9,66.7,7.7,3.8,,.578,7.8,21.7,.078,,.530,10.7,77.3,.143
14,14,2021-11-17,@,PHO,L,98,105,102.8,110.1,95.3,.066,.352,.523,50.0,73.7,5.2,3.7,,.505,9.6,16.3,.066,,.511,6.6,83.7,.108
15,15,2021-11-19,@,PHO,L,104,112,106.6,114.8,97.6,.256,.444,.519,43.0,67.6,15.4,1.8,,.478,9.1,18.9,.200,,.600,15.7,75.0,.118
16,16,2021-11-21,@,LAC,L,91,97,102.3,109.1,88.9,.217,.361,.500,48.1,61.8,6.7,10.9,,.446,9.9,19.0,.205,,.560,14.4,79.5,.173
17,17,2021-11-23,@,LAC,W,112,104,112.3,104.3,90.3,.303,.438,.555,47.2,56.4,11.0,9.4,,.506,12.2,25.5,.247,,.471,15.5,71.4,.282
18,18,2021-11-27,,WAS,L,114,120,120.2,126.5,94.8,.247,.427,.578,44.9,54.8,7.4,7.4,,.551,6.6,20.0,.180,,.635,13.5,78.8,.269
19,19,2021-11-29,,CLE,L,96,114,97.1,115.3,98.8,.169,.438,.502,40.7,51.3,8.1,11.5,,.506,9.5,14.0,.067,,.625,17.8,83.9,.175
20,20,2021-12-01,@,NOP,W,139,107,152.3,117.2,91.3,.108,.410,.799,51.5,56.1,7.7,3.8,,.795,17.1,36.0,.084,,.522,11.9,61.0,.157
21,21,2021-12-03,,NOP,L,91,107,93.1,109.5,97.8,.329,.430,.503,43.3,53.1,4.1,5.0,,.468,14.2,10.6,.215,,.478,8.9,74.0,.233
22,22,2021-12-04,,MEM,L,90,97,93.3,100.6,96.5,.207,.467,.448,44.7,61.3,10.4,2.0,,.418,11.5,25.0,.141,,.546,20.3,73.7,.184
23,23,2021-12-07,,BRK,L,99,102,108.6,111.8,91.2,.244,.511,.497,43.8,58.3,6.6,3.5,,.450,3.9,19.2,.200,,.554,11.9,78.4,.120
24,24,2021-12-08,@,MEM,W,104,96,108.5,100.1,95.9,.299,.429,.597,54.0,64.9,5.2,10.2,,.558,17.1,26.3,.234,,.450,11.4,75.5,.167
25,25,2021-12-10,@,IND,L,93,106,107.3,122.3,86.7,.143,.345,.521,45.7,46.2,8.1,3.9,,.488,11.8,27.9,.131,,.546,10.7,65.8,.126
26,26,2021-12-12,@,OKC,W,103,84,110.1,89.8,93.5,.256,.367,.514,58.1,65.8,5.3,11.6,,.472,5.7,21.7,.200,,.456,11.2,93.6,.138
27,27,2021-12-13,,CHO,W,120,96,144.4,115.5,83.1,.205,.494,.663,56.8,65.1,4.8,16.3,,.633,9.0,41.2,.181,,.471,7.7,66.7,.174
28,28,2021-12-15,,LAL,L,104,107,98.0,100.8,96.1,.173,.449,.493,52.6,56.4,3.8,5.9,,.459,9.4,16.0,.143,,.517,12.5,91.5,.156
29,29,2021-12-19,@,MIN,L,105,111,114.4,120.9,91.8,.268,.500,.573,52.6,75.0,5.4,4.7,,.512,9.8,18.4,.256,,.565,9.0,85.0,.312
30,30,2021-12-21,,MIN,W,114,102,121.4,108.6,93.9,.267,.395,.593,53.0,71.4,11.7,7.7,,.552,9.4,25.0,.221,,.538,16.2,79.1,.215
31,31,2021-12-23,,MIL,L,95,102,99.7,107.0,95.3,.198,.523,.508,47.8,71.4,6.3,4.3,,.477,10.5,16.3,.151,,.512,11.6,85.4,.220
32,32,2021-12-25,@,UTA,L,116,120,110.3,114.1,105.2,.393,.337,.556,46.7,50.0,6.7,5.6,,.483,11.1,18.2,.337,,.511,11.6,72.9,.311
33,33,2021-12-27,@,POR,W,132,117,132.9,117.8,99.3,.393,.393,.670,55.4,79.2,6.0,9.5,,.643,11.7,28.6,.286,,.500,9.9,79.5,.427
34,34,2021-12-29,@,SAC,L,94,95,107.1,108.2,87.8,.160,.296,.542,48.6,60.5,8.0,10.2,,.525,11.3,18.4,.111,,.547,14.6,80.6,.173
35,35,2021-12-31,@,SAC,W,112,96,121.3,104.0,92.3,.272,.272,.618,58.8,71.4,5.4,11.3,,.574,10.8,28.6,.235,,.473,9.4,82.2,.110
36,36,2022-01-02,@,OKC,W,95,86,101.6,92.0,93.5,.082,.459,.539,53.9,73.7,9.6,5.5,,.529,15.4,17.1,.059,,.471,11.0,85.4,.071
37,37,2022-01-03,,DEN,W,103,89,112.6,97.3,91.5,.269,.474,.590,37.3,65.7,13.1,11.9,,.538,11.2,12.2,.244,,.507,23.9,67.6,.313
38,38,2022-01-05,,GSW,W,99,82,103.4,85.7,95.7,.299,.460,.503,50.0,66.7,6.3,9.4,,.448,10.9,20.8,.241,,.438,15.4,81.8,.136
39,39,2022-01-07,@,HOU,W,130,106,124.7,101.7,104.2,.311,.422,.635,57.9,69.4,5.8,9.1,,.639,12.0,25.0,.167,,.494,11.5,86.3,.230
