,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-21,A,ATL,L,87,113,31,93,0.333,13,43,0.302,12,13,0.923,10,50,16,7,3,15,21,84.6,109.9,102.9,0.14,0.462,0.441,47.6,51.6,6.8,5.1,0.403,13.2,16.9,0.129,0.559,11.7,87.0,0.085
1,2021-10-23,A,TOR,W,103,95,38,91,0.418,14,42,0.333,13,18,0.722,13,50,24,6,6,9,22,110.5,101.9,93.2,0.198,0.462,0.521,50.5,63.2,6.4,12.5,0.495,8.3,25.5,0.143,0.465,11.2,77.1,0.188
2,2021-10-26,H,HOU,W,116,106,43,93,0.462,12,43,0.279,18,25,0.72,14,50,25,9,7,14,22,114.0,104.2,101.7,0.269,0.462,0.558,50.5,58.1,8.8,14.9,0.527,11.9,26.9,0.194,0.512,14.9,76.6,0.209
3,2021-10-28,H,SAS,W,104,99,41,89,0.461,18,45,0.4,4,13,0.308,9,45,18,4,7,12,19,108.4,103.2,95.9,0.146,0.506,0.549,48.4,43.9,4.2,12.1,0.562,11.2,19.6,0.045,0.511,12.9,76.6,0.102
4,2021-10-29,A,DEN,L,75,106,23,78,0.295,8,37,0.216,21,27,0.778,6,36,14,8,3,15,17,75.7,107.0,99.0,0.346,0.474,0.417,41.4,60.9,8.1,6.4,0.346,14.3,11.5,0.269,0.584,17.6,85.7,0.108
5,2021-10-31,H,SAC,W,105,99,40,90,0.444,12,37,0.324,13,20,0.65,10,45,24,8,4,9,20,109.5,103.2,95.9,0.222,0.411,0.531,44.6,60.0,8.3,6.7,0.511,8.3,20.4,0.144,0.432,10.3,67.3,0.167
6,2021-11-02,H,MIA,L,110,125,37,84,0.44,14,42,0.333,22,31,0.71,11,41,17,1,3,9,21,119.1,135.3,92.4,0.369,0.5,0.563,47.7,45.9,1.1,5.2,0.524,8.4,23.4,0.262,0.596,5.9,76.9,0.313
7,2021-11-03,A,SAS,W,109,108,40,93,0.43,8,34,0.235,21,29,0.724,15,56,21,10,4,19,23,102.7,101.7,106.2,0.312,0.366,0.515,58.3,52.5,9.4,6.0,0.473,15.2,30.0,0.226,0.528,13.4,89.1,0.17
8,2021-11-06,H,BOS,W,107,104,41,78,0.526,13,39,0.333,12,14,0.857,7,40,19,7,6,15,18,115.7,112.5,92.4,0.179,0.5,0.636,52.6,46.3,7.6,10.9,0.609,15.1,20.0,0.154,0.541,10.6,80.5,0.128
9,2021-11-08,H,NOP,W,108,92,43,85,0.506,14,35,0.4,8,13,0.615,9,46,27,7,3,12,15,116.3,99.1,92.9,0.153,0.412,0.595,54.1,62.8,7.5,5.7,0.588,11.7,23.1,0.094,0.477,12.4,80.4,0.103
10,2021-11-10,A,CHI,L,107,117,38,83,0.458,12,33,0.364,19,24,0.792,8,43,23,9,4,12,16,110.8,121.2,96.5,0.289,0.398,0.572,48.3,60.5,9.3,6.9,0.53,11.4,17.4,0.229,0.59,10.4,81.4,0.135
11,2021-11-12,A,SAS,W,123,109,46,100,0.46,18,45,0.4,13,19,0.684,10,48,30,9,7,5,18,121.7,107.8,101.1,0.19,0.45,0.568,53.9,65.2,8.9,13.0,0.55,4.4,20.8,0.13,0.565,12.3,92.7,0.167
12,2021-11-15,H,DEN,W,111,101,45,90,0.5,14,36,0.389,7,10,0.7,10,44,30,7,2,8,19,121.6,110.6,91.3,0.111,0.4,0.588,48.9,66.7,7.7,3.8,0.578,7.8,21.7,0.078,0.53,10.7,77.3,0.143
13,2021-11-17,A,PHO,L,98,105,38,91,0.418,16,32,0.5,6,6,1.0,8,49,28,5,2,10,14,102.8,110.1,95.3,0.066,0.352,0.523,50.0,73.7,5.2,3.7,0.505,9.6,16.3,0.066,0.511,6.6,83.7,0.108
14,2021-11-19,A,PHO,L,104,112,37,90,0.411,12,40,0.3,18,23,0.783,10,40,25,15,1,10,17,106.6,114.8,97.6,0.256,0.444,0.519,43.0,67.6,15.4,1.8,0.478,9.1,18.9,0.2,0.6,15.7,75.0,0.118
15,2021-11-21,A,LAC,L,91,97,34,83,0.41,6,30,0.2,17,18,0.944,8,39,21,6,5,10,21,102.3,109.1,88.9,0.217,0.361,0.5,48.1,61.8,6.7,10.9,0.446,9.9,19.0,0.205,0.56,14.4,79.5,0.173
16,2021-11-23,A,LAC,W,112,104,39,89,0.438,12,39,0.308,22,27,0.815,12,42,22,11,5,14,23,112.3,104.3,90.3,0.303,0.438,0.555,47.2,56.4,11.0,9.4,0.506,12.2,25.5,0.247,0.471,15.5,71.4,0.282
17,2021-11-27,H,WAS,L,114,120,42,89,0.472,14,38,0.368,16,22,0.727,9,35,23,7,4,7,21,120.2,126.5,94.8,0.247,0.427,0.578,44.9,54.8,7.4,7.4,0.551,6.6,20.0,0.18,0.635,13.5,78.8,0.269
18,2021-11-29,H,CLE,L,96,114,39,89,0.438,12,39,0.308,6,15,0.4,7,33,20,8,7,10,15,97.1,115.3,98.8,0.169,0.438,0.502,40.7,51.3,8.1,11.5,0.506,9.5,14.0,0.067,0.625,17.8,83.9,0.175
19,2021-12-01,A,NOP,W,139,107,57,83,0.687,18,34,0.529,7,9,0.778,9,34,32,7,2,18,19,152.3,117.2,91.3,0.108,0.41,0.799,51.5,56.1,7.7,3.8,0.795,17.1,36.0,0.084,0.522,11.9,61.0,0.157
20,2021-12-03,H,NOP,L,91,107,32,79,0.405,10,34,0.294,17,26,0.654,5,42,17,4,3,15,23,93.1,109.5,97.8,0.329,0.43,0.503,43.3,53.1,4.1,5.0,0.468,14.2,10.6,0.215,0.478,8.9,74.0,0.233
21,2021-12-04,H,MEM,L,90,97,31,92,0.337,15,43,0.349,13,19,0.684,14,42,19,10,1,13,21,93.3,100.6,96.5,0.207,0.467,0.448,44.7,61.3,10.4,2.0,0.418,11.5,25.0,0.141,0.546,20.3,73.7,0.184
22,2021-12-07,H,BRK,L,99,102,36,90,0.4,9,46,0.196,18,22,0.818,10,39,21,6,2,4,15,108.6,111.8,91.2,0.244,0.511,0.497,43.8,58.3,6.6,3.5,0.45,3.9,19.2,0.2,0.554,11.9,78.4,0.12
23,2021-12-08,A,MEM,W,104,96,37,77,0.481,12,33,0.364,18,23,0.783,10,47,24,5,6,18,21,108.5,100.1,95.9,0.299,0.429,0.597,54.0,64.9,5.2,10.2,0.558,17.1,26.3,0.234,0.45,11.4,75.5,0.167
24,2021-12-10,A,IND,L,93,106,39,84,0.464,4,29,0.138,11,12,0.917,12,37,18,7,2,12,18,107.3,122.3,86.7,0.143,0.345,0.521,45.7,46.2,8.1,3.9,0.488,11.8,27.9,0.131,0.546,10.7,65.8,0.126
25,2021-12-12,A,OKC,W,103,84,38,90,0.422,9,33,0.273,18,23,0.783,10,54,25,5,5,6,18,110.1,89.8,93.5,0.256,0.367,0.514,58.1,65.8,5.3,11.6,0.472,5.7,21.7,0.2,0.456,11.2,93.6,0.138
26,2021-12-13,H,CHO,W,120,96,43,83,0.518,19,41,0.463,15,17,0.882,14,50,28,4,8,9,19,144.4,115.5,83.1,0.205,0.494,0.663,56.8,65.1,4.8,16.3,0.633,9.0,41.2,0.181,0.471,7.7,66.7,0.174
27,2021-12-15,H,LAL,L,104,107,39,98,0.398,12,44,0.273,14,17,0.824,8,51,22,4,3,11,21,98.0,100.8,96.1,0.173,0.449,0.493,52.6,56.4,3.8,5.9,0.459,9.4,16.0,0.143,0.517,12.5,91.5,0.156
28,2021-12-19,A,MIN,L,105,111,36,82,0.439,12,41,0.293,21,22,0.955,7,41,27,5,2,10,25,114.4,120.9,91.8,0.268,0.5,0.573,52.6,75.0,5.4,4.7,0.512,9.8,18.4,0.256,0.565,9.0,85.0,0.312
29,2021-12-21,H,MIN,W,114,102,42,86,0.488,11,34,0.324,19,23,0.826,10,44,30,11,3,10,22,121.4,108.6,93.9,0.267,0.395,0.593,53.0,71.4,11.7,7.7,0.552,9.4,25.0,0.221,0.538,16.2,79.1,0.215
30,2021-12-23,H,MIL,L,95,102,35,86,0.407,12,45,0.267,13,17,0.765,8,43,25,6,2,11,21,99.7,107.0,95.3,0.198,0.523,0.508,47.8,71.4,6.3,4.3,0.477,10.5,16.3,0.151,0.512,11.6,85.4,0.22
31,2021-12-25,A,UTA,L,116,120,38,89,0.427,10,30,0.333,30,35,0.857,8,43,19,7,3,13,31,110.3,114.1,105.2,0.393,0.337,0.556,46.7,50.0,6.7,5.6,0.483,11.1,18.2,0.337,0.511,11.6,72.9,0.311
32,2021-12-27,A,POR,W,132,117,48,84,0.571,12,33,0.364,24,33,0.727,10,41,38,6,4,13,31,132.9,117.8,99.3,0.393,0.393,0.67,55.4,79.2,6.0,9.5,0.643,11.7,28.6,0.286,0.5,9.9,79.5,0.427
33,2021-12-29,A,SAC,L,94,95,38,81,0.469,9,24,0.375,9,13,0.692,7,36,23,7,5,11,19,107.1,108.2,87.8,0.16,0.296,0.542,48.6,60.5,8.0,10.2,0.525,11.3,18.4,0.111,0.547,14.6,80.6,0.173
34,2021-12-31,A,SAC,W,112,96,42,81,0.519,9,22,0.409,19,22,0.864,10,47,30,5,7,11,14,121.3,104.0,92.3,0.272,0.272,0.618,58.8,71.4,5.4,11.3,0.574,10.8,28.6,0.235,0.473,9.4,82.2,0.11
35,2022-01-02,A,OKC,W,95,86,38,85,0.447,14,39,0.359,5,7,0.714,7,48,28,9,3,16,12,101.6,92.0,93.5,0.082,0.459,0.539,53.9,73.7,9.6,5.5,0.529,15.4,17.1,0.059,0.471,11.0,85.4,0.071
36,2022-01-03,H,DEN,W,103,89,35,78,0.449,14,37,0.378,19,21,0.905,5,28,23,12,5,11,21,112.6,97.3,91.5,0.269,0.474,0.59,37.3,65.7,13.1,11.9,0.538,11.2,12.2,0.244,0.507,23.9,67.6,0.313
37,2022-01-05,H,GSW,W,99,82,33,87,0.379,12,40,0.3,21,26,0.808,10,46,22,6,5,12,15,103.4,85.7,95.7,0.299,0.46,0.503,50.0,66.7,6.3,9.4,0.448,10.9,20.8,0.241,0.438,15.4,81.8,0.136
38,2022-01-07,A,HOU,W,130,106,49,90,0.544,17,38,0.447,15,28,0.536,11,55,34,6,4,14,24,124.7,101.7,104.2,0.311,0.422,0.635,57.9,69.4,5.8,9.1,0.639,12.0,25.0,0.167,0.494,11.5,86.3,0.23
39,2022-01-09,H,CHI,W,113,99,44,88,0.5,16,36,0.444,9,9,1.0,7,48,28,4,2,9,14,122.0,106.9,92.6,0.102,0.409,0.614,55.2,63.6,4.3,3.5,0.591,8.9,18.4,0.102,0.494,6.8,83.7,0.111
40,2022-01-12,A,NYK,L,85,108,32,78,0.41,8,37,0.216,13,19,0.684,5,39,16,6,2,13,18,91.4,116.2,93.0,0.244,0.474,0.492,41.9,50.0,6.5,3.2,0.462,13.1,10.4,0.167,0.533,8.5,75.6,0.133
41,2022-01-14,A,MEM,W,112,85,47,91,0.516,8,32,0.25,10,16,0.625,8,52,30,8,1,13,19,113.1,85.8,99.0,0.176,0.352,0.571,55.9,63.8,8.1,1.7,0.56,11.7,20.5,0.11,0.421,12.9,81.5,0.112
42,2022-01-15,H,ORL,W,108,92,32,78,0.41,12,34,0.353,32,38,0.842,12,47,16,6,3,9,18,118.8,101.2,90.9,0.487,0.436,0.57,56.0,50.0,6.6,5.9,0.487,8.7,27.3,0.41,0.526,15.1,87.5,0.143
43,2022-01-17,H,OKC,W,104,102,35,88,0.398,12,37,0.324,22,28,0.786,11,47,28,10,7,11,19,105.8,103.7,98.3,0.318,0.42,0.518,52.8,80.0,10.2,14.6,0.466,9.9,22.9,0.25,0.5,12.2,87.8,0.229
44,2022-01-19,H,TOR,W,102,98,37,76,0.487,9,33,0.273,19,20,0.95,10,45,23,5,0,16,20,111.3,107.0,91.6,0.263,0.434,0.601,50.6,62.2,5.5,0.0,0.546,15.9,26.3,0.25,0.429,10.5,68.6,0.22
45,2022-01-20,H,PHO,L,101,109,37,85,0.435,11,37,0.297,16,20,0.8,10,50,19,1,3,19,22,102.0,110.1,99.0,0.235,0.435,0.538,55.6,51.4,1.0,6.0,0.5,16.8,22.2,0.188,0.5,6.7,88.9,0.267
46,2022-01-23,H,MEM,W,104,91,36,74,0.486,9,30,0.3,23,31,0.742,9,42,22,10,12,15,23,110.9,97.0,93.8,0.419,0.405,0.593,45.7,61.1,10.7,16.0,0.547,14.6,23.7,0.311,0.394,12.3,61.1,0.131
47,2022-01-25,A,GSW,L,92,130,32,91,0.352,10,40,0.25,18,18,1.0,10,39,17,9,4,11,17,93.1,131.5,98.8,0.198,0.44,0.465,40.2,53.1,9.1,8.2,0.407,10.0,17.9,0.198,0.625,12.3,70.7,0.163
48,2022-01-26,A,POR,W,132,112,48,88,0.545,16,36,0.444,20,26,0.769,6,45,35,6,6,8,21,133.8,113.5,98.6,0.295,0.409,0.664,54.2,72.9,6.1,13.6,0.636,7.4,14.6,0.227,0.598,8.9,92.9,0.171
49,2022-01-29,H,IND,W,132,105,51,96,0.531,16,34,0.471,14,22,0.636,11,46,31,8,7,5,19,133.4,106.1,98.9,0.229,0.354,0.625,49.5,60.8,8.1,12.1,0.615,4.5,22.9,0.146,0.489,9.8,77.8,0.176
50,2022-01-30,A,ORL,L,108,110,39,81,0.481,16,38,0.421,14,18,0.778,7,40,22,9,4,18,19,110.8,112.9,97.5,0.222,0.469,0.607,50.0,56.4,9.2,8.0,0.58,16.8,18.4,0.173,0.577,14.9,78.6,0.155
51,2022-02-02,H,OKC,L,114,120,46,98,0.469,14,43,0.326,8,10,0.8,13,39,28,12,8,13,21,115.5,121.6,89.4,0.102,0.439,0.557,43.8,60.9,12.2,16.3,0.541,11.3,26.5,0.082,0.576,15.7,65.0,0.244
52,2022-02-04,H,PHI,W,107,98,39,85,0.459,10,34,0.294,19,23,0.826,11,40,22,8,0,10,18,120.9,110.8,88.5,0.271,0.4,0.562,52.6,56.4,9.0,0.0,0.518,9.5,26.8,0.224,0.579,14.0,82.9,0.243
53,2022-02-06,H,ATL,W,103,94,38,88,0.432,16,36,0.444,11,13,0.846,12,48,25,8,5,14,25,109.2,99.6,94.3,0.148,0.409,0.55,49.0,65.8,8.5,7.1,0.523,13.0,25.5,0.125,0.416,10.5,70.6,0.158
54,2022-02-08,H,DET,W,116,86,40,79,0.506,18,36,0.5,18,23,0.783,6,47,24,10,5,13,18,121.1,89.8,95.8,0.291,0.456,0.651,51.1,60.0,10.4,8.8,0.62,12.7,15.8,0.228,0.408,13.4,75.9,0.172
55,2022-02-10,H,LAC,W,112,105,38,78,0.487,13,39,0.333,23,27,0.852,8,41,19,4,3,13,23,119.0,111.6,94.1,0.346,0.5,0.623,56.9,50.0,4.3,5.2,0.571,12.6,22.9,0.295,0.537,9.8,89.2,0.222
56,2022-02-12,H,LAC,L,97,99,35,85,0.412,15,39,0.385,12,19,0.632,13,44,16,4,0,14,17,104.3,106.4,93.0,0.224,0.459,0.519,51.2,45.7,4.3,0.0,0.5,13.0,26.5,0.141,0.567,13.9,83.8,0.073
57,2022-02-15,A,MIA,W,107,99,34,76,0.447,18,41,0.439,21,33,0.636,12,38,27,5,7,8,26,123.8,114.6,86.4,0.434,0.539,0.591,44.2,79.4,5.8,12.3,0.566,8.1,26.7,0.276,0.458,11.1,63.4,0.262
58,2022-02-17,A,NOP,W,125,118,44,82,0.537,19,40,0.475,18,25,0.72,7,38,18,5,4,8,22,132.6,125.2,94.2,0.305,0.488,0.672,44.2,40.9,5.3,6.3,0.652,7.9,18.4,0.22,0.565,11.4,64.6,0.152
59,2022-02-25,A,UTA,L,109,114,42,88,0.477,17,39,0.436,8,8,1.0,8,30,22,9,3,11,21,118.9,124.4,91.6,0.091,0.443,0.595,40.5,52.4,9.8,8.3,0.574,10.7,18.6,0.091,0.649,17.7,71.0,0.243
60,2022-02-27,A,GSW,W,107,101,39,78,0.5,13,34,0.382,16,20,0.8,6,45,16,5,7,18,18,110.7,104.5,96.7,0.256,0.436,0.616,50.6,41.0,5.2,13.5,0.583,17.2,15.8,0.205,0.489,9.1,76.5,0.132
