 
,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-10-19,@,UTA,L,102,123,40,83,.482,5,22,.227,17,18,.944,10,35,21,10,3,21,23,,42,83,.506,16,38,.421,23,31,.742,11,43,27,10,1,19,21
2,2,2022-10-21,@,GSW,W,128,123,46,86,.535,15,34,.441,21,25,.840,12,41,30,10,2,20,22,,42,88,.477,15,44,.341,24,27,.889,7,35,34,10,3,18,23
3,3,2022-10-22,,OKC,W,122,117,42,85,.494,20,38,.526,18,31,.581,9,46,33,5,6,18,21,,42,94,.447,15,38,.395,18,23,.783,10,47,29,10,5,12,27
4,4,2022-10-24,@,POR,L,110,135,45,91,.495,12,31,.387,8,14,.571,10,38,28,4,1,8,28,,48,83,.578,16,35,.457,23,31,.742,9,45,23,3,6,8,15
5,5,2022-10-26,,LAL,W,110,99,42,92,.457,9,34,.265,17,21,.810,9,54,34,12,5,11,17,,40,90,.444,8,30,.267,11,16,.688,7,47,25,8,4,14,16
6,6,2022-10-28,,UTA,W,117,101,39,85,.459,17,37,.459,22,34,.647,17,58,18,2,4,12,18,,38,91,.418,10,39,.256,15,19,.789,8,38,24,7,8,9,30
7,7,2022-10-30,@,LAL,L,110,121,41,96,.427,15,40,.375,13,18,.722,13,48,24,3,8,9,15,,46,96,.479,13,30,.433,16,20,.800,13,51,24,5,5,8,17
8,8,2022-11-03,@,OKC,W,122,110,45,84,.536,18,31,.581,14,16,.875,8,47,32,5,2,18,15,,45,93,.484,6,29,.207,14,19,.737,10,40,19,9,5,10,19
9,9,2022-11-05,,SAS,W,126,101,53,87,.609,15,29,.517,5,10,.500,10,47,37,10,0,16,15,,39,80,.488,12,30,.400,11,19,.579,6,28,28,8,3,15,13
10,10,2022-11-07,@,SAS,W,115,109,47,88,.534,8,24,.333,13,20,.650,8,40,33,14,7,20,14,,43,82,.524,12,33,.364,11,18,.611,10,38,31,14,5,24,17
11,11,2022-11-09,@,IND,W,122,119,43,88,.489,12,28,.429,24,26,.923,11,47,27,10,7,20,15,,45,96,.469,14,42,.333,15,19,.789,11,44,28,9,5,18,23
12,12,2022-11-11,@,BOS,L,112,131,42,92,.457,12,29,.414,16,20,.800,11,38,26,3,1,5,16,,50,90,.556,16,37,.432,15,20,.750,10,46,30,3,5,7,19
13,13,2022-11-13,@,CHI,W,126,103,48,80,.600,13,27,.481,17,21,.810,5,36,33,11,3,16,17,,40,81,.494,6,22,.273,17,21,.810,8,36,24,9,4,18,19
14,14,2022-11-16,,NYK,L,103,106,36,82,.439,14,38,.368,17,20,.850,8,42,18,3,5,15,25,,37,84,.440,8,34,.235,24,31,.774,6,40,24,12,5,7,18
15,15,2022-11-18,@,DAL,L,99,127,38,90,.422,10,30,.333,13,18,.722,13,36,24,4,1,11,20,,46,77,.597,13,32,.406,22,28,.786,6,44,29,5,3,10,19
16,16,2022-11-20,@,DAL,W,98,97,37,78,.474,9,27,.333,15,19,.789,4,44,22,10,5,15,20,,35,78,.449,15,42,.357,12,21,.571,6,36,24,5,3,12,18
17,17,2022-11-22,,DET,L,108,110,43,86,.500,5,19,.263,17,26,.654,15,42,28,7,8,17,21,,45,88,.511,8,28,.286,12,14,.857,12,40,27,7,5,16,24
18,18,2022-11-23,@,OKC,W,131,126,42,88,.477,14,38,.368,33,41,.805,17,55,31,4,8,17,24,,42,97,.433,18,40,.450,24,28,.857,12,39,26,6,7,9,27
19,19,2022-11-25,@,LAC,W,114,104,44,89,.494,10,30,.333,16,23,.696,10,37,27,9,5,6,24,,37,68,.544,11,22,.500,19,34,.559,4,33,22,1,5,14,20
20,20,2022-11-28,,HOU,W,129,113,50,88,.568,12,30,.400,17,20,.850,13,43,31,8,4,14,22,,39,85,.459,16,44,.364,19,25,.760,12,37,25,4,2,17,20
21,21,2022-11-30,,HOU,W,120,100,44,83,.530,17,32,.531,15,20,.750,8,42,30,6,8,11,21,,37,88,.420,12,41,.293,14,18,.778,10,39,18,5,6,14,20
22,22,2022-12-02,@,ATL,L,109,117,45,85,.529,12,32,.375,7,13,.538,9,33,31,8,0,15,12,,49,88,.557,10,28,.357,9,14,.643,12,43,24,7,3,12,14
23,23,2022-12-04,@,NOP,L,106,121,41,81,.506,8,31,.258,16,24,.667,9,43,24,5,5,19,22,,41,81,.506,11,26,.423,28,36,.778,6,36,29,10,5,10,22
24,24,2022-12-06,,DAL,L,115,116,40,78,.513,13,32,.406,22,28,.786,8,36,30,8,4,17,28,,36,72,.500,17,36,.472,27,31,.871,4,35,27,10,4,15,32
25,25,2022-12-08,@,POR,W,121,120,47,91,.516,12,30,.400,15,22,.682,16,48,28,6,5,16,16,,44,91,.484,16,40,.400,16,16,1.000,13,38,30,10,3,12,20
26,26,2022-12-10,,UTA,W,115,110,47,86,.547,8,26,.308,13,16,.813,6,39,28,5,8,8,17,,39,85,.459,15,41,.366,17,21,.810,10,42,20,5,6,13,20
27,27,2022-12-14,,WAS,W,141,128,54,83,.651,4,16,.250,29,35,.829,7,45,31,8,7,18,17,,48,91,.527,19,39,.487,13,23,.565,4,24,40,10,5,13,28
28,28,2022-12-16,@,LAL,L,108,126,39,81,.481,9,27,.333,21,28,.750,9,39,25,7,4,19,17,,48,91,.527,12,33,.364,18,24,.750,11,45,29,11,4,14,21
29,29,2022-12-18,,CHO,W,119,115,43,94,.457,11,33,.333,22,34,.647,15,55,33,6,3,14,17,,41,96,.427,12,38,.316,21,23,.913,12,48,26,7,7,11,26
30,30,2022-12-20,,MEM,W,105,91,40,89,.449,10,27,.370,15,25,.600,13,48,28,9,5,17,19,,36,81,.444,5,26,.192,14,21,.667,7,42,25,11,7,16,21
31,31,2022-12-23,,POR,W,120,107,47,81,.580,10,21,.476,16,26,.615,4,38,31,9,2,10,19,,39,87,.448,9,35,.257,20,26,.769,13,43,24,5,3,13,21
32,32,2022-12-25,,PHO,W,128,125,45,94,.479,13,36,.361,25,34,.735,12,48,29,8,4,12,23,,45,94,.479,17,35,.486,18,26,.692,12,46,32,7,9,13,30
33,33,2022-12-27,@,SAC,W,113,106,41,86,.477,13,37,.351,18,21,.857,10,40,34,12,3,13,18,,40,82,.488,10,35,.286,16,19,.842,8,39,20,8,2,16,18
34,34,2022-12-28,@,SAC,L,126,127,49,85,.576,12,27,.444,16,18,.889,7,34,31,6,8,16,24,,47,89,.528,14,31,.452,19,25,.760,11,34,32,10,6,12,17
35,35,2022-12-30,,MIA,W,124,119,45,76,.592,17,28,.607,17,22,.773,5,36,34,6,1,20,19,,39,87,.448,14,35,.400,27,30,.900,11,36,21,13,4,14,19
36,36,2023-01-01,,BOS,W,123,111,45,79,.570,17,30,.567,16,18,.889,1,35,31,5,4,14,17,,40,87,.460,9,33,.273,22,27,.815,10,41,30,8,3,13,15
37,37,2023-01-02,@,MIN,L,111,124,42,91,.462,11,29,.379,16,20,.800,18,45,27,8,1,14,21,,45,87,.517,13,36,.361,21,27,.778,11,41,29,7,4,11,22
