,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2022-10-19,@,UTA,L,102,123,101.4,122.2,100.6,.217,.265,.561,44.9,52.5,9.9,6.7,,.512,18.8,23.8,.205,,.602,16.4,69.4,.277
2,2,2022-10-21,@,GSW,W,128,123,121.7,116.9,105.2,.291,.395,.660,53.9,65.2,9.5,4.5,,.622,17.1,30.0,.244,,.563,15.3,80.6,.273
3,3,2022-10-22,,OKC,W,122,117,116.3,111.6,104.9,.365,.447,.618,49.5,78.6,4.8,10.7,,.612,15.4,19.6,.212,,.527,10.3,78.7,.191
4,4,2022-10-24,@,POR,L,110,135,116.9,143.5,94.1,.154,.341,.566,45.8,62.2,4.3,2.1,,.560,7.6,21.7,.088,,.675,7.6,75.7,.277
5,5,2022-10-26,,LAL,W,110,99,107.4,96.7,102.4,.228,.370,.543,53.5,81.0,11.7,8.3,,.505,9.8,18.4,.185,,.489,12.6,86.5,.122
6,6,2022-10-28,,UTA,W,117,101,122.4,105.7,95.6,.400,.435,.585,60.4,46.2,2.1,7.7,,.559,10.7,36.2,.259,,.473,8.3,83.7,.165
7,7,2022-10-30,@,LAL,L,110,121,113.0,124.3,97.4,.188,.417,.529,48.5,58.5,3.1,12.1,,.505,8.0,25.5,.135,,.547,7.1,72.9,.167
8,8,2022-11-03,@,OKC,W,122,110,122.2,110.1,99.9,.190,.369,.670,54.0,71.1,5.0,3.1,,.643,16.5,21.1,.167,,.516,9.0,79.6,.151
9,9,2022-11-05,,SAS,W,126,101,131.2,105.1,96.1,.115,.333,.689,62.7,69.8,10.4,0.0,,.695,14.9,31.3,.057,,.563,14.5,86.0,.138
10,10,2022-11-07,@,SAS,W,115,109,109.8,104.0,104.8,.227,.273,.594,51.3,70.2,13.4,14.3,,.580,17.1,22.2,.148,,.598,21.1,76.2,.134
11,11,2022-11-09,@,IND,W,122,119,113.4,110.6,107.6,.295,.318,.613,51.6,62.8,9.3,13.0,,.557,16.7,25.0,.273,,.542,14.7,76.6,.156
12,12,2022-11-11,@,BOS,L,112,131,120.5,140.9,93.0,.217,.315,.556,45.2,61.9,3.2,1.9,,.522,4.7,23.4,.174,,.644,6.6,73.0,.167
13,13,2022-11-13,@,CHI,W,126,103,127.5,104.2,98.8,.263,.338,.706,50.0,68.8,11.1,5.1,,.681,15.2,15.2,.213,,.531,16.6,79.5,.210
14,14,2022-11-16,,NYK,L,103,106,107.6,110.7,95.7,.244,.463,.567,51.2,50.0,3.1,10.0,,.524,14.2,19.0,.207,,.488,6.7,85.0,.286
15,15,2022-11-18,@,DAL,L,99,127,106.8,137.0,92.7,.200,.333,.506,45.0,63.2,4.3,2.2,,.478,10.1,25.5,.144,,.682,10.1,79.3,.286
16,16,2022-11-20,@,DAL,W,98,97,104.3,103.3,93.9,.244,.346,.567,55.0,59.5,10.6,13.9,,.532,14.8,11.8,.192,,.545,12.1,87.0,.154
17,17,2022-11-22,,DET,L,108,110,112.0,114.1,96.4,.302,.221,.554,51.2,65.1,7.3,13.3,,.529,14.9,34.9,.198,,.557,14.5,69.2,.136
18,18,2022-11-23,@,OKC,W,131,126,127.5,122.7,93.0,.466,.432,.618,58.5,73.8,3.9,14.0,,.557,13.8,38.6,.375,,.526,7.6,76.0,.247
19,19,2022-11-25,@,LAC,W,114,104,124.5,113.6,91.6,.258,.337,.575,52.9,61.4,9.8,10.9,,.551,5.7,25.6,.180,,.625,14.4,87.1,.279
20,20,2022-11-28,,HOU,W,129,113,133.0,116.5,97.0,.227,.341,.666,53.8,62.0,8.2,9.8,,.636,12.6,34.2,.193,,.553,15.0,71.4,.224
21,21,2022-11-30,,HOU,W,120,100,126.5,105.4,94.9,.241,.386,.654,51.9,68.2,6.3,17.0,,.633,10.7,21.6,.181,,.489,12.7,77.3,.159
22,22,2022-12-02,@,ATL,L,109,117,116.4,125.0,93.6,.153,.376,.601,43.4,68.9,8.5,0.0,,.600,14.2,22.5,.082,,.614,11.3,66.7,.102
23,23,2022-12-04,@,NOP,L,106,121,106.7,121.8,99.4,.296,.383,.579,54.4,58.5,5.0,9.1,,.556,17.2,23.1,.198,,.574,9.4,85.0,.346
24,24,2022-12-06,,DAL,L,115,116,119.5,120.6,96.2,.359,.410,.637,50.7,75.0,8.3,11.1,,.596,15.8,20.5,.282,,.618,14.9,87.5,.375
25,25,2022-12-08,@,POR,W,121,120,125.8,124.8,96.1,.242,.330,.601,55.8,59.6,6.2,9.8,,.582,13.7,39.0,.165,,.571,10.9,71.1,.176
26,26,2022-12-10,,UTA,W,115,110,121.8,116.5,94.4,.186,.302,.618,48.1,59.6,5.3,18.2,,.593,7.9,15.8,.151,,.547,12.1,76.7,.200
27,27,2022-12-14,,WAS,W,141,128,130.7,118.6,107.9,.422,.193,.716,65.2,57.4,7.4,13.5,,.675,15.5,25.9,.349,,.632,11.4,90.5,.143
28,28,2022-12-16,@,LAL,L,108,126,105.9,123.5,102.0,.346,.333,.579,46.4,64.1,6.9,6.9,,.537,16.9,20.9,.259,,.593,12.1,73.2,.198
29,29,2022-12-18,,CHO,W,119,115,114.3,110.5,104.1,.362,.351,.546,53.4,76.7,5.8,5.2,,.516,11.4,29.4,.234,,.490,9.4,76.9,.219
30,30,2022-12-20,,MEM,W,105,91,105.4,91.4,99.6,.281,.303,.525,53.3,70.0,9.0,9.1,,.506,14.5,27.1,.169,,.475,15.1,83.3,.173
31,31,2022-12-23,,POR,W,120,107,124.2,110.7,96.7,.321,.259,.649,46.9,66.0,9.3,3.8,,.642,9.8,11.8,.198,,.500,11.7,72.3,.230
32,32,2022-12-25,,PHO,W,128,125,121.8,118.9,95.2,.362,.383,.587,51.1,64.4,7.6,6.8,,.548,9.9,26.1,.266,,.569,11.0,75.0,.191
33,33,2022-12-27,@,SAC,W,113,106,117.8,110.5,95.9,.244,.430,.593,50.6,82.9,12.5,6.4,,.552,12.0,24.4,.209,,.549,15.0,78.9,.195
