 
,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2021-10-20,,CHI,L,88,94,36,90,.400,6,28,.214,10,13,.769,11,47,17,7,5,16,16,,37,86,.430,7,23,.304,13,15,.867,9,48,18,8,5,17,19
2,2,2021-10-23,@,CHI,L,82,97,34,88,.386,5,28,.179,9,15,.600,11,53,14,9,8,20,17,,35,84,.417,11,26,.423,16,19,.842,3,42,24,13,11,12,17
3,3,2021-10-25,@,ATL,L,104,122,40,91,.440,9,33,.273,15,18,.833,11,36,26,7,6,14,15,,46,90,.511,12,32,.375,18,21,.857,10,49,24,11,3,13,19
4,4,2021-10-28,@,PHI,L,102,110,35,86,.407,13,39,.333,19,27,.704,10,37,22,11,4,12,22,,38,76,.500,12,27,.444,22,24,.917,6,46,22,7,9,20,23
5,5,2021-10-30,,ORL,W,110,103,36,89,.404,14,43,.326,24,30,.800,17,48,26,12,6,13,18,,38,87,.437,16,32,.500,11,15,.733,12,46,21,5,6,17,21
6,6,2021-10-31,@,BRK,L,91,117,32,79,.405,12,33,.364,15,22,.682,7,29,21,12,3,15,18,,47,72,.653,13,25,.520,10,16,.625,2,41,30,7,2,19,19
7,7,2021-11-02,,MIL,L,89,117,30,93,.323,8,47,.170,21,30,.700,14,43,21,5,5,14,22,,42,84,.500,17,37,.459,16,21,.762,9,52,28,7,8,15,23
8,8,2021-11-04,,PHI,L,98,109,35,87,.402,11,36,.306,17,19,.895,12,41,21,6,2,11,18,,41,83,.494,12,32,.375,15,22,.682,15,49,22,8,3,12,17
9,9,2021-11-05,,BRK,L,90,96,33,87,.379,11,34,.324,13,18,.722,7,44,17,11,6,13,22,,36,80,.450,11,27,.407,13,14,.929,4,45,25,3,4,16,21
10,10,2021-11-10,@,HOU,W,112,104,42,97,.433,16,48,.333,12,18,.667,16,49,23,6,6,14,26,,35,82,.427,12,34,.353,22,34,.647,8,42,17,5,5,13,20
11,11,2021-11-12,@,CLE,L,78,98,29,79,.367,9,30,.300,11,13,.846,10,43,18,12,5,23,13,,39,82,.476,14,41,.341,6,9,.667,8,40,27,12,6,19,11
12,12,2021-11-13,@,TOR,W,127,121,43,79,.544,15,35,.429,26,30,.867,9,34,34,5,6,13,23,,44,87,.506,13,34,.382,20,31,.645,15,39,21,9,1,13,25
13,13,2021-11-15,,SAC,L,107,129,39,96,.406,13,47,.277,16,17,.941,16,47,23,7,2,17,10,,52,98,.531,16,33,.485,9,11,.818,11,47,32,11,5,13,17
14,14,2021-11-17,,IND,W,97,89,34,80,.425,8,28,.286,21,28,.750,8,42,16,13,5,12,20,,33,79,.418,9,37,.243,14,19,.737,7,43,14,5,5,18,22
15,15,2021-11-19,,GSW,L,102,105,32,80,.400,14,42,.333,24,30,.800,11,35,21,11,7,12,22,,38,80,.475,12,30,.400,17,21,.810,14,48,22,8,4,18,23
16,16,2021-11-21,,LAL,L,116,121,43,97,.443,14,40,.350,16,21,.762,8,39,27,7,6,11,24,,45,92,.489,10,31,.323,21,27,.778,12,51,29,7,8,13,21
17,17,2021-11-23,,MIA,L,92,100,35,84,.417,10,38,.263,12,14,.857,9,35,22,7,1,14,23,,35,76,.461,9,29,.310,21,29,.724,12,51,22,9,3,16,19
18,18,2021-11-24,@,MIL,L,93,114,34,95,.358,11,45,.244,14,19,.737,9,44,16,7,1,8,18,,42,87,.483,15,36,.417,15,17,.882,10,56,23,5,6,15,18
19,19,2021-11-26,@,LAC,L,96,107,33,90,.367,8,33,.242,22,26,.846,13,52,17,8,4,15,19,,39,91,.429,11,38,.289,18,19,.947,11,54,26,9,4,14,27
20,20,2021-11-28,@,LAL,L,106,110,38,89,.427,13,33,.394,17,19,.895,12,53,29,5,4,17,20,,43,86,.500,9,32,.281,15,25,.600,6,42,32,11,8,12,18
21,21,2021-11-30,@,POR,L,92,110,29,76,.382,9,35,.257,25,30,.833,7,45,17,4,7,18,20,,41,96,.427,14,42,.333,14,18,.778,10,43,24,8,5,10,22
22,22,2021-12-02,@,PHO,L,103,114,36,80,.450,11,27,.407,20,26,.769,7,36,20,6,6,12,22,,43,79,.544,12,21,.571,16,23,.696,6,44,23,8,3,14,20
23,23,2021-12-06,,OKC,L,103,114,41,99,.414,16,41,.390,5,6,.833,16,52,21,8,7,16,26,,41,82,.500,9,25,.360,23,30,.767,6,40,22,10,11,11,13
24,24,2021-12-08,,WAS,L,116,119,37,79,.468,13,24,.542,29,35,.829,7,37,22,9,4,15,26,,42,88,.477,12,32,.375,23,28,.821,13,45,27,6,8,17,21
25,25,2021-12-10,@,NOP,L,93,109,35,90,.389,12,37,.324,11,12,.917,7,38,22,7,6,12,15,,41,95,.432,13,37,.351,14,16,.875,15,60,29,6,4,14,16
26,26,2021-12-12,,BRK,L,104,116,39,92,.424,14,37,.378,12,18,.667,8,40,24,11,5,19,22,,41,87,.471,11,28,.393,23,25,.920,8,43,28,8,6,17,20
27,27,2021-12-16,@,IND,L,113,122,40,81,.494,7,25,.280,26,30,.867,6,37,20,6,4,12,23,,45,91,.495,7,32,.219,25,28,.893,8,41,26,6,7,8,21
28,28,2021-12-18,,HOU,L,107,116,43,93,.462,10,36,.278,11,16,.688,15,42,29,8,6,20,24,,46,93,.495,14,38,.368,10,17,.588,13,47,27,15,5,19,18
29,29,2021-12-19,,MIA,W,100,90,35,75,.467,8,32,.250,22,30,.733,6,47,24,4,2,13,28,,28,74,.378,13,43,.302,21,33,.636,8,39,23,4,3,13,27
30,30,2021-12-21,@,NYK,L,91,105,34,94,.362,8,33,.242,15,19,.789,10,48,22,9,4,12,18,,40,90,.444,11,33,.333,14,19,.737,13,52,22,5,7,12,19
31,31,2021-12-23,@,MIA,L,112,115,36,80,.450,18,40,.450,22,25,.880,6,43,23,9,5,16,25,,43,88,.489,12,32,.375,17,19,.895,6,43,23,4,0,13,25
32,32,2021-12-26,@,SAS,L,109,144,38,98,.388,8,32,.250,25,34,.735,14,42,16,10,5,14,30,,51,91,.560,13,27,.481,29,37,.784,9,52,39,6,5,18,28
33,33,2021-12-29,,NYK,L,85,94,30,81,.370,12,35,.343,13,17,.765,8,43,19,11,5,17,23,,31,81,.383,8,31,.258,24,27,.889,11,48,19,11,5,16,14
34,34,2022-01-01,,SAS,W,117,116,41,101,.406,9,35,.257,26,33,.788,22,63,18,12,6,20,23,,42,102,.412,12,40,.300,20,28,.714,13,48,30,8,3,16,27
35,35,2022-01-03,@,MIL,W,115,106,44,91,.484,18,43,.419,9,14,.643,9,47,31,6,1,13,21,,39,92,.424,11,46,.239,17,22,.773,11,47,21,9,2,8,12
36,36,2022-01-05,@,CHO,L,111,140,43,92,.467,14,42,.333,11,20,.550,9,36,26,12,3,13,21,,48,81,.593,24,42,.571,20,29,.690,8,49,39,6,3,17,21
37,37,2022-01-06,@,MEM,L,88,118,34,99,.343,10,44,.227,10,13,.769,10,39,23,7,3,11,14,,48,98,.490,10,32,.313,12,19,.632,18,61,31,8,9,18,18
38,38,2022-01-08,,ORL,W,97,92,38,87,.437,10,33,.303,11,16,.688,7,49,23,7,6,12,21,,29,86,.337,14,46,.304,20,23,.870,8,44,25,6,9,12,20
39,39,2022-01-10,,UTA,W,126,116,48,93,.516,19,37,.514,11,12,.917,9,39,30,9,7,11,20,,44,86,.512,11,33,.333,17,22,.773,10,40,23,9,4,16,16
40,40,2022-01-11,@,CHI,L,87,133,30,89,.337,6,35,.171,21,27,.778,15,41,17,9,7,18,20,,50,92,.543,18,34,.529,15,19,.789,14,61,33,13,4,17,23
41,41,2022-01-14,,TOR,W,103,87,38,81,.469,8,27,.296,19,23,.826,9,43,22,7,6,8,25,,28,87,.322,11,38,.289,20,26,.769,16,46,18,5,4,11,24
42,42,2022-01-16,,PHO,L,108,135,38,82,.463,9,25,.360,23,34,.676,5,32,25,6,2,9,20,,51,87,.586,11,27,.407,22,30,.733,11,51,30,4,7,14,26
43,43,2022-01-18,@,GSW,L,86,102,30,85,.353,9,34,.265,17,24,.708,11,50,18,4,5,16,23,,34,83,.410,14,42,.333,20,27,.741,13,54,26,12,3,13,25
44,44,2022-01-19,@,SAC,W,133,131,46,91,.505,15,36,.417,26,30,.867,13,41,27,3,6,8,26,,44,84,.524,12,27,.444,31,44,.705,8,35,22,4,8,7,17
45,45,2022-01-21,@,UTA,L,101,111,38,87,.437,13,32,.406,12,16,.750,9,40,22,6,4,10,24,,36,79,.456,10,31,.323,29,34,.853,7,44,22,3,7,10,21
46,46,2022-01-23,@,DEN,L,111,117,42,75,.560,11,29,.379,16,19,.842,4,34,28,4,5,22,29,,44,85,.518,12,35,.343,17,23,.739,8,34,29,8,1,11,22
47,47,2022-01-25,,DEN,L,105,110,41,97,.423,12,36,.333,11,14,.786,9,36,25,14,5,9,25,,36,84,.429,11,32,.344,27,31,.871,16,56,25,7,1,25,17
48,48,2022-01-28,@,ORL,L,103,119,32,87,.368,10,29,.345,29,37,.784,14,41,23,10,9,10,24,,41,83,.494,12,25,.480,25,26,.962,8,47,28,5,7,15,22
49,49,2022-01-30,,CLE,W,115,105,42,91,.462,10,26,.385,21,25,.840,16,48,26,7,4,9,21,,38,82,.463,13,34,.382,16,25,.640,12,41,25,6,6,11,20
50,50,2022-02-01,,NOP,L,101,111,41,84,.488,8,32,.250,11,14,.786,6,35,21,7,3,18,25,,39,89,.438,8,28,.286,25,28,.893,16,46,24,8,5,15,17
51,51,2022-02-03,,MIN,L,117,128,40,91,.440,15,46,.326,22,28,.786,13,45,27,3,6,15,24,,44,87,.506,15,34,.441,25,28,.893,9,42,29,11,3,14,18
