,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2021-10-20,,CHI,L,88,94,89.3,95.4,98.5,.144,.311,.460,49.5,47.2,7.1,7.9,,.433,14.3,22.0,.111,,.471,15.5,80.0,.151
2,2,2021-10-23,@,CHI,L,82,97,81.4,96.3,100.7,.170,.318,.433,55.8,41.2,8.9,13.8,,.415,17.5,22.0,.102,,.482,11.5,93.3,.190
3,3,2021-10-25,@,ATL,L,104,122,105.0,123.1,99.1,.198,.363,.526,42.4,65.0,7.1,10.3,,.489,12.4,22.0,.165,,.578,11.6,71.4,.200
4,4,2021-10-28,@,PHI,L,102,110,104.0,112.2,98.0,.314,.453,.521,44.6,62.9,11.2,8.2,,.483,10.9,20.0,.221,,.579,18.8,81.8,.289
5,5,2021-10-30,,ORL,W,110,103,115.5,108.2,95.2,.337,.483,.538,51.1,72.2,12.6,10.9,,.483,11.3,33.3,.270,,.529,15.4,72.1,.126
6,6,2021-10-31,@,BRK,L,91,117,95.6,123.0,95.2,.278,.418,.513,41.4,65.6,12.6,6.4,,.481,14.5,15.2,.190,,.743,19.4,91.7,.139
7,7,2021-11-02,,MIL,L,89,117,89.4,117.5,99.6,.323,.505,.419,45.3,70.0,5.0,10.6,,.366,11.6,24.6,.226,,.601,13.9,76.3,.190
8,8,2021-11-04,,PHI,L,98,109,109.2,121.4,89.8,.218,.414,.514,45.6,60.0,6.7,3.9,,.466,10.3,26.1,.195,,.566,11.5,65.9,.181
9,9,2021-11-05,,BRK,L,90,96,91.9,98.1,97.9,.207,.391,.474,49.4,51.5,11.2,11.3,,.443,12.0,14.6,.149,,.519,15.7,90.2,.163
10,10,2021-11-10,@,HOU,W,112,104,113.0,105.0,99.1,.186,.495,.534,53.8,54.8,6.1,12.5,,.515,11.8,32.0,.124,,.500,11.8,80.5,.268
11,11,2021-11-12,@,CLE,L,78,98,82.1,103.1,95.0,.165,.380,.460,51.8,62.1,12.6,12.2,,.424,21.4,23.8,.139,,.561,18.1,80.5,.073
12,12,2021-11-13,@,TOR,W,127,121,134.6,128.3,94.3,.380,.443,.689,46.6,79.1,5.3,11.3,,.639,12.4,27.3,.329,,.580,11.4,62.5,.230
13,13,2021-11-15,,SAC,L,107,129,105.1,126.8,101.8,.177,.490,.517,50.0,59.0,6.9,3.1,,.474,14.1,30.8,.167,,.612,11.2,73.8,.092
14,14,2021-11-17,,IND,W,97,89,101.9,93.5,95.2,.350,.350,.525,49.4,47.1,13.7,11.9,,.475,11.5,18.2,.263,,.475,17.1,82.9,.177
15,15,2021-11-19,,GSW,L,102,105,112.5,115.8,90.6,.375,.525,.547,42.2,65.6,12.1,14.0,,.488,11.4,24.4,.300,,.550,16.8,63.2,.213
16,16,2021-11-21,,LAL,L,116,121,111.4,116.2,104.2,.216,.412,.546,43.3,62.8,6.7,9.8,,.515,9.4,17.0,.165,,.543,11.1,72.1,.228
17,17,2021-11-23,,MIA,L,92,100,100.3,109.0,91.8,.167,.452,.510,40.7,62.9,7.6,2.1,,.476,13.4,18.8,.143,,.520,15.3,68.4,.276
18,18,2021-11-24,@,MIL,L,93,114,93.9,115.1,99.0,.200,.474,.450,44.0,47.1,7.1,2.0,,.416,7.2,16.4,.147,,.569,13.7,77.8,.172
19,19,2021-11-26,@,LAC,L,96,107,95.2,106.2,100.8,.289,.367,.473,49.1,51.5,7.9,7.5,,.411,12.9,23.2,.244,,.489,12.4,78.0,.198
20,20,2021-11-28,@,LAL,L,106,110,104.9,108.9,101.0,.213,.371,.544,55.8,76.3,4.9,7.4,,.500,14.9,25.0,.191,,.552,11.0,87.2,.174
21,21,2021-11-30,@,POR,L,92,110,92.9,111.0,99.1,.395,.461,.516,51.1,58.6,4.0,13.0,,.441,16.8,17.5,.329,,.500,8.8,79.2,.146
22,22,2021-12-02,@,PHO,L,103,114,108.0,119.6,95.3,.325,.338,.563,45.0,55.6,6.3,10.3,,.519,11.6,15.6,.250,,.620,13.6,82.9,.203
23,23,2021-12-06,,OKC,L,103,114,105.0,116.2,98.1,.061,.414,.507,56.5,51.2,8.2,12.3,,.495,13.6,32.0,.051,,.555,10.4,85.7,.280
24,24,2021-12-08,,WAS,L,116,119,115.3,118.3,91.1,.443,.304,.614,45.1,59.5,8.9,7.1,,.551,13.7,17.9,.367,,.545,14.5,69.8,.261
25,25,2021-12-10,@,NOP,L,93,109,95.2,111.5,97.7,.133,.411,.488,38.8,62.9,7.2,10.3,,.456,11.2,13.5,.122,,.500,12.1,67.4,.147
26,26,2021-12-12,,BRK,L,104,116,98.2,109.5,105.9,.196,.402,.520,48.2,61.5,10.4,8.5,,.500,16.0,18.6,.130,,.534,14.8,80.0,.264
27,27,2021-12-16,@,IND,L,113,122,113.9,123.0,99.2,.370,.309,.600,47.4,50.0,6.0,6.8,,.537,11.3,15.4,.321,,.533,7.2,79.5,.275
28,28,2021-12-18,,HOU,L,107,116,104.1,112.9,102.7,.172,.387,.535,47.2,67.4,7.8,10.9,,.516,16.7,30.6,.118,,.570,15.9,67.5,.108
29,29,2021-12-19,,MIA,W,100,90,108.0,97.2,92.6,.400,.427,.567,54.7,68.6,4.3,6.5,,.520,12.8,16.2,.293,,.466,12.8,83.7,.284
30,30,2021-12-21,@,NYK,L,91,105,92.6,106.9,98.2,.202,.351,.445,48.0,64.7,9.2,7.0,,.404,10.5,20.4,.160,,.506,10.9,74.5,.156
31,31,2021-12-23,@,MIA,L,112,115,111.3,114.3,100.7,.313,.500,.615,50.0,63.9,8.9,8.9,,.563,15.0,14.0,.275,,.557,11.9,86.0,.193
32,32,2021-12-26,@,SAS,L,109,144,97.7,129.0,111.6,.347,.327,.482,44.7,42.1,9.0,7.8,,.429,11.0,24.6,.255,,.632,14.4,75.7,.319
33,33,2021-12-29,,NYK,L,85,94,89.4,98.9,95.1,.210,.432,.480,47.3,63.3,11.6,10.0,,.444,16.1,17.8,.160,,.432,14.7,76.1,.296
34,34,2022-01-01,,SAS,W,117,116,104.9,104.0,101.1,.327,.347,.506,56.8,43.9,10.8,9.7,,.450,14.8,38.6,.257,,.471,12.3,75.9,.196
35,35,2022-01-03,@,MIL,W,115,106,117.6,108.4,97.8,.154,.473,.592,50.0,70.5,6.1,2.2,,.582,11.8,20.0,.099,,.484,7.3,77.6,.185
36,36,2022-01-05,@,CHO,L,111,140,108.2,136.5,102.5,.217,.457,.551,42.4,60.5,11.7,7.7,,.543,11.4,18.0,.120,,.741,15.3,77.1,.247
37,37,2022-01-06,@,MEM,L,88,118,85.8,115.0,102.6,.131,.444,.420,39.0,67.6,6.8,4.5,,.394,9.5,18.9,.101,,.541,14.5,61.7,.122
38,38,2022-01-08,,ORL,W,97,92,99.8,94.7,97.2,.184,.379,.516,52.7,60.5,7.2,15.0,,.494,11.3,16.3,.126,,.419,11.1,84.0,.233
39,39,2022-01-10,,UTA,W,126,116,127.8,117.6,98.6,.129,.398,.641,49.4,62.5,9.1,13.2,,.618,10.1,23.1,.118,,.576,14.3,75.0,.198
40,40,2022-01-11,@,CHI,L,87,133,85.5,130.8,101.7,.303,.393,.431,40.2,56.7,8.8,12.1,,.371,15.1,24.2,.236,,.641,14.5,65.0,.163
41,41,2022-01-14,,TOR,W,103,87,117.2,99.0,87.9,.284,.333,.565,48.3,57.9,8.0,12.2,,.519,8.1,23.1,.235,,.385,10.1,68.0,.230
42,42,2022-01-16,,PHO,L,108,135,107.3,134.2,100.6,.415,.305,.557,38.6,65.8,6.0,3.3,,.518,8.5,11.1,.280,,.649,12.3,71.1,.253
43,43,2022-01-18,@,GSW,L,86,102,89.7,106.3,95.9,.282,.400,.450,48.1,60.0,4.2,12.2,,.406,14.3,21.2,.200,,.494,12.1,75.0,.241
44,44,2022-01-19,@,SAC,W,133,131,136.8,134.7,97.2,.330,.396,.638,53.9,58.7,3.1,10.5,,.588,7.1,32.5,.286,,.595,6.3,77.8,.369
45,45,2022-01-21,@,UTA,L,101,111,107.9,118.5,93.6,.184,.368,.537,47.6,57.9,6.4,8.3,,.511,9.6,19.6,.138,,.519,9.6,81.6,.367
46,46,2022-01-23,@,DEN,L,111,117,113.3,119.5,97.9,.253,.387,.666,50.0,66.7,4.1,10.0,,.633,20.9,13.3,.213,,.588,10.4,78.9,.200
47,47,2022-01-25,,DEN,L,105,110,103.5,108.4,101.4,.144,.371,.509,39.1,61.0,13.8,9.6,,.485,8.0,18.4,.113,,.494,20.4,62.8,.321
48,48,2022-01-28,@,ORL,L,103,119,106.0,122.4,97.2,.425,.333,.499,46.6,71.9,10.3,15.5,,.425,8.8,26.4,.333,,.566,13.7,77.1,.301
49,49,2022-01-30,,CLE,W,115,105,126.7,115.7,90.8,.275,.286,.564,53.9,61.9,7.7,8.3,,.516,8.1,35.6,.231,,.543,10.6,72.7,.195
50,50,2022-02-01,,NOP,L,101,111,103.0,113.2,98.1,.167,.381,.560,43.2,51.2,7.1,4.9,,.536,16.6,16.7,.131,,.483,12.9,64.4,.281
51,51,2022-02-03,,MIN,L,117,128,114.8,125.6,101.9,.308,.505,.566,51.7,67.5,2.9,11.3,,.522,12.7,28.3,.242,,.592,12.4,78.0,.287
52,52,2022-02-04,,BOS,L,93,102,96.2,105.5,96.7,.192,.250,.412,50.5,52.9,5.2,7.4,,.375,8.9,31.3,.144,,.506,12.3,76.6,.232
53,53,2022-02-06,@,MIN,L,105,118,108.5,121.9,96.8,.200,.337,.508,48.0,70.0,6.2,16.4,,.484,8.8,25.9,.137,,.555,9.1,75.0,.187
54,54,2022-02-08,@,DAL,L,86,116,89.8,121.1,95.8,.253,.345,.445,48.9,60.6,5.2,4.7,,.408,13.4,24.1,.172,,.620,12.7,84.2,.228
55,55,2022-02-10,,MEM,L,107,132,105.9,130.7,101.0,.223,.372,.518,40.0,65.9,4.0,11.3,,.473,8.0,19.2,.191,,.560,9.8,62.5,.315
56,56,2022-02-11,,CHO,L,119,141,109.2,129.4,109.0,.176,.343,.541,46.9,66.7,9.2,10.9,,.529,14.1,30.8,.108,,.649,14.4,65.9,.155
57,57,2022-02-14,@,WAS,L,94,103,100.6,110.2,93.4,.318,.271,.485,49.4,59.4,7.5,5.4,,.424,10.2,27.1,.259,,.524,13.9,75.6,.165
58,58,2022-02-16,@,BOS,W,112,111,117.9,116.8,95.0,.140,.323,.567,61.0,65.1,9.5,2.2,,.548,13.9,39.1,.108,,.630,15.0,93.5,.182
59,59,2022-02-24,,CLE,W,106,103,113.6,110.4,93.3,.326,.395,.539,53.3,65.7,8.6,19.0,,.471,9.2,27.1,.291,,.519,11.5,81.8,.299
60,60,2022-02-26,,BOS,L,104,113,109.3,118.8,95.2,.253,.310,.538,52.6,46.2,4.2,6.5,,.489,12.6,27.0,.218,,.534,9.3,75.6,.216
61,61,2022-02-27,@,CHO,W,127,126,119.4,118.5,96.3,.164,.364,.539,54.0,60.0,9.4,5.2,,.518,10.6,39.3,.118,,.579,14.1,72.7,.258
62,62,2022-03-01,@,WAS,L,113,116,119.1,122.3,94.9,.256,.300,.564,50.6,53.5,9.5,5.4,,.522,10.7,31.8,.211,,.579,13.8,70.7,.256
63,63,2022-03-03,@,TOR,W,108,106,118.9,116.7,90.9,.333,.440,.561,50.6,65.8,4.4,8.8,,.518,8.5,28.9,.250,,.476,9.2,68.9,.325
64,64,2022-03-04,,IND,W,111,106,115.6,110.4,96.0,.191,.319,.545,48.6,66.7,5.2,15.0,,.527,11.3,35.8,.128,,.440,9.7,61.1,.180
65,65,2022-03-07,,ATL,W,113,110,114.6,111.6,89.3,.247,.355,.548,49.5,62.8,7.1,3.6,,.527,10.4,30.0,.161,,.511,11.2,71.1,.161
66,66,2022-03-09,,CHI,L,108,114,109.5,115.6,98.6,.207,.378,.603,49.2,59.5,6.1,4.9,,.579,15.2,13.9,.159,,.546,10.7,93.1,.408
67,67,2022-03-11,@,BOS,L,103,114,108.5,120.1,94.9,.289,.410,.550,47.2,60.0,4.2,6.9,,.482,13.0,24.4,.277,,.500,8.0,70.5,.267
68,68,2022-03-13,,LAC,L,102,106,113.4,117.8,90.0,.250,.363,.574,48.9,63.9,3.3,6.8,,.525,10.1,18.6,.225,,.506,5.8,76.6,.180
69,69,2022-03-15,@,MIA,L,98,105,106.0,113.6,92.5,.275,.425,.546,47.0,62.2,6.5,12.8,,.525,11.8,14.0,.175,,.486,11.0,82.5,.486
70,70,2022-03-17,@,ORL,W,134,120,128.4,115.0,104.4,.330,.457,.622,50.0,72.3,10.5,4.5,,.606,6.1,22.2,.213,,.541,10.9,77.8,.155
71,71,2022-03-19,@,CLE,L,109,113,112.5,116.6,96.9,.224,.353,.584,46.3,56.1,10.3,9.7,,.559,13.8,23.8,.165,,.568,12.5,70.0,.148
72,72,2022-03-21,,POR,L,115,119,113.0,116.9,101.8,.482,.412,.558,50.5,61.1,7.9,8.3,,.476,14.9,28.6,.400,,.466,7.6,67.9,.420
73,73,2022-03-23,,ATL,W,122,101,119.3,98.7,102.3,.284,.375,.616,57.4,68.2,9.8,8.3,,.568,13.2,22.5,.250,,.478,12.4,83.3,.141
74,74,2022-03-25,,WAS,L,97,100,94.1,97.0,103.1,.147,.337,.479,51.6,48.7,8.7,15.1,,.442,12.9,20.0,.137,,.488,15.6,88.4,.229
75,75,2022-03-27,,NYK,L,102,104,110.8,113.0,92.0,.212,.341,.549,42.0,59.0,8.7,11.4,,.506,9.7,19.1,.188,,.476,10.9,68.3,.271
76,76,2022-03-29,@,BRK,L,123,130,124.5,131.6,98.8,.131,.384,.587,48.8,58.3,11.1,8.3,,.566,10.3,32.7,.111,,.651,17.3,74.2,.408
