 
,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2022-10-19,,ORL,W,113,109,112.3,108.3,100.6,.255,.404,.540,46.1,77.5,10.9,7.1,,.500,10.3,24.0,.202,,.552,16.0,74.4,.163
2,2,2022-10-21,@,NYK,L,106,130,101.6,124.6,104.3,.356,.400,.509,49.5,66.7,5.8,3.5,,.483,12.6,25.0,.211,,.611,10.3,76.6,.147
3,3,2022-10-22,@,IND,L,115,124,113.5,122.4,101.3,.316,.442,.531,47.3,70.3,4.9,4.9,,.484,10.7,30.4,.242,,.515,8.8,64.3,.175
4,4,2022-10-25,@,WAS,L,99,120,101.7,123.2,97.4,.284,.318,.500,46.6,33.3,6.2,1.9,,.455,11.6,22.4,.216,,.576,10.2,76.9,.259
5,5,2022-10-26,,ATL,L,113,118,111.8,116.8,101.0,.242,.352,.561,46.5,54.8,4.0,8.7,,.538,11.4,21.7,.165,,.538,10.5,75.0,.220
6,6,2022-10-28,,ATL,L,112,136,115.1,139.8,97.3,.442,.372,.545,48.3,48.6,2.1,5.9,,.471,8.9,28.6,.360,,.629,5.4,73.7,.144
7,7,2022-10-30,,GSW,W,128,114,127.8,113.8,100.2,.458,.398,.642,52.8,60.0,4.0,5.7,,.566,13.1,29.3,.410,,.489,12.0,72.9,.261
8,8,2022-10-31,@,MIL,L,108,110,110.3,112.3,97.9,.228,.315,.533,46.2,46.3,9.2,6.4,,.489,10.6,26.5,.196,,.500,13.8,68.2,.264
9,9,2022-11-02,@,MIL,L,91,116,88.9,113.3,102.3,.190,.392,.532,40.2,54.5,6.8,5.6,,.487,19.7,5.1,.177,,.522,13.5,68.8,.217
10,10,2022-11-04,,CLE,L,88,112,92.5,117.8,95.1,.181,.446,.491,42.0,51.6,10.5,10.9,,.452,16.7,19.6,.157,,.611,17.0,71.4,.160
11,11,2022-11-07,,OKC,W,112,103,111.5,102.5,100.4,.355,.355,.521,55.8,51.3,6.0,13.0,,.468,11.5,34.8,.269,,.451,8.4,72.4,.108
12,12,2022-11-09,@,BOS,L,112,128,113.0,129.2,99.1,.449,.371,.525,52.7,40.5,7.1,7.1,,.455,8.6,30.0,.348,,.636,11.0,80.5,.182
13,13,2022-11-11,@,NYK,L,112,121,114.2,123.3,98.1,.513,.388,.571,47.8,59.5,6.1,11.1,,.506,13.3,27.9,.388,,.500,9.3,66.0,.287
14,14,2022-11-12,,BOS,L,108,117,111.0,120.2,97.3,.236,.427,.550,54.3,62.2,4.1,7.0,,.506,12.5,25.0,.202,,.527,6.4,81.3,.231
15,15,2022-11-14,,TOR,L,111,115,112.2,116.2,98.9,.558,.403,.579,48.1,65.7,8.1,3.6,,.519,16.5,26.8,.403,,.537,15.3,70.0,.329
16,16,2022-11-17,@,LAC,L,91,96,93.5,98.6,97.4,.273,.352,.462,45.7,45.5,9.2,13.7,,.409,10.9,19.6,.216,,.475,16.4,76.7,.235
17,17,2022-11-18,@,LAL,L,121,128,116.9,123.7,103.5,.348,.370,.570,45.7,62.8,8.7,6.9,,.527,9.4,21.3,.261,,.596,14.3,79.4,.449
18,18,2022-11-20,@,SAC,L,129,137,129.1,137.1,99.9,.258,.326,.651,46.1,42.6,4.0,6.0,,.612,10.8,23.3,.225,,.624,9.9,75.8,.365
19,19,2022-11-22,@,DEN,W,110,108,114.1,112.0,96.4,.159,.318,.584,48.8,60.0,7.3,7.5,,.557,14.5,30.8,.136,,.529,14.9,65.1,.198
20,20,2022-11-23,@,UTA,W,125,116,128.9,119.6,97.0,.303,.270,.620,50.0,54.5,9.3,4.8,,.562,6.5,20.5,.281,,.602,14.1,81.1,.193
21,21,2022-11-25,@,PHO,L,102,108,105.8,112.1,96.4,.174,.283,.515,53.3,53.8,6.2,5.2,,.473,15.4,37.3,.163,,.523,11.7,73.2,.195
22,22,2022-11-27,,CLE,L,94,102,101.0,109.6,93.0,.329,.354,.520,46.8,38.9,9.7,12.2,,.506,12.6,18.4,.177,,.481,13.3,74.4,.364
23,23,2022-11-29,,NYK,L,110,140,110.7,140.8,99.4,.241,.470,.599,37.0,66.7,7.0,6.6,,.584,14.8,17.1,.157,,.646,11.7,57.5,.167
24,24,2022-12-01,,DAL,W,131,125,126.0,120.3,94.1,.255,.372,.626,63.4,56.9,8.7,0.0,,.622,11.1,33.3,.149,,.645,11.6,90.7,.163
25,25,2022-12-04,,MEM,L,112,122,110.7,120.6,101.2,.357,.417,.576,45.9,70.3,6.9,12.3,,.518,12.6,19.0,.298,,.549,11.0,72.1,.228
26,26,2022-12-06,@,MIA,W,116,96,123.0,101.8,94.3,.172,.471,.620,50.0,62.8,8.5,2.2,,.603,11.4,21.4,.126,,.494,14.5,81.6,.260
27,27,2022-12-07,@,NOP,L,98,104,98.2,104.2,99.8,.178,.467,.505,45.7,48.6,5.0,1.7,,.472,11.0,16.7,.144,,.506,15.9,77.3,.212
28,28,2022-12-09,@,MEM,L,103,114,98.5,109.0,104.6,.300,.389,.505,49.5,63.9,5.7,11.9,,.461,15.7,26.5,.222,,.533,11.8,73.9,.187
29,29,2022-12-11,,LAL,L,117,124,117.5,124.5,99.6,.183,.484,.582,48.8,65.1,9.0,5.2,,.554,10.7,21.7,.151,,.613,10.3,83.3,.250
30,30,2022-12-14,@,CHO,W,141,134,128.6,122.2,99.3,.387,.430,.648,50.0,52.1,0.0,12.7,,.613,12.1,25.5,.290,,.487,3.8,70.2,.202
31,31,2022-12-16,,SAC,L,113,122,113.4,122.4,99.7,.365,.341,.573,58.2,56.4,7.0,2.0,,.518,14.0,32.6,.294,,.598,12.1,88.9,.293
32,32,2022-12-18,,BRK,L,121,124,124.5,127.6,97.2,.386,.341,.588,53.9,47.6,9.3,3.9,,.523,7.2,26.2,.330,,.644,12.6,88.2,.263
33,33,2022-12-20,,UTA,L,111,126,113.3,128.6,98.0,.333,.309,.598,50.0,53.7,6.1,2.1,,.562,13.1,22.5,.247,,.613,10.6,73.9,.129
34,34,2022-12-21,@,PHI,L,93,113,92.4,112.3,100.7,.430,.291,.495,48.4,48.4,6.0,1.8,,.430,19.0,23.4,.316,,.500,10.5,72.9,.215
35,35,2022-12-23,@,ATL,L,105,130,101.9,126.2,103.0,.322,.367,.511,47.3,45.9,6.8,5.2,,.461,12.0,18.4,.244,,.598,7.2,81.0,.217
36,36,2022-12-26,,LAC,L,131,142,117.5,127.4,100.9,.340,.340,.570,48.4,72.7,9.0,8.5,,.520,12.9,29.6,.270,,.643,15.5,74.4,.275
37,37,2022-12-28,,ORL,W,121,101,125.1,104.4,96.7,.500,.525,.620,51.0,69.4,7.2,6.3,,.563,11.8,25.6,.388,,.441,11.5,71.7,.306
38,38,2022-12-30,@,CHI,L,118,132,124.3,139.1,94.9,.279,.453,.611,47.9,68.3,8.4,1.5,,.576,12.7,33.3,.221,,.641,11.6,64.7,.152
39,39,2022-12-31,@,MIN,W,116,104,118.2,105.9,98.2,.315,.303,.572,57.1,48.8,6.1,12.2,,.539,12.1,33.3,.225,,.494,13.7,80.4,.265
40,40,2023-01-02,@,POR,L,106,135,96.3,122.7,110.0,.500,.220,.530,50.6,47.1,7.3,7.5,,.451,17.3,19.1,.390,,.655,15.3,85.7,.298
41,41,2023-01-04,@,GSW,W,122,119,126.6,123.5,96.3,.250,.391,.597,50.6,64.4,9.3,2.1,,.576,7.3,26.2,.174,,.603,13.0,76.9,.161
42,42,2023-01-06,@,SAS,L,109,121,109.7,121.7,99.4,.183,.333,.542,45.7,52.3,11.1,0.0,,.532,13.0,28.8,.108,,.611,15.5,75.9,.272
43,43,2023-01-08,,PHI,L,111,123,107.5,119.1,103.3,.207,.264,.585,49.4,56.8,8.7,3.5,,.552,19.5,25.0,.172,,.548,11.1,70.2,.213
44,44,2023-01-10,@,PHI,L,116,147,106.2,134.5,109.3,.404,.438,.553,32.1,63.9,8.2,8.6,,.483,9.5,6.3,.337,,.669,15.0,69.7,.315
45,45,2023-01-11,,MIN,W,135,118,135.4,118.4,99.7,.350,.400,.731,51.4,62.5,10.0,12.7,,.706,14.8,23.3,.275,,.580,15.6,70.5,.182
46,46,2023-01-13,,NOP,L,110,116,104.6,110.3,105.2,.267,.333,.547,46.7,46.5,6.7,5.5,,.517,11.4,14.9,.189,,.552,13.9,81.4,.244
47,47,2023-01-15,,NYK,L,104,117,117.9,132.6,88.2,.181,.530,.580,42.2,62.2,4.5,6.9,,.554,10.9,20.9,.145,,.523,5.6,61.7,.284
48,48,2023-01-19,,CHI,L,108,126,104.8,122.2,103.1,.278,.351,.496,50.5,64.1,6.8,4.3,,.443,12.1,31.5,.227,,.582,12.1,74.4,.207
49,49,2023-01-23,,MIL,L,130,150,116.1,134.0,112.0,.460,.368,.621,45.1,60.5,8.9,6.5,,.569,16.1,22.9,.356,,.679,14.2,69.8,.173
50,50,2023-01-26,@,BRK,W,130,122,129.2,121.2,100.6,.274,.284,.611,54.5,56.3,11.9,8.9,,.563,9.4,37.5,.242,,.527,13.1,68.8,.245
51,51,2023-01-28,,HOU,L,114,117,112.6,115.6,101.2,.373,.458,.590,42.2,60.5,9.9,7.7,,.542,14.2,20.0,.289,,.522,14.1,62.8,.228
52,52,2023-01-30,@,DAL,L,105,111,112.9,119.3,93.0,.342,.494,.578,50.0,50.0,9.7,13.3,,.544,13.3,22.5,.241,,.557,9.7,77.5,.291
53,53,2023-02-03,,CHO,W,118,112,112.4,106.7,105.0,.267,.372,.614,58.0,61.4,6.7,5.4,,.593,18.6,29.3,.186,,.494,11.2,83.0,.256
54,54,2023-02-04,,PHO,L,100,116,106.4,123.4,94.0,.272,.519,.551,39.5,65.7,8.5,3.8,,.531,15.0,20.0,.173,,.633,15.3,67.7,.280
55,55,2023-02-06,,BOS,L,99,111,106.3,119.2,93.1,.241,.379,.514,45.2,59.5,9.7,13.0,,.477,8.6,18.0,.184,,.566,10.7,76.7,.205
56,56,2023-02-08,@,CLE,L,85,113,94.2,125.2,90.3,.222,.395,.478,39.0,63.3,8.9,9.8,,.420,12.8,19.6,.210,,.529,9.3,63.9,.241
57,57,2023-02-10,,SAS,W,138,131,115.0,109.2,99.3,.458,.346,.537,54.9,63.0,5.0,7.7,,.463,10.4,35.6,.364,,.486,12.2,75.9,.252
58,58,2023-02-12,@,TOR,L,118,119,121.9,123.0,96.8,.405,.430,.634,44.4,62.5,3.1,7.0,,.589,14.7,18.2,.316,,.546,7.2,66.7,.276
59,59,2023-02-15,@,BOS,L,109,127,111.8,130.2,97.5,.190,.345,.599,44.9,55.8,6.2,8.5,,.577,13.3,14.6,.143,,.647,10.2,78.4,.087
60,60,2023-02-23,@,ORL,L,106,108,104.6,106.6,101.3,.235,.420,.593,49.5,59.5,4.9,10.9,,.562,17.5,15.0,.185,,.474,10.2,76.5,.189
61,61,2023-02-25,,TOR,L,91,95,94.7,98.8,96.1,.149,.255,.454,57.4,68.4,4.2,8.1,,.436,11.5,32.1,.096,,.415,7.2,81.8,.250
62,62,2023-02-27,@,CHO,L,106,117,105.8,116.8,100.2,.293,.283,.510,45.9,42.9,12.0,5.3,,.473,8.0,20.4,.207,,.596,14.7,80.6,.217
63,63,2023-03-01,,CHI,L,115,117,115.7,117.7,99.4,.359,.449,.637,50.0,59.0,8.1,3.4,,.590,15.0,18.9,.295,,.553,13.2,76.7,.271
64,64,2023-03-04,@,CLE,L,90,114,89.9,113.9,100.1,.309,.296,.489,55.7,57.6,5.0,12.3,,.444,20.0,27.9,.222,,.571,10.0,82.2,.110
65,65,2023-03-06,,POR,L,104,110,110.8,117.2,93.9,.233,.372,.549,57.8,75.0,9.6,13.3,,.523,14.4,32.7,.163,,.583,11.0,87.8,.244
66,66,2023-03-07,,WAS,L,117,119,128.0,130.2,91.4,.262,.357,.624,44.8,67.4,6.6,5.4,,.589,10.5,26.3,.214,,.654,13.7,69.0,.160
67,67,2023-03-09,,CHO,L,103,113,105.8,116.1,97.3,.225,.236,.527,52.2,50.0,5.1,6.5,,.489,16.3,35.4,.180,,.547,10.7,70.5,.221
68,68,2023-03-11,,IND,L,115,121,112.3,118.2,102.4,.287,.362,.543,42.0,58.1,6.8,12.1,,.516,10.2,23.1,.191,,.511,11.5,62.5,.280
69,69,2023-03-13,,IND,W,117,97,122.9,101.9,95.2,.100,.360,.560,55.3,58.3,10.5,9.6,,.550,11.8,39.6,.070,,.477,12.7,71.7,.174
70,70,2023-03-14,@,WAS,L,97,117,103.6,124.9,93.7,.121,.343,.465,47.8,47.4,8.5,5.7,,.434,9.5,33.3,.111,,.559,12.1,71.4,.259
71,71,2023-03-16,,DEN,L,100,119,106.5,126.7,93.9,.212,.318,.538,44.0,61.5,8.5,4.6,,.529,15.5,27.7,.118,,.573,8.3,64.9,.191
72,72,2023-03-19,,MIA,L,100,112,111.3,124.6,89.9,.207,.390,.559,48.1,68.4,4.5,5.0,,.524,10.9,20.9,.171,,.563,10.0,78.9,.291
73,73,2023-03-21,@,ATL,L,107,129,110.9,133.7,96.5,.264,.440,.527,36.5,54.1,8.3,3.5,,.478,8.1,18.4,.220,,.537,7.5,55.3,.284
74,74,2023-03-24,@,TOR,L,97,118,99.4,120.9,97.6,.411,.342,.563,45.9,67.6,8.2,7.3,,.507,20.3,20.5,.315,,.516,9.5,67.4,.250
75,75,2023-03-27,,MIL,L,117,126,118.5,127.6,98.7,.391,.261,.542,48.5,53.7,5.1,0.0,,.484,8.5,28.6,.304,,.547,7.0,68.8,.232
76,76,2023-03-29,@,OKC,L,106,107,114.5,115.6,92.6,.175,.413,.615,52.5,67.5,1.1,5.2,,.600,16.5,26.3,.125,,.506,8.4,76.2,.218
77,77,2023-03-31,@,HOU,L,115,121,118.5,124.7,97.1,.303,.393,.570,46.5,55.8,7.2,13.5,,.545,10.6,28.9,.202,,.524,10.5,65.9,.410
78,78,2023-04-02,@,ORL,L,102,128,103.8,130.3,98.2,.462,.423,.543,48.1,68.8,4.1,2.4,,.468,14.6,20.9,.372,,.687,13.1,80.6,.333
79,79,2023-04-04,,MIA,L,105,118,115.3,129.6,91.0,.370,.384,.619,51.5,58.3,5.5,4.5,,.568,14.2,17.6,.301,,.594,7.1,85.3,.288
80,80,2023-04-05,,BRK,L,108,123,116.8,133.1,92.4,.167,.333,.599,47.2,65.9,5.4,7.0,,.565,13.4,25.0,.155,,.622,10.3,69.4,.186
81,81,2023-04-07,@,IND,W,122,115,118.9,112.0,102.6,.289,.344,.601,50.0,54.5,11.7,11.5,,.561,11.4,23.3,.233,,.560,16.6,78.0,.265
82,82,2023-04-09,@,CHI,L,81,103,84.1,107.0,96.3,.153,.388,.446,55.1,64.5,1.0,4.6,,.418,20.9,28.8,.118,,.453,2.8,80.0,.179
