,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,H,CHI,L,88,94,36,90,0.4,6,28,0.214,10,13,0.769,11,47,17,7,5,16,16,89.3,95.4,98.5,0.144,0.311,0.46,49.5,47.2,7.1,7.9,0.433,14.3,22.0,0.111,0.471,15.5,80.0,0.151
1,2021-10-23,A,CHI,L,82,97,34,88,0.386,5,28,0.179,9,15,0.6,11,53,14,9,8,20,17,81.4,96.3,100.7,0.17,0.318,0.433,55.8,41.2,8.9,13.8,0.415,17.5,22.0,0.102,0.482,11.5,93.3,0.19
2,2021-10-25,A,ATL,L,104,122,40,91,0.44,9,33,0.273,15,18,0.833,11,36,26,7,6,14,15,105.0,123.1,99.1,0.198,0.363,0.526,42.4,65.0,7.1,10.3,0.489,12.4,22.0,0.165,0.578,11.6,71.4,0.2
3,2021-10-28,A,PHI,L,102,110,35,86,0.407,13,39,0.333,19,27,0.704,10,37,22,11,4,12,22,104.0,112.2,98.0,0.314,0.453,0.521,44.6,62.9,11.2,8.2,0.483,10.9,20.0,0.221,0.579,18.8,81.8,0.289
4,2021-10-30,H,ORL,W,110,103,36,89,0.404,14,43,0.326,24,30,0.8,17,48,26,12,6,13,18,115.5,108.2,95.2,0.337,0.483,0.538,51.1,72.2,12.6,10.9,0.483,11.3,33.3,0.27,0.529,15.4,72.1,0.126
5,2021-10-31,A,BRK,L,91,117,32,79,0.405,12,33,0.364,15,22,0.682,7,29,21,12,3,15,18,95.6,123.0,95.2,0.278,0.418,0.513,41.4,65.6,12.6,6.4,0.481,14.5,15.2,0.19,0.743,19.4,91.7,0.139
6,2021-11-02,H,MIL,L,89,117,30,93,0.323,8,47,0.17,21,30,0.7,14,43,21,5,5,14,22,89.4,117.5,99.6,0.323,0.505,0.419,45.3,70.0,5.0,10.6,0.366,11.6,24.6,0.226,0.601,13.9,76.3,0.19
7,2021-11-04,H,PHI,L,98,109,35,87,0.402,11,36,0.306,17,19,0.895,12,41,21,6,2,11,18,109.2,121.4,89.8,0.218,0.414,0.514,45.6,60.0,6.7,3.9,0.466,10.3,26.1,0.195,0.566,11.5,65.9,0.181
8,2021-11-05,H,BRK,L,90,96,33,87,0.379,11,34,0.324,13,18,0.722,7,44,17,11,6,13,22,91.9,98.1,97.9,0.207,0.391,0.474,49.4,51.5,11.2,11.3,0.443,12.0,14.6,0.149,0.519,15.7,90.2,0.163
9,2021-11-10,A,HOU,W,112,104,42,97,0.433,16,48,0.333,12,18,0.667,16,49,23,6,6,14,26,113.0,105.0,99.1,0.186,0.495,0.534,53.8,54.8,6.1,12.5,0.515,11.8,32.0,0.124,0.5,11.8,80.5,0.268
10,2021-11-12,A,CLE,L,78,98,29,79,0.367,9,30,0.3,11,13,0.846,10,43,18,12,5,23,13,82.1,103.1,95.0,0.165,0.38,0.46,51.8,62.1,12.6,12.2,0.424,21.4,23.8,0.139,0.561,18.1,80.5,0.073
11,2021-11-13,A,TOR,W,127,121,43,79,0.544,15,35,0.429,26,30,0.867,9,34,34,5,6,13,23,134.6,128.3,94.3,0.38,0.443,0.689,46.6,79.1,5.3,11.3,0.639,12.4,27.3,0.329,0.58,11.4,62.5,0.23
12,2021-11-15,H,SAC,L,107,129,39,96,0.406,13,47,0.277,16,17,0.941,16,47,23,7,2,17,10,105.1,126.8,101.8,0.177,0.49,0.517,50.0,59.0,6.9,3.1,0.474,14.1,30.8,0.167,0.612,11.2,73.8,0.092
13,2021-11-17,H,IND,W,97,89,34,80,0.425,8,28,0.286,21,28,0.75,8,42,16,13,5,12,20,101.9,93.5,95.2,0.35,0.35,0.525,49.4,47.1,13.7,11.9,0.475,11.5,18.2,0.263,0.475,17.1,82.9,0.177
14,2021-11-19,H,GSW,L,102,105,32,80,0.4,14,42,0.333,24,30,0.8,11,35,21,11,7,12,22,112.5,115.8,90.6,0.375,0.525,0.547,42.2,65.6,12.1,14.0,0.488,11.4,24.4,0.3,0.55,16.8,63.2,0.213
15,2021-11-21,H,LAL,L,116,121,43,97,0.443,14,40,0.35,16,21,0.762,8,39,27,7,6,11,24,111.4,116.2,104.2,0.216,0.412,0.546,43.3,62.8,6.7,9.8,0.515,9.4,17.0,0.165,0.543,11.1,72.1,0.228
16,2021-11-23,H,MIA,L,92,100,35,84,0.417,10,38,0.263,12,14,0.857,9,35,22,7,1,14,23,100.3,109.0,91.8,0.167,0.452,0.51,40.7,62.9,7.6,2.1,0.476,13.4,18.8,0.143,0.52,15.3,68.4,0.276
17,2021-11-24,A,MIL,L,93,114,34,95,0.358,11,45,0.244,14,19,0.737,9,44,16,7,1,8,18,93.9,115.1,99.0,0.2,0.474,0.45,44.0,47.1,7.1,2.0,0.416,7.2,16.4,0.147,0.569,13.7,77.8,0.172
18,2021-11-26,A,LAC,L,96,107,33,90,0.367,8,33,0.242,22,26,0.846,13,52,17,8,4,15,19,95.2,106.2,100.8,0.289,0.367,0.473,49.1,51.5,7.9,7.5,0.411,12.9,23.2,0.244,0.489,12.4,78.0,0.198
19,2021-11-28,A,LAL,L,106,110,38,89,0.427,13,33,0.394,17,19,0.895,12,53,29,5,4,17,20,104.9,108.9,101.0,0.213,0.371,0.544,55.8,76.3,4.9,7.4,0.5,14.9,25.0,0.191,0.552,11.0,87.2,0.174
20,2021-11-30,A,POR,L,92,110,29,76,0.382,9,35,0.257,25,30,0.833,7,45,17,4,7,18,20,92.9,111.0,99.1,0.395,0.461,0.516,51.1,58.6,4.0,13.0,0.441,16.8,17.5,0.329,0.5,8.8,79.2,0.146
21,2021-12-02,A,PHO,L,103,114,36,80,0.45,11,27,0.407,20,26,0.769,7,36,20,6,6,12,22,108.0,119.6,95.3,0.325,0.338,0.563,45.0,55.6,6.3,10.3,0.519,11.6,15.6,0.25,0.62,13.6,82.9,0.203
22,2021-12-06,H,OKC,L,103,114,41,99,0.414,16,41,0.39,5,6,0.833,16,52,21,8,7,16,26,105.0,116.2,98.1,0.061,0.414,0.507,56.5,51.2,8.2,12.3,0.495,13.6,32.0,0.051,0.555,10.4,85.7,0.28
23,2021-12-08,H,WAS,L,116,119,37,79,0.468,13,24,0.542,29,35,0.829,7,37,22,9,4,15,26,115.3,118.3,91.1,0.443,0.304,0.614,45.1,59.5,8.9,7.1,0.551,13.7,17.9,0.367,0.545,14.5,69.8,0.261
24,2021-12-10,A,NOP,L,93,109,35,90,0.389,12,37,0.324,11,12,0.917,7,38,22,7,6,12,15,95.2,111.5,97.7,0.133,0.411,0.488,38.8,62.9,7.2,10.3,0.456,11.2,13.5,0.122,0.5,12.1,67.4,0.147
25,2021-12-12,H,BRK,L,104,116,39,92,0.424,14,37,0.378,12,18,0.667,8,40,24,11,5,19,22,98.2,109.5,105.9,0.196,0.402,0.52,48.2,61.5,10.4,8.5,0.5,16.0,18.6,0.13,0.534,14.8,80.0,0.264
26,2021-12-16,A,IND,L,113,122,40,81,0.494,7,25,0.28,26,30,0.867,6,37,20,6,4,12,23,113.9,123.0,99.2,0.37,0.309,0.6,47.4,50.0,6.0,6.8,0.537,11.3,15.4,0.321,0.533,7.2,79.5,0.275
27,2021-12-18,H,HOU,L,107,116,43,93,0.462,10,36,0.278,11,16,0.688,15,42,29,8,6,20,24,104.1,112.9,102.7,0.172,0.387,0.535,47.2,67.4,7.8,10.9,0.516,16.7,30.6,0.118,0.57,15.9,67.5,0.108
28,2021-12-19,H,MIA,W,100,90,35,75,0.467,8,32,0.25,22,30,0.733,6,47,24,4,2,13,28,108.0,97.2,92.6,0.4,0.427,0.567,54.7,68.6,4.3,6.5,0.52,12.8,16.2,0.293,0.466,12.8,83.7,0.284
29,2021-12-21,A,NYK,L,91,105,34,94,0.362,8,33,0.242,15,19,0.789,10,48,22,9,4,12,18,92.6,106.9,98.2,0.202,0.351,0.445,48.0,64.7,9.2,7.0,0.404,10.5,20.4,0.16,0.506,10.9,74.5,0.156
30,2021-12-23,A,MIA,L,112,115,36,80,0.45,18,40,0.45,22,25,0.88,6,43,23,9,5,16,25,111.3,114.3,100.7,0.313,0.5,0.615,50.0,63.9,8.9,8.9,0.563,15.0,14.0,0.275,0.557,11.9,86.0,0.193
31,2021-12-26,A,SAS,L,109,144,38,98,0.388,8,32,0.25,25,34,0.735,14,42,16,10,5,14,30,97.7,129.0,111.6,0.347,0.327,0.482,44.7,42.1,9.0,7.8,0.429,11.0,24.6,0.255,0.632,14.4,75.7,0.319
32,2021-12-29,H,NYK,L,85,94,30,81,0.37,12,35,0.343,13,17,0.765,8,43,19,11,5,17,23,89.4,98.9,95.1,0.21,0.432,0.48,47.3,63.3,11.6,10.0,0.444,16.1,17.8,0.16,0.432,14.7,76.1,0.296
33,2022-01-01,H,SAS,W,117,116,41,101,0.406,9,35,0.257,26,33,0.788,22,63,18,12,6,20,23,104.9,104.0,101.1,0.327,0.347,0.506,56.8,43.9,10.8,9.7,0.45,14.8,38.6,0.257,0.471,12.3,75.9,0.196
