,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2021-10-19,@,LAL,W,121,114,41,93,.441,14,39,.359,25,30,.833,9,50,30,9,2,17,18,,45,95,.474,15,42,.357,9,19,.474,5,45,21,7,4,17,25
2,2,2021-10-21,,LAC,W,115,113,43,83,.518,15,31,.484,14,22,.636,10,53,27,5,4,21,20,,42,96,.438,14,40,.350,15,21,.714,8,39,24,9,2,7,25
3,3,2021-10-24,@,SAC,W,119,107,43,97,.443,13,37,.351,20,24,.833,14,43,26,12,3,6,13,,42,86,.488,15,46,.326,8,13,.615,10,47,26,0,4,19,16
4,4,2021-10-26,@,OKC,W,106,98,39,83,.470,14,40,.350,14,18,.778,7,46,30,9,8,15,20,,36,86,.419,12,34,.353,14,17,.824,9,42,19,7,3,13,18
5,5,2021-10-28,,MEM,L,101,104,39,90,.433,14,40,.350,9,12,.750,7,48,29,8,7,22,17,,39,97,.402,12,48,.250,14,14,1.000,10,51,25,17,9,17,14
6,6,2021-10-30,,OKC,W,103,82,39,92,.424,21,54,.389,4,8,.500,10,56,30,9,8,15,21,,29,83,.349,8,39,.205,16,21,.762,3,45,14,8,6,15,8
7,7,2021-11-03,,CHO,W,114,92,42,86,.488,18,45,.400,12,18,.667,7,53,33,14,4,16,17,,34,91,.374,10,36,.278,14,19,.737,9,49,18,10,2,16,14
8,8,2021-11-05,,NOP,W,126,85,47,91,.516,20,50,.400,12,14,.857,9,49,36,10,4,11,16,,31,88,.352,11,44,.250,12,16,.750,11,42,23,6,3,17,18
9,9,2021-11-07,,HOU,W,120,107,44,85,.518,15,46,.326,17,20,.850,7,41,31,12,3,15,28,,36,79,.456,10,33,.303,25,37,.676,12,42,17,11,3,21,16
10,10,2021-11-08,,ATL,W,127,113,44,92,.478,18,44,.409,21,22,.955,10,39,31,13,4,13,22,,38,82,.463,17,43,.395,20,26,.769,3,35,21,6,2,18,16
11,11,2021-11-10,,MIN,W,123,110,40,85,.471,11,40,.275,32,40,.800,20,53,23,14,6,16,21,,39,95,.411,17,44,.386,15,20,.750,17,40,30,8,4,17,28
12,12,2021-11-12,,CHI,W,119,93,45,93,.484,15,46,.326,14,16,.875,12,47,27,15,3,16,15,,34,78,.436,8,27,.296,17,22,.773,7,38,18,9,2,20,16
13,13,2021-11-14,@,CHO,L,102,106,38,90,.422,9,39,.231,17,25,.680,11,49,31,8,7,15,17,,42,88,.477,14,36,.389,8,12,.667,4,39,23,10,2,11,21
