 
,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2021-10-19,@,LAL,W,121,114,107.3,101.1,112.8,.323,.419,.570,52.6,73.2,8.0,3.8,,.516,13.8,18.4,.269,,.553,14.1,89.1,.095
2,2,2021-10-21,,LAC,W,115,113,112.4,110.4,102.3,.265,.373,.620,57.6,62.8,4.9,7.1,,.608,18.5,24.4,.169,,.510,6.2,84.3,.156
3,3,2021-10-24,@,SAC,W,119,107,122.1,109.8,97.4,.247,.381,.553,47.8,60.5,12.3,7.5,,.510,5.3,27.5,.206,,.576,17.2,74.4,.093
4,4,2021-10-26,@,OKC,W,106,98,110.0,101.7,96.4,.217,.482,.583,52.3,76.9,9.3,15.4,,.554,14.2,17.5,.169,,.488,12.2,81.3,.163
5,5,2021-10-28,,MEM,L,101,104,93.4,96.2,97.9,.133,.444,.530,48.5,74.4,7.4,14.3,,.511,18.8,14.6,.100,,.464,14.1,80.4,.144
6,6,2021-10-30,,OKC,W,103,82,101.9,81.1,101.1,.087,.587,.539,55.4,76.9,8.9,18.2,,.538,13.6,19.2,.043,,.398,14.0,93.9,.193
7,7,2021-11-03,,CHO,W,114,92,110.2,89.0,103.4,.209,.523,.607,52.0,78.6,13.5,7.3,,.593,14.6,14.9,.140,,.429,13.9,83.6,.154
8,8,2021-11-05,,NOP,W,126,85,129.1,87.1,97.6,.154,.549,.648,53.8,76.6,10.2,9.1,,.626,10.2,22.5,.132,,.415,15.2,78.4,.136
9,9,2021-11-07,,HOU,W,120,107,118.5,105.7,101.2,.235,.541,.640,49.4,70.5,11.9,6.5,,.606,13.8,18.9,.200,,.519,18.1,73.9,.316
10,10,2021-11-08,,ATL,W,127,113,122.4,108.9,103.8,.239,.478,.625,52.7,70.5,12.5,10.3,,.576,11.3,23.8,.228,,.567,16.2,90.6,.244
11,11,2021-11-10,,MIN,W,123,110,126.7,113.3,97.1,.471,.471,.599,57.0,57.5,14.4,11.8,,.535,13.5,46.5,.376,,.500,14.1,66.0,.158
12,12,2021-11-12,,CHI,W,119,93,119.0,93.0,100.0,.172,.495,.595,55.3,60.0,15.0,5.9,,.565,13.8,27.9,.151,,.487,18.6,83.3,.218
13,13,2021-11-14,@,CHO,L,102,106,101.6,105.6,100.4,.278,.433,.505,55.7,81.6,8.0,13.5,,.472,12.9,23.9,.189,,.557,10.5,90.5,.091
