,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2022-10-18,,LAL,W,123,109,108.3,96.0,113.6,.232,.455,.564,50.0,68.9,9.7,7.4,,.535,14.2,22.0,.172,,.479,16.7,80.4,.202
2,2,2022-10-21,,DEN,L,123,128,116.9,121.7,105.2,.307,.500,.616,46.1,81.0,9.5,5.8,,.563,15.3,19.4,.273,,.622,17.1,70.0,.244
3,3,2022-10-23,,SAC,W,130,125,119.5,114.9,108.8,.414,.379,.632,42.0,53.3,6.4,8.8,,.598,11.2,13.6,.299,,.525,12.6,70.5,.200
4,4,2022-10-25,@,PHO,L,105,134,104.0,132.7,101.0,.187,.385,.533,45.5,68.3,6.9,11.1,,.505,11.7,22.7,.143,,.576,10.8,68.2,.304
5,5,2022-10-27,,MIA,W,123,110,125.8,112.5,97.8,.163,.500,.624,61.7,65.2,4.1,4.4,,.598,16.2,41.0,.141,,.523,10.9,81.0,.205
6,6,2022-10-29,@,CHO,L,113,120,107.0,113.6,95.7,.160,.440,.528,47.1,70.5,7.6,8.5,,.505,8.5,20.0,.120,,.471,8.0,72.2,.235
7,7,2022-10-30,@,DET,L,114,128,113.8,127.8,100.2,.272,.424,.553,47.2,59.0,8.0,8.0,,.489,12.0,27.1,.261,,.566,13.1,70.7,.410
8,8,2022-11-01,@,MIA,L,109,116,110.0,117.0,99.1,.202,.583,.596,51.3,79.5,8.1,10.9,,.571,17.9,25.0,.155,,.545,13.4,77.5,.227
9,9,2022-11-03,@,ORL,L,129,130,122.5,123.4,105.3,.155,.443,.623,43.2,62.0,4.7,6.3,,.613,11.9,20.5,.103,,.622,16.2,70.3,.423
10,10,2022-11-04,@,NOP,L,105,114,107.2,116.4,97.9,.352,.451,.640,43.9,65.7,7.1,1.9,,.577,21.2,9.7,.324,,.580,13.8,74.3,.247
11,11,2022-11-07,,SAC,W,116,113,113.5,110.6,102.2,.239,.432,.596,52.7,63.6,4.9,7.8,,.580,13.4,19.0,.159,,.484,8.8,81.6,.275
12,12,2022-11-11,,CLE,W,106,101,112.4,107.1,94.3,.171,.439,.601,48.9,72.5,5.3,4.8,,.579,13.7,20.0,.134,,.446,8.8,72.0,.207
13,13,2022-11-13,@,SAC,L,115,122,110.0,116.7,104.5,.178,.522,.593,48.9,64.3,4.8,9.3,,.556,15.6,18.2,.167,,.604,13.1,79.5,.132
14,14,2022-11-14,,SAS,W,132,95,132.3,95.2,99.7,.182,.511,.694,43.0,74.5,9.0,5.0,,.665,11.2,13.9,.170,,.410,14.2,61.4,.130
15,15,2022-11-16,@,PHO,L,119,130,112.7,123.2,105.6,.185,.457,.598,46.0,71.4,4.7,6.5,,.554,14.6,13.3,.185,,.634,13.4,81.0,.244
16,16,2022-11-18,,NYK,W,111,101,110.0,100.1,100.9,.220,.549,.556,53.1,78.0,7.9,5.7,,.549,13.8,27.3,.121,,.397,13.6,75.0,.368
17,17,2022-11-20,@,HOU,W,127,120,127.5,120.5,99.6,.174,.547,.686,47.1,82.6,8.0,11.1,,.674,15.5,19.5,.128,,.539,10.5,72.7,.256
18,18,2022-11-21,@,NOP,L,83,128,81.2,125.3,102.2,.257,.581,.504,40.5,60.7,8.8,10.2,,.446,24.0,9.3,.230,,.621,12.3,73.2,.165
19,19,2022-11-23,,LAC,W,124,107,122.6,105.8,101.2,.134,.526,.604,51.1,75.0,10.9,8.8,,.593,11.2,26.7,.093,,.517,14.0,76.7,.209
20,20,2022-11-25,,UTA,W,129,118,127.3,116.5,101.3,.059,.446,.622,53.8,63.5,7.9,5.8,,.614,15.5,37.2,.050,,.531,11.1,68.8,.155
21,21,2022-11-27,@,MIN,W,137,114,131.7,109.6,104.0,.230,.540,.715,60.3,72.0,6.7,11.3,,.690,14.3,24.2,.195,,.523,12.2,86.7,.250
22,22,2022-11-29,@,DAL,L,113,116,108.0,110.9,104.6,.261,.489,.576,56.2,64.3,5.7,6.4,,.540,15.5,24.4,.205,,.544,11.2,83.3,.187
23,23,2022-12-02,,CHI,W,119,111,110.3,102.9,107.9,.264,.575,.613,53.2,76.2,1.9,7.6,,.598,16.4,15.6,.172,,.511,10.4,87.8,.172
24,24,2022-12-03,,HOU,W,120,101,125.5,105.6,95.6,.118,.612,.671,43.8,75.6,8.4,7.9,,.676,12.7,16.2,.059,,.456,13.1,67.4,.198
25,25,2022-12-05,,IND,L,104,112,104.2,112.2,99.8,.202,.468,.508,50.0,68.4,6.0,11.8,,.473,10.5,23.1,.160,,.561,10.1,83.3,.122
26,26,2022-12-07,@,UTA,L,123,124,119.8,120.8,102.7,.255,.429,.564,51.2,57.8,7.8,9.8,,.531,11.4,31.1,.194,,.622,15.1,75.7,.198
27,27,2022-12-10,,BOS,W,123,107,121.9,106.0,100.9,.217,.424,.610,57.6,55.3,3.0,12.8,,.582,11.4,25.0,.174,,.506,9.2,87.5,.218
28,28,2022-12-13,@,MIL,L,111,128,105.6,121.8,105.1,.200,.526,.537,40.2,65.8,6.7,3.8,,.505,14.8,21.8,.158,,.622,17.9,67.6,.317
29,29,2022-12-14,@,IND,L,119,125,111.1,116.7,107.1,.337,.384,.602,57.5,67.5,4.7,8.3,,.547,18.9,29.3,.291,,.598,14.8,87.2,.241
30,30,2022-12-16,@,PHI,L,106,118,105.0,116.9,100.9,.138,.457,.531,49.5,79.5,7.9,12.8,,.505,14.6,25.5,.117,,.547,13.2,76.1,.294
