,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-19,A,LAL,W,121,114,41,93,0.441,14,39,0.359,25,30,0.833,9,50,30,9,2,17,18,107.3,101.1,112.8,0.323,0.419,0.57,52.6,73.2,8.0,3.8,0.516,13.8,18.4,0.269,0.553,14.1,89.1,0.095
1,2021-10-21,H,LAC,W,115,113,43,83,0.518,15,31,0.484,14,22,0.636,10,53,27,5,4,21,20,112.4,110.4,102.3,0.265,0.373,0.62,57.6,62.8,4.9,7.1,0.608,18.5,24.4,0.169,0.51,6.2,84.3,0.156
2,2021-10-24,A,SAC,W,119,107,43,97,0.443,13,37,0.351,20,24,0.833,14,43,26,12,3,6,13,122.1,109.8,97.4,0.247,0.381,0.553,47.8,60.5,12.3,7.5,0.51,5.3,27.5,0.206,0.576,17.2,74.4,0.093
3,2021-10-26,A,OKC,W,106,98,39,83,0.47,14,40,0.35,14,18,0.778,7,46,30,9,8,15,20,110.0,101.7,96.4,0.217,0.482,0.583,52.3,76.9,9.3,15.4,0.554,14.2,17.5,0.169,0.488,12.2,81.3,0.163
4,2021-10-28,H,MEM,L,101,104,39,90,0.433,14,40,0.35,9,12,0.75,7,48,29,8,7,22,17,93.4,96.2,97.9,0.133,0.444,0.53,48.5,74.4,7.4,14.3,0.511,18.8,14.6,0.1,0.464,14.1,80.4,0.144
5,2021-10-30,H,OKC,W,103,82,39,92,0.424,21,54,0.389,4,8,0.5,10,56,30,9,8,15,21,101.9,81.1,101.1,0.087,0.587,0.539,55.4,76.9,8.9,18.2,0.538,13.6,19.2,0.043,0.398,14.0,93.9,0.193
6,2021-11-03,H,CHO,W,114,92,42,86,0.488,18,45,0.4,12,18,0.667,7,53,33,14,4,16,17,110.2,89.0,103.4,0.209,0.523,0.607,52.0,78.6,13.5,7.3,0.593,14.6,14.9,0.14,0.429,13.9,83.6,0.154
7,2021-11-05,H,NOP,W,126,85,47,91,0.516,20,50,0.4,12,14,0.857,9,49,36,10,4,11,16,129.1,87.1,97.6,0.154,0.549,0.648,53.8,76.6,10.2,9.1,0.626,10.2,22.5,0.132,0.415,15.2,78.4,0.136
8,2021-11-07,H,HOU,W,120,107,44,85,0.518,15,46,0.326,17,20,0.85,7,41,31,12,3,15,28,118.5,105.7,101.2,0.235,0.541,0.64,49.4,70.5,11.9,6.5,0.606,13.8,18.9,0.2,0.519,18.1,73.9,0.316
9,2021-11-08,H,ATL,W,127,113,44,92,0.478,18,44,0.409,21,22,0.955,10,39,31,13,4,13,22,122.4,108.9,103.8,0.239,0.478,0.625,52.7,70.5,12.5,10.3,0.576,11.3,23.8,0.228,0.567,16.2,90.6,0.244
10,2021-11-10,H,MIN,W,123,110,40,85,0.471,11,40,0.275,32,40,0.8,20,53,23,14,6,16,21,126.7,113.3,97.1,0.471,0.471,0.599,57.0,57.5,14.4,11.8,0.535,13.5,46.5,0.376,0.5,14.1,66.0,0.158
11,2021-11-12,H,CHI,W,119,93,45,93,0.484,15,46,0.326,14,16,0.875,12,47,27,15,3,16,15,119.0,93.0,100.0,0.172,0.495,0.595,55.3,60.0,15.0,5.9,0.565,13.8,27.9,0.151,0.487,18.6,83.3,0.218
12,2021-11-14,A,CHO,L,102,106,38,90,0.422,9,39,0.231,17,25,0.68,11,49,31,8,7,15,17,101.6,105.6,100.4,0.278,0.433,0.505,55.7,81.6,8.0,13.5,0.472,12.9,23.9,0.189,0.557,10.5,90.5,0.091
13,2021-11-16,A,BRK,W,117,99,41,79,0.519,13,40,0.325,22,28,0.786,9,53,25,4,8,21,27,116.1,98.2,100.8,0.354,0.506,0.641,58.2,61.0,4.0,15.4,0.601,18.7,23.7,0.278,0.443,9.9,83.0,0.239
14,2021-11-18,A,CLE,W,104,89,41,83,0.494,15,43,0.349,7,8,0.875,5,34,36,12,2,11,17,116.4,99.6,89.4,0.096,0.518,0.601,44.7,87.8,13.4,4.9,0.584,11.3,14.7,0.084,0.5,16.3,69.0,0.113
15,2021-11-19,A,DET,W,105,102,38,80,0.475,12,30,0.4,17,21,0.81,14,48,22,8,4,18,23,115.8,112.5,90.6,0.263,0.375,0.588,57.8,57.9,8.8,10.5,0.55,16.8,36.8,0.213,0.488,11.4,75.6,0.3
16,2021-11-21,H,TOR,W,119,104,39,79,0.494,22,45,0.489,19,24,0.792,8,47,31,5,7,16,18,123.9,108.3,96.0,0.304,0.57,0.664,50.0,79.5,5.2,11.3,0.633,15.2,21.6,0.241,0.47,8.5,68.4,0.111
17,2021-11-24,H,PHI,W,116,96,42,80,0.525,15,38,0.395,17,24,0.708,4,41,32,7,5,16,21,115.9,95.9,100.1,0.3,0.475,0.64,50.0,76.2,7.0,9.6,0.619,15.0,10.8,0.213,0.475,17.5,82.2,0.25
18,2021-11-26,H,POR,W,118,103,47,87,0.54,12,37,0.324,12,16,0.75,11,48,31,8,5,15,19,121.9,106.4,96.8,0.184,0.425,0.627,56.5,66.0,8.3,10.4,0.609,13.8,26.8,0.138,0.494,9.4,84.1,0.209
19,2021-11-28,A,LAC,W,105,90,38,86,0.442,17,40,0.425,12,22,0.545,11,43,25,19,2,16,27,107.5,92.2,97.6,0.256,0.465,0.549,47.8,65.8,19.5,3.8,0.541,14.3,25.6,0.14,0.456,20.9,68.1,0.213
20,2021-11-30,A,PHO,L,96,104,36,86,0.419,14,40,0.35,10,14,0.714,15,51,25,7,5,22,13,101.4,109.9,94.7,0.163,0.465,0.521,59.3,69.4,7.4,8.8,0.5,19.3,35.7,0.116,0.563,11.6,81.8,0.069
