 
,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2021-10-20,@,MIN,L,106,124,40,88,.455,11,33,.333,15,22,.682,12,41,21,13,3,24,25,,42,87,.483,16,38,.421,24,31,.774,13,46,26,18,12,18,22
2,2,2021-10-22,,OKC,W,124,91,48,95,.505,17,38,.447,11,14,.786,10,54,29,12,10,17,18,,34,91,.374,14,43,.326,9,16,.563,8,39,22,9,4,19,21
3,3,2021-10-24,,BOS,L,97,107,32,75,.427,14,32,.438,19,24,.792,5,40,20,7,4,18,20,,38,86,.442,15,47,.319,16,20,.800,6,43,22,10,6,11,22
4,4,2021-10-26,@,DAL,L,106,116,36,86,.419,16,39,.410,18,26,.692,11,49,24,7,3,17,21,,43,93,.462,12,43,.279,18,25,.720,14,50,25,9,7,14,22
5,5,2021-10-28,,UTA,L,91,122,31,95,.326,9,44,.205,20,23,.870,13,41,15,8,3,11,24,,41,85,.482,16,46,.348,24,30,.800,10,58,24,8,4,16,23
6,6,2021-10-31,@,LAL,L,85,95,32,76,.421,6,28,.214,15,29,.517,10,55,18,8,3,25,18,,39,96,.406,9,31,.290,8,13,.615,10,43,22,15,9,12,20
7,7,2021-11-02,@,LAL,L,117,119,48,91,.527,16,42,.381,5,12,.417,11,38,27,8,4,24,21,,49,93,.527,6,25,.240,15,20,.750,11,43,26,10,4,17,19
8,8,2021-11-04,@,PHO,L,111,123,38,88,.432,11,32,.344,24,28,.857,7,43,25,4,4,18,21,,44,93,.473,14,31,.452,21,23,.913,13,46,29,12,8,12,24
9,9,2021-11-06,@,DEN,L,94,95,35,75,.467,8,28,.286,16,24,.667,7,47,19,8,6,16,16,,36,89,.404,9,40,.225,14,17,.824,10,45,19,10,5,11,20
10,10,2021-11-07,@,GSW,L,107,120,36,79,.456,10,33,.303,25,37,.676,12,42,17,11,3,21,16,,44,85,.518,15,46,.326,17,20,.850,7,41,31,12,3,15,28
11,11,2021-11-10,,DET,L,104,112,35,82,.427,12,34,.353,22,34,.647,8,42,17,5,5,13,20,,42,97,.433,16,48,.333,12,18,.667,16,49,23,6,6,14,26
12,12,2021-11-12,,POR,L,92,104,34,85,.400,7,32,.219,17,27,.630,9,49,13,6,6,13,23,,34,87,.391,11,36,.306,25,31,.806,11,52,21,10,4,13,27
13,13,2021-11-14,,PHO,L,89,115,35,85,.412,7,32,.219,12,18,.667,9,48,19,7,5,23,19,,42,97,.433,14,40,.350,17,20,.850,12,52,19,16,7,10,19
14,14,2021-11-15,@,MEM,L,102,136,36,95,.379,11,38,.289,19,26,.731,14,46,24,6,5,17,16,,52,96,.542,16,41,.390,16,20,.800,7,49,33,14,8,10,21
15,15,2021-11-17,@,OKC,L,89,101,32,90,.356,12,42,.286,13,19,.684,9,46,16,6,4,14,14,,41,92,.446,10,39,.256,9,16,.563,9,56,18,10,6,10,19
16,16,2021-11-20,@,NYK,L,99,106,38,84,.452,10,39,.256,13,22,.591,13,48,21,5,8,22,21,,33,78,.423,18,41,.439,22,26,.846,4,37,25,12,7,12,23
17,17,2021-11-22,@,BOS,L,90,108,31,83,.373,11,42,.262,17,24,.708,4,42,19,5,4,14,20,,39,92,.424,12,35,.343,18,19,.947,11,58,19,10,3,14,24
18,18,2021-11-24,,CHI,W,118,113,42,84,.500,17,36,.472,17,22,.773,7,46,27,5,6,21,16,,44,96,.458,15,35,.429,10,12,.833,8,40,26,12,6,13,22
19,19,2021-11-27,,CHO,W,146,143,51,95,.537,23,49,.469,21,31,.677,10,41,36,5,4,13,25,,48,103,.466,20,50,.400,27,30,.900,16,39,31,10,5,11,23
20,20,2021-11-29,,OKC,W,102,89,40,96,.417,15,46,.326,7,11,.636,9,60,31,7,5,13,19,,31,87,.356,7,43,.163,20,26,.769,4,45,16,10,10,12,14
21,21,2021-12-01,@,OKC,W,114,110,40,79,.506,15,37,.405,19,22,.864,8,40,25,9,12,18,25,,40,85,.471,8,32,.250,22,29,.759,10,35,16,9,6,13,21
22,22,2021-12-03,,ORL,W,118,116,44,92,.478,17,47,.362,13,15,.867,7,35,33,7,5,10,16,,42,86,.488,13,37,.351,19,21,.905,10,45,24,6,4,18,21
23,23,2021-12-05,,NOP,W,118,108,39,79,.494,17,40,.425,23,29,.793,11,40,24,3,3,14,23,,40,94,.426,10,38,.263,18,25,.720,22,50,19,9,9,7,26
24,24,2021-12-08,,BRK,W,114,104,40,81,.494,14,41,.341,20,29,.690,9,38,23,9,9,13,23,,35,89,.393,8,33,.242,26,31,.839,14,44,18,7,3,13,23
25,25,2021-12-10,,MIL,L,114,123,42,89,.472,19,46,.413,11,20,.550,12,40,30,9,4,16,28,,42,83,.506,15,39,.385,24,32,.750,13,48,19,11,8,15,21
26,26,2021-12-11,@,MEM,L,106,113,38,77,.494,11,33,.333,19,29,.655,12,40,25,5,6,16,25,,40,80,.500,11,29,.379,22,36,.611,9,38,22,10,3,11,24
27,27,2021-12-13,@,ATL,W,132,126,46,96,.479,19,46,.413,21,27,.778,12,45,27,8,5,11,24,,42,85,.494,15,39,.385,27,31,.871,8,40,20,9,6,12,26
28,28,2021-12-15,@,CLE,L,89,124,30,78,.385,5,29,.172,24,35,.686,10,41,20,13,1,16,21,,45,80,.563,18,40,.450,16,24,.667,9,44,26,6,5,15,25
29,29,2021-12-16,,NYK,L,103,116,34,68,.500,11,32,.344,24,30,.800,5,29,29,4,4,17,25,,39,83,.470,17,36,.472,21,25,.840,15,40,25,8,6,11,26
30,30,2021-12-18,@,DET,W,116,107,46,93,.495,14,38,.368,10,17,.588,13,47,27,15,5,19,18,,43,93,.462,10,36,.278,11,16,.688,15,42,29,8,6,20,24
31,31,2021-12-20,@,CHI,L,118,133,44,78,.564,12,33,.364,18,24,.750,7,35,27,4,4,14,17,,47,88,.534,16,35,.457,23,24,.958,9,34,33,7,5,8,23
32,32,2021-12-22,@,MIL,L,106,126,36,86,.419,13,45,.289,21,31,.677,13,52,23,0,7,15,21,,45,103,.437,17,46,.370,19,21,.905,14,48,25,8,2,5,24
33,33,2021-12-23,@,IND,L,106,118,35,80,.438,15,37,.405,21,26,.808,8,28,16,9,6,12,17,,46,88,.523,13,38,.342,13,19,.684,15,47,27,6,6,13,21
34,34,2021-12-27,@,CHO,L,99,123,36,87,.414,15,46,.326,12,18,.667,13,44,20,9,3,21,15,,47,88,.534,18,41,.439,11,14,.786,7,39,33,13,4,16,18
35,35,2021-12-28,,LAL,L,123,132,44,83,.530,16,35,.457,19,25,.760,4,30,24,10,7,14,20,,48,92,.522,14,34,.412,22,29,.759,14,48,27,8,6,12,23
36,36,2021-12-31,,MIA,L,110,120,41,93,.441,14,42,.333,14,17,.824,15,46,21,9,4,18,27,,40,86,.465,14,33,.424,26,31,.839,11,43,21,7,6,14,16
37,37,2022-01-01,,DEN,L,111,124,37,85,.435,16,42,.381,21,24,.875,13,36,20,10,4,17,24,,46,86,.535,10,32,.313,22,27,.815,13,46,33,10,6,18,23
38,38,2022-01-03,@,PHI,L,113,133,37,89,.416,15,44,.341,24,33,.727,11,42,25,6,4,11,16,,50,96,.521,17,40,.425,16,17,.941,12,54,33,7,7,12,21
39,39,2022-01-05,@,WAS,W,114,111,40,85,.471,9,26,.346,25,32,.781,10,48,15,10,2,20,24,,40,91,.440,10,39,.256,21,26,.808,9,41,18,9,6,15,27
40,40,2022-01-07,,DAL,L,106,130,37,87,.425,12,43,.279,20,29,.690,7,40,17,6,3,13,20,,49,90,.544,17,38,.447,15,28,.536,11,55,34,6,4,14,24
41,41,2022-01-09,,MIN,L,123,141,46,97,.474,14,43,.326,17,28,.607,10,45,31,5,6,12,17,,55,108,.509,15,42,.357,16,21,.762,18,56,37,10,10,11,22
42,42,2022-01-10,,PHI,L,91,111,30,77,.390,13,42,.310,18,27,.667,7,39,18,8,7,20,11,,43,94,.457,10,35,.286,15,18,.833,14,47,23,14,7,14,21
43,43,2022-01-12,@,SAS,W,128,124,45,82,.549,16,36,.444,22,32,.688,4,48,23,5,7,14,24,,43,99,.434,17,46,.370,21,27,.778,9,43,27,10,5,9,24
44,44,2022-01-14,@,SAC,L,114,126,44,101,.436,13,43,.302,13,16,.813,13,50,25,7,4,16,19,,48,96,.500,13,37,.351,17,24,.708,13,53,33,8,7,14,23
45,45,2022-01-16,@,SAC,W,118,112,41,76,.539,16,40,.400,20,24,.833,4,47,22,6,3,22,20,,41,91,.451,12,38,.316,18,24,.750,7,37,26,16,2,12,24
46,46,2022-01-19,@,UTA,W,116,111,41,96,.427,22,45,.489,12,17,.706,12,44,24,4,3,8,18,,42,89,.472,10,38,.263,17,20,.850,11,49,26,7,5,9,16
47,47,2022-01-21,@,GSW,L,103,105,38,89,.427,10,35,.286,17,20,.850,8,39,25,10,3,12,15,,39,81,.481,10,30,.333,17,22,.773,7,41,25,4,9,17,18
48,48,2022-01-25,,SAS,L,104,134,39,95,.411,9,34,.265,17,25,.680,18,45,21,8,3,15,12,,58,101,.574,12,32,.375,6,6,1.000,11,49,38,8,5,13,22
49,49,2022-01-28,,POR,L,110,125,38,79,.481,10,41,.244,24,31,.774,5,38,25,6,3,17,22,,46,81,.568,17,39,.436,16,20,.800,4,34,20,10,4,13,24
50,50,2022-01-31,,GSW,L,108,122,36,84,.429,16,43,.372,20,29,.690,9,37,25,4,3,16,19,,43,80,.538,17,40,.425,19,23,.826,7,41,23,10,8,14,24
51,51,2022-02-02,,CLE,W,115,104,39,82,.476,14,40,.350,23,33,.697,8,37,25,11,3,12,23,,41,80,.513,7,21,.333,15,27,.556,12,48,23,6,4,17,27
52,52,2022-02-04,@,SAS,L,106,131,36,83,.434,11,33,.333,23,29,.793,9,35,15,9,6,17,20,,51,89,.573,13,28,.464,16,20,.800,11,44,33,14,5,12,25
53,53,2022-02-06,,NOP,L,107,120,40,84,.476,16,45,.356,11,16,.688,5,33,28,5,7,16,23,,41,77,.532,12,29,.414,26,36,.722,5,33,29,12,4,10,23
54,54,2022-02-08,@,NOP,L,97,110,32,86,.372,13,42,.310,20,31,.645,18,47,19,8,3,21,23,,42,80,.525,8,32,.250,18,20,.900,8,43,27,10,10,19,29
55,55,2022-02-10,,TOR,L,120,139,43,82,.524,16,38,.421,18,30,.600,13,41,25,5,4,21,20,,53,97,.546,15,39,.385,18,22,.818,14,37,25,12,3,11,28
56,56,2022-02-14,@,UTA,L,101,135,35,83,.422,12,37,.324,19,28,.679,10,33,23,5,4,12,20,,49,89,.551,18,40,.450,19,22,.864,13,53,34,6,5,13,22
57,57,2022-02-16,@,PHO,L,121,124,42,97,.433,13,44,.295,24,28,.857,13,49,23,5,5,16,27,,44,86,.512,7,24,.292,29,36,.806,7,42,27,10,7,11,20
58,58,2022-02-17,@,LAC,L,111,142,42,91,.462,13,37,.351,14,19,.737,12,35,29,8,2,18,20,,51,92,.554,18,35,.514,22,26,.846,12,50,34,12,5,16,16
59,59,2022-02-25,@,ORL,L,111,119,44,94,.468,14,47,.298,9,20,.450,10,41,22,12,3,13,24,,42,83,.506,13,36,.361,22,29,.759,10,54,20,7,4,18,22
60,60,2022-02-27,,LAC,L,98,99,35,92,.380,17,42,.405,11,18,.611,6,37,26,8,0,6,21,,34,77,.442,11,34,.324,20,28,.714,10,59,18,4,12,18,22
61,61,2022-03-01,,LAC,L,100,113,38,96,.396,13,39,.333,11,17,.647,14,45,21,8,6,13,18,,42,96,.438,13,31,.419,16,17,.941,17,55,24,7,8,15,19
62,62,2022-03-02,,UTA,L,127,132,43,86,.500,21,51,.412,20,30,.667,5,34,27,12,3,16,25,,50,91,.549,15,42,.357,17,24,.708,11,49,32,12,2,19,24
63,63,2022-03-04,@,DEN,L,101,116,38,83,.458,10,36,.278,15,22,.682,9,44,25,4,3,14,21,,39,86,.453,13,33,.394,25,31,.806,10,41,27,10,4,10,21
64,64,2022-03-06,,MEM,W,123,112,43,82,.524,13,34,.382,24,36,.667,8,45,23,4,5,17,22,,44,97,.454,5,26,.192,19,27,.704,12,40,27,12,8,11,27
65,65,2022-03-07,@,MIA,L,106,123,39,88,.443,13,43,.302,15,22,.682,9,33,22,8,7,10,24,,49,91,.538,14,31,.452,11,14,.786,13,50,26,3,4,15,17
66,66,2022-03-09,,LAL,W,139,130,52,102,.510,17,40,.425,18,19,.947,10,50,25,7,4,16,21,,47,101,.465,18,47,.383,18,26,.692,12,48,25,10,7,16,21
67,67,2022-03-11,,DAL,L,100,113,41,86,.477,6,30,.200,12,19,.632,5,39,29,9,3,11,23,,40,88,.455,11,36,.306,22,28,.786,12,47,20,6,8,13,21
68,68,2022-03-13,@,NOP,L,105,130,39,77,.506,12,31,.387,15,25,.600,9,39,24,3,4,24,26,,48,93,.516,10,32,.313,24,34,.706,14,45,30,17,3,10,20
69,69,2022-03-16,,PHO,L,112,129,42,85,.494,16,39,.410,12,19,.632,9,33,26,9,3,11,13,,53,95,.558,13,33,.394,10,13,.769,13,49,32,5,4,11,18
70,70,2022-03-18,,IND,L,118,121,39,79,.494,12,27,.444,28,32,.875,5,42,24,9,8,15,19,,47,101,.465,14,43,.326,13,19,.684,16,46,29,7,4,13,26
71,71,2022-03-20,,MEM,L,98,122,37,86,.430,10,31,.323,14,24,.583,5,45,26,6,3,17,16,,46,96,.479,16,34,.471,14,17,.824,7,51,26,14,6,13,24
72,72,2022-03-21,,WAS,W,115,97,42,85,.494,20,39,.513,11,13,.846,6,44,30,5,8,12,22,,35,85,.412,6,29,.207,21,24,.875,10,47,24,7,6,11,15
73,73,2022-03-23,@,DAL,L,91,110,33,82,.402,4,28,.143,21,28,.750,12,45,17,8,5,15,21,,42,86,.488,8,33,.242,18,22,.818,8,42,24,9,1,12,24
74,74,2022-03-25,@,POR,W,125,106,43,83,.518,19,45,.422,20,23,.870,9,37,27,12,3,14,22,,43,85,.506,3,20,.150,17,23,.739,13,38,28,6,3,17,21
75,75,2022-03-26,@,POR,W,115,98,44,84,.524,15,35,.429,12,18,.667,8,38,34,12,8,20,14,,37,93,.398,12,40,.300,12,17,.706,21,51,21,14,4,21,19
76,76,2022-03-28,,SAS,L,120,123,38,92,.413,20,49,.408,24,28,.857,10,44,26,5,9,12,24,,47,100,.470,7,29,.241,22,28,.786,17,56,28,11,5,12,20
77,77,2022-03-30,,SAC,L,118,121,43,94,.457,13,42,.310,19,25,.760,12,51,23,7,4,17,34,,44,95,.463,7,26,.269,26,36,.722,13,44,21,7,10,9,21
78,78,2022-04-01,,SAC,L,117,122,41,97,.423,17,45,.378,18,26,.692,15,45,26,9,7,10,25,,42,81,.519,12,28,.429,26,34,.765,8,47,29,6,11,13,19
79,79,2022-04-03,,MIN,L,132,139,48,85,.565,16,40,.400,20,29,.690,11,36,28,8,4,23,24,,51,86,.593,17,41,.415,20,25,.800,7,32,32,13,6,19,27
80,80,2022-04-05,@,BRK,L,105,118,40,99,.404,11,43,.256,14,25,.560,18,48,18,8,6,11,20,,39,86,.453,15,37,.405,25,27,.926,12,52,22,6,9,16,23
81,81,2022-04-08,@,TOR,L,115,117,43,81,.531,10,29,.345,19,24,.792,7,41,24,6,3,18,19,,44,96,.458,7,29,.241,22,23,.957,13,41,20,13,4,9,18
