 
,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2022-10-19,@,ATL,L,107,117,104.5,114.3,102.4,.153,.357,.511,58.7,59.5,3.9,4.6,,.474,12.5,30.6,.143,,.539,8.2,90.7,.222
2,2,2022-10-21,,MEM,L,122,129,118.4,125.2,103.1,.323,.376,.574,47.4,40.9,3.9,10.7,,.559,11.6,28.3,.194,,.556,9.8,65.3,.204
3,3,2022-10-22,@,MIL,L,105,125,105.9,126.0,99.2,.237,.398,.511,50.0,55.6,9.1,11.1,,.473,10.5,27.8,.183,,.659,14.5,80.0,.153
4,4,2022-10-24,,UTA,W,114,108,115.2,109.2,98.9,.356,.389,.548,49.0,44.7,7.1,11.5,,.483,12.6,35.4,.300,,.532,16.7,62.5,.097
5,5,2022-10-26,@,UTA,L,101,109,95.8,103.4,105.4,.255,.426,.483,48.0,52.8,6.6,4.4,,.441,15.4,25.0,.191,,.494,12.7,76.1,.222
6,6,2022-10-28,@,POR,L,111,125,110.4,124.3,100.5,.223,.404,.538,46.4,57.5,9.9,10.9,,.500,12.7,27.7,.181,,.606,13.2,70.3,.178
7,7,2022-10-30,@,PHO,L,109,124,115.5,131.4,94.4,.299,.391,.554,57.6,47.4,7.4,2.3,,.500,13.2,39.5,.253,,.607,10.2,76.2,.262
8,8,2022-10-31,@,LAC,L,93,95,93.7,95.7,99.3,.261,.318,.474,48.9,50.0,9.1,15.7,,.432,11.7,15.6,.193,,.477,12.1,82.2,.138
9,9,2022-11-02,,LAC,L,101,109,104.2,112.4,97.0,.239,.432,.519,53.8,45.9,9.3,9.8,,.483,16.3,32.0,.182,,.560,13.2,79.1,.179
10,10,2022-11-05,@,MIN,L,117,129,113.6,125.3,103.0,.369,.452,.599,47.8,67.5,9.7,0.0,,.571,18.4,30.8,.250,,.706,21.3,70.0,.200
11,11,2022-11-07,@,ORL,W,134,127,131.8,125.0,101.6,.287,.552,.684,51.9,67.4,8.9,10.5,,.667,16.9,35.0,.207,,.622,16.6,70.3,.305
12,12,2022-11-09,@,TOR,L,109,116,113.9,121.2,95.7,.369,.417,.558,49.5,78.4,9.4,12.1,,.494,14.1,36.4,.310,,.485,10.5,60.0,.167
13,13,2022-11-12,@,NOP,L,106,119,107.2,120.3,98.9,.228,.456,.610,54.4,60.0,7.1,7.0,,.582,23.0,29.4,.177,,.535,10.7,73.3,.314
14,14,2022-11-14,,LAC,L,106,122,105.2,121.1,100.8,.360,.349,.532,47.6,51.3,10.9,7.0,,.506,12.3,22.2,.221,,.593,14.3,76.9,.321
15,15,2022-11-16,@,DAL,W,101,92,105.0,95.6,96.2,.320,.293,.590,59.6,60.0,1.0,40.4,,.533,18.9,26.5,.280,,.363,5.2,78.3,.176
16,16,2022-11-18,,IND,L,91,99,94.8,103.1,96.0,.372,.326,.455,52.1,51.7,8.3,9.8,,.372,14.5,29.8,.314,,.476,13.8,74.5,.256
17,17,2022-11-20,,GSW,L,120,127,120.5,127.5,99.6,.300,.500,.589,52.9,58.5,13.1,2.6,,.539,10.5,27.3,.256,,.674,15.5,80.5,.128
18,18,2022-11-25,,ATL,W,128,122,126.3,120.3,101.4,.471,.402,.609,67.8,61.0,8.9,9.3,,.540,16.7,50.0,.391,,.567,11.7,86.0,.354
19,19,2022-11-26,,OKC,W,118,105,114.6,102.0,103.0,.163,.419,.640,56.4,55.6,8.7,5.7,,.628,20.7,30.6,.116,,.443,12.3,72.4,.196
20,20,2022-11-28,@,DEN,L,113,129,116.5,133.0,97.0,.294,.518,.589,46.3,64.1,4.1,3.4,,.553,15.0,28.6,.224,,.636,12.6,65.8,.193
21,21,2022-11-30,@,DEN,L,100,120,105.4,126.5,94.9,.205,.466,.521,48.1,48.6,5.3,11.8,,.489,12.7,22.7,.159,,.633,10.7,78.4,.181
22,22,2022-12-02,@,PHO,W,122,121,122.3,121.3,99.7,.531,.296,.610,52.6,47.5,12.0,4.2,,.543,13.8,31.7,.420,,.629,15.4,75.7,.165
23,23,2022-12-03,@,GSW,L,101,120,105.6,125.5,95.6,.220,.308,.506,56.3,42.5,6.3,12.1,,.456,13.1,32.6,.198,,.676,12.7,83.8,.059
24,24,2022-12-05,,PHI,W,132,123,120.8,112.6,90.4,.468,.415,.582,56.7,45.2,8.2,5.9,,.521,14.4,36.4,.362,,.546,15.6,76.1,.322
25,25,2022-12-08,@,SAS,L,109,118,111.8,121.1,97.5,.153,.296,.521,52.5,52.3,3.1,8.5,,.500,11.8,34.0,.112,,.633,15.2,78.8,.157
