,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,A,MIN,L,106,124,40,88,0.455,11,33,0.333,15,22,0.682,12,41,21,13,3,24,25,101.1,118.3,104.8,0.25,0.375,0.543,47.1,52.5,12.4,6.1,0.517,19.7,26.7,0.17,0.575,15.2,69.0,0.276
1,2021-10-22,H,OKC,W,124,91,48,95,0.505,17,38,0.447,11,14,0.786,10,54,29,12,10,17,18,116.8,85.7,106.2,0.147,0.4,0.613,58.1,60.4,11.3,20.8,0.595,14.4,24.4,0.116,0.451,16.2,84.6,0.099
2,2021-10-24,H,BOS,L,97,107,32,75,0.427,14,32,0.438,19,24,0.792,5,40,20,7,4,18,20,99.7,110.0,97.3,0.32,0.427,0.567,48.2,62.5,7.2,10.3,0.52,17.4,11.9,0.253,0.529,10.4,85.4,0.186
3,2021-10-26,A,DAL,L,106,116,36,86,0.419,16,39,0.41,18,26,0.692,11,49,24,7,3,17,21,104.2,114.0,101.7,0.302,0.453,0.544,49.5,66.7,6.9,6.0,0.512,14.9,23.4,0.209,0.527,11.9,73.1,0.194
4,2021-10-28,H,UTA,L,91,122,31,95,0.326,9,44,0.205,20,23,0.87,13,41,15,8,3,11,24,90.4,121.3,100.6,0.242,0.463,0.433,41.4,48.4,8.0,7.7,0.374,9.5,21.3,0.211,0.576,14.0,73.7,0.282
5,2021-10-31,A,LAL,L,85,95,32,76,0.421,6,28,0.214,15,29,0.517,10,55,18,8,3,25,18,83.4,93.2,101.9,0.382,0.368,0.479,56.1,56.3,7.9,4.6,0.461,22.0,23.3,0.197,0.453,10.6,81.8,0.083
6,2021-11-02,A,LAL,L,117,119,48,91,0.527,16,42,0.381,5,12,0.417,11,38,27,8,4,24,21,110.2,112.1,106.2,0.132,0.462,0.608,46.9,56.3,7.5,5.9,0.615,20.0,25.6,0.055,0.559,14.3,71.1,0.161
7,2021-11-04,A,PHO,L,111,123,38,88,0.432,11,32,0.344,24,28,0.857,7,43,25,4,4,18,21,106.7,118.2,104.1,0.318,0.364,0.553,48.3,65.8,3.8,6.5,0.494,15.2,17.5,0.273,0.548,10.4,73.5,0.226
8,2021-11-06,A,DEN,L,94,95,35,75,0.467,8,28,0.286,16,24,0.667,7,47,19,8,6,16,16,99.5,100.6,94.5,0.32,0.373,0.549,51.1,54.3,8.5,12.2,0.52,15.8,16.7,0.213,0.455,10.2,80.0,0.157
9,2021-11-07,A,GSW,L,107,120,36,79,0.456,10,33,0.303,25,37,0.676,12,42,17,11,3,21,16,105.7,118.5,101.2,0.468,0.418,0.562,50.6,47.2,10.9,7.7,0.519,18.1,26.1,0.316,0.606,13.8,81.1,0.2
10,2021-11-10,H,DET,L,104,112,35,82,0.427,12,34,0.353,22,34,0.647,8,42,17,5,5,13,20,105.0,113.0,99.1,0.415,0.415,0.536,46.2,48.6,5.0,10.2,0.5,11.8,19.5,0.268,0.515,11.8,68.0,0.124
11,2021-11-12,H,POR,L,92,104,34,85,0.4,7,32,0.219,17,27,0.63,9,49,13,6,6,13,23,92.4,104.4,99.6,0.318,0.376,0.475,48.5,38.2,6.0,11.8,0.441,11.8,18.0,0.2,0.454,11.4,78.4,0.287
12,2021-11-14,H,PHO,L,89,115,35,85,0.412,7,32,0.219,12,18,0.667,9,48,19,7,5,23,19,86.2,111.4,103.3,0.212,0.376,0.479,48.0,54.3,6.8,8.8,0.453,19.8,18.4,0.141,0.505,8.6,76.5,0.175
13,2021-11-15,A,MEM,L,102,136,36,95,0.379,11,38,0.289,19,26,0.731,14,46,24,6,5,17,16,96.2,128.2,106.1,0.274,0.4,0.479,48.4,66.7,5.7,9.1,0.437,13.8,25.0,0.2,0.625,8.7,82.1,0.167
14,2021-11-17,A,OKC,L,89,101,32,90,0.356,12,42,0.286,13,19,0.684,9,46,16,6,4,14,14,89.3,101.3,99.7,0.211,0.467,0.452,45.1,50.0,6.0,7.5,0.422,12.5,16.1,0.144,0.5,9.2,80.4,0.098
15,2021-11-20,A,NYK,L,99,106,38,84,0.452,10,39,0.256,13,22,0.591,13,48,21,5,8,22,21,100.8,108.0,98.2,0.262,0.464,0.528,56.5,55.3,5.1,21.6,0.512,19.0,28.3,0.155,0.538,11.8,89.7,0.282
16,2021-11-22,A,BOS,L,90,108,31,83,0.373,11,42,0.262,17,24,0.708,4,42,19,5,4,14,20,88.6,106.3,101.6,0.289,0.506,0.481,42.0,61.3,4.9,7.0,0.44,13.0,7.8,0.205,0.489,12.2,77.6,0.196
17,2021-11-24,H,CHI,W,118,113,42,84,0.5,17,36,0.472,17,22,0.773,7,46,27,5,6,21,16,112.3,107.6,105.0,0.262,0.429,0.63,53.5,64.3,4.8,9.8,0.601,18.3,17.9,0.202,0.536,11.4,83.0,0.104
18,2021-11-27,H,CHO,W,146,143,51,95,0.537,23,49,0.469,21,31,0.677,10,41,36,5,4,13,25,137.7,134.8,96.0,0.326,0.516,0.672,51.3,70.6,4.7,7.5,0.658,10.7,30.3,0.221,0.563,8.6,66.0,0.262
19,2021-11-29,H,OKC,W,102,89,40,96,0.417,15,46,0.326,7,11,0.636,9,60,31,7,5,13,19,98.2,85.7,103.8,0.115,0.479,0.506,57.1,77.5,6.7,11.4,0.495,11.4,18.0,0.073,0.397,10.9,92.7,0.23
20,2021-12-01,A,OKC,W,114,110,40,79,0.506,15,37,0.405,19,22,0.864,8,40,25,9,12,18,25,117.6,113.5,96.9,0.278,0.468,0.643,53.3,62.5,9.3,22.6,0.601,16.9,24.2,0.241,0.518,11.7,76.2,0.259
21,2021-12-03,H,ORL,W,118,116,44,92,0.478,17,47,0.362,13,15,0.867,7,35,33,7,5,10,16,118.3,116.3,99.7,0.163,0.511,0.598,43.8,75.0,7.0,10.2,0.571,9.2,16.7,0.141,0.564,15.9,73.7,0.221
22,2021-12-05,H,NOP,W,118,108,39,79,0.494,17,40,0.425,23,29,0.793,11,40,24,3,3,14,23,132.1,120.9,89.3,0.367,0.506,0.643,44.4,61.5,3.4,5.4,0.601,13.2,28.2,0.291,0.479,6.3,56.9,0.191
23,2021-12-08,H,BRK,W,114,104,40,81,0.494,14,41,0.341,20,29,0.69,9,38,23,9,9,13,23,119.3,108.9,95.5,0.358,0.506,0.608,46.3,57.5,9.4,16.1,0.58,12.2,23.1,0.247,0.438,11.2,67.4,0.292
24,2021-12-10,H,MIL,L,114,123,42,89,0.472,19,46,0.413,11,20,0.55,12,40,30,9,4,16,28,115.7,124.8,98.5,0.225,0.517,0.583,45.5,71.4,9.1,9.1,0.579,14.1,25.5,0.124,0.596,13.4,68.3,0.289
25,2021-12-11,A,MEM,L,106,113,38,77,0.494,11,33,0.333,19,29,0.655,12,40,25,5,6,16,25,113.1,120.6,93.7,0.377,0.429,0.59,51.3,65.8,5.3,11.8,0.565,15.1,29.3,0.247,0.569,10.3,75.7,0.275
26,2021-12-13,A,ATL,W,132,126,46,96,0.479,19,46,0.413,21,27,0.778,12,45,27,8,5,11,24,129.6,123.8,101.8,0.281,0.479,0.612,52.9,58.7,7.9,10.9,0.578,9.3,27.3,0.219,0.582,10.8,80.5,0.318
27,2021-12-15,A,CLE,L,89,124,30,78,0.385,5,29,0.172,24,35,0.686,10,41,20,13,1,16,21,92.3,128.7,96.4,0.449,0.372,0.476,48.2,66.7,13.5,2.5,0.417,14.6,22.2,0.308,0.675,14.2,77.5,0.2
28,2021-12-16,H,NYK,L,103,116,34,68,0.5,11,32,0.344,24,30,0.8,5,29,29,4,4,17,25,116.5,131.2,88.4,0.441,0.471,0.634,42.0,85.3,4.5,8.5,0.581,17.3,16.7,0.353,0.572,10.5,61.5,0.253
29,2021-12-18,A,DET,W,116,107,46,93,0.495,14,38,0.368,10,17,0.588,13,47,27,15,5,19,18,112.9,104.1,102.7,0.183,0.409,0.577,52.8,58.7,14.6,8.8,0.57,15.9,32.5,0.108,0.516,16.7,69.4,0.118
30,2021-12-20,A,CHI,L,118,133,44,78,0.564,12,33,0.364,18,24,0.75,7,35,27,4,4,14,17,125.2,141.1,94.3,0.308,0.423,0.666,50.7,61.4,4.2,7.5,0.641,13.7,21.9,0.231,0.625,7.5,75.7,0.261
31,2021-12-22,A,MIL,L,106,126,36,86,0.419,13,45,0.289,21,31,0.677,13,52,23,0,7,15,21,106.7,126.9,99.3,0.36,0.523,0.532,52.0,63.9,0.0,12.3,0.494,13.1,27.7,0.244,0.519,4.3,73.6,0.184
32,2021-12-23,A,IND,L,106,118,35,80,0.438,15,37,0.405,21,26,0.808,8,28,16,9,6,12,17,116.4,129.6,91.1,0.325,0.463,0.58,37.3,45.7,9.9,12.0,0.531,11.6,20.0,0.263,0.597,11.9,57.1,0.148
33,2021-12-27,A,CHO,L,99,123,36,87,0.414,15,46,0.326,12,18,0.667,13,44,20,9,3,21,15,98.5,122.4,100.5,0.207,0.529,0.521,53.0,55.6,9.0,6.4,0.5,18.1,28.9,0.138,0.636,14.5,81.6,0.125
34,2021-12-28,H,LAL,L,123,132,44,83,0.53,16,35,0.457,19,25,0.76,4,30,24,10,7,14,20,121.9,130.9,100.9,0.301,0.422,0.654,38.5,54.5,9.9,12.1,0.627,13.0,10.5,0.229,0.598,10.3,65.0,0.239
35,2021-12-31,H,MIA,L,110,120,41,93,0.441,14,42,0.333,14,17,0.824,15,46,21,9,4,18,27,110.2,120.3,99.8,0.183,0.452,0.547,51.7,51.2,9.0,7.5,0.516,15.2,31.9,0.151,0.547,12.3,73.8,0.302
36,2022-01-01,H,DEN,L,111,124,37,85,0.435,16,42,0.381,21,24,0.875,13,36,20,10,4,17,24,113.0,126.3,98.2,0.282,0.494,0.581,43.9,54.1,10.2,7.4,0.529,15.1,28.3,0.247,0.593,15.5,63.9,0.256
37,2022-01-03,A,PHI,L,113,133,37,89,0.416,15,44,0.341,24,33,0.727,11,42,25,6,4,11,16,111.5,131.2,101.4,0.371,0.494,0.546,43.8,67.6,5.9,7.1,0.5,9.6,20.8,0.27,0.609,10.4,72.1,0.167
38,2022-01-05,A,WAS,W,114,111,40,85,0.471,9,26,0.346,25,32,0.781,10,48,15,10,2,20,24,107.4,104.6,106.1,0.376,0.306,0.575,53.9,37.5,9.4,3.8,0.524,16.8,23.8,0.294,0.495,12.8,80.9,0.231
39,2022-01-07,H,DAL,L,106,130,37,87,0.425,12,43,0.279,20,29,0.69,7,40,17,6,3,13,20,101.7,124.7,104.2,0.333,0.494,0.531,42.1,45.9,5.8,5.8,0.494,11.5,13.7,0.23,0.639,12.0,75.0,0.167
40,2022-01-09,H,MIN,L,123,141,46,97,0.474,14,43,0.326,17,28,0.607,10,45,31,5,6,12,17,113.4,130.0,108.5,0.289,0.443,0.563,44.6,67.4,4.6,9.1,0.546,9.9,20.8,0.175,0.579,8.6,66.0,0.148
41,2022-01-10,H,PHI,L,91,111,30,77,0.39,13,42,0.31,18,27,0.667,7,39,18,8,7,20,11,92.1,112.4,98.8,0.351,0.545,0.512,45.3,60.0,8.1,11.9,0.474,18.4,17.5,0.234,0.511,12.1,69.6,0.16
42,2022-01-12,A,SAS,W,128,124,45,82,0.549,16,36,0.444,22,32,0.688,4,48,23,5,7,14,24,120.0,116.3,106.6,0.39,0.439,0.666,52.7,51.1,4.7,13.2,0.646,12.7,10.5,0.268,0.52,7.5,83.0,0.212
43,2022-01-14,A,SAC,L,114,126,44,101,0.436,13,43,0.302,13,16,0.813,13,50,25,7,4,16,19,106.2,117.4,107.3,0.158,0.426,0.528,48.5,56.8,6.5,6.8,0.5,12.9,24.5,0.129,0.568,11.6,74.0,0.177
44,2022-01-16,A,SAC,W,118,112,41,76,0.539,16,40,0.4,20,24,0.833,4,47,22,6,3,22,20,113.3,107.5,104.2,0.316,0.526,0.682,56.0,53.7,5.8,5.7,0.645,20.3,11.8,0.263,0.516,10.6,86.0,0.198
45,2022-01-19,A,UTA,W,116,111,41,96,0.427,22,45,0.489,12,17,0.706,12,44,24,4,3,8,18,122.2,117.0,94.9,0.177,0.469,0.56,47.3,58.5,4.2,5.9,0.542,7.2,24.0,0.125,0.528,8.4,74.4,0.191
46,2022-01-21,A,GSW,L,103,105,38,89,0.427,10,35,0.286,17,20,0.85,8,39,25,10,3,12,15,104.5,106.5,98.6,0.225,0.393,0.527,48.8,65.8,10.1,5.9,0.483,10.9,19.0,0.191,0.543,15.8,81.6,0.21
47,2022-01-25,H,SAS,L,104,134,39,95,0.411,9,34,0.265,17,25,0.68,18,45,21,8,3,15,12,102.1,131.5,101.9,0.263,0.358,0.491,47.9,53.8,7.9,4.3,0.458,12.4,32.1,0.179,0.634,11.1,71.1,0.059
48,2022-01-28,H,POR,L,110,125,38,79,0.481,10,41,0.244,24,31,0.774,5,38,25,6,3,17,22,110.0,124.9,100.0,0.392,0.519,0.594,52.8,65.8,6.0,7.1,0.544,15.5,14.3,0.304,0.673,12.6,89.2,0.198
