,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2021-10-20,@,CHO,L,122,123,42,90,.467,17,47,.362,21,24,.875,8,51,29,2,10,16,24,,46,107,.430,13,31,.419,18,27,.667,12,46,29,9,5,8,21
2,2,2021-10-22,@,WAS,L,134,135,52,97,.536,15,34,.441,15,20,.750,7,42,28,5,6,12,22,,49,94,.521,19,38,.500,18,19,.947,6,38,24,5,6,9,21
3,3,2021-10-23,,MIA,W,102,91,38,97,.392,10,39,.256,16,21,.762,14,55,18,10,5,16,18,,35,91,.385,9,33,.273,12,14,.857,10,55,18,4,2,22,25
4,4,2021-10-25,,MIL,L,109,119,40,90,.444,14,36,.389,15,17,.882,12,47,23,6,1,19,24,,41,85,.482,11,32,.344,26,31,.839,7,42,24,13,6,13,19
5,5,2021-10-27,@,TOR,L,100,118,38,79,.481,10,29,.345,14,17,.824,9,40,19,6,7,22,19,,46,100,.460,14,30,.467,12,19,.632,16,41,22,18,6,10,20
6,6,2021-10-29,@,BRK,L,98,105,37,93,.398,8,29,.276,16,23,.696,11,46,20,9,7,14,27,,34,76,.447,6,26,.231,31,41,.756,10,50,20,9,6,18,21
7,7,2021-10-30,,TOR,L,94,97,35,81,.432,13,43,.302,11,16,.688,8,40,25,8,10,19,17,,39,92,.424,11,32,.344,8,12,.667,12,48,18,8,4,15,17
8,8,2021-11-01,,SAS,W,131,118,52,91,.571,18,38,.474,9,12,.750,10,39,37,11,4,14,19,,47,89,.528,14,28,.500,10,14,.714,8,36,34,6,4,16,9
9,9,2021-11-03,,NYK,W,111,98,42,91,.462,16,41,.390,11,14,.786,10,49,26,7,7,11,22,,36,87,.414,5,24,.208,21,27,.778,14,46,23,7,6,10,19
10,10,2021-11-05,@,POR,L,106,110,43,88,.489,14,42,.333,6,10,.600,7,40,28,8,2,11,18,,40,82,.488,17,39,.436,13,15,.867,6,42,27,7,4,13,15
11,11,2021-11-07,@,SAC,W,94,91,37,83,.446,6,25,.240,14,18,.778,13,54,13,8,7,19,24,,31,84,.369,10,34,.294,19,22,.864,8,33,20,14,6,12,18
12,12,2021-11-10,@,DEN,L,98,101,40,84,.476,11,31,.355,7,11,.636,10,48,22,5,11,12,19,,36,84,.429,12,30,.400,17,20,.850,11,39,19,5,4,10,14
13,13,2021-11-11,@,UTA,W,111,100,43,96,.448,11,31,.355,14,19,.737,15,53,19,7,5,10,23,,39,83,.470,9,32,.281,13,23,.565,7,37,22,6,4,12,16
14,14,2021-11-13,,PHI,W,118,113,47,82,.573,14,28,.500,10,15,.667,7,37,33,7,10,15,21,,38,89,.427,12,23,.522,25,29,.862,18,46,16,11,2,14,22
15,15,2021-11-15,@,NYK,L,84,92,32,86,.372,8,37,.216,12,16,.750,9,44,16,6,6,7,15,,37,86,.430,11,34,.324,7,10,.700,8,46,22,1,5,10,15
16,16,2021-11-17,@,DET,L,89,97,33,79,.418,9,37,.243,14,19,.737,7,43,14,5,5,18,22,,34,80,.425,8,28,.286,21,28,.750,8,42,16,13,5,12,20
17,17,2021-11-19,@,CHO,L,118,121,41,88,.466,11,36,.306,25,32,.781,8,38,19,10,6,10,24,,44,81,.543,12,31,.387,21,28,.750,6,45,28,8,7,17,26
18,18,2021-11-20,,NOP,W,111,94,42,91,.462,14,38,.368,13,18,.722,8,46,28,11,9,10,16,,35,88,.398,6,18,.333,18,19,.947,11,52,17,7,5,16,14
