,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2022-10-19,,WAS,L,107,114,103.7,110.5,103.2,.216,.433,.504,44.2,53.8,6.8,8.2,,.479,12.4,23.5,.144,,.516,13.5,68.2,.207
2,2,2022-10-21,,SAS,L,134,137,122.7,125.4,109.2,.212,.337,.589,53.2,62.7,7.3,12.0,,.543,12.3,31.8,.202,,.648,14.5,80.0,.395
3,3,2022-10-22,,DET,W,124,115,122.4,113.5,101.3,.233,.408,.546,52.7,62.2,6.9,28.3,,.515,8.8,35.7,.175,,.484,10.7,69.6,.242
4,4,2022-10-24,@,PHI,L,106,120,114.2,129.3,92.8,.256,.489,.529,54.7,71.1,3.2,10.8,,.489,11.5,30.4,.200,,.594,7.0,82.5,.313
5,5,2022-10-26,@,CHI,L,109,124,105.2,119.7,103.6,.279,.465,.564,46.3,83.8,4.8,21.1,,.523,14.2,14.6,.221,,.586,14.8,78.0,.253
6,6,2022-10-28,@,WAS,W,127,117,126.1,116.1,100.7,.407,.358,.665,51.9,73.2,4.0,12.5,,.599,12.0,14.7,.370,,.547,11.7,80.0,.267
7,7,2022-10-29,@,BRK,W,125,116,133.2,123.6,93.9,.277,.489,.593,60.9,77.5,7.5,2.3,,.548,8.7,37.8,.234,,.585,8.8,85.7,.244
8,8,2022-10-31,@,BRK,L,109,116,104.4,111.1,104.4,.264,.448,.561,49.4,56.1,10.5,10.0,,.534,19.8,23.3,.184,,.606,17.6,82.4,.238
9,9,2022-11-04,,MIA,W,101,99,99.4,97.4,101.6,.288,.488,.560,50.0,75.7,6.9,11.9,,.538,17.4,12.8,.188,,.451,17.0,82.2,.321
10,10,2022-11-07,,NOP,W,129,122,128.8,121.8,100.1,.267,.558,.671,51.1,76.7,6.0,12.7,,.628,15.0,25.0,.244,,.567,8.7,72.9,.124
11,11,2022-11-09,,DEN,L,119,122,110.6,113.4,107.6,.198,.438,.570,48.4,62.2,8.4,8.3,,.542,14.7,23.4,.156,,.557,16.7,75.0,.273
12,12,2022-11-12,,TOR,W,118,104,118.2,104.2,99.8,.280,.524,.640,54.3,80.5,4.0,10.2,,.616,18.6,28.9,.207,,.431,10.1,71.4,.245
13,13,2022-11-16,@,CHO,W,125,113,126.1,114.0,99.1,.378,.341,.653,43.6,61.4,11.1,14.8,,.604,11.1,18.9,.317,,.521,14.3,65.9,.160
14,14,2022-11-18,@,HOU,W,99,91,103.1,94.8,96.0,.329,.500,.527,47.9,75.8,8.3,17.2,,.476,13.8,25.5,.256,,.372,14.5,70.2,.314
15,15,2022-11-19,,ORL,W,114,113,118.1,117.0,96.5,.211,.511,.580,50.6,65.9,5.2,12.2,,.556,13.2,28.6,.156,,.516,8.1,73.2,.209
16,16,2022-11-21,,ORL,W,123,102,121.7,100.9,101.1,.314,.535,.628,55.8,74.4,8.9,10.0,,.576,17.7,31.6,.279,,.488,15.0,75.0,.224
17,17,2022-11-23,,MIN,L,101,115,102.5,116.7,98.5,.167,.458,.490,37.5,67.6,16.2,9.1,,.469,11.2,23.6,.115,,.662,21.4,68.0,.169
18,18,2022-11-25,,BRK,W,128,117,122.6,112.1,104.4,.442,.395,.623,51.9,65.1,12.5,8.5,,.570,8.1,13.2,.349,,.619,16.3,87.8,.091
19,19,2022-11-27,@,LAC,L,100,114,96.3,109.8,103.8,.245,.447,.480,38.6,63.9,13.5,6.5,,.431,9.6,17.0,.202,,.479,14.3,62.5,.255
20,20,2022-11-28,@,LAL,W,116,115,112.8,111.9,102.8,.152,.467,.518,46.2,67.4,5.8,16.1,,.490,7.4,23.5,.124,,.489,11.6,67.3,.258
21,21,2022-11-30,@,SAC,L,114,137,100.7,121.0,113.3,.300,.370,.504,44.8,70.0,7.1,9.6,,.460,11.7,20.3,.220,,.589,14.3,76.1,.263
22,22,2022-12-02,@,UTA,L,119,139,105.7,123.4,112.6,.359,.370,.559,42.7,62.5,10.7,10.2,,.500,14.5,18.8,.293,,.645,19.5,76.5,.386
23,23,2022-12-04,@,POR,L,100,116,102.9,119.4,97.2,.132,.363,.519,49.4,55.0,10.3,10.9,,.495,13.5,26.1,.110,,.587,13.6,74.4,.174
24,24,2022-12-05,@,GSW,W,112,104,112.2,104.2,99.8,.200,.433,.572,50.0,60.5,3.0,16.0,,.561,10.1,16.7,.122,,.473,10.5,76.9,.160
25,25,2022-12-07,@,MIN,L,115,121,109.4,115.1,105.1,.296,.519,.628,37.8,56.4,9.5,5.7,,.599,17.2,10.3,.222,,.516,16.7,62.8,.269
26,26,2022-12-09,,WAS,W,121,111,135.8,124.6,89.1,.235,.482,.645,51.3,53.5,7.9,4.2,,.612,10.5,33.3,.200,,.597,13.7,69.2,.247
27,27,2022-12-10,,BRK,L,133,136,128.5,131.4,103.5,.282,.518,.696,33.7,63.8,9.7,4.2,,.676,15.9,18.9,.212,,.565,13.6,44.2,.230
28,28,2022-12-12,,MIA,L,82,87,88.5,93.9,92.6,.253,.494,.467,48.4,57.1,7.6,22.4,,.424,14.6,17.0,.190,,.440,12.5,80.4,.169
29,29,2022-12-14,,GSW,W,125,119,116.7,111.1,107.1,.287,.448,.638,42.5,68.2,9.3,15.1,,.598,14.8,12.8,.241,,.547,18.9,70.7,.291
