,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,A,CHO,L,122,123,42,90,0.467,17,47,0.362,21,24,0.875,8,51,29,2,10,16,24,112.2,113.2,108.7,0.267,0.522,0.607,52.6,69.0,1.8,13.2,0.561,13.7,19.0,0.233,0.491,6.3,78.2,0.168
1,2021-10-22,A,WAS,L,134,135,52,97,0.536,15,34,0.441,15,20,0.75,7,42,28,5,6,12,22,126.5,127.4,96.0,0.206,0.351,0.633,52.5,53.8,4.7,10.7,0.613,10.2,17.9,0.155,0.622,8.1,85.4,0.191
2,2021-10-23,H,MIA,W,102,91,38,97,0.392,10,39,0.256,16,21,0.762,14,55,18,10,5,16,18,95.7,85.3,96.6,0.216,0.402,0.48,50.0,47.4,9.4,8.6,0.443,13.1,23.7,0.165,0.434,18.5,80.4,0.132
3,2021-10-25,H,MIL,L,109,119,40,90,0.444,14,36,0.389,15,17,0.882,12,47,23,6,1,19,24,106.5,116.3,102.3,0.189,0.4,0.559,52.8,57.5,5.9,1.9,0.522,16.3,25.5,0.167,0.547,11.6,83.3,0.306
4,2021-10-27,A,TOR,L,100,118,38,79,0.481,10,29,0.345,14,17,0.824,9,40,19,6,7,22,19,103.0,121.6,97.1,0.215,0.367,0.578,49.4,50.0,6.2,10.0,0.544,20.3,26.5,0.177,0.53,8.4,66.0,0.12
5,2021-10-29,A,BRK,L,98,105,37,93,0.398,8,29,0.276,16,23,0.696,11,46,20,9,7,14,27,96.2,103.1,101.8,0.247,0.312,0.475,47.9,54.1,8.8,14.0,0.441,12.0,21.6,0.172,0.487,16.1,77.8,0.408
6,2021-10-30,H,TOR,L,94,97,35,81,0.432,13,43,0.302,11,16,0.688,8,40,25,8,10,19,17,97.0,100.1,96.9,0.198,0.531,0.534,45.5,71.4,8.3,16.7,0.512,17.8,18.2,0.136,0.484,13.4,72.7,0.087
7,2021-11-01,H,SAS,W,131,118,52,91,0.571,18,38,0.474,9,12,0.75,10,39,37,11,4,14,19,131.2,118.2,99.9,0.132,0.418,0.68,52.0,71.2,11.0,6.6,0.67,12.7,26.3,0.099,0.607,14.4,78.4,0.112
8,2021-11-03,H,NYK,W,111,98,42,91,0.462,16,41,0.39,11,14,0.786,10,49,26,7,7,11,22,117.8,104.0,94.3,0.154,0.451,0.571,51.6,61.9,7.4,11.1,0.549,10.2,23.8,0.121,0.443,9.2,73.6,0.241
9,2021-11-05,A,POR,L,106,110,43,88,0.489,14,42,0.333,6,10,0.6,7,40,28,8,2,11,18,112.0,116.2,94.6,0.114,0.477,0.574,48.8,65.1,8.5,4.7,0.568,10.6,16.3,0.068,0.591,12.8,84.6,0.159
