,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2021-10-21,@,GSW,L,113,115,42,96,.438,14,40,.350,15,21,.714,8,39,24,9,2,7,25,,43,83,.518,15,31,.484,14,22,.636,10,53,27,5,4,21,20
2,2,2021-10-23,,MEM,L,114,120,43,99,.434,13,39,.333,15,17,.882,14,44,23,7,4,7,21,,42,90,.467,15,36,.417,21,25,.840,13,48,26,5,3,11,19
3,3,2021-10-25,,POR,W,116,86,44,93,.473,14,43,.326,14,19,.737,5,43,37,21,6,17,23,,32,85,.376,8,37,.216,14,18,.778,7,47,15,11,4,30,18
4,4,2021-10-27,,CLE,L,79,92,31,87,.356,9,41,.220,8,13,.615,9,36,19,13,2,14,24,,33,81,.407,3,20,.150,23,27,.852,14,57,12,9,3,20,14
5,5,2021-10-29,@,POR,L,92,111,34,87,.391,15,42,.357,9,16,.563,6,43,17,7,5,12,14,,41,98,.418,19,41,.463,10,16,.625,16,63,21,8,6,14,19
6,6,2021-11-01,,OKC,W,99,94,35,92,.380,15,42,.357,14,19,.737,13,51,18,8,5,12,14,,35,90,.389,11,37,.297,13,16,.813,10,51,17,8,6,16,18
7,7,2021-11-03,@,MIN,W,126,115,47,78,.603,21,36,.583,11,12,.917,3,35,33,6,7,20,14,,43,94,.457,14,40,.350,15,16,.938,15,39,27,11,2,16,16
8,8,2021-11-05,@,MIN,W,104,84,36,88,.409,6,28,.214,26,32,.813,15,62,18,12,4,17,16,,31,89,.348,17,52,.327,5,7,.714,7,42,17,8,7,21,33
9,9,2021-11-07,,CHO,W,120,106,41,86,.477,18,48,.375,20,21,.952,7,50,24,8,5,20,16,,41,101,.406,10,33,.303,14,18,.778,12,44,20,13,2,13,21
10,10,2021-11-09,,POR,W,117,109,44,85,.518,16,30,.533,13,19,.684,5,43,25,5,0,8,17,,43,91,.473,14,37,.378,9,12,.750,9,43,29,6,5,9,15
11,11,2021-11-11,,MIA,W,112,109,43,91,.473,11,37,.297,15,17,.882,9,42,20,9,9,12,14,,43,97,.443,9,41,.220,14,17,.824,18,50,18,9,4,15,21
12,12,2021-11-13,,MIN,W,129,102,53,99,.535,16,40,.400,7,9,.778,11,57,35,6,8,14,17,,40,102,.392,11,36,.306,11,16,.688,12,41,25,8,6,10,15
13,13,2021-11-14,,CHI,L,90,100,29,81,.358,11,34,.324,21,21,1.000,9,44,16,7,7,19,15,,38,86,.442,11,29,.379,13,14,.929,7,45,19,9,4,15,20
14,14,2021-11-16,,SAS,W,106,92,37,85,.435,12,38,.316,20,22,.909,6,52,16,9,3,20,13,,41,95,.432,5,22,.227,5,7,.714,6,41,26,10,4,16,17
15,15,2021-11-18,@,MEM,L,108,120,42,90,.467,16,39,.410,8,8,1.000,7,34,24,6,6,13,15,,52,96,.542,11,26,.423,5,6,.833,12,47,28,8,7,11,17
16,16,2021-11-19,@,NOP,L,81,94,34,90,.378,9,37,.243,4,5,.800,8,43,22,7,4,11,12,,38,87,.437,13,30,.433,5,8,.625,12,55,19,9,1,13,12
17,17,2021-11-21,,DAL,W,97,91,36,75,.480,12,29,.414,13,18,.722,8,42,18,5,2,14,15,,34,83,.410,6,30,.200,17,18,.944,8,39,21,6,5,10,21
18,18,2021-11-23,,DAL,L,104,112,35,85,.412,10,32,.313,24,29,.828,12,47,17,5,3,18,24,,39,89,.438,12,39,.308,22,27,.815,12,42,22,11,5,14,23
19,19,2021-11-26,,DET,W,107,96,39,91,.429,11,38,.289,18,19,.947,11,54,26,9,4,14,27,,33,90,.367,8,33,.242,22,26,.846,13,52,17,8,4,15,19
20,20,2021-11-28,,GSW,L,90,105,32,80,.400,9,28,.321,17,25,.680,15,47,18,8,3,24,21,,38,86,.442,17,40,.425,12,22,.545,11,43,25,19,2,16,27
21,21,2021-11-29,,NOP,L,104,123,37,72,.514,14,36,.389,16,21,.762,4,35,17,2,2,15,16,,48,94,.511,14,35,.400,13,16,.813,14,47,30,11,1,7,21
22,22,2021-12-01,,SAC,L,115,124,47,100,.470,9,31,.290,12,16,.750,17,49,35,8,6,11,15,,46,88,.523,15,38,.395,17,20,.850,7,38,28,8,1,11,16
23,23,2021-12-03,@,LAL,W,119,115,41,81,.506,16,35,.457,21,24,.875,6,34,28,5,3,9,19,,45,90,.500,12,33,.364,13,21,.619,13,43,28,8,3,11,19
24,24,2021-12-04,@,SAC,L,99,104,34,89,.382,13,34,.382,18,27,.667,9,47,23,7,3,17,24,,36,86,.419,12,34,.353,20,25,.800,11,51,19,8,8,15,25
25,25,2021-12-06,@,POR,W,102,90,41,92,.446,11,36,.306,9,14,.643,7,37,18,8,7,13,21,,35,79,.443,5,22,.227,15,20,.750,7,45,16,6,6,18,19
26,26,2021-12-08,,BOS,W,114,111,40,85,.471,14,32,.438,20,22,.909,9,38,20,13,7,20,18,,41,86,.477,10,32,.313,19,21,.905,14,47,26,11,3,22,21
27,27,2021-12-11,,ORL,W,106,104,42,92,.457,18,36,.500,4,6,.667,12,45,27,7,1,7,17,,35,80,.438,12,33,.364,22,24,.917,10,45,21,4,5,11,11
28,28,2021-12-13,,PHO,W,111,95,43,78,.551,9,21,.429,16,23,.696,8,45,24,5,7,16,20,,36,96,.375,7,29,.241,16,19,.842,13,41,22,10,3,10,23
29,29,2021-12-15,@,UTA,L,103,124,40,85,.471,10,30,.333,13,20,.650,8,42,24,6,5,16,22,,47,89,.528,15,37,.405,15,20,.750,8,44,26,11,4,9,18
30,30,2021-12-18,@,OKC,L,103,104,37,83,.446,16,39,.410,13,19,.684,7,39,26,11,3,12,16,,43,92,.467,12,31,.387,6,10,.600,17,55,23,4,4,15,18
31,31,2021-12-20,,SAS,L,92,116,34,87,.391,9,32,.281,15,20,.750,9,43,18,6,5,14,15,,50,114,.439,12,37,.324,4,6,.667,23,66,37,11,4,11,19
32,32,2021-12-22,@,SAC,W,105,89,42,82,.512,7,24,.292,14,16,.875,6,43,26,10,3,12,15,,34,85,.400,12,38,.316,9,12,.750,7,40,24,7,5,16,15
33,33,2021-12-26,,DEN,L,100,103,40,86,.465,8,26,.308,12,18,.667,8,46,26,8,7,14,22,,39,95,.411,15,41,.366,10,11,.909,10,48,29,7,4,14,20
34,34,2021-12-27,,BRK,L,108,124,37,97,.381,14,37,.378,20,27,.741,17,45,25,7,4,11,17,,50,88,.568,13,34,.382,11,16,.688,7,47,31,7,8,13,25
35,35,2021-12-29,@,BOS,W,91,82,33,81,.407,11,28,.393,14,17,.824,9,49,17,5,4,14,12,,35,101,.347,4,42,.095,8,11,.727,21,50,19,8,8,8,16
36,36,2021-12-31,@,TOR,L,108,116,38,78,.487,15,34,.441,17,19,.895,3,37,27,6,7,12,24,,40,96,.417,11,35,.314,25,33,.758,18,54,19,8,4,7,18
37,37,2022-01-01,@,BRK,W,120,116,42,86,.488,14,36,.389,22,31,.710,7,40,23,7,6,10,19,,42,97,.433,11,33,.333,21,25,.840,17,57,26,9,2,14,20
38,38,2022-01-03,,MIN,L,104,122,39,78,.500,11,32,.344,15,17,.882,4,31,22,12,3,20,10,,49,93,.527,16,45,.356,8,9,.889,11,40,34,9,4,17,14
39,39,2022-01-06,@,PHO,L,89,106,31,86,.360,6,28,.214,21,25,.840,8,49,20,5,7,12,16,,44,107,.411,10,31,.323,8,10,.800,21,63,22,5,7,8,20
40,40,2022-01-08,,MEM,L,108,123,39,96,.406,10,32,.313,20,24,.833,14,49,16,7,6,12,23,,44,100,.440,12,38,.316,23,31,.742,16,56,26,9,11,9,21
41,41,2022-01-09,,ATL,W,106,93,44,92,.478,12,33,.364,6,7,.857,13,47,24,5,4,12,18,,35,78,.449,7,26,.269,16,19,.842,6,39,19,6,2,13,14
42,42,2022-01-11,,DEN,W,87,85,34,84,.405,10,34,.294,9,12,.750,3,31,23,12,4,9,22,,32,80,.400,4,33,.121,17,20,.850,13,56,24,4,2,19,19
43,43,2022-01-13,@,NOP,L,89,113,31,81,.383,10,34,.294,17,20,.850,5,46,19,2,7,15,16,,43,97,.443,14,39,.359,13,16,.813,13,57,23,8,4,6,18
44,44,2022-01-15,@,SAS,L,94,101,38,100,.380,12,38,.316,6,8,.750,21,54,24,8,4,14,21,,34,83,.410,11,37,.297,22,27,.815,15,54,19,6,5,14,12
45,45,2022-01-17,,IND,W,139,133,45,82,.549,18,36,.500,31,36,.861,8,37,32,7,7,11,18,,50,97,.515,13,33,.394,20,23,.870,15,41,30,8,4,12,23
46,46,2022-01-19,@,DEN,L,128,130,52,97,.536,15,39,.385,9,12,.750,12,47,35,6,3,12,24,,48,98,.490,13,38,.342,21,25,.840,13,44,32,9,3,12,15
47,47,2022-01-21,@,PHI,W,102,101,40,87,.460,11,32,.344,11,15,.733,10,49,21,5,0,10,21,,38,91,.418,10,28,.357,15,21,.714,13,44,23,7,3,7,17
48,48,2022-01-23,@,NYK,L,102,110,34,79,.430,14,41,.341,20,30,.667,6,40,20,7,6,12,19,,39,91,.429,16,36,.444,16,19,.842,15,52,26,6,4,12,22
49,49,2022-01-25,@,WAS,W,116,115,39,94,.415,11,29,.379,27,31,.871,12,48,28,9,5,11,29,,37,80,.463,9,27,.333,32,40,.800,10,52,25,4,7,18,24
50,50,2022-01-26,@,ORL,W,111,102,36,81,.444,15,29,.517,24,27,.889,8,49,20,7,1,15,22,,38,84,.452,9,35,.257,17,22,.773,8,39,29,9,3,13,23
51,51,2022-01-28,@,MIA,L,114,121,41,92,.446,9,35,.257,23,32,.719,9,37,22,7,3,13,21,,40,85,.471,15,34,.441,26,27,.963,12,51,28,6,3,18,23
52,52,2022-01-30,@,CHO,W,115,90,44,84,.524,11,28,.393,16,19,.842,6,60,23,5,6,17,23,,32,98,.327,8,34,.235,18,27,.667,11,44,24,8,2,8,15
53,53,2022-01-31,@,IND,L,116,122,45,96,.469,15,44,.341,11,13,.846,10,41,25,7,5,9,15,,50,95,.526,14,29,.483,8,12,.667,11,50,31,3,5,11,12
54,54,2022-02-03,,LAL,W,111,110,46,89,.517,13,30,.433,6,11,.545,7,43,29,5,6,7,22,,41,88,.466,11,29,.379,17,25,.680,11,44,19,6,6,10,13
55,55,2022-02-06,,MIL,L,113,137,40,96,.417,18,46,.391,15,16,.938,10,44,26,6,2,10,20,,48,88,.545,19,38,.500,22,27,.815,7,50,28,6,4,10,15
56,56,2022-02-08,@,MEM,L,109,135,40,89,.449,11,31,.355,18,24,.750,11,40,25,8,7,17,17,,53,103,.515,9,26,.346,20,25,.800,21,55,26,12,6,13,18
57,57,2022-02-10,@,DAL,L,105,112,39,81,.481,9,23,.391,18,25,.720,4,31,24,9,2,10,25,,38,78,.487,13,39,.333,23,27,.852,8,41,19,4,3,13,23
58,58,2022-02-12,@,DAL,W,99,97,43,82,.524,7,22,.318,6,11,.545,6,42,23,7,4,14,20,,35,85,.412,15,39,.385,12,19,.632,13,44,16,4,0,14,17
59,59,2022-02-14,,GSW,W,119,104,48,85,.565,15,34,.441,8,15,.533,6,43,25,6,3,12,18,,39,86,.453,16,41,.390,10,13,.769,7,38,23,7,3,14,18
60,60,2022-02-15,@,PHO,L,96,103,40,97,.412,10,35,.286,6,9,.667,13,46,26,11,9,13,12,,44,90,.489,8,25,.320,7,10,.700,12,52,30,9,4,16,12
61,61,2022-02-17,,HOU,W,142,111,51,92,.554,18,35,.514,22,26,.846,12,50,34,12,5,16,16,,42,91,.462,13,37,.351,14,19,.737,12,35,29,8,2,18,20
62,62,2022-02-25,@,LAL,W,105,102,41,83,.494,10,26,.385,13,19,.684,7,47,25,8,8,15,19,,39,93,.419,8,31,.258,16,21,.762,13,47,18,8,7,12,17
63,63,2022-02-27,@,HOU,W,99,98,34,77,.442,11,34,.324,20,28,.714,10,59,18,4,12,18,22,,35,92,.380,17,42,.405,11,18,.611,6,37,26,8,0,6,21
64,64,2022-03-01,@,HOU,W,113,100,42,96,.438,13,31,.419,16,17,.941,17,55,24,7,8,15,19,,38,96,.396,13,39,.333,11,17,.647,14,45,21,8,6,13,18
65,65,2022-03-03,,LAL,W,132,111,51,93,.548,17,27,.630,13,15,.867,13,46,32,10,3,10,22,,41,84,.488,12,35,.343,17,22,.773,9,36,26,8,4,14,17
66,66,2022-03-06,,NYK,L,93,116,33,88,.375,11,34,.324,16,22,.727,9,43,17,2,5,10,23,,42,89,.472,13,29,.448,19,30,.633,15,57,19,4,5,10,18
67,67,2022-03-08,@,GSW,L,97,112,33,93,.355,12,39,.308,19,23,.826,12,47,23,12,3,13,12,,44,92,.478,13,34,.382,11,13,.846,10,51,33,8,6,16,20
68,68,2022-03-09,,WAS,W,115,109,43,86,.500,16,32,.500,13,13,1.000,7,41,21,6,10,12,15,,41,87,.471,10,27,.370,17,20,.850,9,41,26,10,3,12,13
69,69,2022-03-11,@,ATL,L,106,112,40,82,.488,12,32,.375,14,17,.824,6,36,22,7,3,12,20,,43,90,.478,9,31,.290,17,19,.895,15,47,28,5,3,10,19
70,70,2022-03-13,@,DET,W,106,102,40,89,.449,10,30,.333,16,20,.800,11,46,25,5,3,6,15,,36,80,.450,12,29,.414,18,20,.900,8,44,23,3,4,10,18
71,71,2022-03-14,@,CLE,L,111,120,43,98,.439,12,36,.333,13,17,.765,12,43,29,5,8,10,24,,41,86,.477,15,30,.500,23,32,.719,12,49,28,7,4,11,19
72,72,2022-03-16,,TOR,L,100,103,38,78,.487,11,30,.367,13,15,.867,10,41,27,7,2,14,15,,38,83,.458,11,32,.344,16,21,.762,13,43,14,5,1,11,12
73,73,2022-03-18,@,UTA,L,92,121,31,86,.360,11,35,.314,19,21,.905,8,43,23,10,8,12,13,,47,97,.485,16,44,.364,11,14,.786,15,59,30,9,5,12,18
74,74,2022-03-22,@,DEN,L,115,127,42,86,.488,10,32,.313,21,26,.808,6,35,27,3,7,6,19,,45,83,.542,16,32,.500,21,23,.913,6,40,31,4,5,9,19
75,75,2022-03-25,,PHI,L,97,122,34,85,.400,8,25,.320,21,25,.840,9,39,19,7,7,16,18,,43,92,.467,15,35,.429,21,24,.875,12,52,23,12,8,11,18
76,76,2022-03-29,,UTA,W,121,115,41,83,.494,15,36,.417,24,28,.857,10,33,21,8,4,8,23,,43,78,.551,12,31,.387,17,29,.586,10,38,23,5,5,14,24
77,77,2022-03-31,@,CHI,L,130,135,45,90,.500,16,36,.444,24,26,.923,4,40,26,7,5,12,24,,50,102,.490,10,29,.345,25,32,.781,13,50,24,6,3,8,17
78,78,2022-04-01,@,MIL,W,153,119,56,92,.609,23,43,.535,18,24,.750,8,36,34,9,7,9,17,,50,94,.532,8,25,.320,11,18,.611,13,38,30,6,5,15,19
79,79,2022-04-03,,NOP,W,119,100,45,95,.474,21,44,.477,8,10,.800,12,41,33,10,5,10,21,,35,87,.402,9,24,.375,21,27,.778,19,54,22,4,5,15,13
80,80,2022-04-06,,PHO,W,113,109,33,75,.440,12,34,.353,35,44,.795,9,55,20,7,9,16,17,,42,108,.389,17,48,.354,8,12,.667,18,54,29,11,2,12,26
81,81,2022-04-09,,SAC,W,117,98,42,86,.488,21,43,.488,12,15,.800,10,48,29,7,3,16,22,,38,86,.442,7,28,.250,15,24,.625,7,42,24,12,2,13,16
82,82,2022-04-10,,OKC,W,138,88,54,97,.557,18,35,.514,12,14,.857,12,57,34,4,8,9,11,,37,98,.378,9,34,.265,5,9,.556,12,40,17,6,2,8,16
