,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2021-10-21,@,GSW,L,113,115,110.4,112.4,102.3,.219,.417,.537,42.4,57.1,8.8,3.8,,.510,6.2,15.7,.156,,.608,18.5,75.6,.169
2,2,2021-10-23,,MEM,L,114,120,119.3,125.6,95.6,.172,.394,.535,47.8,53.5,7.3,7.4,,.500,6.2,28.6,.152,,.550,9.8,69.8,.233
3,3,2021-10-25,,POR,W,116,86,103.0,76.4,112.6,.204,.462,.572,47.8,84.1,18.7,12.5,,.548,14.4,11.1,.151,,.424,24.4,84.4,.165
4,4,2021-10-27,,CLE,L,79,92,83.1,96.8,95.0,.149,.471,.426,38.7,61.3,13.7,3.3,,.408,13.1,17.3,.092,,.426,17.7,65.9,.284
5,5,2021-10-29,@,POR,L,92,111,92.5,111.6,99.5,.184,.483,.489,40.6,50.0,7.0,8.8,,.477,11.3,11.3,.103,,.515,11.8,69.8,.102
6,6,2021-11-01,,OKC,W,99,94,100.5,95.4,98.5,.207,.457,.493,50.0,51.4,8.1,9.4,,.462,10.7,24.1,.152,,.450,14.2,79.2,.144
7,7,2021-11-03,@,MIN,W,126,115,127.2,116.1,99.0,.154,.462,.756,47.3,70.2,6.1,13.0,,.737,19.4,11.1,.141,,.532,13.7,68.1,.160
8,8,2021-11-05,@,MIN,W,104,84,101.0,81.6,102.9,.364,.318,.509,59.6,50.0,11.7,10.8,,.443,14.3,30.0,.295,,.444,18.6,87.0,.056
9,9,2021-11-07,,CHO,W,120,106,112.7,99.6,106.5,.244,.558,.630,53.2,58.5,7.5,7.4,,.581,17.4,17.9,.233,,.455,10.7,78.2,.139
10,10,2021-11-09,,POR,W,117,109,123.2,114.8,95.0,.224,.353,.627,50.0,56.8,5.3,0.0,,.612,7.9,12.8,.153,,.549,8.5,80.9,.099
11,11,2021-11-11,,MIA,W,112,109,113.7,110.7,98.5,.187,.407,.569,45.7,46.5,9.1,16.1,,.533,10.9,22.0,.165,,.490,12.6,64.7,.144
12,12,2021-11-13,,MIN,W,129,102,124.2,98.2,103.9,.091,.404,.626,58.2,66.0,5.8,12.1,,.616,12.0,27.5,.071,,.446,8.4,79.3,.108
13,13,2021-11-14,,CHI,L,90,100,91.9,102.2,97.9,.259,.420,.499,49.4,55.2,7.2,12.3,,.426,17.4,19.1,.259,,.506,14.0,83.3,.151
14,14,2021-11-16,,SAS,W,106,92,99.3,86.2,106.7,.259,.447,.560,55.9,43.2,8.4,4.1,,.506,17.4,14.6,.235,,.458,14.0,88.5,.053
15,15,2021-11-18,@,MEM,L,108,120,112.2,124.6,96.3,.089,.433,.577,42.0,57.1,6.2,8.6,,.556,12.2,16.7,.089,,.599,10.0,69.2,.052
16,16,2021-11-19,@,NOP,L,81,94,88.3,102.5,91.7,.056,.411,.439,43.9,64.7,7.6,7.0,,.428,10.7,15.7,.044,,.511,12.6,74.5,.057
17,17,2021-11-21,,DAL,W,97,91,109.1,102.3,88.9,.240,.387,.585,51.9,50.0,5.6,3.8,,.560,14.4,20.5,.173,,.446,9.9,81.0,.205
18,18,2021-11-23,,DAL,L,104,112,104.3,112.3,90.3,.341,.376,.532,52.8,48.6,5.0,6.0,,.471,15.5,28.6,.282,,.506,12.2,74.5,.247
