,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-21,A,GSW,L,113,115,42,96,0.438,14,40,0.35,15,21,0.714,8,39,24,9,2,7,25,110.4,112.4,102.3,0.219,0.417,0.537,42.4,57.1,8.8,3.8,0.51,6.2,15.7,0.156,0.608,18.5,75.6,0.169
1,2021-10-23,H,MEM,L,114,120,43,99,0.434,13,39,0.333,15,17,0.882,14,44,23,7,4,7,21,119.3,125.6,95.6,0.172,0.394,0.535,47.8,53.5,7.3,7.4,0.5,6.2,28.6,0.152,0.55,9.8,69.8,0.233
2,2021-10-25,H,POR,W,116,86,44,93,0.473,14,43,0.326,14,19,0.737,5,43,37,21,6,17,23,103.0,76.4,112.6,0.204,0.462,0.572,47.8,84.1,18.7,12.5,0.548,14.4,11.1,0.151,0.424,24.4,84.4,0.165
3,2021-10-27,H,CLE,L,79,92,31,87,0.356,9,41,0.22,8,13,0.615,9,36,19,13,2,14,24,83.1,96.8,95.0,0.149,0.471,0.426,38.7,61.3,13.7,3.3,0.408,13.1,17.3,0.092,0.426,17.7,65.9,0.284
4,2021-10-29,A,POR,L,92,111,34,87,0.391,15,42,0.357,9,16,0.563,6,43,17,7,5,12,14,92.5,111.6,99.5,0.184,0.483,0.489,40.6,50.0,7.0,8.8,0.477,11.3,11.3,0.103,0.515,11.8,69.8,0.102
5,2021-11-01,H,OKC,W,99,94,35,92,0.38,15,42,0.357,14,19,0.737,13,51,18,8,5,12,14,100.5,95.4,98.5,0.207,0.457,0.493,50.0,51.4,8.1,9.4,0.462,10.7,24.1,0.152,0.45,14.2,79.2,0.144
6,2021-11-03,A,MIN,W,126,115,47,78,0.603,21,36,0.583,11,12,0.917,3,35,33,6,7,20,14,127.2,116.1,99.0,0.154,0.462,0.756,47.3,70.2,6.1,13.0,0.737,19.4,11.1,0.141,0.532,13.7,68.1,0.16
7,2021-11-05,A,MIN,W,104,84,36,88,0.409,6,28,0.214,26,32,0.813,15,62,18,12,4,17,16,101.0,81.6,102.9,0.364,0.318,0.509,59.6,50.0,11.7,10.8,0.443,14.3,30.0,0.295,0.444,18.6,87.0,0.056
8,2021-11-07,H,CHO,W,120,106,41,86,0.477,18,48,0.375,20,21,0.952,7,50,24,8,5,20,16,112.7,99.6,106.5,0.244,0.558,0.63,53.2,58.5,7.5,7.4,0.581,17.4,17.9,0.233,0.455,10.7,78.2,0.139
9,2021-11-09,H,POR,W,117,109,44,85,0.518,16,30,0.533,13,19,0.684,5,43,25,5,0,8,17,123.2,114.8,95.0,0.224,0.353,0.627,50.0,56.8,5.3,0.0,0.612,7.9,12.8,0.153,0.549,8.5,80.9,0.099
10,2021-11-11,H,MIA,W,112,109,43,91,0.473,11,37,0.297,15,17,0.882,9,42,20,9,9,12,14,113.7,110.7,98.5,0.187,0.407,0.569,45.7,46.5,9.1,16.1,0.533,10.9,22.0,0.165,0.49,12.6,64.7,0.144
11,2021-11-13,H,MIN,W,129,102,53,99,0.535,16,40,0.4,7,9,0.778,11,57,35,6,8,14,17,124.2,98.2,103.9,0.091,0.404,0.626,58.2,66.0,5.8,12.1,0.616,12.0,27.5,0.071,0.446,8.4,79.3,0.108
12,2021-11-14,H,CHI,L,90,100,29,81,0.358,11,34,0.324,21,21,1.0,9,44,16,7,7,19,15,91.9,102.2,97.9,0.259,0.42,0.499,49.4,55.2,7.2,12.3,0.426,17.4,19.1,0.259,0.506,14.0,83.3,0.151
13,2021-11-16,H,SAS,W,106,92,37,85,0.435,12,38,0.316,20,22,0.909,6,52,16,9,3,20,13,99.3,86.2,106.7,0.259,0.447,0.56,55.9,43.2,8.4,4.1,0.506,17.4,14.6,0.235,0.458,14.0,88.5,0.053
14,2021-11-18,A,MEM,L,108,120,42,90,0.467,16,39,0.41,8,8,1.0,7,34,24,6,6,13,15,112.2,124.6,96.3,0.089,0.433,0.577,42.0,57.1,6.2,8.6,0.556,12.2,16.7,0.089,0.599,10.0,69.2,0.052
15,2021-11-19,A,NOP,L,81,94,34,90,0.378,9,37,0.243,4,5,0.8,8,43,22,7,4,11,12,88.3,102.5,91.7,0.056,0.411,0.439,43.9,64.7,7.6,7.0,0.428,10.7,15.7,0.044,0.511,12.6,74.5,0.057
16,2021-11-21,H,DAL,W,97,91,36,75,0.48,12,29,0.414,13,18,0.722,8,42,18,5,2,14,15,109.1,102.3,88.9,0.24,0.387,0.585,51.9,50.0,5.6,3.8,0.56,14.4,20.5,0.173,0.446,9.9,81.0,0.205
17,2021-11-23,H,DAL,L,104,112,35,85,0.412,10,32,0.313,24,29,0.828,12,47,17,5,3,18,24,104.3,112.3,90.3,0.341,0.376,0.532,52.8,48.6,5.0,6.0,0.471,15.5,28.6,0.282,0.506,12.2,74.5,0.247
18,2021-11-26,H,DET,W,107,96,39,91,0.429,11,38,0.289,18,19,0.947,11,54,26,9,4,14,27,106.2,95.2,100.8,0.209,0.418,0.538,50.9,66.7,8.9,7.0,0.489,12.4,22.0,0.198,0.411,12.9,76.8,0.244
19,2021-11-28,H,GSW,L,90,105,32,80,0.4,9,28,0.321,17,25,0.68,15,47,18,8,3,24,21,92.2,107.5,97.6,0.313,0.35,0.495,52.2,56.3,8.2,6.5,0.456,20.9,31.9,0.213,0.541,14.3,74.4,0.14
20,2021-11-29,H,NOP,L,104,123,37,72,0.514,14,36,0.389,16,21,0.762,4,35,17,2,2,15,16,113.4,134.1,91.7,0.292,0.5,0.64,42.7,45.9,2.2,3.4,0.611,15.6,10.8,0.222,0.585,6.5,68.9,0.138
21,2021-12-01,H,SAC,L,115,124,47,100,0.47,9,31,0.29,12,16,0.75,17,49,35,8,6,11,15,117.2,126.4,98.1,0.16,0.31,0.537,56.3,74.5,8.2,12.0,0.515,9.3,35.4,0.12,0.608,10.2,82.1,0.193
22,2021-12-03,A,LAL,W,119,115,41,81,0.506,16,35,0.457,21,24,0.875,6,34,28,5,3,9,19,127.5,123.3,93.3,0.296,0.432,0.65,44.2,68.3,5.4,5.3,0.605,8.9,16.7,0.259,0.567,10.0,68.3,0.144
23,2021-12-04,A,SAC,L,99,104,34,89,0.382,13,34,0.382,18,27,0.667,9,47,23,7,3,17,24,96.6,101.5,102.5,0.303,0.382,0.491,48.0,67.6,6.8,5.8,0.455,14.4,18.4,0.202,0.488,13.4,77.6,0.233
24,2021-12-06,A,POR,W,102,90,41,92,0.446,11,36,0.306,9,14,0.643,7,37,18,8,7,13,21,102.9,90.8,99.1,0.152,0.391,0.52,45.1,43.9,8.1,12.3,0.505,11.7,15.6,0.098,0.475,17.0,81.1,0.19
25,2021-12-08,H,BOS,W,114,111,40,85,0.471,14,32,0.438,20,22,0.909,9,38,20,13,7,20,18,111.7,108.7,102.1,0.259,0.376,0.602,44.7,50.0,12.7,13.0,0.553,17.4,21.4,0.235,0.535,18.8,67.4,0.221
26,2021-12-11,H,ORL,W,106,104,42,92,0.457,18,36,0.5,4,6,0.667,12,45,27,7,1,7,17,119.7,117.4,88.6,0.065,0.391,0.56,50.0,64.3,7.9,2.1,0.554,6.9,25.5,0.043,0.513,10.8,76.7,0.275
27,2021-12-13,H,PHO,W,111,95,43,78,0.551,9,21,0.429,16,23,0.696,8,45,24,5,7,16,20,115.8,99.1,95.9,0.295,0.269,0.63,52.3,55.8,5.2,10.4,0.609,15.4,22.2,0.205,0.411,8.7,74.0,0.167
28,2021-12-15,A,UTA,L,103,124,40,85,0.471,10,30,0.333,13,20,0.65,8,42,24,6,5,16,22,104.2,125.5,98.8,0.235,0.353,0.549,48.8,60.0,6.1,9.6,0.529,14.6,18.2,0.153,0.612,8.4,81.0,0.169
29,2021-12-18,A,OKC,L,103,104,37,83,0.446,16,39,0.41,13,19,0.684,7,39,26,11,3,12,16,109.7,110.8,93.9,0.229,0.47,0.564,41.5,70.3,11.7,4.9,0.542,11.6,15.6,0.157,0.533,13.5,65.3,0.065
30,2021-12-20,H,SAS,L,92,116,34,87,0.391,9,32,0.281,15,20,0.75,9,43,18,6,5,14,15,92.5,116.6,99.5,0.23,0.368,0.48,39.4,52.9,6.0,6.5,0.443,12.8,17.3,0.172,0.491,8.6,59.6,0.035
31,2021-12-22,A,SAC,W,105,89,42,82,0.512,7,24,0.292,14,16,0.875,6,43,26,10,3,12,15,110.0,93.2,95.5,0.195,0.293,0.59,51.8,61.9,10.5,6.4,0.555,11.9,15.4,0.171,0.471,15.1,84.1,0.106
