,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-10-18,@,GSW,L,109,123,40,94,.426,10,40,.250,19,25,.760,9,48,23,12,4,21,18,,45,99,.455,16,45,.356,17,23,.739,11,48,31,11,4,18,23
2,2,2022-10-20,,LAC,L,97,103,33,94,.351,9,45,.200,22,26,.846,8,38,23,13,5,10,24,,37,80,.463,9,29,.310,20,31,.645,10,58,18,7,7,22,24
3,3,2022-10-23,,POR,L,104,106,41,92,.446,6,33,.182,16,20,.800,10,40,26,9,9,13,24,,37,84,.440,10,27,.370,22,27,.815,13,52,19,6,5,19,20
4,4,2022-10-26,@,DEN,L,99,110,40,90,.444,8,30,.267,11,16,.688,7,47,25,8,4,14,16,,42,92,.457,9,34,.265,17,21,.810,9,54,34,12,5,11,17
5,5,2022-10-28,@,MIN,L,102,111,37,89,.416,9,29,.310,19,27,.704,12,55,20,8,5,22,21,,41,99,.414,13,40,.325,16,24,.667,14,49,27,13,8,10,21
6,6,2022-10-30,,DEN,W,121,110,46,96,.479,13,30,.433,16,20,.800,13,51,24,5,5,8,17,,41,96,.427,15,40,.375,13,18,.722,13,48,24,3,8,9,15
7,7,2022-11-02,,NOP,W,120,117,45,98,.459,10,36,.278,20,23,.870,11,56,30,6,8,17,17,,47,102,.461,8,25,.320,15,21,.714,11,51,35,10,5,13,20
8,8,2022-11-04,,UTA,L,116,130,40,83,.482,11,26,.423,25,28,.893,9,40,22,6,6,11,17,,52,103,.505,17,40,.425,9,10,.900,15,48,31,8,3,8,22
9,9,2022-11-06,,CLE,L,100,114,40,87,.460,8,27,.296,12,21,.571,10,43,24,4,4,16,26,,37,84,.440,8,32,.250,32,36,.889,9,48,19,7,6,12,20
10,10,2022-11-07,@,UTA,L,116,139,40,82,.488,9,24,.375,27,30,.900,7,33,15,7,5,16,21,,53,95,.558,16,38,.421,17,22,.773,10,41,30,10,7,14,23
11,11,2022-11-09,@,LAC,L,101,114,40,88,.455,10,32,.313,11,17,.647,8,43,26,7,2,15,20,,41,81,.506,12,33,.364,20,26,.769,6,41,24,10,7,15,24
12,12,2022-11-11,,SAC,L,114,120,42,88,.477,10,25,.400,20,26,.769,14,41,22,11,5,14,22,,45,87,.517,12,36,.333,18,21,.857,10,40,27,10,4,15,17
13,13,2022-11-13,,BRK,W,116,103,44,91,.484,11,27,.407,17,20,.850,12,45,25,3,2,9,22,,36,80,.450,7,27,.259,24,31,.774,8,41,22,5,5,12,17
14,14,2022-11-18,,DET,W,128,121,43,78,.551,7,20,.350,35,40,.875,7,44,29,2,7,16,24,,43,92,.467,11,34,.324,24,32,.750,10,37,27,9,4,11,30
15,15,2022-11-20,,SAS,W,123,92,45,85,.529,12,34,.353,21,24,.875,5,54,29,5,2,15,10,,41,105,.390,7,34,.206,3,10,.300,13,44,26,7,2,10,17
16,16,2022-11-22,@,PHO,L,105,115,36,85,.424,4,22,.182,29,35,.829,7,45,19,8,7,17,12,,48,102,.471,16,34,.471,3,5,.600,8,49,23,8,7,15,22
17,17,2022-11-25,@,SAS,W,105,94,40,83,.482,8,27,.296,17,20,.850,10,49,28,12,5,21,16,,38,100,.380,6,33,.182,12,16,.750,20,50,21,11,3,16,18
18,18,2022-11-26,@,SAS,W,143,138,47,81,.580,17,33,.515,32,37,.865,3,39,25,4,7,17,20,,53,105,.505,18,37,.486,14,20,.700,17,47,33,8,5,10,32
19,19,2022-11-28,,IND,L,115,116,40,93,.430,11,31,.355,24,31,.774,18,57,23,3,7,14,16,,43,105,.410,17,49,.347,13,16,.813,12,49,29,6,10,9,24
20,20,2022-11-30,,POR,W,128,109,48,97,.495,14,37,.378,18,26,.692,13,48,28,5,6,7,18,,42,90,.467,8,24,.333,17,21,.810,12,45,21,4,5,10,25
21,21,2022-12-02,@,MIL,W,133,129,52,96,.542,11,26,.423,18,24,.750,12,44,32,6,4,4,16,,50,94,.532,17,43,.395,12,15,.800,10,42,29,2,5,9,18
22,22,2022-12-04,@,WAS,W,130,119,52,96,.542,10,26,.385,16,22,.727,9,51,34,5,5,15,14,,49,105,.467,10,39,.256,11,15,.733,11,44,24,10,8,10,23
23,23,2022-12-06,@,CLE,L,102,116,38,89,.427,6,36,.167,20,24,.833,14,43,16,4,6,16,13,,48,93,.516,7,27,.259,13,17,.765,9,44,25,11,3,7,20
24,24,2022-12-07,@,TOR,L,113,126,37,87,.425,7,33,.212,32,35,.914,10,46,16,6,3,15,17,,47,106,.443,12,43,.279,20,24,.833,17,54,25,10,5,11,22
25,25,2022-12-09,@,PHI,L,122,133,44,88,.500,11,31,.355,23,30,.767,7,37,29,12,4,19,23,,48,90,.533,18,40,.450,19,22,.864,7,42,30,14,2,21,30
26,26,2022-12-11,@,DET,W,124,117,46,84,.548,11,26,.423,21,27,.778,6,42,31,8,4,11,14,,43,93,.462,17,45,.378,14,17,.824,10,40,28,9,3,12,19
27,27,2022-12-13,,BOS,L,118,122,44,93,.473,8,29,.276,22,30,.733,7,49,23,7,9,11,17,,46,104,.442,19,48,.396,11,16,.688,13,51,27,6,2,14,22
28,28,2022-12-16,,DEN,W,126,108,48,91,.527,12,33,.364,18,24,.750,11,45,29,11,4,14,21,,39,81,.481,9,27,.333,21,28,.750,9,39,25,7,4,19,17
29,29,2022-12-18,,WAS,W,119,117,46,92,.500,11,27,.407,16,22,.727,6,43,29,4,5,9,18,,44,95,.463,10,39,.256,19,24,.792,10,48,24,5,6,10,20
30,30,2022-12-19,@,PHO,L,104,130,39,87,.448,12,28,.429,14,17,.824,10,38,13,5,5,14,16,,46,93,.495,20,39,.513,18,24,.750,15,51,21,10,5,8,16
