,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2022-10-18,@,GSW,L,109,123,96.0,108.3,113.6,.266,.426,.519,50.0,57.5,10.6,7.4,,.479,16.7,19.6,.202,,.535,14.2,78.0,.172
2,2,2022-10-20,,LAC,L,97,103,93.3,99.1,104.0,.277,.479,.460,39.6,69.7,12.5,9.8,,.399,8.7,14.3,.234,,.519,19.0,75.0,.250
3,3,2022-10-23,,POR,L,104,106,103.8,105.8,100.2,.217,.359,.516,43.5,63.4,9.0,15.8,,.478,11.4,20.4,.174,,.500,16.5,69.8,.262
4,4,2022-10-26,@,DEN,L,99,110,96.7,107.4,102.4,.178,.333,.510,46.5,62.5,7.8,6.9,,.489,12.6,13.5,.122,,.505,9.8,81.6,.185
5,5,2022-10-28,@,MIN,L,102,111,96.7,105.2,105.5,.303,.326,.506,52.9,54.1,7.6,8.5,,.466,17.9,25.5,.213,,.480,8.4,75.4,.162
6,6,2022-10-30,,DEN,W,121,110,124.3,113.0,97.4,.208,.313,.577,51.5,52.2,5.1,8.9,,.547,7.1,27.1,.167,,.505,8.0,74.5,.135
7,7,2022-11-02,,NOP,W,120,117,107.2,104.6,101.3,.235,.367,.555,52.3,66.7,5.4,10.4,,.510,13.6,21.6,.204,,.500,10.5,80.4,.147
8,8,2022-11-04,,UTA,L,116,130,120.5,135.0,96.3,.337,.313,.608,45.5,55.0,6.2,9.5,,.548,10.3,21.4,.301,,.587,6.9,67.4,.087
9,9,2022-11-06,,CLE,L,100,114,99.6,113.6,100.4,.241,.310,.520,47.3,60.0,4.0,7.7,,.506,14.3,20.4,.138,,.488,10.7,78.6,.381
10,10,2022-11-07,@,UTA,L,116,139,112.1,134.3,103.5,.366,.293,.609,44.6,37.5,6.8,8.8,,.543,14.4,18.4,.329,,.642,11.8,72.2,.179
11,11,2022-11-09,@,LAC,L,101,114,100.8,113.8,100.2,.193,.364,.529,51.2,65.0,7.0,4.2,,.511,13.6,18.6,.125,,.580,14.0,85.4,.247
12,12,2022-11-11,,SAC,L,114,120,116.9,123.1,97.5,.295,.284,.573,50.6,52.4,11.3,9.8,,.534,12.3,31.8,.227,,.586,13.5,73.0,.207
13,13,2022-11-13,,BRK,W,116,103,122.2,108.5,94.9,.220,.297,.581,52.3,56.8,3.2,3.8,,.544,8.3,26.7,.187,,.494,11.4,80.5,.300
14,14,2022-11-18,,DET,W,128,121,123.7,116.9,103.5,.513,.256,.669,54.3,67.4,1.9,12.1,,.596,14.3,20.6,.449,,.527,9.4,78.7,.261
15,15,2022-11-20,,SAS,W,123,92,118.1,88.3,104.1,.282,.400,.644,55.1,64.4,4.8,2.8,,.600,13.6,13.9,.247,,.424,8.4,79.0,.029
16,16,2022-11-22,@,PHO,L,105,115,96.6,105.8,108.7,.412,.259,.523,47.9,52.8,7.4,10.3,,.447,14.5,14.6,.341,,.549,12.6,82.6,.029
17,17,2022-11-25,@,SAS,W,105,94,104.8,93.8,100.2,.241,.325,.572,49.5,70.0,12.0,7.5,,.530,18.6,25.0,.205,,.410,13.0,66.1,.120
18,18,2022-11-26,@,SAS,W,143,138,133.2,128.6,107.3,.457,.407,.735,45.3,53.2,3.7,10.3,,.685,14.9,9.1,.395,,.590,8.1,67.9,.133
19,19,2022-11-28,,IND,L,115,116,111.9,112.8,102.8,.333,.333,.539,53.8,57.5,2.9,12.5,,.489,11.6,32.7,.258,,.490,7.4,76.5,.124
20,20,2022-11-30,,POR,W,128,109,131.4,111.9,97.4,.268,.381,.590,51.6,58.3,5.1,9.1,,.567,6.1,28.3,.186,,.511,9.2,74.5,.189
21,21,2022-12-02,@,MIL,W,133,129,136.7,132.6,97.3,.250,.271,.624,51.2,61.5,6.2,7.8,,.599,3.6,27.3,.188,,.622,8.2,76.2,.128
22,22,2022-12-04,@,WAS,W,130,119,119.1,109.0,109.1,.229,.271,.615,53.7,65.4,4.6,7.6,,.594,12.4,21.4,.167,,.514,8.2,79.2,.105
23,23,2022-12-06,@,CLE,L,102,116,104.9,119.3,97.2,.270,.404,.512,49.4,42.1,4.1,9.1,,.461,13.8,28.6,.225,,.554,6.5,76.3,.140
24,24,2022-12-07,@,TOR,L,113,126,107.1,119.4,105.5,.402,.379,.552,46.0,43.2,5.7,4.8,,.466,12.8,21.3,.368,,.500,8.6,67.9,.189
25,25,2022-12-09,@,PHI,L,122,133,109.7,119.6,100.7,.341,.352,.603,46.8,65.9,10.8,8.0,,.563,15.8,16.7,.261,,.633,17.4,81.1,.211
26,26,2022-12-11,@,DET,W,124,117,124.5,117.5,99.6,.321,.310,.647,51.2,67.4,8.0,8.3,,.613,10.3,16.7,.250,,.554,10.7,78.3,.151
27,27,2022-12-13,,BOS,L,118,122,108.5,112.1,98.5,.323,.312,.556,49.0,52.3,6.4,16.1,,.516,9.4,15.6,.237,,.534,11.2,76.4,.106
28,28,2022-12-16,,DEN,W,126,108,123.5,105.9,102.0,.264,.363,.620,53.6,60.4,10.8,7.4,,.593,12.1,26.8,.198,,.537,16.9,79.1,.259
29,29,2022-12-18,,WAS,W,119,117,115.5,113.5,103.0,.239,.293,.585,47.3,63.0,3.9,8.9,,.560,8.1,13.6,.174,,.516,8.7,78.7,.200
30,30,2022-12-19,@,PHO,L,104,130,109.7,137.1,94.8,.195,.322,.550,42.7,33.3,5.3,9.3,,.517,12.9,21.7,.161,,.602,7.2,65.1,.194
31,31,2022-12-21,@,SAC,L,120,134,113.1,126.2,106.1,.357,.286,.617,45.9,59.5,5.7,10.4,,.565,13.4,12.2,.298,,.595,10.1,77.3,.221
32,32,2022-12-23,,CHO,L,130,134,124.1,127.9,104.7,.239,.478,.639,50.6,56.3,4.8,1.9,,.625,14.3,28.6,.163,,.638,13.6,73.2,.149
33,33,2022-12-25,@,DAL,L,115,124,123.6,133.3,93.0,.400,.350,.611,47.9,46.2,5.4,5.0,,.544,7.8,18.2,.350,,.631,10.4,72.5,.214
34,34,2022-12-27,@,ORL,W,129,110,131.4,112.0,98.2,.189,.478,.662,55.4,65.3,4.1,3.6,,.639,11.8,23.7,.156,,.560,10.4,82.2,.190
35,35,2022-12-28,@,MIA,L,98,112,103.5,118.2,94.7,.195,.468,.586,54.3,67.6,2.1,7.0,,.565,22.3,22.9,.143,,.538,4.8,78.3,.141
36,36,2022-12-30,@,ATL,W,130,121,122.6,114.1,106.0,.188,.333,.625,57.3,65.4,6.6,9.5,,.594,13.3,29.3,.167,,.530,8.3,78.2,.139
37,37,2023-01-02,@,CHO,W,121,115,110.2,104.7,109.8,.323,.323,.570,53.0,57.8,5.5,8.2,,.538,11.6,18.8,.226,,.511,11.7,84.6,.215
38,38,2023-01-04,,MIA,W,112,109,112.3,109.3,99.7,.370,.333,.594,49.4,50.0,10.0,6.1,,.543,15.3,23.7,.296,,.495,11.1,70.2,.158
39,39,2023-01-06,,ATL,W,130,114,120.1,105.3,108.2,.172,.376,.650,56.7,64.7,5.5,7.7,,.634,13.8,17.9,.129,,.505,10.2,86.3,.177
40,40,2023-01-07,@,SAC,W,136,134,134.6,132.6,101.0,.402,.256,.705,52.8,52.0,4.0,5.6,,.665,15.0,32.3,.329,,.605,12.0,68.3,.349
41,41,2023-01-09,@,DEN,L,109,122,103.7,116.1,105.1,.269,.301,.524,44.4,48.8,11.4,3.5,,.484,11.1,21.2,.204,,.540,13.8,70.2,.152
