,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-19,H,GSW,L,114,121,45,95,.474,15,42,.357,9,19,.474,5,45,21,7,4,17,25,101.1,107.3,112.8,.200,.442,.551,47.4,46.7,6.2,7.4,.553,14.1,10.9,.095,.516,13.8,81.6,.269
1,2021-10-22,H,PHO,L,105,115,34,86,.395,15,34,.441,22,29,.759,12,46,25,7,3,16,26,104.5,114.5,100.5,.337,.395,.532,49.5,73.5,7.0,5.6,.483,13.9,23.1,.256,.547,10.1,82.9,.244
2,2021-10-24,H,MEM,W,121,118,45,84,.536,16,30,.533,15,22,.682,9,36,29,10,12,17,14,120.4,117.4,100.5,.262,.357,.646,42.4,64.4,9.9,18.5,.631,15.4,22.5,.179,.515,13.6,60.0,.150
3,2021-10-26,A,SAS,W,125,121,50,105,.476,8,30,.267,17,22,.773,9,56,20,8,10,13,21,107.7,104.3,105.1,.210,.286,.545,48.7,40.0,6.9,13.9,.514,10.2,17.3,.162,.505,11.3,74.6,.111
4,2021-10-27,A,OKC,L,115,123,46,92,.500,11,35,.314,12,14,.857,10,40,29,8,2,17,22,112.8,120.6,102.0,.152,.380,.586,48.8,63.0,7.8,4.1,.560,14.8,23.8,.130,.587,13.2,75.0,.256
5,2021-10-29,H,CLE,W,113,101,46,84,.548,12,27,.444,9,10,.900,11,42,24,9,6,20,20,121.4,108.5,93.1,.119,.321,.639,53.8,52.2,9.7,11.3,.619,18.5,35.5,.107,.494,13.4,66.0,.172
6,2021-10-31,H,HOU,W,95,85,39,96,.406,9,31,.290,8,13,.615,10,43,22,15,9,12,20,93.2,83.4,101.9,.135,.323,.467,43.9,56.4,14.7,18.8,.453,10.6,18.2,.083,.461,22.0,76.7,.197
7,2021-11-02,H,HOU,W,119,117,49,93,.527,6,25,.240,15,20,.750,11,43,26,10,4,17,19,112.1,110.2,106.2,.215,.269,.584,53.1,53.1,9.4,8.2,.559,14.3,28.9,.161,.615,20.0,74.4,.055
8,2021-11-04,H,OKC,L,104,107,39,94,.415,12,33,.364,14,17,.824,16,49,22,8,5,13,21,106.4,109.5,97.7,.181,.351,.512,49.5,56.4,8.2,10.9,.479,11.4,29.6,.149,.511,14.0,73.3,.207
9,2021-11-06,A,POR,L,90,105,31,90,.344,9,32,.281,19,24,.792,11,59,20,8,5,19,17,86.6,101.0,104.0,.267,.356,.447,53.2,64.5,7.7,12.5,.394,15.9,21.6,.211,.458,9.4,80.0,.189
