,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2021-10-20,,CLE,W,132,121,53,100,.530,14,33,.424,12,12,1.000,13,53,28,8,8,10,15,,47,93,.505,14,38,.368,13,18,.722,7,36,38,6,5,10,17
2,2,2021-10-23,@,LAC,W,120,114,42,90,.467,15,36,.417,21,25,.840,13,48,26,5,3,11,19,,43,99,.434,13,39,.333,15,17,.882,14,44,23,7,4,7,21
3,3,2021-10-24,@,LAL,L,118,121,45,100,.450,13,35,.371,15,18,.833,18,49,25,13,4,17,20,,45,84,.536,16,30,.533,15,22,.682,9,36,29,10,12,17,14
4,4,2021-10-27,@,POR,L,96,116,35,96,.365,17,50,.340,9,19,.474,21,50,27,9,3,21,25,,39,84,.464,15,36,.417,23,31,.742,13,48,22,11,6,13,20
5,5,2021-10-28,@,GSW,W,104,101,39,97,.402,12,48,.250,14,14,1.000,10,51,25,17,9,17,14,,39,90,.433,14,40,.350,9,12,.750,7,48,29,8,7,22,17
6,6,2021-10-30,,MIA,L,103,129,34,88,.386,16,50,.320,19,21,.905,8,32,26,14,7,14,17,,46,88,.523,21,37,.568,16,19,.842,11,50,31,12,2,18,17
7,7,2021-11-01,,DEN,W,106,97,44,97,.454,13,34,.382,5,7,.714,11,55,20,8,4,12,18,,39,88,.443,9,38,.237,10,15,.667,6,40,27,8,8,12,10
8,8,2021-11-03,,DEN,W,108,106,42,81,.519,16,34,.471,8,14,.571,3,36,28,9,7,11,16,,43,91,.473,8,27,.296,12,13,.923,11,44,24,7,4,11,16
9,9,2021-11-05,@,WAS,L,87,115,34,96,.354,6,31,.194,13,17,.765,12,39,19,12,4,9,15,,49,84,.583,10,25,.400,7,13,.538,5,53,34,4,6,18,13
10,10,2021-11-08,,MIN,W,125,118,46,92,.500,11,28,.393,22,26,.846,15,51,28,7,8,13,22,,41,97,.423,17,45,.378,19,23,.826,15,45,23,7,8,13,27
11,11,2021-11-10,,CHO,L,108,118,45,107,.421,9,38,.237,9,15,.600,20,57,27,14,8,16,18,,41,90,.456,15,36,.417,21,24,.875,9,49,32,13,7,17,16
12,12,2021-11-12,,PHO,L,94,119,37,98,.378,7,33,.212,13,23,.565,17,59,19,6,6,15,16,,46,94,.489,18,37,.486,9,9,1.000,4,46,28,12,6,12,22
13,13,2021-11-13,@,NOP,L,101,112,38,88,.432,8,24,.333,17,21,.810,13,39,21,6,6,9,19,,38,79,.481,14,29,.483,22,25,.880,8,37,29,5,6,13,22
14,14,2021-11-15,,HOU,W,136,102,52,96,.542,16,41,.390,16,20,.800,7,49,33,14,8,10,21,,36,95,.379,11,38,.289,19,26,.731,14,46,24,6,5,17,16
15,15,2021-11-18,,LAC,W,120,108,52,96,.542,11,26,.423,5,6,.833,12,47,28,8,7,11,17,,42,90,.467,16,39,.410,8,8,1.000,7,34,24,6,6,13,15
16,16,2021-11-20,@,MIN,L,95,138,29,83,.349,9,32,.281,28,35,.800,10,33,21,7,5,14,24,,49,91,.538,20,41,.488,20,28,.714,18,50,28,12,6,13,26
17,17,2021-11-22,@,UTA,W,119,118,42,95,.442,13,35,.371,22,27,.815,16,50,24,10,4,7,20,,41,87,.471,17,43,.395,19,25,.760,10,46,26,5,10,14,20
18,18,2021-11-24,,TOR,L,113,126,42,82,.512,9,29,.310,20,26,.769,11,40,25,6,3,14,20,,47,89,.528,14,30,.467,18,21,.857,11,34,25,8,4,10,20
19,19,2021-11-26,,ATL,L,100,132,37,91,.407,12,38,.316,14,19,.737,10,36,27,8,7,13,19,,52,89,.584,13,27,.481,15,21,.714,9,49,33,8,5,12,15
20,20,2021-11-28,,SAC,W,128,101,50,104,.481,13,39,.333,15,20,.750,14,68,30,4,11,9,25,,33,97,.340,9,42,.214,26,37,.703,12,49,17,5,8,8,18
21,21,2021-11-30,@,TOR,W,98,91,36,93,.387,10,34,.294,16,19,.842,18,54,18,13,10,17,15,,36,91,.396,10,39,.256,9,12,.750,11,44,14,7,9,18,21
22,22,2021-12-02,,OKC,W,152,79,60,96,.625,19,36,.528,13,18,.722,14,53,41,16,9,10,15,,25,76,.329,11,38,.289,18,22,.818,8,26,14,2,5,19,14
23,23,2021-12-04,@,DAL,W,97,90,37,76,.487,9,26,.346,14,24,.583,10,52,20,10,5,22,23,,31,92,.337,15,43,.349,13,19,.684,14,42,19,10,1,13,21
24,24,2021-12-06,@,MIA,W,105,90,38,89,.427,13,33,.394,16,21,.762,16,47,26,11,6,19,18,,35,76,.461,6,22,.273,14,17,.824,7,36,26,11,6,23,19
25,25,2021-12-08,,DAL,L,96,104,36,90,.400,9,31,.290,15,25,.600,12,40,23,14,3,13,23,,37,77,.481,12,33,.364,18,23,.783,10,47,24,5,6,18,21
26,26,2021-12-09,,LAL,W,108,95,41,94,.436,14,42,.333,12,18,.667,14,47,28,18,5,11,14,,36,78,.462,12,30,.400,11,17,.647,7,45,26,8,6,22,15
27,27,2021-12-11,,HOU,W,113,106,40,80,.500,11,29,.379,22,36,.611,9,38,22,10,3,11,24,,38,77,.494,11,33,.333,19,29,.655,12,40,25,5,6,16,25
28,28,2021-12-13,,PHI,W,126,91,47,89,.528,14,34,.412,18,23,.783,11,50,29,12,6,9,20,,37,83,.446,4,22,.182,13,19,.684,5,38,22,5,10,15,19
29,29,2021-12-15,@,POR,W,113,103,39,82,.476,11,32,.344,24,30,.800,11,53,22,10,5,15,21,,31,82,.378,15,38,.395,26,28,.929,5,38,18,9,6,13,21
30,30,2021-12-17,@,SAC,W,124,105,45,97,.464,13,24,.542,21,27,.778,12,50,25,11,3,11,21,,36,88,.409,13,35,.371,20,26,.769,10,45,21,5,6,18,20
31,31,2021-12-19,,POR,L,100,105,35,91,.385,9,34,.265,21,25,.840,10,33,22,13,5,8,22,,35,74,.473,11,32,.344,24,28,.857,9,51,17,4,9,20,18
32,32,2021-12-20,,OKC,L,99,102,39,101,.386,11,32,.344,10,13,.769,17,51,24,9,2,12,21,,36,84,.429,11,38,.289,19,28,.679,9,47,24,7,7,14,17
33,33,2021-12-23,@,GSW,L,104,113,38,90,.422,8,26,.308,20,24,.833,14,42,18,10,6,13,20,,40,82,.488,19,40,.475,14,18,.778,8,39,30,9,9,18,19
34,34,2021-12-26,@,SAC,W,127,102,47,100,.470,9,30,.300,24,30,.800,19,53,33,11,6,11,19,,34,81,.420,10,29,.345,24,27,.889,9,38,22,7,9,18,23
