,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2021-10-20,,CLE,W,132,121,130.6,119.7,101.1,.120,.330,.627,59.6,52.8,7.9,14.5,,.600,8.7,31.0,.120,,.581,9.0,85.1,.140
2,2,2021-10-23,@,LAC,W,120,114,125.6,119.3,95.6,.278,.400,.594,52.2,61.9,5.2,5.0,,.550,9.8,30.2,.233,,.500,6.2,71.4,.152
3,3,2021-10-24,@,LAL,L,118,121,117.4,120.4,100.5,.180,.350,.547,57.6,55.6,12.9,7.4,,.515,13.6,40.0,.150,,.631,15.4,77.5,.179
4,4,2021-10-27,@,POR,L,96,116,98.7,119.2,97.3,.198,.521,.460,51.0,77.1,9.2,6.3,,.453,16.8,37.5,.094,,.554,11.7,69.0,.274
5,5,2021-10-28,@,GSW,W,104,101,96.2,93.4,97.9,.144,.495,.504,51.5,64.1,15.7,18.0,,.464,14.1,19.6,.144,,.511,18.8,85.4,.100
6,6,2021-10-30,,MIA,L,103,129,103.0,129.0,100.0,.239,.568,.530,39.0,76.5,14.0,13.7,,.477,12.6,17.0,.216,,.642,15.7,68.6,.182
7,7,2021-11-01,,DEN,W,106,97,107.3,98.2,98.8,.072,.351,.530,57.9,45.5,8.1,8.0,,.521,10.7,24.4,.052,,.494,11.3,88.0,.114
8,8,2021-11-03,,DEN,W,108,106,114.6,112.5,94.2,.173,.420,.620,45.0,66.7,9.5,10.9,,.617,11.2,8.3,.099,,.516,10.2,75.0,.132
9,9,2021-11-05,@,WAS,L,87,115,87.1,115.1,99.9,.177,.323,.420,42.4,55.9,12.0,6.8,,.385,8.0,20.0,.135,,.643,16.7,84.4,.083
10,10,2021-11-08,,MIN,W,125,118,124.6,117.7,90.8,.283,.304,.604,53.1,60.9,7.0,15.4,,.560,11.2,33.3,.239,,.510,10.8,70.6,.196
11,11,2021-11-10,,CHO,L,108,118,101.3,110.7,106.6,.140,.355,.475,53.8,60.0,13.1,14.8,,.463,12.3,33.3,.084,,.539,14.5,80.4,.233
12,12,2021-11-12,,PHO,L,94,119,90.2,114.1,104.3,.235,.337,.435,56.2,51.4,5.8,10.5,,.413,12.2,28.8,.133,,.585,10.9,91.3,.096
13,13,2021-11-13,@,NOP,L,101,112,111.9,124.1,90.3,.239,.273,.519,51.3,55.3,6.6,12.0,,.477,8.5,31.0,.193,,.570,12.6,76.5,.278
14,14,2021-11-15,,HOU,W,136,102,128.2,96.2,106.1,.208,.427,.649,51.6,63.5,13.2,14.0,,.625,8.7,17.9,.167,,.437,13.8,75.0,.200
15,15,2021-11-18,,LAC,W,120,108,124.6,112.2,96.3,.063,.271,.608,58.0,53.8,8.3,13.7,,.599,10.0,30.8,.052,,.556,12.2,83.3,.089
16,16,2021-11-20,@,MIN,L,95,138,98.6,143.2,96.4,.422,.386,.483,39.8,72.4,7.3,10.0,,.404,12.5,23.8,.337,,.648,11.2,56.1,.220
17,17,2021-11-22,@,UTA,W,119,118,121.9,120.9,97.6,.284,.368,.557,52.1,57.1,10.2,9.1,,.511,6.1,30.8,.232,,.569,12.5,77.3,.218
18,18,2021-11-24,,TOR,L,113,126,120.5,134.3,93.8,.317,.354,.605,54.1,59.5,6.4,5.1,,.567,13.0,32.4,.244,,.607,9.2,72.5,.202
19,19,2021-11-26,,ATL,L,100,132,100.4,132.5,99.6,.209,.418,.503,42.4,73.0,8.0,11.3,,.473,11.6,20.0,.154,,.657,10.9,74.3,.169
20,20,2021-11-28,,SAC,W,128,101,120.5,95.1,106.2,.192,.375,.567,58.1,60.0,3.8,20.0,,.543,7.4,27.5,.144,,.387,6.6,81.8,.268
21,21,2021-11-30,@,TOR,W,98,91,99.9,92.8,98.1,.204,.366,.483,55.1,50.0,13.3,19.2,,.441,14.4,35.3,.172,,.451,15.8,76.6,.099
22,22,2021-12-02,,OKC,W,152,79,159.3,82.8,95.4,.188,.375,.731,67.1,68.3,16.8,23.7,,.724,8.8,43.8,.135,,.401,18.2,83.0,.237
23,23,2021-12-04,@,DAL,W,97,90,100.6,93.3,96.5,.316,.342,.560,55.3,54.1,10.4,10.2,,.546,20.3,26.3,.184,,.418,11.5,75.0,.141
24,24,2021-12-06,@,MIA,W,105,90,107.8,92.4,97.4,.236,.371,.534,56.6,68.4,11.3,11.1,,.500,16.2,35.6,.180,,.500,21.6,81.6,.184
25,25,2021-12-08,,DAL,L,96,104,100.1,108.5,95.9,.278,.344,.475,46.0,63.9,14.6,6.8,,.450,11.4,24.5,.167,,.558,17.1,73.7,.234
26,26,2021-12-09,,LAL,W,108,95,110.3,97.0,97.9,.191,.447,.530,51.1,68.3,18.4,10.4,,.511,9.7,26.9,.128,,.538,20.5,82.5,.141
27,27,2021-12-11,,HOU,W,113,106,120.6,113.1,93.7,.450,.363,.590,48.7,55.0,10.7,6.8,,.569,10.3,24.3,.275,,.565,15.1,70.7,.247
28,28,2021-12-13,,PHI,W,126,91,128.6,92.9,98.0,.258,.382,.636,56.8,61.7,12.2,9.8,,.607,8.3,25.0,.202,,.470,14.1,88.6,.157
29,29,2021-12-15,@,POR,W,113,103,114.2,104.1,98.9,.366,.390,.593,58.2,56.4,10.1,11.4,,.543,13.6,25.0,.293,,.470,12.1,89.4,.317
30,30,2021-12-17,@,SAC,W,124,105,118.4,100.3,104.7,.278,.247,.569,52.6,55.6,10.5,5.7,,.531,9.2,25.5,.216,,.483,15.3,79.2,.227
31,31,2021-12-19,,POR,L,100,105,104.7,110.0,95.5,.275,.374,.490,39.3,62.9,13.6,11.9,,.434,7.3,19.2,.231,,.547,18.8,71.9,.324
32,32,2021-12-20,,OKC,L,99,102,100.9,104.0,98.1,.129,.317,.464,52.0,61.5,9.2,4.3,,.441,10.1,30.9,.099,,.494,12.7,79.1,.226
33,33,2021-12-23,@,GSW,L,104,113,108.1,117.4,96.3,.267,.289,.517,51.9,47.4,10.4,14.3,,.467,11.4,31.1,.222,,.604,16.7,77.8,.171
34,34,2021-12-26,@,SAC,W,127,102,127.1,102.1,99.9,.300,.300,.561,58.2,70.2,11.0,11.5,,.515,8.9,39.6,.240,,.481,16.2,79.1,.296
35,35,2021-12-27,@,PHO,W,114,113,117.5,116.4,97.0,.193,.330,.597,58.8,48.9,10.3,10.2,,.574,15.9,37.5,.148,,.517,9.9,77.8,.222
36,36,2021-12-29,,LAL,W,104,99,109.0,103.8,95.4,.341,.353,.532,52.4,51.4,13.6,11.1,,.471,10.9,28.9,.282,,.541,16.7,81.1,.070
37,37,2021-12-31,,SAS,W,118,105,118.5,105.4,99.6,.157,.255,.541,55.2,57.1,7.0,20.0,,.529,7.6,30.8,.098,,.500,9.9,79.2,.167
38,38,2022-01-03,@,BRK,W,118,104,123.7,109.0,95.4,.206,.343,.530,64.9,50.0,11.5,9.8,,.520,9.7,47.9,.118,,.506,11.4,82.6,.256
39,39,2022-01-04,@,CLE,W,110,106,116.1,111.9,94.8,.244,.300,.552,47.9,50.0,6.3,13.8,,.517,8.3,25.5,.189,,.489,9.8,70.2,.174
40,40,2022-01-06,,DET,W,118,88,115.0,85.8,102.6,.194,.327,.555,61.0,64.6,7.8,16.4,,.541,14.5,38.3,.122,,.394,9.5,81.1,.101
41,41,2022-01-08,@,LAC,W,123,108,120.4,105.7,102.2,.310,.380,.541,53.3,59.1,8.8,17.2,,.500,7.3,31.4,.230,,.458,10.1,74.1,.208
42,42,2022-01-09,@,LAL,W,127,119,126.5,118.5,100.4,.372,.349,.634,53.4,70.2,10.0,15.6,,.610,10.7,27.0,.256,,.536,10.2,72.5,.155
43,43,2022-01-11,,GSW,W,116,108,110.3,102.7,105.2,.180,.340,.537,52.1,68.2,10.5,17.4,,.510,9.2,21.2,.140,,.506,14.4,90.5,.305
44,44,2022-01-13,,MIN,W,116,108,113.2,105.4,102.4,.380,.348,.540,54.9,52.4,9.8,14.6,,.500,10.8,32.0,.261,,.505,12.8,76.9,.115
45,45,2022-01-14,,DAL,L,85,112,85.8,113.1,99.0,.146,.348,.449,44.1,55.9,8.1,10.2,,.421,12.9,18.5,.112,,.560,11.7,79.5,.110
46,46,2022-01-17,,CHI,W,119,106,112.6,100.3,105.7,.217,.272,.590,52.7,61.7,13.2,11.5,,.565,14.4,22.7,.163,,.505,15.4,80.9,.141
47,47,2022-01-19,@,MIL,L,114,126,107.7,119.0,105.8,.236,.377,.487,45.6,59.1,9.4,13.3,,.458,7.1,27.1,.160,,.541,12.3,70.5,.216
48,48,2022-01-21,@,DEN,W,122,118,121.3,117.3,100.6,.488,.305,.612,56.5,44.2,10.9,16.9,,.591,13.1,32.5,.305,,.544,11.4,77.8,.209
49,49,2022-01-23,@,DAL,L,91,104,97.0,110.9,93.8,.192,.242,.424,54.3,54.1,10.7,6.8,,.394,12.3,38.9,.131,,.547,14.6,76.3,.311
50,50,2022-01-26,@,SAS,W,118,110,119.6,111.5,98.7,.289,.256,.582,53.0,52.2,9.1,15.8,,.550,11.4,31.6,.211,,.505,11.3,71.1,.160
51,51,2022-01-28,,UTA,W,119,109,122.4,112.2,97.2,.293,.280,.643,53.2,58.7,9.3,17.9,,.616,13.9,23.5,.220,,.535,14.5,75.6,.212
52,52,2022-01-29,,WAS,W,115,95,123.4,101.9,93.2,.120,.310,.546,61.9,52.2,8.6,18.2,,.525,7.9,41.2,.100,,.476,11.4,84.8,.179
53,53,2022-01-31,@,PHI,L,119,122,108.0,110.8,99.8,.275,.294,.520,49.5,38.3,12.7,8.7,,.490,10.9,30.0,.186,,.545,16.5,70.2,.130
54,54,2022-02-02,@,NYK,W,120,108,119.5,107.6,100.4,.225,.382,.535,51.5,68.2,11.0,9.6,,.510,7.4,30.0,.157,,.500,13.1,73.5,.227
55,55,2022-02-05,@,ORL,W,135,115,130.9,111.5,103.1,.210,.371,.589,62.0,62.3,5.8,11.9,,.567,6.5,34.0,.152,,.528,8.1,86.8,.222
56,56,2022-02-08,,LAC,W,135,109,130.9,105.7,103.2,.243,.252,.592,57.9,49.1,11.6,10.3,,.558,10.2,42.0,.194,,.511,14.6,75.6,.202
57,57,2022-02-10,@,DET,W,132,107,130.7,105.9,101.0,.457,.326,.597,60.0,72.7,5.9,6.8,,.560,9.8,37.5,.315,,.473,8.0,80.8,.191
58,58,2022-02-12,@,CHO,W,125,118,115.2,108.7,108.5,.344,.344,.566,51.8,66.0,10.1,15.4,,.547,13.3,31.4,.208,,.474,12.5,69.5,.268
59,59,2022-02-15,@,NOP,W,121,109,125.1,112.7,96.7,.287,.362,.571,59.0,61.7,10.3,4.8,,.553,10.2,43.9,.181,,.523,13.4,73.8,.193
60,60,2022-02-16,,POR,L,119,123,122.8,126.9,96.9,.494,.353,.575,47.6,54.1,10.3,13.2,,.500,8.0,25.0,.400,,.582,10.8,69.0,.282
61,61,2022-02-24,@,MIN,L,114,119,114.0,119.0,100.0,.408,.316,.493,58.4,65.8,9.0,13.7,,.434,11.5,46.4,.296,,.548,10.3,73.3,.183
62,62,2022-02-26,@,CHI,W,116,110,111.0,105.2,104.5,.260,.230,.520,59.8,52.3,4.8,13.7,,.475,10.4,35.2,.210,,.468,7.8,87.5,.247
63,63,2022-02-28,,SAS,W,118,105,118.1,105.1,99.9,.213,.292,.606,59.1,50.0,5.0,9.0,,.601,14.1,33.3,.124,,.460,7.7,77.8,.141
64,64,2022-03-03,@,BOS,L,107,120,116.2,130.3,92.1,.131,.404,.511,46.3,57.1,10.9,7.7,,.490,6.3,32.1,.101,,.607,12.8,64.3,.135
65,65,2022-03-05,,ORL,W,124,96,120.0,92.9,103.4,.293,.370,.597,57.3,54.3,6.8,7.8,,.576,6.3,13.0,.196,,.494,11.4,98.0,.128
66,66,2022-03-06,@,HOU,L,112,123,107.2,117.7,104.5,.278,.268,.514,47.1,61.4,11.5,16.7,,.479,9.2,24.5,.196,,.604,14.8,77.8,.293
67,67,2022-03-08,,NOP,W,132,111,129.2,108.6,102.2,.238,.436,.592,53.6,62.5,7.8,11.1,,.554,9.0,31.3,.198,,.528,12.3,75.5,.205
68,68,2022-03-11,,NYK,W,118,114,112.7,108.9,104.7,.279,.250,.505,50.0,50.0,7.6,24.6,,.486,7.9,32.8,.163,,.478,13.1,70.0,.311
69,69,2022-03-13,@,OKC,W,125,118,123.4,116.5,101.3,.196,.284,.564,56.4,62.5,7.9,8.9,,.525,10.5,40.0,.176,,.490,9.1,72.5,.237
70,70,2022-03-15,@,IND,W,135,102,129.5,97.9,104.2,.190,.381,.593,51.0,70.4,10.6,16.2,,.586,8.1,35.3,.114,,.449,15.2,67.3,.143
