,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,H,CLE,W,132,121,53,100,.530,14,33,.424,12,12,1.000,13,53,28,8,8,10,15,130.6,119.7,101.1,.120,.330,.627,59.6,52.8,7.9,14.5,.600,8.7,31.0,.120,.581,9.0,85.1,.140
1,2021-10-23,A,LAC,W,120,114,42,90,.467,15,36,.417,21,25,.840,13,48,26,5,3,11,19,125.6,119.3,95.6,.278,.400,.594,52.2,61.9,5.2,5.0,.550,9.8,30.2,.233,.500,6.2,71.4,.152
2,2021-10-24,A,LAL,L,118,121,45,100,.450,13,35,.371,15,18,.833,18,49,25,13,4,17,20,117.4,120.4,100.5,.180,.350,.547,57.6,55.6,12.9,7.4,.515,13.6,40.0,.150,.631,15.4,77.5,.179
3,2021-10-27,A,POR,L,96,116,35,96,.365,17,50,.340,9,19,.474,21,50,27,9,3,21,25,98.7,119.2,97.3,.198,.521,.460,51.0,77.1,9.2,6.3,.453,16.8,37.5,.094,.554,11.7,69.0,.274
4,2021-10-28,A,GSW,W,104,101,39,97,.402,12,48,.250,14,14,1.000,10,51,25,17,9,17,14,96.2,93.4,97.9,.144,.495,.504,51.5,64.1,15.7,18.0,.464,14.1,19.6,.144,.511,18.8,85.4,.100
5,2021-10-30,H,MIA,L,103,129,34,88,.386,16,50,.320,19,21,.905,8,32,26,14,7,14,17,103.0,129.0,100.0,.239,.568,.530,39.0,76.5,14.0,13.7,.477,12.6,17.0,.216,.642,15.7,68.6,.182
6,2021-11-01,H,DEN,W,106,97,44,97,.454,13,34,.382,5,7,.714,11,55,20,8,4,12,18,107.3,98.2,98.8,.072,.351,.530,57.9,45.5,8.1,8.0,.521,10.7,24.4,.052,.494,11.3,88.0,.114
7,2021-11-03,H,DEN,W,108,106,42,81,.519,16,34,.471,8,14,.571,3,36,28,9,7,11,16,114.6,112.5,94.2,.173,.420,.620,45.0,66.7,9.5,10.9,.617,11.2,8.3,.099,.516,10.2,75.0,.132
8,2021-11-05,A,WAS,L,87,115,34,96,.354,6,31,.194,13,17,.765,12,39,19,12,4,9,15,87.1,115.1,99.9,.177,.323,.420,42.4,55.9,12.0,6.8,.385,8.0,20.0,.135,.643,16.7,84.4,.083
9,2021-11-08,H,MIN,W,125,118,46,92,.500,11,28,.393,22,26,.846,15,51,28,7,8,13,22,124.6,117.7,90.8,.283,.304,.604,53.1,60.9,7.0,15.4,.560,11.2,33.3,.239,.510,10.8,70.6,.196
10,2021-11-10,H,CHO,L,108,118,45,107,.421,9,38,.237,9,15,.600,20,57,27,14,8,16,18,101.3,110.7,106.6,.140,.355,.475,53.8,60.0,13.1,14.8,.463,12.3,33.3,.084,.539,14.5,80.4,.233
11,2021-11-12,H,PHO,L,94,119,37,98,.378,7,33,.212,13,23,.565,17,59,19,6,6,15,16,90.2,114.1,104.3,.235,.337,.435,56.2,51.4,5.8,10.5,.413,12.2,28.8,.133,.585,10.9,91.3,.096
12,2021-11-13,A,NOP,L,101,112,38,88,.432,8,24,.333,17,21,.810,13,39,21,6,6,9,19,111.9,124.1,90.3,.239,.273,.519,51.3,55.3,6.6,12.0,.477,8.5,31.0,.193,.570,12.6,76.5,.278
13,2021-11-15,H,HOU,W,136,102,52,96,.542,16,41,.390,16,20,.800,7,49,33,14,8,10,21,128.2,96.2,106.1,.208,.427,.649,51.6,63.5,13.2,14.0,.625,8.7,17.9,.167,.437,13.8,75.0,.200
14,2021-11-18,H,LAC,W,120,108,52,96,.542,11,26,.423,5,6,.833,12,47,28,8,7,11,17,124.6,112.2,96.3,.063,.271,.608,58.0,53.8,8.3,13.7,.599,10.0,30.8,.052,.556,12.2,83.3,.089
15,2021-11-20,A,MIN,L,95,138,29,83,.349,9,32,.281,28,35,.800,10,33,21,7,5,14,24,98.6,143.2,96.4,.422,.386,.483,39.8,72.4,7.3,10.0,.404,12.5,23.8,.337,.648,11.2,56.1,.220
16,2021-11-22,A,UTA,W,119,118,42,95,.442,13,35,.371,22,27,.815,16,50,24,10,4,7,20,121.9,120.9,97.6,.284,.368,.557,52.1,57.1,10.2,9.1,.511,6.1,30.8,.232,.569,12.5,77.3,.218
17,2021-11-24,H,TOR,L,113,126,42,82,.512,9,29,.310,20,26,.769,11,40,25,6,3,14,20,120.5,134.3,93.8,.317,.354,.605,54.1,59.5,6.4,5.1,.567,13.0,32.4,.244,.607,9.2,72.5,.202
18,2021-11-26,H,ATL,L,100,132,37,91,.407,12,38,.316,14,19,.737,10,36,27,8,7,13,19,100.4,132.5,99.6,.209,.418,.503,42.4,73.0,8.0,11.3,.473,11.6,20.0,.154,.657,10.9,74.3,.169
19,2021-11-28,H,SAC,W,128,101,50,104,.481,13,39,.333,15,20,.750,14,68,30,4,11,9,25,120.5,95.1,106.2,.192,.375,.567,58.1,60.0,3.8,20.0,.543,7.4,27.5,.144,.387,6.6,81.8,.268
20,2021-11-30,A,TOR,W,98,91,36,93,.387,10,34,.294,16,19,.842,18,54,18,13,10,17,15,99.9,92.8,98.1,.204,.366,.483,55.1,50.0,13.3,19.2,.441,14.4,35.3,.172,.451,15.8,76.6,.099
21,2021-12-02,H,OKC,W,152,79,60,96,.625,19,36,.528,13,18,.722,14,53,41,16,9,10,15,159.3,82.8,95.4,.188,.375,.731,67.1,68.3,16.8,23.7,.724,8.8,43.8,.135,.401,18.2,83.0,.237
22,2021-12-04,A,DAL,W,97,90,37,76,.487,9,26,.346,14,24,.583,10,52,20,10,5,22,23,100.6,93.3,96.5,.316,.342,.560,55.3,54.1,10.4,10.2,.546,20.3,26.3,.184,.418,11.5,75.0,.141
23,2021-12-06,A,MIA,W,105,90,38,89,.427,13,33,.394,16,21,.762,16,47,26,11,6,19,18,107.8,92.4,97.4,.236,.371,.534,56.6,68.4,11.3,11.1,.500,16.2,35.6,.180,.500,21.6,81.6,.184
24,2021-12-08,H,DAL,L,96,104,36,90,.400,9,31,.290,15,25,.600,12,40,23,14,3,13,23,100.1,108.5,95.9,.278,.344,.475,46.0,63.9,14.6,6.8,.450,11.4,24.5,.167,.558,17.1,73.7,.234
25,2021-12-09,H,LAL,W,108,95,41,94,.436,14,42,.333,12,18,.667,14,47,28,18,5,11,14,110.3,97.0,97.9,.191,.447,.530,51.1,68.3,18.4,10.4,.511,9.7,26.9,.128,.538,20.5,82.5,.141
26,2021-12-11,H,HOU,W,113,106,40,80,.500,11,29,.379,22,36,.611,9,38,22,10,3,11,24,120.6,113.1,93.7,.450,.363,.590,48.7,55.0,10.7,6.8,.569,10.3,24.3,.275,.565,15.1,70.7,.247
27,2021-12-13,H,PHI,W,126,91,47,89,.528,14,34,.412,18,23,.783,11,50,29,12,6,9,20,128.6,92.9,98.0,.258,.382,.636,56.8,61.7,12.2,9.8,.607,8.3,25.0,.202,.470,14.1,88.6,.157
28,2021-12-15,A,POR,W,113,103,39,82,.476,11,32,.344,24,30,.800,11,53,22,10,5,15,21,114.2,104.1,98.9,.366,.390,.593,58.2,56.4,10.1,11.4,.543,13.6,25.0,.293,.470,12.1,89.4,.317
29,2021-12-17,A,SAC,W,124,105,45,97,.464,13,24,.542,21,27,.778,12,50,25,11,3,11,21,118.4,100.3,104.7,.278,.247,.569,52.6,55.6,10.5,5.7,.531,9.2,25.5,.216,.483,15.3,79.2,.227
30,2021-12-19,H,POR,L,100,105,35,91,.385,9,34,.265,21,25,.840,10,33,22,13,5,8,22,104.7,110.0,95.5,.275,.374,.490,39.3,62.9,13.6,11.9,.434,7.3,19.2,.231,.547,18.8,71.9,.324
31,2021-12-20,H,OKC,L,99,102,39,101,.386,11,32,.344,10,13,.769,17,51,24,9,2,12,21,100.9,104.0,98.1,.129,.317,.464,52.0,61.5,9.2,4.3,.441,10.1,30.9,.099,.494,12.7,79.1,.226
32,2021-12-23,A,GSW,L,104,113,38,90,.422,8,26,.308,20,24,.833,14,42,18,10,6,13,20,108.1,117.4,96.3,.267,.289,.517,51.9,47.4,10.4,14.3,.467,11.4,31.1,.222,.604,16.7,77.8,.171
33,2021-12-26,A,SAC,W,127,102,47,100,.470,9,30,.300,24,30,.800,19,53,33,11,6,11,19,127.1,102.1,99.9,.300,.300,.561,58.2,70.2,11.0,11.5,.515,8.9,39.6,.240,.481,16.2,79.1,.296
34,2021-12-27,A,PHO,W,114,113,45,88,.511,11,29,.379,13,17,.765,15,50,22,10,6,18,23,117.5,116.4,97.0,.193,.330,.597,58.8,48.9,10.3,10.2,.574,15.9,37.5,.148,.517,9.9,77.8,.222
35,2021-12-29,H,LAL,W,104,99,35,85,.412,10,30,.333,24,29,.828,13,43,18,13,5,12,11,109.0,103.8,95.4,.341,.353,.532,52.4,51.4,13.6,11.1,.471,10.9,28.9,.282,.541,16.7,81.1,.070
36,2021-12-31,H,SAS,W,118,105,49,102,.480,10,26,.385,10,16,.625,16,58,28,7,11,9,18,118.5,105.4,99.6,.157,.255,.541,55.2,57.1,7.0,20.0,.529,7.6,30.8,.098,.500,9.9,79.2,.167
