,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2022-10-19,,CHI,L,108,116,104.7,112.5,103.1,.350,.350,.585,50.0,56.8,5.8,3.5,,.538,17.1,19.0,.275,,.511,11.7,76.0,.226
2,2,2022-10-21,,BOS,L,104,111,113.2,120.8,91.9,.163,.283,.527,45.6,54.8,8.7,6.5,,.500,8.4,26.2,.130,,.608,18.2,67.6,.190
3,3,2022-10-22,,TOR,W,112,109,118.1,114.9,94.9,.355,.395,.637,54.3,73.7,2.1,4.2,,.572,14.6,17.1,.329,,.506,5.7,82.6,.241
4,4,2022-10-24,,TOR,L,90,98,94.3,102.6,95.5,.325,.410,.474,46.9,65.5,5.2,5.6,,.398,11.2,16.0,.289,,.477,11.2,79.2,.186
5,5,2022-10-26,@,POR,W,119,98,125.8,103.6,94.6,.218,.437,.624,54.8,77.3,13.7,4.9,,.592,14.4,35.7,.184,,.513,17.5,73.8,.231
6,6,2022-10-27,@,GSW,L,110,123,112.5,125.8,97.8,.250,.489,.563,38.3,64.1,16.4,10.9,,.523,10.9,19.0,.205,,.598,16.2,59.0,.141
7,7,2022-10-29,@,SAC,L,113,119,113.4,119.4,99.6,.348,.315,.550,44.2,47.4,7.0,6.7,,.489,7.2,19.6,.292,,.645,18.4,80.6,.276
8,8,2022-11-01,,GSW,W,116,109,117.0,110.0,99.1,.227,.477,.599,48.8,80.0,7.1,8.6,,.545,13.4,22.5,.227,,.571,17.9,75.0,.155
9,9,2022-11-02,,SAC,W,110,107,113.3,110.2,97.1,.146,.382,.581,54.1,61.4,5.1,10.0,,.556,10.4,20.5,.124,,.552,11.5,90.2,.140
10,10,2022-11-04,@,IND,L,99,101,97.4,99.4,101.6,.321,.481,.535,50.0,54.8,9.8,4.9,,.451,17.0,17.8,.321,,.538,17.4,87.2,.188
11,11,2022-11-07,,POR,L,107,110,114.1,117.3,93.8,.179,.464,.591,46.4,70.0,11.7,5.7,,.560,9.9,13.2,.155,,.639,18.1,87.1,.250
12,12,2022-11-10,,CHO,W,117,112,110.6,105.9,95.8,.400,.400,.553,43.2,53.8,8.5,2.0,,.489,8.6,16.0,.322,,.568,17.1,78.9,.136
13,13,2022-11-12,,CHO,W,132,115,127.5,111.0,103.6,.226,.441,.646,55.4,65.3,6.8,8.5,,.613,10.5,21.4,.194,,.561,11.0,90.2,.156
14,14,2022-11-14,,PHO,W,113,112,129.2,128.1,87.4,.301,.398,.601,48.3,60.5,6.9,6.3,,.548,13.0,40.5,.265,,.556,9.8,55.6,.020
15,15,2022-11-16,@,TOR,L,104,112,114.4,123.2,90.9,.333,.530,.687,35.4,52.8,5.5,6.7,,.644,23.3,13.3,.288,,.552,12.8,54.3,.198
16,16,2022-11-18,@,WAS,L,106,107,98.5,99.5,97.4,.327,.439,.473,49.5,65.7,5.6,8.0,,.413,7.4,17.9,.255,,.505,12.8,84.3,.104
17,17,2022-11-20,@,CLE,L,87,113,94.6,122.8,92.0,.275,.388,.485,38.0,54.8,6.5,6.5,,.425,15.1,23.4,.238,,.608,17.4,59.4,.145
18,18,2022-11-21,@,MIN,L,101,105,98.6,102.5,102.5,.333,.422,.489,53.5,74.3,8.8,13.2,,.450,12.7,26.1,.222,,.518,16.1,85.0,.200
19,19,2022-11-23,,WAS,W,113,105,112.7,104.7,100.3,.237,.441,.550,55.2,51.3,7.0,9.8,,.505,10.5,28.0,.204,,.528,12.6,84.8,.124
20,20,2022-11-25,,WAS,W,110,107,113.1,110.0,97.2,.258,.292,.555,51.1,57.1,5.1,9.3,,.511,9.2,23.8,.213,,.489,10.5,74.0,.172
21,21,2022-11-27,@,ATL,W,106,98,111.6,103.2,95.0,.232,.402,.587,52.3,70.0,8.4,9.6,,.543,11.7,15.0,.207,,.455,8.5,83.3,.205
22,22,2022-11-30,@,BOS,L,121,134,124.5,137.9,97.2,.100,.444,.644,43.8,53.2,8.2,7.9,,.622,13.8,23.1,.100,,.687,15.4,67.6,.241
23,23,2022-12-02,@,BOS,W,120,116,108.2,104.6,100.4,.178,.347,.551,51.0,39.6,9.9,7.1,,.530,12.8,22.6,.129,,.546,16.8,84.4,.241
24,24,2022-12-05,@,MEM,L,93,101,96.3,104.5,96.6,.278,.506,.524,52.3,74.2,7.2,5.2,,.481,15.3,19.6,.215,,.511,10.5,90.0,.100
25,25,2022-12-06,,DET,L,96,116,101.8,123.0,94.3,.338,.416,.543,50.0,63.6,7.4,4.3,,.494,14.5,18.4,.260,,.603,11.4,78.6,.126
26,26,2022-12-08,,LAC,W,115,110,119.3,114.1,96.4,.156,.356,.598,50.0,52.2,11.4,2.3,,.578,7.7,16.3,.122,,.569,15.2,83.7,.238
