,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-21,H,MIL,W,137,95,51,96,0.531,15,35,0.429,20,31,0.645,11,58,28,8,2,11,26,128.9,89.4,106.3,0.323,0.365,0.625,60.4,54.9,7.5,4.8,0.609,9.1,25.0,0.208,0.452,13.4,90.4,0.226
1,2021-10-23,A,IND,L,91,102,35,91,0.385,9,33,0.273,12,14,0.857,10,55,18,4,2,22,25,85.3,95.7,96.6,0.154,0.363,0.468,50.0,51.4,3.8,3.4,0.434,18.5,19.6,0.132,0.443,13.1,76.3,0.165
2,2021-10-25,H,ORL,W,107,90,41,87,0.471,6,27,0.222,19,19,1.0,9,42,28,10,2,10,19,112.2,94.4,95.4,0.218,0.31,0.561,51.9,68.3,10.5,5.4,0.506,9.5,21.4,0.218,0.481,15.2,84.6,0.148
3,2021-10-27,A,BRK,W,106,93,38,96,0.396,8,29,0.276,22,26,0.846,17,62,21,6,2,14,19,104.8,92.0,101.1,0.271,0.302,0.493,59.6,55.3,5.9,4.8,0.438,11.5,30.9,0.229,0.471,14.1,91.8,0.153
4,2021-10-29,H,CHO,W,114,99,43,91,0.473,9,35,0.257,19,19,1.0,16,60,23,6,3,17,20,117.5,102.0,97.0,0.209,0.385,0.574,61.9,53.5,6.2,5.7,0.522,14.6,38.1,0.209,0.461,9.9,80.0,0.178
5,2021-10-30,A,MEM,W,129,103,46,88,0.523,21,37,0.568,16,19,0.842,11,50,31,12,2,18,17,129.0,103.0,100.0,0.216,0.42,0.669,61.0,67.4,12.0,5.3,0.642,15.7,31.4,0.182,0.477,12.6,83.0,0.216
6,2021-11-02,A,DAL,W,125,110,43,83,0.518,13,25,0.52,26,30,0.867,9,45,25,6,5,6,25,135.3,119.1,92.4,0.361,0.301,0.65,52.3,58.1,6.5,11.9,0.596,5.9,23.1,0.313,0.524,8.4,76.6,0.262
7,2021-11-04,H,BOS,L,78,95,28,81,0.346,9,41,0.22,13,19,0.684,13,45,18,8,0,18,19,86.5,105.3,90.2,0.235,0.506,0.436,49.5,64.3,8.9,0.0,0.401,16.8,27.1,0.16,0.5,15.6,74.4,0.218
8,2021-11-06,H,UTA,W,118,115,47,78,0.603,11,21,0.524,13,17,0.765,7,36,30,3,1,14,18,131.4,128.1,89.8,0.218,0.269,0.69,53.7,63.8,3.3,2.6,0.673,14.1,22.6,0.167,0.608,6.2,80.6,0.169
9,2021-11-08,A,DEN,L,96,113,31,78,0.397,13,36,0.361,21,25,0.84,6,37,22,3,3,13,20,101.6,119.6,94.5,0.321,0.462,0.539,43.0,71.0,3.2,6.0,0.481,12.7,14.0,0.269,0.527,8.1,72.1,0.187
10,2021-11-10,A,LAL,L,117,120,40,96,0.417,10,37,0.27,27,35,0.771,11,47,26,14,2,14,25,105.5,108.2,100.5,0.365,0.385,0.525,48.5,65.0,12.6,3.7,0.469,11.2,21.2,0.281,0.598,18.2,80.0,0.109
11,2021-11-11,A,LAC,L,109,112,43,97,0.443,9,41,0.22,14,17,0.824,18,50,18,9,4,15,21,110.7,113.7,98.5,0.175,0.423,0.522,54.3,41.9,9.1,7.4,0.49,12.6,35.3,0.144,0.533,10.9,78.0,0.165
12,2021-11-13,A,UTA,W,111,105,42,85,0.494,13,33,0.394,14,16,0.875,13,48,23,6,3,19,25,115.4,109.1,96.2,0.188,0.388,0.603,55.8,54.8,6.2,9.4,0.571,17.1,33.3,0.165,0.512,14.3,74.5,0.212
13,2021-11-15,A,OKC,W,103,90,37,82,0.451,18,40,0.45,11,13,0.846,8,45,22,11,5,17,13,107.5,94.0,95.8,0.159,0.488,0.587,51.7,59.5,11.5,11.9,0.561,16.2,19.5,0.134,0.5,18.6,80.4,0.084
14,2021-11-17,H,NOP,W,113,98,42,87,0.483,15,40,0.375,14,17,0.824,10,39,29,6,2,10,25,124.3,107.8,90.9,0.195,0.46,0.598,50.6,69.0,6.6,5.0,0.569,9.6,26.3,0.161,0.507,15.5,74.4,0.293
15,2021-11-18,H,WAS,W,112,97,41,82,0.5,10,26,0.385,20,24,0.833,7,41,27,10,1,6,13,122.8,106.4,91.2,0.293,0.317,0.605,52.6,65.9,11.0,2.4,0.561,6.1,17.9,0.244,0.591,17.3,87.2,0.078
16,2021-11-20,A,WAS,L,100,103,38,81,0.469,7,27,0.259,17,20,0.85,10,37,21,7,3,12,26,111.0,114.3,90.1,0.247,0.333,0.557,51.4,55.3,7.8,6.8,0.512,11.8,27.8,0.21,0.561,18.4,75.0,0.27
17,2021-11-23,A,DET,W,100,92,35,76,0.461,9,29,0.31,21,29,0.724,12,51,22,9,3,16,19,109.0,100.3,91.8,0.382,0.382,0.563,59.3,62.9,9.8,6.5,0.52,15.3,31.6,0.276,0.476,13.4,81.3,0.143
