,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-10-20,@,PHI,W,90,88,34,84,.405,13,42,.310,9,14,.643,7,48,24,4,6,12,16,,36,83,.434,5,24,.208,11,13,.846,6,44,17,6,5,10,14
2,2,2022-10-22,,HOU,W,125,105,48,85,.565,16,31,.516,13,21,.619,8,47,29,6,10,16,22,,36,93,.387,16,37,.432,17,22,.773,15,47,20,9,6,12,22
3,3,2022-10-26,,BRK,W,110,99,39,88,.443,10,36,.278,22,29,.759,14,54,21,8,12,18,22,,34,86,.395,7,27,.259,24,30,.800,7,37,23,7,6,14,24
4,4,2022-10-28,,NYK,W,119,108,42,109,.385,13,45,.289,22,27,.815,19,60,23,8,8,6,23,,37,93,.398,12,35,.343,22,32,.688,13,54,19,6,5,12,19
5,5,2022-10-29,,ATL,W,123,115,45,92,.489,14,36,.389,19,29,.655,14,49,24,8,5,11,18,,45,94,.479,13,29,.448,12,15,.800,12,42,19,5,2,12,23
6,6,2022-10-31,,DET,W,110,108,38,87,.437,11,40,.275,23,29,.793,14,50,20,5,5,16,21,,41,92,.446,8,29,.276,18,21,.857,13,43,19,9,3,12,24
7,7,2022-11-02,,DET,W,116,91,43,92,.467,10,38,.263,20,24,.833,15,52,24,17,5,16,16,,33,79,.418,11,31,.355,14,15,.933,2,35,18,7,3,21,22
8,8,2022-11-04,@,MIN,W,115,102,41,85,.482,17,38,.447,16,28,.571,7,51,29,7,2,13,22,,39,92,.424,11,41,.268,13,17,.765,10,47,22,2,4,16,25
9,9,2022-11-05,,OKC,W,108,94,38,90,.422,17,47,.362,15,17,.882,18,55,23,7,6,18,16,,36,84,.429,12,35,.343,10,16,.625,9,38,22,6,3,15,18
10,10,2022-11-07,@,ATL,L,98,117,36,87,.414,13,40,.325,13,16,.813,6,41,21,5,9,18,18,,46,99,.465,11,29,.379,14,17,.824,12,48,23,11,3,12,18
11,11,2022-11-09,@,OKC,W,136,132,50,106,.472,17,36,.472,19,22,.864,11,55,27,8,7,16,23,,50,111,.450,18,45,.400,14,19,.737,16,55,24,9,9,13,26
12,12,2022-11-11,@,SAS,L,93,111,32,98,.327,12,43,.279,17,23,.739,21,48,22,7,5,13,14,,43,85,.506,12,31,.387,13,15,.867,9,50,22,3,13,19,22
