,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2022-10-20,@,PHI,W,90,88,97.3,95.1,92.5,.167,.500,.499,52.2,70.6,4.3,10.2,,.482,11.7,15.6,.107,,.464,10.1,87.2,.133
2,2,2022-10-22,,HOU,W,125,105,126.0,105.9,99.2,.247,.365,.663,50.0,60.4,6.1,17.9,,.659,14.5,20.0,.153,,.473,10.5,72.2,.183
3,3,2022-10-26,,BRK,W,110,99,107.5,96.8,102.3,.330,.409,.546,59.3,53.8,7.8,20.3,,.500,15.2,31.8,.250,,.436,12.4,85.1,.279
4,4,2022-10-28,,NYK,W,119,108,115.3,104.6,103.2,.248,.413,.492,52.6,54.8,7.7,13.8,,.445,4.7,31.7,.202,,.462,10.1,75.9,.237
5,5,2022-10-29,,ATL,W,123,115,124.7,116.6,98.6,.315,.391,.587,53.8,53.3,8.1,7.7,,.565,9.5,31.8,.207,,.548,10.7,74.5,.128
6,6,2022-10-31,,DET,W,110,108,112.3,110.3,97.9,.333,.460,.551,53.8,52.6,5.1,7.9,,.500,13.8,31.8,.264,,.489,10.6,73.5,.196
7,7,2022-11-02,,DET,W,116,91,113.3,88.9,102.3,.261,.413,.566,59.8,55.8,16.6,10.4,,.522,13.5,31.3,.217,,.487,19.7,94.9,.177
8,8,2022-11-04,@,MIN,W,115,102,111.6,99.0,103.0,.329,.447,.591,52.0,70.7,6.8,3.9,,.582,11.8,15.9,.188,,.484,13.9,81.5,.141
9,9,2022-11-05,,OKC,W,108,94,114.4,99.6,94.4,.189,.522,.554,59.1,60.5,7.4,12.2,,.517,15.6,38.3,.167,,.500,14.1,80.4,.119
10,10,2022-11-07,@,ATL,L,98,117,94.7,113.1,103.5,.184,.460,.521,46.1,58.3,4.8,12.9,,.489,16.1,14.3,.149,,.520,10.1,74.5,.141
11,11,2022-11-09,@,OKC,W,136,132,117.3,113.9,95.9,.208,.340,.588,50.0,54.0,6.9,10.6,,.552,12.2,22.0,.179,,.532,9.8,73.3,.126
12,12,2022-11-11,@,SAS,L,93,111,95.4,113.8,97.5,.235,.439,.430,49.0,68.8,7.2,9.3,,.388,10.7,33.9,.173,,.576,17.2,75.0,.153
13,13,2022-11-14,,ATL,L,106,121,106.3,121.4,99.7,.500,.354,.530,50.5,61.8,4.0,4.2,,.451,13.0,25.6,.390,,.516,7.9,72.9,.283
14,14,2022-11-16,,CLE,W,113,98,120.5,104.5,93.7,.314,.453,.577,60.5,63.4,5.3,10.7,,.570,12.5,31.7,.174,,.500,8.0,86.7,.167
15,15,2022-11-18,@,PHI,L,102,110,101.5,109.5,100.5,.233,.400,.514,50.6,53.7,8.0,14.0,,.522,10.8,18.6,.089,,.596,16.8,85.0,.218
16,16,2022-11-21,,POR,W,119,111,118.8,110.8,100.2,.291,.326,.613,51.2,66.0,12.0,12.5,,.599,12.6,26.3,.186,,.516,12.9,72.7,.161
17,17,2022-11-23,,CHI,L,113,118,109.4,114.3,103.3,.278,.422,.559,57.8,58.5,4.8,6.7,,.522,15.8,26.8,.211,,.598,12.0,88.1,.161
18,18,2022-11-25,,CLE,W,117,102,122.6,106.9,95.4,.301,.386,.622,51.2,64.3,4.2,16.7,,.596,12.1,20.5,.217,,.460,8.4,77.8,.253
19,19,2022-11-27,,DAL,W,124,115,129.3,119.9,95.9,.174,.430,.670,55.6,58.3,8.3,12.8,,.657,12.3,23.5,.128,,.619,12.5,84.2,.200
20,20,2022-11-30,@,NYK,W,109,103,118.2,111.7,92.2,.289,.389,.537,48.6,59.0,3.3,8.6,,.489,4.7,28.0,.233,,.450,6.0,66.7,.130
21,21,2022-12-02,,LAL,L,129,133,132.6,136.7,97.3,.160,.457,.641,48.8,58.0,2.1,7.1,,.622,8.2,23.8,.128,,.599,3.6,72.7,.188
22,22,2022-12-03,@,CHO,W,105,96,103.1,94.3,101.8,.229,.386,.575,51.6,61.5,4.9,12.7,,.542,18.7,18.6,.181,,.420,12.5,81.3,.264
23,23,2022-12-05,@,ORL,W,109,102,106.8,99.9,102.1,.306,.471,.565,46.4,81.6,8.8,6.6,,.524,15.0,15.9,.235,,.409,10.9,71.7,.280
24,24,2022-12-07,,SAC,W,126,113,133.0,119.3,94.7,.250,.344,.591,55.6,73.9,3.2,3.8,,.552,6.2,34.7,.208,,.538,7.5,80.5,.165
25,25,2022-12-09,@,DAL,W,106,105,110.9,109.8,95.6,.264,.368,.546,54.3,71.1,5.2,8.3,,.500,13.4,29.5,.218,,.540,9.2,76.0,.114
26,26,2022-12-11,@,HOU,L,92,97,95.0,100.2,96.8,.200,.478,.470,51.5,54.5,5.2,9.4,,.433,13.3,25.0,.156,,.473,11.1,79.6,.121
27,27,2022-12-13,,GSW,W,128,111,121.8,105.6,105.1,.390,.354,.666,59.8,48.9,7.6,11.1,,.622,17.9,32.4,.317,,.505,14.8,78.2,.158
28,28,2022-12-15,@,MEM,L,101,142,99.8,140.3,101.2,.287,.532,.477,41.1,62.9,4.9,1.4,,.441,7.8,20.8,.191,,.608,5.9,66.7,.176
29,29,2022-12-17,,UTA,W,123,97,133.0,104.9,92.5,.122,.422,.648,65.1,62.5,5.4,7.7,,.633,12.9,40.5,.100,,.547,13.6,84.8,.035
30,30,2022-12-19,@,NOP,W,128,119,124.5,115.7,102.8,.383,.494,.676,50.0,57.8,7.8,11.1,,.636,15.2,22.9,.309,,.515,12.0,67.9,.172
31,31,2022-12-21,@,CLE,L,106,114,110.4,118.8,96.0,.265,.361,.572,55.4,51.3,7.3,9.4,,.548,17.0,31.7,.181,,.541,9.3,78.6,.259
32,32,2022-12-23,@,BRK,L,100,118,104.7,123.5,95.5,.262,.440,.534,50.0,45.9,7.3,1.6,,.494,16.1,28.3,.202,,.570,9.2,72.7,.129
33,33,2022-12-25,@,BOS,L,118,139,117.3,138.2,100.6,.321,.429,.615,52.7,52.4,8.0,2.2,,.577,13.5,21.1,.250,,.700,10.3,86.1,.235
34,34,2022-12-28,@,CHI,L,113,119,102.1,107.5,100.3,.291,.400,.455,54.0,43.9,6.3,8.7,,.414,10.1,32.8,.200,,.505,11.0,84.8,.283
35,35,2022-12-30,,MIN,W,123,114,116.1,107.6,105.9,.355,.419,.572,65.4,58.1,4.7,12.9,,.538,16.3,40.8,.247,,.478,7.0,87.3,.283
36,36,2023-01-01,,WAS,L,95,118,92.5,114.9,102.7,.156,.510,.463,44.9,64.7,10.7,4.5,,.422,13.5,25.0,.146,,.569,14.4,71.4,.117
37,37,2023-01-03,,WAS,W,123,113,123.0,113.0,100.0,.170,.400,.572,51.6,56.3,8.0,8.6,,.535,10.0,31.9,.160,,.474,8.5,70.8,.216
38,38,2023-01-04,@,TOR,W,104,101,92.4,89.7,102.0,.341,.443,.514,60.8,74.3,3.6,5.7,,.472,19.8,28.3,.239,,.366,6.0,81.1,.138
39,39,2023-01-06,,CHO,L,109,138,110.8,140.2,98.4,.286,.571,.576,47.9,59.5,5.1,7.4,,.560,14.5,25.0,.179,,.618,4.3,71.7,.118
40,40,2023-01-09,@,NYK,W,111,107,117.7,113.5,94.3,.202,.551,.573,50.0,69.2,3.2,8.5,,.545,12.6,28.6,.157,,.435,6.0,66.7,.200
