,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-19,H,BRK,W,127,104,48,105,.457,17,45,.378,14,18,.778,13,54,25,8,9,7,19,124.7,102.1,101.8,.171,.429,.562,55.1,52.1,7.9,17.3,.538,5.8,25.0,.133,.542,11.3,89.1,.155
1,2021-10-21,A,MIA,L,95,137,32,84,.381,12,42,.286,19,29,.655,5,38,19,6,0,15,26,89.4,128.9,106.3,.345,.500,.491,39.6,59.4,5.6,0.0,.452,13.4,9.6,.226,.609,9.1,75.0,.208
2,2021-10-23,A,SAS,W,121,111,44,83,.530,15,35,.429,18,22,.818,7,44,21,6,5,20,15,117.9,108.2,102.6,.265,.422,.653,53.7,47.7,5.8,8.3,.620,17.7,20.0,.217,.535,10.6,78.7,.051
3,2021-10-25,A,IND,W,119,109,41,85,.482,11,32,.344,26,31,.839,7,42,24,13,6,13,19,116.3,106.5,102.3,.365,.376,.603,47.2,58.5,12.7,11.1,.547,11.6,16.7,.306,.522,16.3,74.5,.167
4,2021-10-27,H,MIN,L,108,113,39,95,.411,14,51,.275,16,21,.762,13,43,22,10,3,8,18,108.9,113.9,99.2,.221,.537,.518,46.7,56.4,10.1,6.5,.484,7.1,25.0,.168,.544,14.7,75.0,.154
5,2021-10-30,H,SAS,L,93,102,36,89,.404,10,39,.256,11,16,.688,9,52,20,6,2,19,18,89.3,97.9,104.2,.180,.438,.484,51.5,55.6,5.8,3.1,.461,16.5,18.0,.124,.447,7.9,84.3,.179
6,2021-10-31,H,UTA,L,95,107,39,96,.406,12,41,.293,5,6,.833,13,44,16,7,3,9,22,104.7,117.9,90.7,.063,.427,.482,50.0,41.0,7.7,7.9,.469,8.4,26.0,.052,.547,12.1,81.6,.333
7,2021-11-02,A,DET,W,117,89,42,84,.500,17,37,.459,16,21,.762,9,52,28,7,8,15,23,117.5,89.4,99.6,.250,.440,.627,54.7,66.7,7.0,17.4,.601,13.9,23.7,.190,.366,11.6,75.4,.226
8,2021-11-05,H,NYK,L,98,113,33,82,.402,16,43,.372,16,21,.762,7,37,19,5,5,15,20,100.9,116.3,97.1,.256,.524,.537,38.5,57.6,5.1,8.9,.500,14.1,15.2,.195,.479,11.5,60.0,.219
9,2021-11-07,A,WAS,L,94,101,37,94,.394,10,36,.278,10,18,.556,16,49,17,14,3,12,10,96.1,103.2,97.9,.191,.383,.461,53.8,45.9,14.3,5.6,.447,10.5,29.6,.106,.574,18.0,89.2,.099
10,2021-11-09,A,PHI,W,118,109,44,95,.463,15,39,.385,15,21,.714,12,52,21,5,6,8,10,120.6,111.4,97.8,.221,.411,.566,53.1,47.7,5.1,10.0,.542,7.1,26.7,.158,.476,6.1,75.5,.107
11,2021-11-10,A,NYK,W,112,100,40,90,.444,26,50,.520,6,9,.667,13,50,29,4,4,14,17,122.0,108.9,91.8,.100,.556,.596,56.8,72.5,4.4,8.7,.589,13.0,29.5,.067,.530,10.0,84.1,.145
12,2021-11-12,A,BOS,L,113,122,44,98,.449,16,47,.340,9,11,.818,12,39,23,7,3,11,19,113.6,122.6,90.1,.112,.480,.549,42.4,52.3,7.0,5.5,.531,9.7,24.5,.092,.552,13.3,62.8,.167
13,2021-11-14,A,ATL,L,100,120,38,84,.452,14,41,.341,10,16,.625,4,30,24,8,3,11,17,104.7,125.6,95.6,.190,.488,.549,37.0,63.2,8.4,4.8,.536,10.8,10.0,.119,.562,10.5,63.4,.113
14,2021-11-17,H,LAL,W,109,102,40,87,.460,12,37,.324,17,24,.708,9,52,22,9,4,15,10,107.2,100.3,101.7,.276,.425,.559,52.0,55.0,8.9,7.5,.529,13.3,19.6,.195,.479,11.4,79.6,.104
15,2021-11-19,H,OKC,W,96,89,31,83,.373,12,41,.293,22,26,.846,6,53,21,9,5,12,18,97.0,90.0,98.9,.313,.494,.508,50.0,67.7,9.1,11.6,.446,11.3,12.5,.265,.418,10.7,81.0,.143
16,2021-11-20,H,ORL,W,117,108,37,82,.451,19,40,.475,24,37,.649,11,60,25,6,5,14,18,113.9,105.1,102.7,.451,.488,.595,60.6,67.6,5.8,10.6,.567,12.5,25.0,.293,.495,8.8,89.1,.112
17,2021-11-22,H,ORL,W,123,92,44,94,.468,18,45,.400,17,24,.708,13,55,28,10,7,12,22,123.8,92.6,99.4,.255,.479,.588,53.9,63.6,10.1,13.5,.564,10.3,28.9,.181,.425,12.9,73.7,.140
18,2021-11-24,H,DET,W,114,93,42,87,.483,15,36,.417,15,17,.882,10,56,23,5,6,15,18,115.1,93.9,99.0,.195,.414,.603,56.0,54.8,5.1,12.0,.569,13.7,22.2,.172,.416,7.2,83.6,.147
19,2021-11-26,A,DEN,W,120,109,46,73,.630,16,33,.485,12,20,.600,5,44,24,3,7,19,14,126.4,114.8,94.9,.274,.452,.733,58.7,52.2,3.2,15.6,.740,18.8,18.5,.164,.527,7.5,81.3,.130
20,2021-11-28,A,IND,W,118,100,46,90,.511,8,35,.229,18,22,.818,13,52,27,7,3,13,14,120.2,101.9,98.1,.244,.389,.592,53.6,58.7,7.1,6.4,.556,11.5,28.3,.200,.478,11.6,76.5,.130
21,2021-12-01,H,CHO,W,127,125,46,94,.489,14,36,.389,21,26,.808,9,45,29,10,1,13,20,118.6,116.7,107.1,.277,.383,.602,55.6,63.0,9.3,2.8,.564,11.0,21.4,.223,.615,14.3,92.3,.207
