,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-10-19,,OKC,W,115,108,39,94,.415,10,38,.263,27,33,.818,14,55,25,6,5,14,21,,38,99,.384,14,45,.311,18,22,.818,16,57,22,6,6,13,26
2,2,2022-10-21,,UTA,L,126,132,49,107,.458,11,33,.333,17,23,.739,21,60,20,5,7,20,22,,49,111,.441,20,50,.400,14,21,.667,19,54,39,11,8,13,23
3,3,2022-10-23,@,OKC,W,116,106,46,88,.523,10,34,.294,14,22,.636,12,54,24,9,3,15,17,,41,94,.436,9,41,.220,15,21,.714,11,42,24,7,4,11,15
4,4,2022-10-24,,SAS,L,106,115,38,86,.442,8,31,.258,22,24,.917,10,50,24,7,5,16,18,,48,105,.457,12,37,.324,7,13,.538,14,50,37,11,0,13,21
5,5,2022-10-26,,SAS,W,134,122,52,80,.650,20,34,.588,10,16,.625,0,30,37,9,6,16,19,,43,95,.453,16,36,.444,20,22,.909,14,41,34,6,2,16,18
6,6,2022-10-28,,LAL,W,111,102,41,99,.414,13,40,.325,16,24,.667,14,49,27,13,8,10,21,,37,89,.416,9,29,.310,19,27,.704,12,55,20,8,5,22,21
7,7,2022-10-30,@,SAS,L,98,107,40,99,.404,4,29,.138,14,20,.700,16,45,21,11,7,11,23,,36,86,.419,16,40,.400,19,25,.760,14,52,27,6,7,19,21
8,8,2022-11-01,@,PHO,L,107,116,37,87,.425,13,34,.382,20,24,.833,10,42,24,5,4,16,24,,41,89,.461,17,43,.395,17,22,.773,7,34,31,9,8,9,20
9,9,2022-11-04,,MIL,L,102,115,39,92,.424,11,41,.268,13,17,.765,10,47,22,2,4,16,25,,41,85,.482,17,38,.447,16,28,.571,7,51,29,7,2,13,22
10,10,2022-11-05,,HOU,W,129,117,49,80,.613,15,33,.455,16,20,.800,9,36,38,11,5,24,27,,40,84,.476,16,38,.421,21,31,.677,12,33,27,10,0,22,18
11,11,2022-11-07,,NYK,L,107,120,38,81,.469,11,41,.268,20,24,.833,4,39,28,7,8,17,18,,39,89,.438,19,48,.396,23,25,.920,9,43,26,13,2,16,23
12,12,2022-11-09,,PHO,L,117,129,41,78,.526,9,27,.333,26,32,.813,8,38,26,4,6,19,22,,47,97,.485,16,35,.457,19,20,.950,10,36,31,10,3,11,21
13,13,2022-11-11,@,MEM,L,103,114,37,79,.468,10,30,.333,19,22,.864,7,33,29,10,4,14,25,,44,88,.500,7,33,.212,19,27,.704,15,46,25,8,3,13,19
14,14,2022-11-13,@,CLE,W,129,124,46,82,.561,12,24,.500,25,34,.735,11,47,30,5,4,13,30,,40,89,.449,17,34,.500,27,39,.692,16,40,22,6,1,10,22
15,15,2022-11-16,@,ORL,W,126,108,46,88,.523,12,36,.333,22,28,.786,8,40,28,15,6,10,15,,42,93,.452,9,35,.257,15,17,.882,12,47,21,6,5,16,26
16,16,2022-11-19,@,PHI,W,112,109,40,85,.471,12,36,.333,20,24,.833,8,43,28,9,2,17,25,,34,71,.479,14,32,.438,27,32,.844,4,39,21,10,1,22,24
17,17,2022-11-21,,MIA,W,105,101,37,85,.435,14,47,.298,17,20,.850,6,40,30,9,6,18,25,,35,90,.389,11,38,.289,20,30,.667,12,46,26,9,5,15,20
18,18,2022-11-23,@,IND,W,115,101,47,77,.610,8,22,.364,13,17,.765,8,50,31,9,10,23,18,,37,96,.385,16,44,.364,11,16,.688,13,30,25,16,5,13,16
19,19,2022-11-25,@,CHO,L,108,110,41,96,.427,9,41,.220,17,18,.944,11,45,24,7,9,16,27,,40,89,.449,8,25,.320,22,32,.688,15,55,24,6,4,17,18
20,20,2022-11-27,,GSW,L,114,137,39,88,.443,14,35,.400,22,29,.759,6,31,22,7,2,14,19,,50,87,.575,20,47,.426,17,20,.850,8,47,36,7,6,16,26
21,21,2022-11-28,@,WAS,L,127,142,42,84,.500,7,27,.259,36,42,.857,15,45,20,4,3,18,23,,52,91,.571,15,31,.484,23,27,.852,7,34,31,12,5,7,25
22,22,2022-11-30,,MEM,W,109,101,41,89,.461,12,39,.308,15,19,.789,5,29,26,13,11,12,25,,37,87,.425,9,26,.346,18,30,.600,20,59,17,7,4,24,20
23,23,2022-12-03,,OKC,L,128,135,47,89,.528,10,30,.333,24,30,.800,12,44,25,13,10,23,23,,48,93,.516,11,26,.423,28,35,.800,13,42,26,11,5,21,18
24,24,2022-12-07,,IND,W,121,115,44,93,.473,8,23,.348,25,27,.926,16,51,25,15,2,21,21,,39,81,.481,19,42,.452,18,24,.750,4,31,22,10,4,19,17
25,25,2022-12-09,@,UTA,W,118,108,42,79,.532,14,35,.400,20,26,.769,6,44,30,7,3,17,21,,39,90,.433,13,44,.295,17,24,.708,12,40,22,9,0,11,20
26,26,2022-12-10,@,POR,L,118,124,45,83,.542,10,23,.435,18,24,.750,4,28,22,11,4,13,21,,43,83,.518,13,34,.382,25,28,.893,11,45,20,5,4,16,24
27,27,2022-12-12,@,POR,L,112,133,46,93,.495,10,27,.370,10,19,.526,7,37,25,12,2,10,19,,48,89,.539,21,46,.457,16,21,.762,11,54,32,4,4,18,21
28,28,2022-12-14,@,LAC,L,88,99,31,74,.419,4,22,.182,22,30,.733,7,43,15,9,4,17,20,,34,89,.382,14,46,.304,17,21,.810,14,52,21,8,2,14,21
29,29,2022-12-16,@,OKC,W,112,110,43,87,.494,12,25,.480,14,25,.560,11,43,23,16,6,16,18,,41,88,.466,11,37,.297,17,21,.810,9,45,29,7,4,22,21
30,30,2022-12-18,,CHI,W,150,126,57,87,.655,23,43,.535,13,16,.813,4,39,38,5,5,12,21,,46,88,.523,16,38,.421,18,24,.750,6,30,31,6,1,11,16
31,31,2022-12-19,,DAL,W,116,106,42,89,.472,12,31,.387,20,24,.833,9,44,19,5,4,10,24,,31,76,.408,19,45,.422,25,31,.806,8,42,23,5,5,15,23
32,32,2022-12-21,,DAL,L,99,104,42,85,.494,8,30,.267,7,10,.700,8,39,23,7,4,13,24,,34,75,.453,13,39,.333,23,27,.852,7,39,17,6,3,13,12
33,33,2022-12-23,@,BOS,L,109,121,44,91,.484,10,32,.313,11,15,.733,11,45,25,3,8,16,18,,44,100,.440,13,46,.283,20,26,.769,20,53,28,9,6,11,16
34,34,2022-12-26,@,MIA,L,110,113,43,79,.544,15,34,.441,9,14,.643,8,44,31,4,3,22,14,,47,102,.461,13,49,.265,6,8,.750,13,40,27,9,3,9,17
35,35,2022-12-28,@,NOP,L,118,119,42,83,.506,10,29,.345,24,32,.750,5,35,18,6,8,11,28,,39,81,.481,11,23,.478,30,43,.698,9,43,22,6,4,13,24
36,36,2022-12-30,@,MIL,L,114,123,40,92,.435,8,30,.267,26,34,.765,7,36,18,10,5,8,28,,43,93,.462,14,39,.359,23,33,.697,20,68,25,5,8,21,25
37,37,2022-12-31,,DET,L,104,116,36,83,.434,10,34,.294,22,26,.846,9,39,17,6,5,15,22,,43,89,.483,10,27,.370,20,28,.714,15,52,21,6,6,14,22
38,38,2023-01-02,,DEN,W,124,111,45,87,.517,13,36,.361,21,27,.778,11,41,29,7,4,11,22,,42,91,.462,11,29,.379,16,20,.800,18,45,27,8,1,14,21
39,39,2023-01-04,,POR,W,113,106,39,76,.513,9,24,.375,26,36,.722,8,33,25,8,6,14,30,,33,75,.440,9,29,.310,31,42,.738,12,39,18,8,7,16,30
40,40,2023-01-06,,LAC,W,128,115,46,81,.568,13,35,.371,23,29,.793,10,45,28,4,7,19,22,,44,100,.440,9,25,.360,18,27,.667,18,40,22,13,3,8,19
41,41,2023-01-08,@,HOU,W,104,96,38,80,.475,10,28,.357,18,22,.818,9,44,23,8,4,17,18,,38,89,.427,11,36,.306,9,15,.600,12,41,26,8,7,18,19
42,42,2023-01-11,@,DET,L,118,135,43,88,.489,16,33,.485,16,21,.762,13,36,22,7,2,18,22,,48,80,.600,17,32,.531,22,28,.786,7,38,30,10,7,16,20
43,43,2023-01-13,,PHO,W,121,116,47,90,.522,10,28,.357,17,20,.850,4,37,24,13,3,14,22,,41,86,.477,14,23,.609,20,24,.833,9,43,28,10,3,19,20
44,44,2023-01-14,,CLE,W,110,102,45,80,.563,9,28,.321,11,15,.733,4,31,22,10,5,13,21,,37,76,.487,8,28,.286,20,23,.870,8,40,24,5,2,18,17
45,45,2023-01-16,,UTA,L,125,126,46,101,.455,18,41,.439,15,18,.833,16,41,28,9,6,5,20,,45,84,.536,13,34,.382,23,28,.821,14,50,25,0,5,18,12
46,46,2023-01-18,@,DEN,L,118,122,42,81,.519,12,32,.375,22,28,.786,12,36,26,6,10,17,27,,45,85,.529,8,21,.381,24,32,.750,8,34,27,10,2,14,19
47,47,2023-01-19,,TOR,W,128,126,45,89,.506,17,40,.425,21,23,.913,8,37,31,12,5,15,20,,46,87,.529,14,28,.500,20,27,.741,8,38,26,8,6,16,19
48,48,2023-01-21,,HOU,W,113,104,38,83,.458,17,41,.415,20,24,.833,3,30,20,12,9,11,26,,38,79,.481,9,24,.375,19,33,.576,15,56,24,4,6,21,19
49,49,2023-01-23,@,HOU,L,114,119,41,91,.451,16,42,.381,16,22,.727,12,41,19,8,7,19,22,,44,88,.500,11,30,.367,20,30,.667,12,47,24,11,5,20,15
50,50,2023-01-25,@,NOP,W,111,102,40,82,.488,11,29,.379,20,28,.714,4,36,23,8,5,9,18,,37,85,.435,12,38,.316,16,21,.762,8,42,25,4,7,14,21
51,51,2023-01-27,,MEM,W,111,100,44,86,.512,13,35,.371,10,15,.667,9,45,31,12,6,19,19,,38,93,.409,8,33,.242,16,19,.842,15,47,22,14,2,20,12
52,52,2023-01-28,,SAC,W,117,110,42,80,.525,17,37,.459,16,21,.762,9,44,25,5,2,19,26,,37,82,.451,9,33,.273,27,36,.750,10,36,23,5,0,9,21
53,53,2023-01-30,,SAC,L,111,118,43,92,.467,12,39,.308,13,25,.520,8,49,26,7,3,18,16,,47,99,.475,9,30,.300,15,22,.682,10,50,20,15,3,12,21
54,54,2023-02-01,,GSW,W,119,114,46,106,.434,14,50,.280,13,24,.542,10,53,26,5,7,11,23,,38,91,.418,11,35,.314,27,34,.794,9,58,21,7,4,17,24
55,55,2023-02-03,,ORL,L,120,127,40,87,.460,16,44,.364,24,28,.857,12,41,21,7,7,20,27,,45,85,.529,12,23,.522,25,38,.658,13,42,23,11,3,15,24
56,56,2023-02-05,,DEN,W,128,98,48,87,.552,10,27,.370,22,30,.733,5,34,33,7,3,11,23,,34,71,.479,6,25,.240,24,31,.774,3,37,19,6,5,21,23
57,57,2023-02-07,@,DEN,L,112,146,40,85,.471,10,35,.286,22,26,.846,8,36,24,6,7,17,16,,58,93,.624,13,27,.481,17,22,.773,6,44,44,12,5,10,21
58,58,2023-02-08,@,UTA,W,143,118,56,98,.571,23,43,.535,8,8,1.000,8,47,35,6,6,10,19,,44,105,.419,12,34,.353,18,21,.857,21,50,27,2,5,8,12
59,59,2023-02-10,@,MEM,L,107,128,41,88,.466,15,37,.405,10,12,.833,7,35,25,7,4,17,20,,49,84,.583,10,25,.400,20,27,.741,9,44,27,12,6,18,19
60,60,2023-02-13,@,DAL,W,124,121,48,83,.578,9,29,.310,19,26,.731,10,39,28,8,2,12,26,,43,84,.512,13,39,.333,22,29,.759,9,33,21,5,1,9,21
61,61,2023-02-16,,WAS,L,106,114,39,95,.411,8,29,.276,20,22,.909,16,53,21,8,5,18,16,,43,95,.453,14,35,.400,14,17,.824,13,49,25,13,6,15,14
62,62,2023-02-24,,CHO,L,113,121,46,93,.495,11,33,.333,10,16,.625,7,45,25,6,11,15,20,,43,92,.467,10,28,.357,25,28,.893,11,52,25,10,4,11,17
63,63,2023-02-26,@,GSW,L,104,109,38,90,.422,17,45,.378,11,21,.524,10,43,26,11,8,16,18,,39,91,.429,15,42,.357,16,22,.727,16,56,23,11,5,16,19
64,64,2023-02-28,@,LAC,W,108,101,43,90,.478,9,26,.346,13,22,.591,10,46,22,14,8,17,20,,35,83,.422,11,28,.393,20,23,.870,9,44,24,11,3,24,17
65,65,2023-03-03,@,LAL,W,110,102,42,89,.472,14,34,.412,12,16,.750,10,46,29,10,6,13,21,,36,87,.414,10,31,.323,20,24,.833,11,41,23,8,2,15,19
66,66,2023-03-04,@,SAC,W,138,134,48,80,.600,20,39,.513,22,31,.710,6,40,31,4,6,11,21,,49,89,.551,14,27,.519,22,30,.733,11,39,25,5,1,6,21
67,67,2023-03-07,,PHI,L,94,117,34,86,.395,11,36,.306,15,21,.714,6,34,19,9,7,11,16,,40,81,.494,15,25,.600,22,23,.957,8,54,21,8,6,15,17
68,68,2023-03-10,,BRK,L,123,124,48,98,.490,9,30,.300,18,29,.621,12,47,29,10,6,14,21,,42,91,.462,16,34,.471,24,33,.727,12,48,20,7,5,14,26
69,69,2023-03-13,@,ATL,W,136,115,54,92,.587,12,28,.429,16,23,.696,5,37,39,12,10,10,22,,44,97,.454,4,22,.182,23,28,.821,18,51,17,6,4,15,19
70,70,2023-03-15,,BOS,L,102,104,37,84,.440,12,36,.333,16,22,.727,8,46,27,3,2,13,23,,34,84,.405,12,40,.300,24,30,.800,8,44,20,7,5,9,22
71,71,2023-03-17,@,CHI,L,131,139,46,100,.460,18,42,.429,21,31,.677,14,50,33,6,8,15,24,,51,94,.543,11,24,.458,26,30,.867,6,47,23,9,6,11,21
72,72,2023-03-18,@,TOR,L,107,122,39,85,.459,5,23,.217,24,28,.857,9,42,27,5,2,14,23,,48,90,.533,9,27,.333,17,21,.810,9,45,23,11,3,15,25
73,73,2023-03-20,@,NYK,W,140,134,51,83,.614,14,24,.583,24,32,.750,7,34,34,9,4,15,24,,48,85,.565,14,28,.500,24,28,.857,7,34,26,7,3,16,22
74,74,2023-03-22,,ATL,W,125,124,45,92,.489,11,26,.423,24,29,.828,11,42,27,7,3,11,20,,45,85,.529,12,26,.462,22,25,.880,9,41,28,6,6,16,25
75,75,2023-03-26,@,GSW,W,99,96,34,80,.425,17,40,.425,14,25,.560,9,49,25,10,2,17,20,,34,82,.415,15,40,.375,13,17,.765,6,37,25,9,2,16,19
76,76,2023-03-27,@,SAC,W,119,115,44,86,.512,9,24,.375,22,34,.647,11,40,33,6,3,6,27,,39,84,.464,5,27,.185,32,40,.800,12,42,16,4,4,10,23
77,77,2023-03-29,@,PHO,L,100,107,40,90,.444,12,35,.343,8,12,.667,16,54,24,4,4,21,24,,40,96,.417,6,20,.300,21,27,.778,15,48,23,11,8,8,16
78,78,2023-03-31,,LAL,L,111,123,41,95,.432,13,39,.333,16,19,.842,12,39,25,10,4,16,22,,45,90,.500,9,22,.409,24,30,.800,15,53,28,10,5,16,17
79,79,2023-04-02,,POR,L,105,107,38,79,.481,11,26,.423,18,23,.783,7,47,29,3,5,18,17,,43,93,.462,9,30,.300,12,20,.600,11,42,29,12,3,10,26
80,80,2023-04-04,@,BRK,W,107,102,41,85,.482,8,24,.333,17,22,.773,7,44,21,7,6,8,13,,39,90,.433,13,35,.371,11,14,.786,7,40,21,6,8,9,18
81,81,2023-04-08,@,SAS,W,151,131,56,101,.554,24,43,.558,15,21,.714,11,45,42,8,8,7,18,,50,95,.526,13,29,.448,18,24,.750,10,45,34,5,4,13,16
82,82,2023-04-09,,NOP,W,113,108,39,82,.476,13,36,.361,22,31,.710,8,42,25,7,8,17,22,,40,90,.444,3,21,.143,25,29,.862,11,49,18,13,3,15,24
