,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2022-10-19,,OKC,W,115,108,110.2,103.5,104.3,.351,.404,.530,49.1,64.1,5.7,9.3,,.468,11.4,25.5,.287,,.455,10.7,71.9,.182
2,2,2022-10-21,,UTA,L,126,132,112.7,118.1,101.3,.215,.308,.538,52.6,40.8,4.5,11.5,,.509,14.6,37.5,.159,,.532,9.8,67.2,.126
3,3,2022-10-23,@,OKC,W,116,106,115.5,105.5,100.4,.250,.386,.594,56.3,52.2,9.0,5.7,,.580,13.3,27.9,.159,,.484,9.6,79.2,.160
4,4,2022-10-24,,SAS,L,106,115,102.0,110.7,103.9,.279,.360,.549,50.0,63.2,6.7,7.4,,.488,14.2,21.7,.256,,.514,10.5,74.1,.067
5,5,2022-10-26,,SAS,W,134,122,131.1,119.3,102.2,.200,.425,.770,42.3,71.2,8.8,10.2,,.775,15.5,0.0,.125,,.537,13.3,68.2,.211
6,6,2022-10-28,,LAL,W,111,102,105.2,96.7,105.5,.242,.404,.507,47.1,65.9,12.3,13.3,,.480,8.4,24.6,.162,,.466,17.9,74.5,.213
7,7,2022-10-30,@,SAS,L,98,107,99.6,108.7,98.4,.202,.293,.455,46.4,52.5,11.2,15.2,,.424,9.3,29.6,.141,,.512,16.4,67.4,.221
8,8,2022-11-01,@,PHO,L,107,116,109.3,118.5,97.9,.276,.391,.548,55.3,64.9,5.1,8.7,,.500,14.1,27.0,.230,,.556,8.4,82.1,.191
9,9,2022-11-04,,MIL,L,102,115,99.0,111.6,103.0,.185,.446,.513,48.0,56.4,1.9,8.5,,.484,13.9,18.5,.141,,.582,11.8,84.1,.188
10,10,2022-11-05,,HOU,W,129,117,125.3,113.6,103.0,.250,.413,.726,52.2,77.6,10.7,10.9,,.706,21.3,30.0,.200,,.571,18.4,69.2,.250
11,11,2022-11-07,,NYK,L,107,120,103.5,116.0,103.4,.296,.506,.584,47.6,73.7,6.8,19.5,,.537,15.7,10.5,.247,,.545,13.8,79.5,.258
12,12,2022-11-09,,PHO,L,117,129,115.2,127.0,101.6,.410,.346,.635,51.4,63.4,3.9,9.7,,.583,17.1,23.5,.333,,.567,9.4,75.0,.196
13,13,2022-11-11,@,MEM,L,103,114,109.5,121.2,94.0,.278,.380,.581,41.8,78.4,10.6,7.3,,.532,13.6,18.4,.241,,.540,11.5,63.4,.216
14,14,2022-11-13,@,CLE,W,129,124,132.3,127.2,97.5,.415,.293,.665,54.0,65.2,5.1,7.3,,.634,11.8,31.4,.305,,.545,8.6,69.2,.303
15,15,2022-11-16,@,ORL,W,126,108,124.9,107.1,100.9,.318,.409,.628,46.0,60.9,14.9,10.3,,.591,9.1,18.6,.250,,.500,13.7,72.7,.161
16,16,2022-11-19,@,PHI,W,112,109,109.6,106.7,102.2,.282,.424,.586,52.4,70.0,8.8,5.1,,.541,15.1,18.6,.235,,.577,20.5,89.7,.380
17,17,2022-11-21,,MIA,W,105,101,102.5,98.6,102.5,.235,.553,.560,46.5,81.1,8.8,11.5,,.518,16.1,15.0,.200,,.450,12.7,73.9,.222
18,18,2022-11-23,@,IND,W,115,101,116.7,102.5,98.5,.221,.286,.681,62.5,66.0,9.1,19.2,,.662,21.4,32.0,.169,,.469,11.2,76.4,.115
19,19,2022-11-25,@,CHO,L,108,110,103.2,105.1,104.6,.188,.427,.520,45.0,58.5,6.7,14.1,,.474,13.3,21.6,.177,,.494,14.2,69.4,.247
20,20,2022-11-27,,GSW,L,114,137,109.6,131.7,104.0,.330,.398,.566,39.7,56.4,6.7,5.0,,.523,12.2,13.3,.250,,.690,14.3,75.8,.195
