,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,H,HOU,W,124,106,42,87,0.483,16,38,0.421,24,31,0.774,13,46,26,18,12,18,22,118.3,101.1,104.8,0.356,0.437,0.616,52.9,61.9,17.2,21.8,0.575,15.2,31.0,0.276,0.517,19.7,73.3,0.17
1,2021-10-23,H,NOP,W,96,89,39,96,0.406,12,38,0.316,6,10,0.6,13,47,22,13,8,19,25,93.0,86.2,103.3,0.104,0.396,0.478,43.5,56.4,12.6,16.3,0.469,15.9,24.5,0.063,0.399,22.0,61.8,0.202
2,2021-10-25,H,NOP,L,98,107,31,90,0.344,15,50,0.3,21,27,0.778,11,41,20,10,7,11,19,100.3,109.5,97.7,0.3,0.556,0.481,40.6,64.5,10.2,12.3,0.428,9.7,19.6,0.233,0.506,14.9,66.7,0.218
3,2021-10-27,A,MIL,W,113,108,43,91,0.473,13,45,0.289,14,17,0.824,10,49,29,5,4,17,20,113.9,108.9,99.2,0.187,0.495,0.574,53.3,67.4,5.0,9.1,0.544,14.7,25.0,0.154,0.484,7.1,75.0,0.168
4,2021-10-30,H,DEN,L,91,93,35,89,0.393,13,41,0.317,8,9,0.889,15,46,21,8,6,20,23,95.8,97.9,95.0,0.101,0.461,0.489,48.9,60.0,8.4,11.8,0.466,17.7,30.6,0.09,0.46,15.9,68.9,0.136
5,2021-11-01,H,ORL,L,97,115,36,97,0.371,14,51,0.275,11,19,0.579,16,47,21,8,1,12,20,99.9,118.4,97.1,0.196,0.526,0.46,48.0,58.3,8.2,2.6,0.443,10.2,29.1,0.113,0.555,14.4,72.1,0.293
6,2021-11-03,H,LAC,L,115,126,43,94,0.457,14,40,0.35,15,16,0.938,15,39,27,11,2,16,16,116.1,127.2,99.0,0.17,0.426,0.569,52.7,62.8,11.1,4.8,0.532,13.7,31.9,0.16,0.737,19.4,88.9,0.141
7,2021-11-05,H,LAC,L,84,104,31,89,0.348,17,52,0.327,5,7,0.714,7,42,17,8,7,21,33,81.6,101.0,102.9,0.079,0.584,0.456,40.4,54.8,7.8,11.7,0.444,18.6,13.0,0.056,0.443,14.3,70.0,0.295
8,2021-11-08,A,MEM,L,118,125,41,97,0.423,17,45,0.378,19,23,0.826,15,45,23,7,8,13,27,117.7,124.6,90.8,0.237,0.464,0.551,46.9,56.1,7.0,12.5,0.51,10.8,29.4,0.196,0.56,11.2,66.7,0.239
9,2021-11-10,A,GSW,L,110,123,39,95,0.411,17,44,0.386,15,20,0.75,17,40,30,8,4,17,28,113.3,126.7,97.1,0.211,0.463,0.53,43.0,76.9,8.2,8.9,0.5,14.1,34.0,0.158,0.535,13.5,53.5,0.376
