,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-10-19,@,BRK,W,130,108,50,102,.490,12,26,.462,18,25,.720,21,61,31,9,4,12,21,,40,89,.449,10,33,.303,18,24,.750,9,39,22,10,10,16,25
2,2,2022-10-21,@,CHO,W,124,112,42,89,.472,8,22,.364,32,37,.865,15,53,23,9,7,15,14,,44,97,.454,13,34,.382,11,14,.786,11,37,30,9,4,13,24
3,3,2022-10-23,,UTA,L,121,122,48,102,.471,8,27,.296,17,22,.773,14,45,30,8,6,17,22,,43,98,.439,13,38,.342,23,28,.821,15,44,29,13,6,16,20
4,4,2022-10-25,,DAL,W,113,111,44,76,.579,12,27,.444,13,18,.722,4,26,25,7,3,14,21,,41,82,.500,12,39,.308,17,24,.708,11,37,18,8,5,11,16
5,5,2022-10-28,@,PHO,L,111,124,38,86,.442,15,37,.405,20,22,.909,9,33,25,10,1,13,21,,48,92,.522,10,33,.303,18,20,.900,14,47,33,7,7,12,18
6,6,2022-10-30,@,LAC,W,112,91,46,93,.495,15,36,.417,5,8,.625,12,50,32,9,1,10,15,,36,86,.419,11,39,.282,8,13,.615,8,39,24,3,6,14,15
7,7,2022-11-02,@,LAL,L,117,120,47,102,.461,8,25,.320,15,21,.714,11,51,35,10,5,13,20,,45,98,.459,10,36,.278,20,23,.870,11,56,30,6,8,17,17
8,8,2022-11-04,,GSW,W,114,105,41,81,.506,12,29,.414,20,29,.690,9,37,24,10,2,15,21,,35,71,.493,12,32,.375,23,25,.920,3,29,23,7,1,22,25
9,9,2022-11-05,@,ATL,L,121,124,47,108,.435,7,23,.304,20,28,.714,19,59,23,8,6,16,24,,47,103,.456,9,36,.250,21,25,.840,12,50,28,12,8,13,23
10,10,2022-11-07,@,IND,L,122,129,48,97,.495,14,34,.412,12,17,.706,13,43,32,7,4,10,20,,43,86,.500,22,48,.458,21,23,.913,10,45,33,6,8,17,19
11,11,2022-11-09,@,CHI,W,115,111,42,84,.500,3,19,.158,28,36,.778,13,50,20,8,5,16,18,,44,87,.506,7,27,.259,16,18,.889,6,35,23,5,8,15,23
12,12,2022-11-10,,POR,L,95,106,33,79,.418,10,28,.357,19,24,.792,9,45,19,3,5,17,21,,37,85,.435,12,34,.353,20,26,.769,11,46,25,8,2,8,14
13,13,2022-11-12,,HOU,W,119,106,42,86,.488,8,29,.276,27,31,.871,12,36,28,13,1,12,23,,40,79,.506,12,36,.333,14,18,.778,10,43,24,7,4,26,23
14,14,2022-11-15,,MEM,W,113,102,43,91,.473,18,38,.474,9,12,.750,7,43,31,2,8,10,20,,38,92,.413,9,35,.257,17,25,.680,14,51,16,6,8,11,17
15,15,2022-11-16,,CHI,W,124,110,43,85,.506,17,33,.515,21,24,.875,12,46,30,4,6,13,18,,44,89,.494,11,32,.344,11,17,.647,7,37,25,2,1,12,18
16,16,2022-11-18,,BOS,L,109,117,43,87,.494,13,35,.371,10,13,.769,7,37,24,13,3,11,18,,41,85,.482,20,46,.435,15,17,.882,11,46,28,6,3,17,13
17,17,2022-11-21,,GSW,W,128,83,49,91,.538,15,42,.357,15,21,.714,11,50,30,15,5,14,16,,28,74,.378,10,43,.233,17,19,.895,4,34,17,9,5,26,20
18,18,2022-11-23,@,SAS,W,129,110,47,82,.573,14,33,.424,21,30,.700,8,42,33,8,5,21,22,,41,85,.482,10,34,.294,18,28,.643,8,37,31,11,1,18,23
19,19,2022-11-25,@,MEM,L,111,132,37,86,.430,10,31,.323,27,31,.871,11,41,26,9,4,13,22,,47,91,.516,18,38,.474,20,27,.741,13,46,26,4,4,14,20
20,20,2022-11-28,,OKC,W,105,101,39,87,.448,9,32,.281,18,20,.900,14,49,21,12,8,22,18,,34,92,.370,12,38,.316,21,23,.913,18,47,16,11,4,19,22
21,21,2022-11-30,,TOR,W,126,108,45,86,.523,14,33,.424,22,26,.846,12,52,28,10,4,20,16,,42,88,.477,11,38,.289,13,19,.684,3,30,29,12,7,16,21
22,22,2022-12-02,@,SAS,W,117,99,40,92,.435,12,42,.286,25,26,.962,10,53,25,9,5,9,18,,38,98,.388,11,39,.282,12,16,.750,10,49,26,4,4,12,23
23,23,2022-12-04,,DEN,W,121,106,41,81,.506,11,26,.423,28,36,.778,6,36,29,10,5,10,22,,41,81,.506,8,31,.258,16,24,.667,9,43,24,5,5,19,22
24,24,2022-12-07,,DET,W,104,98,39,85,.459,8,27,.296,18,23,.783,10,50,21,8,9,18,21,,35,90,.389,15,42,.357,13,16,.813,8,42,17,5,1,12,23
25,25,2022-12-09,,PHO,W,128,117,46,90,.511,8,27,.296,28,35,.800,13,44,27,10,1,11,15,,43,86,.500,22,44,.500,9,13,.692,8,37,30,6,3,16,25
26,26,2022-12-11,,PHO,W,129,124,50,86,.581,8,25,.320,21,28,.750,7,43,31,10,3,15,26,,49,105,.467,13,38,.342,13,17,.765,19,42,34,7,5,14,24
27,27,2022-12-13,@,UTA,L,100,121,37,93,.398,4,27,.148,22,33,.667,15,43,25,12,3,17,17,,49,103,.476,15,47,.319,8,12,.667,19,59,31,4,10,19,23
28,28,2022-12-15,@,UTA,L,129,132,47,99,.475,12,30,.400,23,28,.821,19,49,24,8,6,16,30,,42,92,.457,18,47,.383,30,37,.811,11,44,24,8,6,16,25
29,29,2022-12-17,@,PHO,L,114,118,45,77,.584,14,30,.467,10,13,.769,4,36,27,2,5,16,27,,39,83,.470,15,41,.366,25,35,.714,10,35,23,6,3,8,13
30,30,2022-12-19,,MIL,L,119,128,42,99,.424,18,45,.400,17,24,.708,17,44,30,9,0,15,20,,45,81,.556,13,40,.325,25,31,.806,8,44,26,8,6,17,21
31,31,2022-12-22,,SAS,W,126,117,44,91,.484,13,34,.382,25,27,.926,16,46,25,10,6,17,24,,43,90,.478,9,28,.321,22,27,.815,14,44,23,8,2,17,24
32,32,2022-12-23,@,OKC,W,128,125,41,94,.436,13,37,.351,33,40,.825,13,55,30,10,4,21,21,,47,102,.461,13,35,.371,18,25,.720,10,47,27,9,5,18,26
33,33,2022-12-26,,IND,W,113,93,41,90,.456,12,40,.300,19,24,.792,16,54,30,10,6,14,19,,35,83,.422,9,35,.257,14,20,.700,6,36,23,9,5,13,18
34,34,2022-12-28,,MIN,W,119,118,39,81,.481,11,23,.478,30,43,.698,9,43,22,6,4,13,24,,42,83,.506,10,29,.345,24,32,.750,5,35,18,6,8,11,28
35,35,2022-12-30,,PHI,W,127,116,43,80,.538,15,31,.484,26,36,.722,7,36,19,14,3,12,20,,42,75,.560,14,34,.412,18,22,.818,3,29,28,5,7,18,22
36,36,2022-12-31,@,MEM,L,101,116,32,91,.352,8,30,.267,29,36,.806,15,46,16,6,4,19,21,,47,92,.511,5,29,.172,17,22,.773,13,52,26,14,11,17,27
37,37,2023-01-02,@,PHI,L,111,120,42,84,.500,11,29,.379,16,20,.800,10,49,26,3,6,17,22,,41,86,.477,15,35,.429,23,28,.821,7,35,26,9,6,9,22
38,38,2023-01-04,,HOU,W,119,108,41,89,.461,14,38,.368,23,26,.885,15,51,25,6,6,14,19,,39,88,.443,12,38,.316,18,27,.667,12,43,25,10,4,13,22
39,39,2023-01-06,,BRK,L,102,108,35,88,.398,12,29,.414,20,25,.800,14,51,16,7,4,15,20,,37,85,.435,15,33,.455,19,20,.950,10,43,26,8,12,12,23
40,40,2023-01-07,@,DAL,L,117,127,45,94,.479,5,29,.172,22,35,.629,15,44,26,14,4,12,25,,42,74,.568,13,29,.448,30,38,.789,5,39,23,5,7,17,24
41,41,2023-01-09,@,WAS,W,132,112,49,93,.527,10,26,.385,24,31,.774,12,44,24,9,5,9,21,,42,82,.512,14,34,.412,14,18,.778,7,37,26,5,1,20,25
42,42,2023-01-11,@,BOS,L,114,125,45,87,.517,11,30,.367,13,17,.765,4,33,22,5,4,9,17,,44,91,.484,15,44,.341,22,25,.880,11,50,24,7,5,9,16
43,43,2023-01-13,@,DET,W,116,110,42,86,.488,11,31,.355,21,30,.700,8,48,29,7,3,16,21,,43,90,.478,7,30,.233,17,24,.708,7,42,20,7,3,13,23
