,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2021-10-20,,PHI,L,97,117,98.6,119.0,98.3,.097,.323,.500,48.4,71.8,5.1,10.0,,.489,11.8,19.6,.065,,.594,11.3,85.0,.188
2,2,2021-10-22,@,CHI,L,112,128,111.3,127.2,100.7,.184,.333,.595,47.7,61.9,7.0,8.2,,.569,14.5,20.5,.149,,.607,12.3,75.0,.225
3,3,2021-10-23,@,MIN,L,89,96,86.2,93.0,103.3,.258,.449,.449,56.5,48.4,9.7,8.6,,.399,22.0,38.2,.202,,.469,15.9,75.5,.063
4,4,2021-10-25,@,MIN,W,107,98,109.5,100.3,97.7,.264,.345,.551,59.4,48.7,5.1,12.5,,.506,14.9,33.3,.218,,.428,9.7,80.4,.233
5,5,2021-10-27,,ATL,L,99,102,107.0,110.2,92.5,.097,.387,.511,44.4,60.0,5.4,9.1,,.489,8.5,20.9,.086,,.458,9.6,62.5,.146
6,6,2021-10-29,,SAC,L,109,113,106.6,110.5,102.3,.255,.347,.500,52.1,42.9,8.8,11.3,,.474,8.4,23.6,.163,,.556,13.3,92.3,.300
7,7,2021-10-30,,NYK,L,117,123,119.9,126.0,97.6,.261,.359,.570,53.8,71.4,7.2,6.3,,.516,9.7,27.3,.239,,.636,11.5,86.1,.247
8,8,2021-11-02,@,PHO,L,100,112,101.2,113.3,98.8,.176,.429,.510,50.6,58.3,17.2,10.7,,.467,14.8,28.6,.165,,.579,17.4,80.6,.207
9,9,2021-11-03,@,SAC,L,99,112,104.2,117.9,95.0,.174,.395,.535,51.9,64.9,1.1,6.0,,.500,14.7,19.5,.151,,.588,8.2,88.9,.225
