,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,H,PHI,L,97,117,39,93,.419,13,30,.433,6,9,.667,10,44,28,5,6,13,16,98.6,119.0,98.3,.097,.323,.500,48.4,71.8,5.1,10.0,.489,11.8,19.6,.065,.594,11.3,85.0,.188
1,2021-10-22,A,CHI,L,112,128,42,87,.483,15,29,.517,13,16,.813,9,42,26,7,5,16,20,111.3,127.2,100.7,.184,.333,.595,47.7,61.9,7.0,8.2,.569,14.5,20.5,.149,.607,12.3,75.0,.225
2,2021-10-23,A,MIN,L,89,96,31,89,.348,9,40,.225,18,23,.783,21,61,15,10,5,28,22,86.2,93.0,103.3,.258,.449,.449,56.5,48.4,9.7,8.6,.399,22.0,38.2,.202,.469,15.9,75.5,.063
3,2021-10-25,A,MIN,W,107,98,39,87,.448,10,30,.333,19,23,.826,15,60,19,5,5,17,20,109.5,100.3,97.7,.264,.345,.551,59.4,48.7,5.1,12.5,.506,14.9,33.3,.218,.428,9.7,80.4,.233
4,2021-10-27,H,ATL,L,99,102,40,93,.430,11,36,.306,8,9,.889,9,44,24,5,6,9,19,107.0,110.2,92.5,.097,.387,.511,44.4,60.0,5.4,9.1,.489,8.5,20.9,.086,.458,9.6,62.5,.146
5,2021-10-29,H,SAC,L,109,113,42,98,.429,9,34,.265,16,25,.640,13,49,18,9,6,10,22,106.6,110.5,102.3,.255,.347,.500,52.1,42.9,8.8,11.3,.474,8.4,23.6,.163,.556,13.3,92.3,.300
6,2021-10-30,H,NYK,L,117,123,42,92,.457,11,33,.333,22,24,.917,12,43,30,7,3,11,24,119.9,126.0,97.6,.261,.359,.570,53.8,71.4,7.2,6.3,.516,9.7,27.3,.239,.636,11.5,86.1,.247
7,2021-11-02,A,PHO,L,100,112,36,91,.396,13,39,.333,15,16,.938,14,43,21,17,6,17,16,101.2,113.3,98.8,.176,.429,.510,50.6,58.3,17.2,10.7,.467,14.8,28.6,.165,.579,17.4,80.6,.207
8,2021-11-03,A,SAC,L,99,112,37,86,.430,12,34,.353,13,15,.867,8,40,24,1,3,16,16,104.2,117.9,95.0,.174,.395,.535,51.9,64.9,1.1,6.0,.500,14.7,19.5,.151,.588,8.2,88.9,.225
9,2021-11-05,A,GSW,L,85,126,31,88,.352,11,44,.250,12,16,.750,11,42,23,6,3,17,18,87.1,129.1,97.6,.182,.500,.447,46.2,74.2,6.1,7.3,.415,15.2,21.6,.136,.626,10.2,77.5,.132
10,2021-11-08,A,DAL,L,92,108,37,87,.425,9,34,.265,9,11,.818,9,39,27,7,0,13,16,99.1,116.3,92.9,.126,.391,.501,45.9,73.0,7.5,0.0,.477,12.4,19.6,.103,.588,11.7,76.9,.094
11,2021-11-10,H,OKC,L,100,108,34,97,.351,9,35,.257,23,32,.719,19,50,24,13,5,9,20,100.3,108.4,99.7,.330,.361,.450,47.2,70.6,13.0,9.4,.397,7.5,30.6,.237,.483,15.2,70.5,.276
12,2021-11-12,H,BRK,L,112,120,43,88,.489,13,32,.406,13,16,.813,12,43,26,6,5,15,26,117.1,125.5,95.7,.182,.364,.589,55.8,60.5,6.3,10.4,.563,13.6,30.8,.148,.610,11.3,81.6,.244
13,2021-11-13,H,MEM,W,112,101,38,79,.481,14,29,.483,22,25,.880,8,37,29,5,6,13,22,124.1,111.9,90.3,.316,.367,.622,48.7,76.3,5.5,9.4,.570,12.6,23.5,.278,.477,8.5,69.0,.193
14,2021-11-15,A,WAS,L,100,105,30,74,.405,11,21,.524,29,34,.853,7,45,20,2,3,12,25,108.5,113.9,92.2,.459,.284,.562,51.7,66.7,2.2,5.4,.480,11.9,16.3,.392,.524,5.0,86.4,.202
15,2021-11-17,A,MIA,L,98,113,33,75,.440,10,35,.286,22,28,.786,10,38,18,6,3,16,21,107.8,124.3,90.9,.373,.467,.561,49.4,54.5,6.6,6.4,.507,15.5,25.6,.293,.569,9.6,73.7,.161
16,2021-11-19,H,LAC,W,94,81,38,87,.437,13,30,.433,5,8,.625,12,55,19,9,1,13,12,102.5,88.3,91.7,.092,.345,.519,56.1,50.0,9.8,1.9,.511,12.6,25.5,.057,.428,10.7,84.3,.044
17,2021-11-20,A,IND,L,94,111,35,88,.398,6,18,.333,18,19,.947,11,52,17,7,5,16,14,94.7,111.8,99.3,.216,.205,.488,53.1,48.6,7.1,9.4,.432,14.2,22.4,.205,.538,9.2,83.7,.143
18,2021-11-22,H,MIN,L,96,110,37,88,.420,6,32,.188,16,18,.889,15,48,24,6,6,21,23,98.8,113.2,97.2,.205,.364,.500,49.5,64.9,6.2,10.7,.455,18.0,34.9,.182,.450,8.9,61.1,.200
19,2021-11-24,H,WAS,W,127,102,44,96,.458,12,29,.414,27,32,.844,12,52,33,13,2,10,26,121.9,97.9,104.2,.333,.302,.577,53.6,75.0,12.5,3.8,.521,8.3,27.3,.281,.470,16.0,75.5,.274
20,2021-11-26,A,UTA,W,98,97,38,89,.427,11,27,.407,11,13,.846,6,39,27,8,4,13,21,101.5,100.5,96.6,.146,.303,.517,47.6,71.1,8.3,8.5,.489,12.1,15.0,.124,.531,16.2,78.6,.150
21,2021-11-27,A,UTA,L,105,127,40,93,.430,8,35,.229,17,21,.810,14,45,27,8,3,13,20,106.2,128.4,98.9,.226,.376,.513,52.3,67.5,8.1,6.7,.473,11.3,29.2,.183,.688,16.7,81.6,.213
22,2021-11-29,A,LAC,W,123,104,48,94,.511,14,35,.400,13,16,.813,14,47,30,11,1,7,21,134.1,113.4,91.7,.170,.372,.609,57.3,62.5,12.0,2.8,.585,6.5,31.1,.138,.611,15.6,89.2,.222
23,2021-12-01,H,DAL,L,107,139,40,89,.449,13,37,.351,14,16,.875,16,32,22,10,1,13,12,117.2,152.3,91.3,.180,.416,.557,48.5,55.0,11.0,2.0,.522,11.9,39.0,.157,.795,17.1,64.0,.084
24,2021-12-03,A,DAL,W,107,91,37,90,.411,12,30,.400,21,28,.750,13,55,30,5,5,10,26,109.5,93.1,97.8,.311,.333,.523,56.7,81.1,5.1,11.1,.478,8.9,26.0,.233,.468,14.2,89.4,.215
25,2021-12-05,A,HOU,L,108,118,40,94,.426,10,38,.263,18,25,.720,22,50,19,9,9,7,26,120.9,132.1,89.3,.266,.404,.514,55.6,47.5,10.1,23.1,.479,6.3,43.1,.191,.601,13.2,71.8,.291
26,2021-12-08,H,DEN,L,114,120,47,90,.522,11,30,.367,9,12,.750,10,46,32,8,5,22,22,109.2,114.9,94.6,.133,.333,.598,58.2,68.1,7.7,8.9,.583,18.8,26.3,.100,.563,9.9,87.8,.239
27,2021-12-10,H,DET,W,109,93,41,95,.432,13,37,.351,14,16,.875,15,60,29,6,4,14,16,111.5,95.2,97.7,.168,.389,.534,61.2,70.7,6.1,7.5,.500,12.1,32.6,.147,.456,11.2,86.5,.122
28,2021-12-12,A,SAS,L,97,112,40,94,.426,8,29,.276,9,15,.600,11,42,24,8,4,14,17,98.2,113.4,98.7,.160,.309,.482,43.3,60.0,8.1,6.1,.468,12.2,21.6,.096,.533,11.5,67.4,.165
29,2021-12-15,A,OKC,W,113,110,39,80,.488,11,28,.393,24,36,.667,10,49,23,6,3,11,19,116.4,113.3,97.1,.450,.350,.590,53.8,59.0,6.2,5.2,.556,10.3,22.7,.300,.489,7.3,83.0,.204
30,2021-12-17,H,MIL,W,116,112,42,89,.472,13,37,.351,19,30,.633,13,57,34,10,3,20,13,108.4,104.7,96.9,.337,.416,.568,56.4,81.0,9.3,5.3,.545,16.4,28.9,.213,.500,10.7,78.6,.077
31,2021-12-21,H,POR,W,111,97,42,80,.525,12,33,.364,15,18,.833,8,44,27,5,3,15,19,123.2,107.7,90.1,.225,.413,.631,58.7,64.3,5.6,6.8,.600,14.6,25.0,.188,.532,10.4,83.7,.179
32,2021-12-23,A,ORL,W,110,104,37,86,.430,13,30,.433,23,26,.885,12,46,21,4,2,10,13,118.9,112.5,92.5,.302,.349,.564,51.1,56.8,4.3,3.6,.506,9.3,26.1,.267,.483,7.6,77.3,.216
33,2021-12-26,A,OKC,L,112,117,39,94,.415,10,41,.244,24,28,.857,11,49,26,10,4,10,19,109.0,113.9,102.7,.298,.436,.527,51.0,66.7,9.7,8.0,.468,8.6,21.6,.255,.552,10.7,84.4,.256
34,2021-12-28,H,CLE,W,108,104,36,80,.450,16,36,.444,20,26,.769,8,44,24,3,8,12,16,118.3,113.9,91.3,.325,.450,.591,51.2,66.7,3.3,17.0,.550,11.6,20.5,.250,.500,6.8,76.6,.182
35,2022-01-01,A,MIL,L,113,136,39,95,.411,16,51,.314,19,30,.633,14,50,28,10,5,15,16,105.1,126.4,107.6,.316,.537,.522,51.0,71.8,9.3,11.4,.495,12.2,24.1,.200,.658,11.5,90.0,.163
36,2022-01-03,H,UTA,L,104,115,39,97,.402,12,46,.261,14,22,.636,17,47,21,7,5,10,21,110.2,121.9,94.4,.227,.474,.487,52.2,53.8,7.4,10.9,.464,8.6,34.0,.144,.594,13.1,75.0,.165
37,2022-01-04,H,PHO,L,110,123,36,89,.404,10,33,.303,28,32,.875,15,48,28,7,3,12,21,112.8,126.2,97.5,.360,.371,.534,53.3,77.8,7.2,5.6,.461,10.4,28.8,.315,.641,9.6,86.8,.165
38,2022-01-06,H,GSW,W,101,96,35,83,.422,8,34,.235,23,29,.793,8,46,20,7,5,17,18,100.5,95.6,100.5,.349,.410,.527,51.7,57.1,7.0,9.3,.470,15.1,18.6,.277,.466,12.9,82.6,.172
39,2022-01-09,A,TOR,L,101,105,34,75,.453,12,33,.364,21,25,.840,7,35,20,5,5,13,18,114.4,118.9,88.3,.333,.440,.587,43.2,58.8,5.7,9.8,.533,13.1,18.4,.280,.506,11.3,65.1,.224
40,2022-01-11,H,MIN,W,128,125,42,76,.553,16,33,.485,28,37,.757,9,38,33,6,1,20,26,127.5,124.5,100.4,.487,.434,.694,54.3,78.6,6.0,2.1,.658,17.8,28.1,.368,.593,11.5,76.3,.267
41,2022-01-13,H,LAC,W,113,89,43,97,.443,14,39,.359,13,16,.813,13,57,23,8,4,6,18,116.5,91.7,97.0,.165,.402,.543,55.3,53.5,8.2,8.5,.515,5.5,24.1,.134,.444,14.3,89.8,.210
