,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-10-19,@,MEM,L,112,115,44,109,.404,9,37,.243,15,18,.833,18,54,28,7,5,12,26,,42,108,.389,17,50,.340,14,23,.609,20,64,27,6,7,13,17
2,2,2022-10-21,,DET,W,130,106,50,95,.526,16,38,.421,14,22,.636,11,50,29,4,6,12,26,,39,90,.433,9,36,.250,19,32,.594,13,49,26,6,2,15,21
3,3,2022-10-24,,ORL,W,115,102,43,93,.462,11,37,.297,18,25,.720,18,50,24,7,3,13,24,,36,86,.419,7,35,.200,23,27,.852,13,41,14,6,4,12,23
4,4,2022-10-26,,CHO,W,134,131,52,97,.536,11,30,.367,19,22,.864,12,46,26,5,11,16,24,,49,99,.495,13,31,.419,20,30,.667,9,42,31,9,5,15,24
5,5,2022-10-28,@,MIL,L,108,119,37,93,.398,12,35,.343,22,32,.688,13,54,19,6,5,12,19,,42,109,.385,13,45,.289,22,27,.815,19,60,23,8,8,6,23
6,6,2022-10-30,@,CLE,L,108,121,45,92,.489,10,27,.370,8,16,.500,12,45,26,9,2,14,25,,41,89,.461,23,50,.460,16,19,.842,10,43,33,3,5,14,22
7,7,2022-11-02,,ATL,L,99,112,37,90,.411,10,36,.278,15,20,.750,12,52,23,3,9,16,19,,44,107,.411,12,34,.353,12,16,.750,17,51,28,11,4,7,18
8,8,2022-11-04,@,PHI,W,106,104,37,80,.463,9,33,.273,23,27,.852,10,50,24,5,8,21,21,,37,98,.378,13,47,.277,17,21,.810,13,44,27,12,8,15,25
9,9,2022-11-05,,BOS,L,118,133,46,90,.511,11,27,.407,15,16,.938,12,44,22,6,4,13,14,,47,88,.534,27,51,.529,12,12,1.000,8,34,30,5,2,12,17
10,10,2022-11-07,@,MIN,W,120,107,39,89,.438,19,48,.396,23,25,.920,9,43,26,13,2,16,23,,38,81,.469,11,41,.268,20,24,.833,4,39,28,7,8,17,18
11,11,2022-11-09,@,BRK,L,85,112,28,87,.322,12,43,.279,17,26,.654,11,46,21,5,4,15,18,,42,87,.483,14,34,.412,14,20,.700,11,55,30,11,5,14,22
12,12,2022-11-11,,DET,W,121,112,42,94,.447,10,40,.250,27,29,.931,16,47,23,7,3,11,31,,37,80,.463,7,31,.226,31,41,.756,12,43,22,6,6,15,23
13,13,2022-11-13,,OKC,L,135,145,48,97,.495,10,31,.323,29,33,.879,13,35,25,13,2,13,18,,55,88,.625,17,31,.548,18,20,.900,4,38,31,9,5,19,27
14,14,2022-11-15,@,UTA,W,118,111,44,93,.473,11,32,.344,19,25,.760,13,43,26,10,3,12,25,,36,83,.434,14,43,.326,25,30,.833,15,49,29,7,5,20,22
15,15,2022-11-16,@,DEN,W,106,103,37,84,.440,8,34,.235,24,31,.774,6,40,24,12,5,7,18,,36,82,.439,14,38,.368,17,20,.850,8,42,18,3,5,15,25
16,16,2022-11-18,@,GSW,L,101,111,30,87,.345,9,34,.265,32,34,.941,13,45,16,8,7,16,16,,41,91,.451,18,50,.360,11,20,.550,12,51,32,8,3,16,26
17,17,2022-11-20,@,PHO,L,95,116,34,85,.400,7,25,.280,20,25,.800,10,39,20,4,7,10,15,,43,101,.426,17,39,.436,13,18,.722,22,60,35,3,8,13,22
18,18,2022-11-21,@,OKC,W,129,119,51,97,.526,11,34,.324,16,20,.800,14,48,21,10,2,13,28,,43,88,.489,8,24,.333,25,32,.781,11,38,25,5,5,14,18
19,19,2022-11-25,,POR,L,129,132,46,105,.438,13,41,.317,24,28,.857,12,44,27,7,5,10,35,,42,85,.494,10,32,.313,38,51,.745,13,48,24,3,3,12,24
20,20,2022-11-27,,MEM,L,123,127,44,87,.506,10,30,.333,25,30,.833,12,42,30,3,7,8,27,,46,95,.484,12,32,.375,23,31,.742,16,50,32,4,2,10,23
21,21,2022-11-29,@,DET,W,140,110,54,96,.563,16,35,.457,16,21,.762,17,51,31,9,1,14,19,,42,83,.506,13,39,.333,13,20,.650,7,30,28,7,4,16,17
22,22,2022-11-30,,MIL,L,103,109,42,100,.420,6,30,.200,13,20,.650,19,55,18,2,3,7,20,,39,90,.433,10,35,.286,21,26,.808,14,52,23,3,6,5,15
23,23,2022-12-03,,DAL,L,100,121,35,77,.455,10,31,.323,20,28,.714,7,45,18,7,1,19,17,,43,100,.430,24,61,.393,11,14,.786,14,50,27,7,5,11,20
24,24,2022-12-04,,CLE,W,92,81,35,86,.407,5,29,.172,17,21,.810,14,54,17,6,3,20,16,,29,83,.349,8,35,.229,15,20,.750,8,39,17,7,6,17,15
25,25,2022-12-07,,ATL,W,113,89,37,83,.446,17,36,.472,22,24,.917,13,55,26,6,2,14,23,,32,85,.376,6,36,.167,19,24,.792,11,39,16,4,6,11,17
