,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2021-10-20,,BOS,W,138,134,110.0,106.8,103.9,.257,.429,.590,49.5,52.9,7.2,16.7,,.567,12.7,14.6,.181,,.500,12.4,76.2,.145
2,2,2021-10-22,@,ORL,W,121,96,124.4,98.7,97.2,.193,.614,.634,45.2,77.3,10.3,10.0,,.636,10.3,14.0,.102,,.500,16.7,78.0,.157
3,3,2021-10-24,,ORL,L,104,110,100.3,106.1,103.7,.250,.480,.468,47.7,54.1,7.7,17.8,,.435,9.8,25.4,.170,,.477,11.2,78.3,.295
4,4,2021-10-26,,PHI,W,112,99,125.3,110.8,89.4,.172,.425,.598,52.9,58.5,7.8,12.2,,.563,11.4,31.7,.161,,.512,13.5,72.7,.183
5,5,2021-10-28,@,CHI,W,104,103,111.1,110.0,93.6,.235,.341,.554,57.0,41.0,5.3,13.5,,.524,12.2,25.6,.176,,.494,7.0,88.4,.238
6,6,2021-10-30,@,NOP,W,123,117,126.0,119.9,97.6,.309,.407,.668,46.3,52.4,7.2,6.8,,.636,11.5,13.9,.247,,.516,9.7,72.7,.239
7,7,2021-11-01,,TOR,L,104,113,109.3,118.8,95.2,.316,.500,.601,46.1,57.1,3.2,7.0,,.566,15.6,16.7,.237,,.505,7.1,72.3,.131
8,8,2021-11-03,@,IND,L,98,111,104.0,117.8,94.3,.310,.276,.496,48.4,63.9,7.4,12.0,,.443,9.2,26.4,.241,,.549,10.2,76.2,.121
9,9,2021-11-05,@,MIL,W,113,98,116.3,100.9,97.1,.271,.417,.526,61.5,39.0,12.4,10.3,,.479,11.5,40.0,.219,,.500,14.1,84.8,.195
10,10,2021-11-07,,CLE,L,109,126,113.1,130.7,96.4,.282,.365,.570,40.0,53.8,9.3,16.4,,.512,9.5,15.9,.259,,.650,13.7,69.4,.100
11,11,2021-11-08,@,PHI,W,103,96,111.1,103.5,92.7,.143,.440,.532,53.9,62.5,4.3,7.8,,.511,11.8,28.6,.110,,.456,7.5,77.4,.143
12,12,2021-11-10,,MIL,L,100,112,108.9,122.0,91.8,.205,.446,.553,43.2,52.8,9.8,25.0,,.530,10.0,15.9,.145,,.589,13.0,70.5,.067
13,13,2021-11-12,@,CHO,L,96,104,95.7,103.6,100.3,.194,.376,.476,51.0,47.2,8.0,9.3,,.457,15.8,27.5,.118,,.489,10.7,75.5,.178
14,14,2021-11-15,,IND,W,92,84,103.0,94.1,89.3,.116,.395,.509,51.1,59.5,1.1,10.2,,.494,10.0,18.6,.081,,.419,7.0,80.9,.140
15,15,2021-11-17,,ORL,L,98,104,100.2,106.3,97.9,.136,.557,.525,46.9,67.6,5.1,12.1,,.511,16.2,22.9,.091,,.464,10.4,70.8,.156
16,16,2021-11-20,,HOU,W,106,99,108.0,100.8,98.2,.333,.526,.593,43.5,75.8,12.2,15.6,,.538,11.8,10.3,.282,,.512,19.0,71.7,.155
17,17,2021-11-21,@,CHI,L,103,109,108.8,115.2,94.6,.369,.321,.527,50.0,45.7,4.2,18.6,,.458,11.7,26.7,.310,,.483,8.3,74.4,.273
18,18,2021-11-23,,LAL,W,106,100,107.0,101.0,99.0,.256,.415,.581,51.0,62.2,7.1,7.3,,.543,13.3,15.9,.207,,.434,10.3,77.6,.231
19,19,2021-11-26,,PHO,L,97,118,100.8,122.6,96.2,.239,.424,.477,59.3,38.2,7.3,2.0,,.435,12.9,33.3,.185,,.639,11.1,97.1,.215
20,20,2021-11-27,@,ATL,W,99,90,107.5,97.7,92.1,.268,.354,.540,49.0,55.6,4.3,5.4,,.506,9.8,17.0,.195,,.403,5.6,76.4,.161
21,21,2021-11-30,@,BRK,L,110,112,117.9,120.1,93.3,.132,.352,.571,52.5,61.4,5.4,3.5,,.544,9.4,25.6,.121,,.529,8.6,78.0,.259
22,22,2021-12-02,,CHI,L,115,119,117.1,121.2,98.2,.329,.317,.612,50.0,45.2,10.2,13.3,,.567,16.1,27.8,.268,,.556,13.2,69.0,.225
23,23,2021-12-04,,DEN,L,99,113,111.5,127.3,88.8,.239,.455,.509,48.8,65.7,7.9,7.3,,.466,10.2,32.0,.193,,.643,13.1,75.0,.060
24,24,2021-12-07,@,SAS,W,121,109,130.6,117.7,92.6,.209,.418,.609,54.7,51.2,7.6,8.2,,.571,9.1,36.2,.187,,.511,9.0,72.9,.163
25,25,2021-12-08,@,IND,L,102,122,108.2,129.4,94.2,.267,.349,.531,46.2,47.2,6.4,13.6,,.471,11.9,25.0,.244,,.593,8.5,73.5,.233
26,26,2021-12-10,@,TOR,L,87,90,97.5,100.9,89.2,.296,.420,.475,53.4,62.1,4.5,3.8,,.414,12.4,28.0,.247,,.414,7.6,77.4,.207
27,27,2021-12-12,,MIL,L,97,112,102.6,118.5,94.5,.159,.598,.553,44.6,77.1,12.7,4.3,,.530,15.4,19.0,.122,,.557,13.6,70.7,.159
28,28,2021-12-14,,GSW,L,96,105,103.0,112.7,93.2,.265,.506,.518,41.7,60.0,6.4,16.2,,.458,7.9,8.7,.241,,.552,11.9,81.6,.260
29,29,2021-12-16,@,HOU,W,116,103,131.2,116.5,88.4,.301,.434,.617,58.0,64.1,9.0,16.7,,.572,10.5,38.5,.253,,.581,17.3,83.3,.353
30,30,2021-12-18,@,BOS,L,107,114,111.9,119.2,95.6,.375,.450,.574,48.3,51.4,8.4,13.6,,.519,13.1,19.5,.300,,.567,11.1,73.9,.146
31,31,2021-12-21,,DET,W,105,91,106.9,92.6,98.2,.211,.367,.534,52.0,55.0,5.1,11.5,,.506,10.9,25.5,.156,,.404,10.5,79.6,.160
32,32,2021-12-23,,WAS,L,117,124,125.3,132.8,93.4,.247,.452,.567,53.7,40.5,2.1,2.6,,.522,6.4,29.8,.215,,.667,11.0,85.7,.320
33,33,2021-12-25,,ATL,W,101,87,109.0,93.9,92.7,.141,.588,.559,52.1,73.7,6.5,12.2,,.565,10.0,19.1,.059,,.454,11.4,83.7,.092
34,34,2021-12-28,@,MIN,W,96,88,103.1,94.5,93.1,.178,.444,.495,54.5,54.1,5.4,8.5,,.500,13.4,30.0,.067,,.441,9.6,79.6,.153
35,35,2021-12-29,@,DET,W,94,85,98.9,89.4,95.1,.333,.383,.506,52.7,61.3,11.6,10.9,,.432,14.7,23.9,.296,,.444,16.1,82.2,.160
36,36,2021-12-31,@,OKC,L,80,95,86.4,102.6,92.6,.272,.506,.441,49.5,40.0,6.5,6.8,,.420,9.9,10.6,.148,,.517,9.1,86.0,.057
37,37,2022-01-02,@,TOR,L,105,120,106.8,122.1,98.3,.359,.462,.581,40.5,62.9,11.2,7.7,,.526,15.8,17.5,.295,,.552,13.9,67.6,.291
38,38,2022-01-04,,IND,W,104,94,119.2,107.8,87.2,.350,.350,.563,59.3,43.6,6.9,0.0,,.525,8.9,35.0,.250,,.480,10.0,80.4,.276
39,39,2022-01-06,,BOS,W,108,105,121.6,118.2,88.8,.167,.400,.559,52.5,57.5,9.0,2.9,,.544,7.6,26.8,.111,,.581,12.3,79.5,.150
40,40,2022-01-08,@,BOS,L,75,99,89.7,118.5,83.6,.190,.392,.438,47.1,44.8,9.6,8.5,,.437,12.3,23.4,.076,,.553,10.7,76.3,.197
41,41,2022-01-10,,SAS,W,111,96,115.3,99.7,96.3,.293,.390,.600,53.3,57.5,7.3,13.6,,.567,13.9,23.1,.220,,.453,9.0,75.5,.105
