,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,H,BOS,W,138,134,51,105,.486,17,45,.378,19,27,.704,7,55,27,9,10,17,22,110.0,106.8,103.9,.257,.429,.590,49.5,52.9,7.2,16.7,.567,12.7,14.6,.181,.500,12.4,76.2,.145
1,2021-10-22,A,ORL,W,121,96,44,88,.500,24,54,.444,9,17,.529,6,38,34,10,4,11,19,124.4,98.7,97.2,.193,.614,.634,45.2,77.3,10.3,10.0,.636,10.3,14.0,.102,.500,16.7,78.0,.157
2,2021-10-24,H,ORL,L,104,110,37,100,.370,13,48,.271,17,25,.680,16,52,20,8,8,12,21,100.3,106.1,103.7,.250,.480,.468,47.7,54.1,7.7,17.8,.435,9.8,25.4,.170,.477,11.2,78.3,.295
3,2021-10-26,H,PHI,W,112,99,41,87,.471,16,37,.432,14,15,.933,13,45,24,7,5,12,18,125.3,110.8,89.4,.172,.425,.598,52.9,58.5,7.8,12.2,.563,11.4,31.7,.161,.512,13.5,72.7,.183
4,2021-10-28,A,CHI,W,104,103,39,85,.459,11,29,.379,15,20,.750,11,49,16,5,7,13,21,111.1,110.0,93.6,.235,.341,.554,57.0,41.0,5.3,13.5,.524,12.2,25.6,.176,.494,7.0,88.4,.238
5,2021-10-30,A,NOP,W,123,117,42,81,.519,19,33,.576,20,25,.800,5,37,22,7,4,12,21,126.0,119.9,97.6,.309,.407,.668,46.3,52.4,7.2,6.8,.636,11.5,13.9,.247,.516,9.7,72.7,.239
6,2021-11-01,H,TOR,L,104,113,35,76,.461,16,38,.421,18,24,.750,7,41,20,3,4,16,13,109.3,118.8,95.2,.316,.500,.601,46.1,57.1,3.2,7.0,.566,15.6,16.7,.237,.505,7.1,72.3,.131
7,2021-11-03,A,IND,L,98,111,36,87,.414,5,24,.208,21,27,.778,14,46,23,7,6,10,19,104.0,117.8,94.3,.310,.276,.496,48.4,63.9,7.4,12.0,.443,9.2,26.4,.241,.549,10.2,76.2,.121
8,2021-11-05,A,MIL,W,113,98,41,96,.427,10,40,.250,21,26,.808,20,59,16,12,4,14,17,116.3,100.9,97.1,.271,.417,.526,61.5,39.0,12.4,10.3,.479,11.5,40.0,.219,.500,14.1,84.8,.195
9,2021-11-07,H,CLE,L,109,126,39,85,.459,9,31,.290,22,24,.917,7,32,21,9,9,10,14,113.1,130.7,96.4,.282,.365,.570,40.0,53.8,9.3,16.4,.512,9.5,15.9,.259,.650,13.7,69.4,.100
10,2021-11-08,A,PHI,W,103,96,40,91,.440,13,40,.325,10,13,.769,14,55,25,4,4,13,18,111.1,103.5,92.7,.143,.440,.532,53.9,62.5,4.3,7.8,.511,11.8,28.6,.110,.456,7.5,77.4,.143
