,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2021-10-20,@,UTA,L,86,107,34,91,.374,7,35,.200,11,18,.611,15,50,19,4,2,14,15,,40,91,.440,14,47,.298,13,15,.867,12,53,18,6,5,10,19
2,2,2021-10-22,@,HOU,L,91,124,34,91,.374,14,43,.326,9,16,.563,8,39,22,9,4,19,21,,48,95,.505,17,38,.447,11,14,.786,10,54,29,12,10,17,18
3,3,2021-10-24,,PHI,L,103,115,40,84,.476,8,31,.258,15,19,.789,6,42,24,9,4,11,17,,41,88,.466,17,41,.415,16,20,.800,12,47,25,4,9,12,17
4,4,2021-10-26,,GSW,L,98,106,36,86,.419,12,34,.353,14,17,.824,9,42,19,7,3,13,18,,39,83,.470,14,40,.350,14,18,.778,7,46,30,9,8,15,20
5,5,2021-10-27,,LAL,W,123,115,43,86,.500,15,37,.405,22,29,.759,10,42,21,8,3,15,16,,46,92,.500,11,35,.314,12,14,.857,10,40,29,8,2,17,22
6,6,2021-10-30,@,GSW,L,82,103,29,83,.349,8,39,.205,16,21,.762,3,45,14,8,6,15,8,,39,92,.424,21,54,.389,4,8,.500,10,56,30,9,8,15,21
7,7,2021-11-01,@,LAC,L,94,99,35,90,.389,11,37,.297,13,16,.813,10,51,17,8,6,16,18,,35,92,.380,15,42,.357,14,19,.737,13,51,18,8,5,12,14
8,8,2021-11-04,@,LAL,W,107,104,37,87,.425,15,41,.366,18,26,.692,12,50,23,7,2,16,16,,39,94,.415,12,33,.364,14,17,.824,16,49,22,8,5,13,21
9,9,2021-11-07,,SAS,W,99,94,35,94,.372,12,42,.286,17,20,.850,15,57,21,5,7,13,14,,41,100,.410,6,30,.200,6,9,.667,11,46,29,9,10,9,16
10,10,2021-11-10,@,NOP,W,108,100,37,87,.425,10,34,.294,24,30,.800,13,56,23,6,4,18,23,,34,97,.351,9,35,.257,23,32,.719,19,50,24,13,5,9,20
11,11,2021-11-12,,SAC,W,105,103,42,99,.424,10,30,.333,11,15,.733,16,52,13,8,6,10,18,,38,95,.400,14,41,.341,13,17,.765,11,49,20,5,7,13,12
12,12,2021-11-14,,BRK,L,96,120,36,90,.400,14,45,.311,10,11,.909,10,44,20,9,2,14,22,,41,82,.500,18,43,.419,20,21,.952,7,44,31,8,3,13,15
13,13,2021-11-15,,MIA,L,90,103,34,83,.410,15,41,.366,7,10,.700,9,42,26,6,10,20,15,,37,82,.451,18,40,.450,11,13,.846,8,45,22,11,5,17,13
