,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2022-10-19,@,MIN,L,108,115,103.5,110.2,104.3,.222,.455,.497,50.9,57.9,5.7,10.7,,.455,10.7,28.1,.182,,.468,11.4,74.5,.287
2,2,2022-10-22,@,DEN,L,117,122,111.6,116.3,104.9,.245,.404,.562,50.5,69.0,9.5,10.6,,.527,10.3,21.3,.191,,.612,15.4,80.4,.212
3,3,2022-10-23,,MIN,L,106,116,105.5,115.5,100.4,.223,.436,.513,43.8,58.5,7.0,7.4,,.484,9.6,20.8,.160,,.580,13.3,72.1,.159
4,4,2022-10-25,,LAC,W,108,94,107.8,93.8,100.2,.227,.273,.446,56.1,45.2,12.0,15.4,,.400,4.0,34.4,.182,,.482,16.5,84.8,.169
5,5,2022-10-27,,LAC,W,118,110,123.6,115.3,95.4,.084,.400,.599,45.0,57.4,10.5,7.4,,.584,10.0,27.7,.074,,.591,17.4,69.7,.159
6,6,2022-10-29,@,DAL,W,117,111,107.9,102.3,98.2,.348,.281,.570,49.0,56.8,8.3,10.9,,.522,12.8,19.6,.270,,.442,12.7,76.0,.284
7,7,2022-11-01,,ORL,W,116,108,109.4,101.8,106.0,.211,.358,.559,42.4,62.2,12.3,15.5,,.526,12.6,17.8,.168,,.506,20.0,70.0,.230
8,8,2022-11-03,,DEN,L,110,122,110.1,122.2,99.9,.204,.312,.543,46.0,42.2,9.0,9.4,,.516,9.0,20.4,.151,,.643,16.5,78.9,.167
9,9,2022-11-05,@,MIL,L,94,108,99.6,114.4,94.4,.190,.417,.516,40.9,61.1,6.4,7.0,,.500,14.1,19.6,.119,,.517,15.6,61.7,.167
10,10,2022-11-07,@,DET,L,103,112,102.5,111.5,100.4,.167,.324,.470,44.2,56.1,9.0,18.3,,.451,8.4,27.6,.108,,.468,11.5,65.2,.269
11,11,2022-11-09,,MIL,L,132,136,113.9,117.3,95.9,.171,.405,.553,50.0,48.0,7.8,12.9,,.532,9.8,26.7,.126,,.552,12.2,78.0,.179
12,12,2022-11-11,,TOR,W,132,113,129.8,111.1,101.7,.183,.387,.657,53.0,59.6,9.8,10.3,,.640,15.9,37.5,.140,,.494,13.4,67.4,.295
13,13,2022-11-13,@,NYK,W,145,135,132.9,123.7,109.1,.227,.352,.749,52.1,56.4,8.2,7.6,,.722,16.4,15.4,.205,,.546,10.4,72.3,.299
14,14,2022-11-14,@,BOS,L,122,126,108.6,112.2,112.3,.214,.306,.569,52.6,44.7,3.6,10.2,,.536,15.1,21.7,.173,,.531,11.4,80.4,.250
15,15,2022-11-16,@,WAS,W,121,120,123.2,122.2,98.2,.321,.383,.654,47.4,54.5,4.1,13.5,,.642,14.0,23.1,.210,,.610,16.9,71.8,.174
16,16,2022-11-18,@,MEM,L,110,121,108.7,119.6,101.2,.115,.354,.545,43.0,75.6,4.9,16.7,,.526,9.0,16.7,.094,,.495,9.0,67.3,.312
17,17,2022-11-21,,NYK,L,119,129,116.5,126.3,102.1,.364,.273,.583,44.2,58.1,4.9,7.9,,.534,12.1,24.4,.284,,.582,10.9,65.9,.165
18,18,2022-11-23,,DEN,L,126,131,122.7,127.5,93.0,.289,.412,.576,41.5,61.9,5.8,14.0,,.526,7.6,24.0,.247,,.557,13.8,61.4,.375
19,19,2022-11-25,,CHI,W,123,119,113.1,109.4,98.5,.337,.305,.564,51.5,54.5,6.4,7.4,,.500,10.6,23.3,.295,,.495,11.9,74.1,.188
20,20,2022-11-26,@,HOU,L,105,118,102.0,114.6,103.0,.237,.454,.490,43.6,50.0,11.7,6.0,,.443,12.3,27.6,.196,,.628,20.7,69.4,.116
21,21,2022-11-28,@,NOP,L,101,105,101.3,105.3,99.7,.250,.413,.495,49.0,47.1,11.0,7.3,,.435,15.7,34.0,.228,,.500,18.7,67.4,.207
22,22,2022-11-30,,SAS,W,119,111,122.0,113.8,97.6,.223,.287,.576,54.2,35.4,4.1,7.3,,.559,9.6,32.6,.149,,.500,8.8,74.0,.207
23,23,2022-12-03,@,MIN,W,135,128,120.0,113.8,112.5,.376,.280,.623,48.8,54.2,9.8,8.5,,.575,16.2,28.9,.301,,.584,18.4,70.7,.270
24,24,2022-12-05,@,ATL,W,121,114,114.2,107.6,105.9,.253,.358,.573,47.6,58.1,7.6,6.3,,.516,13.2,27.5,.242,,.495,14.1,67.3,.127
25,25,2022-12-07,@,MEM,L,102,123,98.9,119.2,103.2,.250,.413,.499,49.0,73.5,8.7,5.4,,.446,15.0,25.9,.217,,.585,12.2,77.3,.138
26,26,2022-12-10,@,CLE,L,102,110,109.3,117.8,93.4,.241,.349,.556,45.5,65.8,8.6,11.3,,.518,9.8,16.3,.193,,.541,10.2,73.3,.212
27,27,2022-12-12,@,DAL,L,114,121,116.4,123.5,98.0,.239,.352,.586,45.7,50.0,4.1,2.6,,.534,11.8,22.7,.227,,.538,11.9,66.7,.226
28,28,2022-12-14,,MIA,L,108,110,110.8,112.8,97.5,.280,.293,.586,53.0,63.4,7.2,13.3,,.555,13.2,17.9,.207,,.570,13.1,84.1,.140
29,29,2022-12-16,,MIN,L,110,112,105.1,107.0,104.7,.239,.420,.566,51.1,70.7,6.7,6.5,,.528,18.5,22.0,.193,,.563,14.0,76.6,.161
30,30,2022-12-17,,MEM,W,115,109,111.6,105.8,103.1,.337,.489,.544,50.0,76.3,6.8,0.0,,.516,7.9,17.3,.217,,.444,7.8,81.5,.322
31,31,2022-12-19,,POR,W,123,121,125.5,123.4,98.0,.420,.352,.590,46.4,50.0,7.1,9.8,,.517,8.8,26.2,.364,,.591,14.1,66.7,.193
32,32,2022-12-21,,POR,W,101,98,109.7,106.4,92.1,.325,.312,.574,50.7,52.8,9.8,7.0,,.519,17.0,25.0,.273,,.582,17.8,75.7,.076
33,33,2022-12-23,,NOP,L,125,128,106.4,109.0,106.4,.245,.343,.553,46.1,57.4,7.7,8.8,,.525,13.7,19.2,.176,,.505,15.8,74.0,.351
