,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,A,UTA,L,86,107,34,91,.374,7,35,.200,11,18,.611,15,50,19,4,2,14,15,91.0,113.3,94.5,.198,.385,.435,48.5,55.9,4.2,4.5,.412,12.4,26.8,.121,.516,9.3,74.5,.143
1,2021-10-22,A,HOU,L,91,124,34,91,.374,14,43,.326,9,16,.563,8,39,22,9,4,19,21,85.7,116.8,106.2,.176,.473,.464,41.9,64.7,8.5,7.0,.451,16.2,15.4,.099,.595,14.4,75.6,.116
2,2021-10-24,H,PHI,L,103,115,40,84,.476,8,31,.258,15,19,.789,6,42,24,9,4,11,17,107.8,120.3,95.6,.226,.369,.558,47.2,60.0,9.4,8.5,.524,10.6,14.6,.179,.563,11.0,75.0,.182
3,2021-10-26,H,GSW,L,98,106,36,86,.419,12,34,.353,14,17,.824,9,42,19,7,3,13,18,101.7,110.0,96.4,.198,.395,.524,47.7,52.8,7.3,7.0,.488,12.2,18.8,.163,.554,14.2,82.5,.169
4,2021-10-27,H,LAL,W,123,115,43,86,.500,15,37,.405,22,29,.759,10,42,21,8,3,15,16,120.6,112.8,102.0,.337,.430,.623,51.2,48.8,7.8,5.3,.587,13.2,25.0,.256,.560,14.8,76.2,.130
5,2021-10-30,A,GSW,L,82,103,29,83,.349,8,39,.205,16,21,.762,3,45,14,8,6,15,8,81.1,101.9,101.1,.253,.470,.444,44.6,48.3,7.9,15.8,.398,14.0,6.1,.193,.538,13.6,80.8,.043
6,2021-11-01,A,LAC,L,94,99,35,90,.389,11,37,.297,13,16,.813,10,51,17,8,6,16,18,95.4,100.5,98.5,.178,.411,.484,50.0,48.6,8.1,12.0,.450,14.2,20.8,.144,.462,10.7,75.9,.152
7,2021-11-04,A,LAL,W,107,104,37,87,.425,15,41,.366,18,26,.692,12,50,23,7,2,16,16,109.5,106.4,97.7,.299,.471,.543,50.5,62.2,7.2,3.3,.511,14.0,26.7,.207,.479,11.4,70.4,.149
8,2021-11-07,H,SAS,W,99,94,35,94,.372,12,42,.286,17,20,.850,15,57,21,5,7,13,14,101.2,96.1,97.8,.213,.447,.482,55.3,60.0,5.1,10.0,.436,11.2,30.0,.181,.440,8.0,79.2,.060
9,2021-11-10,A,NOP,W,108,100,37,87,.425,10,34,.294,24,30,.800,13,56,23,6,4,18,23,108.4,100.3,99.7,.345,.391,.539,52.8,62.2,6.0,6.5,.483,15.2,29.5,.276,.397,7.5,69.4,.237
10,2021-11-12,H,SAC,W,105,103,42,99,.424,10,30,.333,11,15,.733,16,52,13,8,6,10,18,106.4,104.3,98.7,.152,.303,.497,51.5,31.0,8.1,11.1,.475,8.7,29.6,.111,.474,11.3,76.6,.137
11,2021-11-14,H,BRK,L,96,120,36,90,.400,14,45,.311,10,11,.909,10,44,20,9,2,14,22,100.0,125.0,96.0,.122,.500,.506,50.0,55.6,9.4,5.1,.478,12.9,21.3,.111,.610,12.5,82.9,.244
12,2021-11-15,H,MIA,L,90,103,34,83,.410,15,41,.366,7,10,.700,9,42,26,6,10,20,15,94.0,107.5,95.8,.120,.494,.515,48.3,76.5,6.3,23.8,.500,18.6,19.6,.084,.561,16.2,80.5,.134
13,2021-11-17,H,HOU,W,101,89,41,92,.446,10,39,.256,9,16,.563,9,56,18,10,6,10,19,101.3,89.3,99.7,.174,.424,.510,54.9,43.9,10.0,12.5,.500,9.2,19.6,.098,.422,12.5,83.9,.144
14,2021-11-19,A,MIL,L,89,96,32,91,.352,12,48,.250,13,21,.619,11,53,17,6,4,12,22,90.0,97.0,98.9,.231,.527,.444,50.0,53.1,6.1,9.5,.418,10.7,19.0,.143,.446,11.3,87.5,.265
15,2021-11-20,A,BOS,L,105,111,39,96,.406,18,42,.429,9,16,.563,15,54,23,5,0,9,15,112.4,118.8,93.4,.167,.438,.510,52.9,59.0,5.4,0.0,.500,8.0,27.3,.094,.563,6.9,83.0,.136
16,2021-11-22,A,ATL,L,101,113,39,97,.402,10,38,.263,13,14,.929,16,50,24,5,5,8,15,110.5,123.7,91.4,.144,.392,.490,53.2,61.5,5.5,9.4,.454,7.2,30.8,.134,.563,6.9,81.0,.172
17,2021-11-24,H,UTA,L,104,110,37,82,.451,15,36,.417,15,22,.682,4,43,21,7,4,12,18,107.6,113.8,96.7,.268,.439,.567,50.0,56.8,7.2,10.3,.543,11.6,10.0,.183,.541,8.7,84.8,.198
18,2021-11-26,H,WAS,L,99,101,38,94,.404,11,33,.333,12,14,.857,10,41,23,7,4,9,15,104.2,106.3,95.0,.149,.351,.494,48.8,60.5,7.4,8.0,.463,8.2,20.8,.128,.544,14.9,86.1,.190
19,2021-11-29,A,HOU,L,89,102,31,87,.356,7,43,.163,20,26,.769,4,45,16,10,10,12,14,85.7,98.2,103.8,.299,.494,.452,42.9,51.6,9.6,20.0,.397,10.9,7.3,.230,.495,11.4,82.0,.073
20,2021-12-01,H,HOU,L,110,114,40,85,.471,8,32,.250,22,29,.759,10,35,16,9,6,13,21,113.5,117.6,96.9,.341,.376,.563,46.7,40.0,9.3,14.3,.518,11.7,23.8,.259,.601,16.9,75.8,.241
21,2021-12-02,A,MEM,L,79,152,25,76,.329,11,38,.289,18,22,.818,8,26,14,2,5,19,14,82.8,159.3,95.4,.289,.500,.461,32.9,56.0,2.1,8.3,.401,18.2,17.0,.237,.724,8.8,56.3,.135
22,2021-12-06,A,DET,W,114,103,41,82,.500,9,25,.360,23,30,.767,6,40,22,10,11,11,13,116.2,105.0,98.1,.366,.305,.599,43.5,53.7,10.2,19.0,.555,10.4,14.3,.280,.495,13.6,68.0,.051
23,2021-12-08,A,TOR,W,110,109,38,84,.452,17,40,.425,17,20,.850,7,40,28,12,3,13,18,114.0,113.0,96.5,.238,.476,.593,46.5,73.7,12.4,5.8,.554,12.3,17.5,.202,.532,11.5,71.7,.108
24,2021-12-10,H,LAL,L,95,116,38,96,.396,10,44,.227,9,14,.643,19,51,21,9,3,15,17,98.8,120.6,96.2,.146,.458,.465,52.0,55.3,9.4,6.7,.448,12.8,35.2,.094,.580,14.3,72.7,.172
25,2021-12-12,H,DAL,L,84,103,30,80,.375,13,37,.351,11,16,.688,3,39,19,3,7,11,25,89.8,110.1,93.5,.200,.463,.483,41.9,63.3,3.2,12.3,.456,11.2,6.4,.138,.472,5.7,78.3,.200
26,2021-12-15,H,NOP,L,110,113,39,93,.419,13,35,.371,19,19,1.000,8,42,22,8,4,8,25,113.3,116.4,97.1,.204,.376,.543,46.2,56.4,8.2,7.7,.489,7.3,17.0,.204,.556,10.3,77.3,.300
27,2021-12-18,H,LAC,W,104,103,43,92,.467,12,31,.387,6,10,.600,17,55,23,4,4,15,18,110.8,109.7,93.9,.109,.337,.539,58.5,53.5,4.3,9.1,.533,13.5,34.7,.065,.542,11.6,84.4,.157
28,2021-12-20,A,MEM,W,102,99,36,84,.429,11,38,.289,19,28,.679,9,47,24,7,7,14,17,104.0,100.9,98.1,.333,.452,.529,48.0,66.7,7.1,10.1,.494,12.7,20.9,.226,.441,10.1,69.1,.099
29,2021-12-22,H,DEN,W,108,94,42,94,.447,8,34,.235,16,19,.842,15,60,22,7,4,11,25,109.7,95.5,98.4,.202,.362,.528,60.6,52.4,7.1,10.0,.489,9.7,30.0,.170,.470,10.3,91.8,.179
30,2021-12-23,A,PHO,L,101,113,37,96,.385,11,41,.268,16,21,.762,11,44,17,6,5,12,10,100.3,112.2,100.7,.219,.427,.480,45.8,45.9,6.0,9.3,.443,10.2,21.2,.167,.565,11.6,75.0,.086
31,2021-12-26,H,NOP,W,117,112,41,86,.477,13,36,.361,22,31,.710,7,47,24,8,5,12,23,113.9,109.0,102.7,.360,.419,.587,49.0,58.5,7.8,9.4,.552,10.7,15.6,.256,.468,8.6,78.4,.255
32,2021-12-28,A,SAC,L,111,117,35,90,.389,11,33,.333,30,36,.833,8,45,16,6,6,9,21,107.2,113.0,103.5,.400,.367,.524,44.1,45.7,5.8,10.7,.450,7.8,14.8,.333,.511,8.6,77.1,.211
33,2021-12-29,A,PHO,L,97,115,38,96,.396,7,35,.200,14,16,.875,14,45,19,6,1,11,24,101.0,119.8,96.0,.167,.365,.471,44.6,50.0,6.2,1.8,.432,9.6,26.9,.146,.528,12.1,63.3,.236
34,2021-12-31,H,NYK,W,95,80,36,87,.414,18,43,.419,5,7,.714,7,49,21,6,3,9,17,102.6,86.4,92.6,.080,.494,.527,50.5,58.3,6.5,7.5,.517,9.1,14.0,.057,.420,9.9,89.4,.148
35,2022-01-02,H,DAL,L,86,95,35,85,.412,10,30,.333,6,9,.667,7,41,20,11,4,11,16,92.0,101.6,93.5,.106,.353,.483,46.1,57.1,11.8,8.7,.471,11.0,14.6,.071,.529,15.4,82.9,.059
36,2022-01-05,A,MIN,L,90,98,33,90,.367,9,35,.257,15,18,.833,14,52,21,11,7,17,18,91.8,100.0,98.0,.200,.389,.460,48.6,63.6,11.2,15.2,.417,14.8,25.9,.167,.467,13.9,71.7,.156
37,2022-01-07,H,MIN,L,105,135,36,89,.404,15,44,.341,18,23,.783,13,45,26,10,4,19,23,100.5,129.3,104.4,.258,.494,.530,50.0,72.2,9.6,8.2,.489,16.1,26.0,.202,.650,12.9,80.0,.200
38,2022-01-09,H,DEN,L,95,99,38,88,.432,9,38,.237,10,12,.833,11,41,29,9,7,9,13,106.4,110.9,89.3,.136,.432,.509,43.6,76.3,10.1,13.2,.483,8.8,23.9,.114,.489,13.5,62.5,.135
39,2022-01-11,A,WAS,L,118,122,47,98,.480,11,39,.282,13,15,.867,9,41,23,5,1,5,20,121.4,125.5,97.2,.153,.398,.564,49.4,48.9,5.1,1.9,.536,4.6,20.5,.133,.603,7.6,82.1,.195
40,2022-01-13,A,BRK,W,130,109,47,91,.516,20,45,.444,16,18,.889,9,38,32,8,7,10,19,136.7,114.6,95.1,.198,.495,.657,43.2,68.1,8.4,10.6,.626,9.2,23.7,.176,.454,10.0,58.0,.204
41,2022-01-15,H,CLE,L,102,107,36,83,.434,10,27,.370,20,22,.909,14,51,17,4,5,15,21,112.3,117.8,90.8,.265,.325,.550,58.0,47.2,4.4,9.6,.494,13.9,35.0,.241,.511,6.7,77.1,.207
42,2022-01-17,A,DAL,L,102,104,36,83,.434,11,35,.314,19,24,.792,5,42,20,10,2,13,23,103.7,105.8,98.3,.289,.422,.545,47.2,55.6,10.2,3.9,.500,12.2,12.2,.229,.466,9.9,77.1,.250
43,2022-01-19,A,SAS,L,96,118,38,98,.388,8,31,.258,12,15,.800,14,46,20,5,2,14,14,96.9,119.1,99.1,.153,.316,.459,47.9,52.6,5.0,3.6,.429,11.8,26.4,.122,.568,8.1,74.4,.094
44,2022-01-21,A,CHO,L,98,121,37,98,.378,12,44,.273,12,15,.800,15,52,20,6,2,11,21,97.8,120.7,100.3,.153,.449,.468,45.6,54.1,6.0,4.0,.439,9.5,24.6,.122,.540,10.0,69.8,.141
45,2022-01-22,A,CLE,L,87,94,33,85,.388,12,41,.293,9,16,.563,11,41,16,14,3,15,28,90.8,98.2,95.8,.188,.482,.473,43.2,48.5,14.6,6.1,.459,14.0,22.0,.106,.500,19.4,66.7,.237
46,2022-01-24,H,CHI,L,110,111,38,92,.413,16,45,.356,18,24,.750,10,44,26,9,5,11,15,108.8,109.8,101.1,.261,.489,.536,46.3,68.4,8.9,10.0,.500,9.7,19.6,.196,.545,14.1,77.3,.157
47,2022-01-28,H,IND,L,110,113,43,95,.453,14,43,.326,10,17,.588,10,43,22,12,6,13,27,105.6,108.5,94.4,.179,.453,.537,41.7,51.2,11.5,10.7,.526,11.3,19.6,.105,.500,15.0,63.5,.189
48,2022-01-31,H,POR,W,98,81,35,86,.407,12,41,.293,16,17,.941,11,50,22,6,3,12,13,107.0,88.4,91.6,.198,.477,.524,54.9,62.9,6.5,7.0,.477,11.4,23.9,.186,.463,14.2,86.7,.074
49,2022-02-02,A,DAL,W,120,114,41,86,.477,17,37,.459,21,25,.840,14,50,25,6,8,18,16,121.6,115.5,89.4,.291,.430,.619,56.2,61.0,6.1,14.5,.576,15.7,35.0,.244,.541,11.3,73.5,.082
50,2022-02-04,A,POR,W,96,93,33,87,.379,15,42,.357,15,21,.714,13,52,24,5,6,14,18,100.4,97.3,95.6,.241,.483,.499,49.5,72.7,5.2,8.8,.466,12.7,26.5,.172,.426,10.2,69.6,.069
51,2022-02-05,A,SAC,L,103,113,42,87,.483,9,30,.300,10,16,.625,7,41,23,8,1,14,16,103.1,113.2,99.9,.184,.345,.548,46.6,54.8,8.0,2.0,.534,13.0,14.9,.115,.590,13.9,82.9,.181
52,2022-02-07,H,GSW,L,98,110,37,90,.411,11,36,.306,13,17,.765,18,50,21,8,2,17,14,102.6,115.2,95.5,.189,.400,.503,55.6,56.8,8.4,5.1,.472,14.8,34.6,.144,.591,14.4,84.2,.159
