,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2021-10-20,@,SAS,L,97,123,35,86,.407,9,29,.310,18,23,.783,13,44,17,6,6,16,20,,49,98,.500,13,30,.433,12,18,.667,13,43,32,8,3,8,22
2,2,2021-10-22,,NYK,L,96,121,33,83,.398,17,43,.395,13,15,.867,9,46,24,5,3,18,18,,44,88,.500,24,54,.444,9,17,.529,6,38,34,10,4,11,19
3,3,2021-10-24,@,NYK,W,110,104,36,88,.409,12,43,.279,26,34,.765,10,57,22,7,4,13,25,,37,100,.370,13,48,.271,17,25,.680,16,52,20,8,8,12,21
4,4,2021-10-25,@,MIA,L,90,107,33,81,.407,12,44,.273,12,19,.632,6,39,21,7,6,16,22,,41,87,.471,6,27,.222,19,19,1.000,9,42,28,10,2,10,19
5,5,2021-10-27,,CHO,L,111,120,43,88,.489,15,40,.375,10,13,.769,8,33,22,6,2,18,21,,43,83,.518,14,30,.467,20,24,.833,10,40,22,14,4,16,14
6,6,2021-10-29,@,TOR,L,109,110,41,87,.471,16,34,.471,11,16,.688,12,46,24,1,5,17,24,,43,86,.500,9,30,.300,15,22,.682,9,40,18,11,2,7,18
7,7,2021-10-30,@,DET,L,103,110,38,87,.437,16,32,.500,11,15,.733,12,46,21,5,6,17,21,,36,89,.404,14,43,.326,24,30,.800,17,48,26,12,6,13,18
8,8,2021-11-01,@,MIN,W,115,97,37,82,.451,17,43,.395,24,30,.800,12,51,21,5,7,16,19,,36,97,.371,14,51,.275,11,19,.579,16,47,21,8,1,12,20
9,9,2021-11-03,,BOS,L,79,92,27,84,.321,9,43,.209,16,20,.800,8,46,15,8,1,14,20,,33,79,.418,10,37,.270,16,25,.640,9,50,24,7,9,11,20
10,10,2021-11-05,,SAS,L,89,102,35,89,.393,12,41,.293,7,10,.700,7,43,23,9,12,18,13,,40,90,.444,6,19,.316,16,18,.889,5,48,23,11,7,13,14
11,11,2021-11-07,,UTA,W,107,100,43,87,.494,12,32,.375,9,11,.818,7,39,24,8,8,13,22,,34,89,.382,8,42,.190,24,29,.828,16,50,21,10,7,17,17
12,12,2021-11-10,,BRK,L,90,123,35,92,.380,4,33,.121,16,24,.667,12,49,19,10,3,17,18,,46,91,.505,16,37,.432,15,17,.882,8,49,29,8,5,15,18
13,13,2021-11-13,,WAS,L,92,104,31,92,.337,13,40,.325,17,20,.850,14,44,21,7,5,13,15,,42,84,.500,12,35,.343,8,10,.800,7,48,29,6,7,15,17
14,14,2021-11-15,@,ATL,L,111,129,43,95,.453,16,43,.372,9,14,.643,12,41,30,8,5,16,27,,47,85,.553,14,30,.467,21,32,.656,9,46,32,10,7,11,17
15,15,2021-11-17,@,NYK,W,104,98,39,96,.406,11,38,.289,15,18,.833,14,51,20,7,3,12,19,,37,88,.420,16,49,.327,8,12,.667,11,45,25,5,7,18,20
16,16,2021-11-19,@,BRK,L,113,115,40,89,.449,14,38,.368,19,25,.760,11,45,26,7,6,13,25,,41,91,.451,10,33,.303,23,25,.920,14,43,19,6,13,11,19
17,17,2021-11-20,@,MIL,L,108,117,39,98,.398,19,51,.373,11,14,.786,6,39,26,5,3,10,24,,37,82,.451,19,40,.475,24,37,.649,11,60,25,6,5,14,18
18,18,2021-11-22,@,MIL,L,92,123,34,93,.366,11,41,.268,13,18,.722,15,47,16,6,4,15,17,,44,94,.468,18,45,.400,17,24,.708,13,55,28,10,7,12,22
19,19,2021-11-24,,CHO,L,99,106,38,93,.409,15,42,.357,8,10,.800,10,51,23,5,1,14,19,,39,93,.419,12,40,.300,16,21,.762,12,49,26,11,11,10,16
20,20,2021-11-26,,CHI,L,88,123,30,80,.375,7,32,.219,21,30,.700,5,36,18,7,5,13,16,,48,86,.558,17,34,.500,10,16,.625,6,47,32,11,1,13,24
21,21,2021-11-27,@,CLE,L,92,105,35,88,.398,8,32,.250,14,23,.609,8,43,21,11,5,8,16,,41,90,.456,14,39,.359,9,12,.750,10,51,28,3,9,13,18
22,22,2021-11-29,@,PHI,L,96,101,37,90,.411,8,33,.242,14,18,.778,8,55,20,7,6,12,21,,39,97,.402,10,33,.303,13,18,.722,12,55,24,7,6,10,19
23,23,2021-12-01,,DEN,W,108,103,44,81,.543,6,27,.222,14,19,.737,1,39,26,8,6,12,15,,39,80,.488,10,34,.294,15,21,.714,1,35,22,5,4,14,19
24,24,2021-12-03,@,HOU,L,116,118,42,86,.488,13,37,.351,19,21,.905,10,45,24,6,4,18,21,,44,92,.478,17,47,.362,13,15,.867,7,35,33,7,5,10,16
25,25,2021-12-06,@,GSW,L,95,126,33,76,.434,11,38,.289,18,22,.818,5,38,18,10,4,22,20,,43,87,.494,20,40,.500,20,29,.690,7,43,28,15,2,15,19
26,26,2021-12-08,@,SAC,L,130,142,48,97,.495,16,34,.471,18,23,.783,17,43,29,2,5,12,18,,53,97,.546,15,34,.441,21,25,.840,12,43,24,8,7,8,22
