,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1,2022-10-19,@,DET,L,109,113,108.3,112.3,100.6,.221,.349,.578,53.9,50.0,5.0,8.9,,.552,16.0,25.6,.163,,.500,10.3,76.0,.202
2,2,2022-10-21,@,ATL,L,98,108,97.2,107.1,100.9,.375,.425,.526,48.9,48.5,8.9,12.1,,.463,16.9,21.3,.300,,.522,15.0,79.1,.169
3,3,2022-10-22,,BOS,L,120,126,122.3,128.4,98.1,.242,.358,.571,56.5,46.7,5.1,17.5,,.553,7.9,28.6,.158,,.592,7.5,83.7,.264
4,4,2022-10-24,@,NYK,L,102,115,108.3,122.1,94.2,.314,.407,.521,45.1,38.9,6.4,7.1,,.459,10.9,28.9,.267,,.522,11.1,60.9,.194
5,5,2022-10-26,@,CLE,L,92,103,96.9,108.5,94.9,.259,.296,.510,50.0,54.3,6.3,11.1,,.469,15.1,24.4,.198,,.471,10.7,73.3,.241
6,6,2022-10-28,,CHO,W,113,93,112.5,92.6,100.4,.306,.435,.586,50.5,66.7,8.0,10.4,,.553,11.1,11.9,.224,,.448,12.7,81.1,.186
7,7,2022-10-30,@,DAL,L,105,114,113.8,123.6,92.2,.333,.358,.565,56.0,54.1,2.2,10.4,,.525,11.4,25.6,.247,,.560,4.0,87.8,.253
8,8,2022-11-01,@,OKC,L,108,116,101.8,109.4,106.0,.230,.333,.564,57.6,51.3,6.6,16.4,,.506,20.0,30.0,.230,,.526,12.6,82.2,.168
9,9,2022-11-03,,GSW,W,130,129,123.4,122.5,105.3,.590,.385,.662,56.8,47.6,8.5,11.1,,.622,16.2,29.7,.423,,.613,11.9,79.5,.103
10,10,2022-11-05,,SAC,L,123,126,112.0,114.7,99.4,.217,.250,.610,57.1,54.0,7.3,7.5,,.565,14.4,18.9,.207,,.586,11.8,87.2,.183
11,11,2022-11-07,,HOU,L,127,134,125.0,131.8,101.6,.378,.305,.664,48.1,60.0,6.9,10.3,,.622,16.6,29.7,.305,,.667,16.9,65.0,.207
12,12,2022-11-09,,DAL,W,94,87,101.1,93.6,93.0,.288,.288,.571,62.8,55.6,1.1,14.0,,.548,18.0,13.8,.192,,.441,4.1,91.8,.141
13,13,2022-11-11,,PHO,W,114,97,121.8,103.6,93.6,.183,.402,.643,56.8,53.5,2.1,7.5,,.616,12.8,25.0,.159,,.468,10.0,78.8,.084
14,14,2022-11-14,,CHO,L,105,112,113.9,121.5,92.2,.261,.409,.535,56.5,63.9,3.3,13.2,,.489,18.3,48.9,.216,,.517,10.9,65.0,.239
15,15,2022-11-16,,MIN,L,108,126,107.1,124.9,100.9,.183,.376,.537,54.0,50.0,5.9,9.6,,.500,13.7,27.3,.161,,.591,9.1,81.4,.250
16,16,2022-11-18,@,CHI,W,108,107,112.8,111.8,95.7,.286,.364,.623,47.1,65.8,4.2,10.3,,.571,15.6,15.4,.260,,.489,9.9,72.9,.225
17,17,2022-11-19,@,IND,L,113,114,117.0,118.1,96.5,.286,.462,.552,49.4,41.0,8.3,13.6,,.516,8.1,26.8,.209,,.556,13.2,71.4,.156
18,18,2022-11-21,@,IND,L,102,123,100.9,121.7,101.1,.294,.412,.531,44.2,55.6,9.9,5.0,,.488,15.0,25.0,.224,,.576,17.7,68.4,.279
19,19,2022-11-25,,PHI,L,99,107,108.0,116.7,91.7,.338,.438,.539,42.7,58.8,7.6,13.0,,.481,13.2,20.9,.275,,.561,14.3,66.7,.183
20,20,2022-11-27,,PHI,L,103,133,107.5,138.9,95.8,.316,.506,.572,37.7,58.3,9.4,8.0,,.532,14.3,15.9,.241,,.721,13.6,76.0,.286
21,21,2022-11-28,@,BRK,L,102,109,107.0,114.3,95.3,.275,.388,.569,45.5,47.4,9.4,9.4,,.556,16.7,20.9,.163,,.599,15.5,76.5,.148
