,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,A,SAS,L,97,123,35,86,0.407,9,29,0.31,18,23,0.783,13,44,17,6,6,16,20,100.8,127.9,96.2,0.267,0.337,0.505,50.6,48.6,6.2,8.8,0.459,14.3,30.2,0.209,0.566,7.0,70.5,0.122
1,2021-10-22,H,NYK,L,96,121,33,83,0.398,17,43,0.395,13,15,0.867,9,46,24,5,3,18,18,98.7,124.4,97.2,0.181,0.518,0.536,54.8,72.7,5.1,8.8,0.5,16.7,22.0,0.157,0.636,10.3,86.0,0.102
2,2021-10-24,A,NYK,W,110,104,36,88,0.409,12,43,0.279,26,34,0.765,10,57,22,7,4,13,25,106.1,100.3,103.7,0.386,0.489,0.534,52.3,61.1,6.8,7.7,0.477,11.2,21.7,0.295,0.435,9.8,74.6,0.17
3,2021-10-25,A,MIA,L,90,107,33,81,0.407,12,44,0.273,12,19,0.632,6,39,21,7,6,16,22,94.4,112.2,95.4,0.235,0.543,0.504,48.1,63.6,7.3,10.0,0.481,15.2,15.4,0.148,0.506,9.5,78.6,0.218
4,2021-10-27,H,CHO,L,111,120,43,88,0.489,15,40,0.375,10,13,0.769,8,33,22,6,2,18,21,112.4,121.6,98.7,0.148,0.455,0.592,45.2,51.2,6.1,3.8,0.574,16.1,21.1,0.114,0.602,14.6,71.4,0.241
5,2021-10-29,A,TOR,L,109,110,41,87,0.471,16,34,0.471,11,16,0.688,12,46,24,1,5,17,24,115.4,116.5,94.4,0.184,0.391,0.58,53.5,58.5,1.1,8.9,0.563,15.3,27.9,0.126,0.552,6.8,79.1,0.174
6,2021-10-30,A,DET,L,103,110,38,87,0.437,16,32,0.5,11,15,0.733,12,46,21,5,6,17,21,108.2,115.5,95.2,0.172,0.368,0.55,48.9,55.3,5.3,13.0,0.529,15.4,27.9,0.126,0.483,11.3,66.7,0.27
7,2021-11-01,A,MIN,W,115,97,37,82,0.451,17,43,0.395,24,30,0.8,12,51,21,5,7,16,19,118.4,99.9,97.1,0.366,0.524,0.604,52.0,56.8,5.1,15.2,0.555,14.4,27.9,0.293,0.443,10.2,70.9,0.113
8,2021-11-03,H,BOS,L,79,92,27,84,0.321,9,43,0.209,16,20,0.8,8,46,15,8,1,14,20,84.7,98.6,93.3,0.238,0.512,0.426,47.9,55.6,8.6,2.4,0.375,13.1,16.3,0.19,0.481,10.9,80.9,0.203
9,2021-11-05,H,SAS,L,89,102,35,89,0.393,12,41,0.293,7,10,0.7,7,43,23,9,12,18,13,86.2,98.7,103.3,0.112,0.461,0.476,47.3,65.7,8.7,16.9,0.461,16.2,14.0,0.079,0.478,11.7,87.8,0.178
